,Contest Title,Party,Candidate,1ST PRESBYTERIAN CH,ABSENTEE,ANDERSON TOWN HALL,BROADWAY REC CTR,CENTER STAR 1ST BAPTIST,CENTRAL BAPTIST CH,CENTRAL COMMUNITY CTR,CLOVERDALE COMMUNITY CTR,E CAMPUS WOODMONT BAPT CH,ELGIN SENIOR CTR,FLORENCE - FIRST BAPTIST,FLORENCE - HIGH SCHOOL,FLORENCE BLVD CH CHRIST,FOREST HILLS SCHOOL,GRADY RICHARDS CTR,GREENHILL SENIOR CTR,HANDY RECREATION CTR,HARLAN SCHOOL,HIBBETT SCHOOL,HIGHLAND BAPTIST CH,KILLEN BAPTIST CH,LAUDERDALE COUNTY BD,LEXINGTON SENIOR CTR,MARS HILL SCHOOL,OAKLAND FIRE STATION,PROVISIONAL,ROGERSVILLE SENIOR CTR,SHERROD AVE CH OF CHRIST,ST FLORIAN SENIOR CTR,STEWARTVILLE CH OF CHRIST,UNDERWOOD COMMUNITY CTR,WATERLOO SENIOR CITIZEN,ZIP CITY COMMUNITY CTR
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,16.0,24,4.0,7.0,25.0,3.0,17.0,7.0,19.0,12.0,15.0,20.0,11.0,35.0,9.0,26.0,2.0,20.0,10.0,17.0,18.0,20.0,15.0,29.0,6.0,3,13.0,11.0,10.0,9.0,18.0,1.0,13.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,1.0,3,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,2,4.0,0.0,2.0,4.0,0.0,1.0,4.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,3.0,19,10.0,1.0,18.0,0.0,13.0,8.0,5.0,7.0,2.0,11.0,10.0,13.0,4.0,46.0,0.0,4.0,2.0,4.0,12.0,4.0,14.0,23.0,8.0,1,14.0,4.0,8.0,5.0,10.0,5.0,5.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,303.0,606,201.0,377.0,538.0,249.0,305.0,276.0,248.0,293.0,218.0,476.0,244.0,630.0,168.0,666.0,526.0,347.0,326.0,499.0,476.0,273.0,257.0,609.0,340.0,81,461.0,518.0,291.0,149.0,429.0,53.0,219.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,262.0,1349,626.0,404.0,1760.0,240.0,1026.0,1039.0,618.0,1009.0,282.0,765.0,645.0,1396.0,251.0,2089.0,55.0,445.0,536.0,629.0,1751.0,983.0,945.0,1785.0,687.0,159,1467.0,292.0,877.0,656.0,1106.0,239.0,719.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0.0,1,0.0,4.0,3.0,3.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1,1.0,1.0,0.0,2.0,1.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,2.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,13.0,71,25.0,14.0,60.0,15.0,52.0,39.0,16.0,23.0,17.0,26.0,12.0,55.0,6.0,108.0,13.0,18.0,24.0,23.0,47.0,27.0,38.0,58.0,21.0,12,76.0,24.0,30.0,25.0,44.0,14.0,23.0
18,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",DEM,"Will Boyd, Jr.                        ",308.0,604,198.0,372.0,539.0,262.0,309.0,284.0,255.0,289.0,224.0,484.0,257.0,622.0,181.0,673.0,547.0,363.0,339.0,514.0,473.0,269.0,251.0,623.0,346.0,83,465.0,525.0,286.0,156.0,426.0,56.0,222.0
19,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",REP,Mo Brooks                             ,256.0,1344,626.0,399.0,1748.0,229.0,1012.0,1022.0,593.0,998.0,266.0,748.0,625.0,1396.0,237.0,2047.0,40.0,424.0,515.0,609.0,1760.0,979.0,943.0,1760.0,672.0,154,1453.0,279.0,876.0,652.0,1106.0,234.0,708.0
20,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,0.0,2,0.0,4.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1,0.0,3.0,0.0,0.0,1.0,0.0,1.0
21,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,16.0,77,29.0,23.0,72.0,13.0,64.0,47.0,34.0,39.0,25.0,36.0,21.0,64.0,7.0,144.0,8.0,23.0,31.0,26.0,42.0,33.0,46.0,70.0,32.0,15,88.0,28.0,36.0,25.0,47.0,16.0,30.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",351.0,1382,607.0,508.0,1770.0,289.0,990.0,996.0,633.0,1008.0,325.0,826.0,645.0,1430.0,259.0,2028.0,113.0,491.0,585.0,736.0,1746.0,987.0,946.0,1853.0,678.0,173,1439.0,384.0,881.0,649.0,1112.0,215.0,712.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,14.0,14,3.0,19.0,21.0,18.0,13.0,10.0,8.0,11.0,11.0,19.0,7.0,26.0,8.0,21.0,13.0,14.0,16.0,33.0,17.0,10.0,2.0,27.0,6.0,3,7.0,23.0,9.0,10.0,17.0,3.0,11.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,215.0,631,243.0,272.0,570.0,200.0,383.0,348.0,241.0,309.0,182.0,427.0,252.0,627.0,159.0,818.0,471.0,307.0,285.0,383.0,513.0,286.0,293.0,575.0,367.0,74,560.0,428.0,308.0,174.0,451.0,87.0,238.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,350.0,1372,606.0,508.0,1751.0,286.0,986.0,995.0,632.0,1000.0,320.0,819.0,642.0,1428.0,257.0,2000.0,108.0,488.0,588.0,734.0,1740.0,983.0,939.0,1851.0,662.0,170,1428.0,379.0,877.0,639.0,1098.0,212.0,709.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,13.0,12,2.0,14.0,20.0,19.0,10.0,9.0,5.0,13.0,10.0,19.0,7.0,29.0,8.0,22.0,15.0,9.0,15.0,30.0,13.0,8.0,2.0,20.0,7.0,3,7.0,23.0,7.0,7.0,14.0,4.0,9.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,217.0,643,245.0,277.0,591.0,202.0,390.0,350.0,245.0,315.0,188.0,434.0,255.0,626.0,161.0,845.0,474.0,315.0,283.0,388.0,524.0,292.0,300.0,585.0,382.0,77,571.0,433.0,314.0,187.0,468.0,90.0,243.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,352.0,1374,609.0,502.0,1763.0,286.0,984.0,996.0,636.0,1001.0,322.0,821.0,635.0,1426.0,253.0,2002.0,108.0,489.0,585.0,738.0,1741.0,976.0,943.0,1845.0,670.0,169,1437.0,379.0,884.0,640.0,1103.0,212.0,712.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,12.0,15,1.0,17.0,19.0,15.0,10.0,9.0,5.0,13.0,10.0,17.0,7.0,25.0,9.0,21.0,14.0,9.0,13.0,30.0,12.0,10.0,3.0,23.0,6.0,3,11.0,21.0,6.0,8.0,14.0,4.0,7.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,216.0,638,243.0,280.0,580.0,205.0,392.0,349.0,241.0,314.0,186.0,434.0,262.0,632.0,164.0,844.0,475.0,314.0,288.0,384.0,524.0,297.0,295.0,588.0,375.0,78,558.0,435.0,308.0,185.0,463.0,90.0,242.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,344.0,1357,600.0,512.0,1731.0,285.0,962.0,988.0,621.0,1001.0,316.0,814.0,632.0,1405.0,254.0,1974.0,103.0,467.0,578.0,732.0,1715.0,963.0,931.0,1816.0,660.0,168,1418.0,373.0,864.0,637.0,1089.0,209.0,696.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,18.0,16,2.0,17.0,16.0,19.0,11.0,9.0,9.0,17.0,18.0,22.0,10.0,28.0,9.0,17.0,14.0,17.0,14.0,31.0,17.0,9.0,2.0,34.0,5.0,3,10.0,24.0,6.0,5.0,15.0,4.0,9.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,218.0,654,251.0,269.0,615.0,203.0,413.0,357.0,252.0,310.0,184.0,436.0,262.0,650.0,163.0,875.0,479.0,328.0,294.0,389.0,544.0,311.0,308.0,606.0,386.0,79,578.0,438.0,328.0,191.0,476.0,93.0,256.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,REP,Jeff Newman                           ,341.0,1349,588.0,500.0,1726.0,281.0,963.0,978.0,618.0,993.0,320.0,803.0,629.0,1403.0,254.0,1961.0,101.0,472.0,577.0,728.0,1709.0,959.0,928.0,1826.0,658.0,166,1408.0,372.0,857.0,631.0,1074.0,210.0,702.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,NON,Write-In                              ,14.0,14,3.0,18.0,18.0,21.0,6.0,9.0,5.0,10.0,11.0,20.0,6.0,24.0,8.0,18.0,13.0,12.0,15.0,26.0,15.0,5.0,0.0,27.0,2.0,3,8.0,24.0,5.0,5.0,14.0,3.0,7.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,   ,Over Votes                            ,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
42,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,   ,Under Votes                           ,225.0,663,262.0,281.0,618.0,205.0,416.0,367.0,259.0,325.0,187.0,449.0,269.0,656.0,164.0,888.0,483.0,328.0,293.0,398.0,552.0,319.0,313.0,602.0,391.0,81,589.0,439.0,336.0,197.0,491.0,93.0,252.0
43,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 1     ",REP,Ben Graves                            ,355.0,1393,586.0,501.0,1741.0,284.0,986.0,991.0,647.0,996.0,340.0,834.0,647.0,1466.0,275.0,1972.0,104.0,488.0,597.0,748.0,1746.0,977.0,933.0,1896.0,667.0,174,1408.0,389.0,878.0,640.0,1116.0,214.0,716.0
44,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 1     ",NON,Write-In                              ,12.0,10,3.0,18.0,16.0,17.0,8.0,9.0,5.0,10.0,10.0,14.0,7.0,21.0,9.0,13.0,12.0,11.0,10.0,26.0,11.0,7.0,2.0,20.0,3.0,2,7.0,17.0,6.0,5.0,13.0,3.0,6.0
45,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Over Votes                            ,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Under Votes                           ,213.0,624,264.0,278.0,605.0,206.0,392.0,354.0,230.0,322.0,168.0,424.0,250.0,596.0,142.0,882.0,481.0,313.0,279.0,378.0,519.0,299.0,306.0,539.0,381.0,74,591.0,429.0,314.0,188.0,451.0,89.0,239.0
47,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 2     ",DEM,Wilson Mitchell                       ,279.0,560,179.0,361.0,514.0,263.0,320.0,303.0,278.0,263.0,218.0,456.0,275.0,618.0,181.0,683.0,524.0,344.0,338.0,482.0,467.0,282.0,218.0,626.0,330.0,89,418.0,490.0,322.0,171.0,454.0,48.0,231.0
48,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 2     ",REP,Will Powell                           ,272.0,1346,625.0,401.0,1748.0,216.0,1004.0,986.0,573.0,1007.0,273.0,766.0,591.0,1377.0,225.0,1992.0,54.0,433.0,513.0,627.0,1739.0,963.0,960.0,1753.0,682.0,140,1468.0,310.0,821.0,613.0,1038.0,238.0,682.0
49,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 2     ",NON,Write-In                              ,0.0,3,0.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1,2.0,2.0,0.0,2.0,0.0,0.0,2.0
50,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 2     ",   ,Over Votes                            ,1.0,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0
51,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 2     ",   ,Under Votes                           ,28.0,114,49.0,34.0,99.0,24.0,62.0,63.0,31.0,57.0,26.0,46.0,37.0,86.0,18.0,190.0,19.0,32.0,35.0,40.0,65.0,37.0,62.0,76.0,38.0,19,117.0,33.0,55.0,46.0,87.0,20.0,46.0
52,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 3     ",REP,Gil Self                              ,358.0,1434,590.0,513.0,1781.0,302.0,1013.0,1020.0,643.0,1005.0,336.0,855.0,667.0,1480.0,270.0,2029.0,120.0,514.0,614.0,756.0,1759.0,996.0,946.0,1891.0,696.0,181,1417.0,397.0,892.0,657.0,1126.0,214.0,736.0
53,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 3     ",NON,Write-In                              ,14.0,12,3.0,22.0,18.0,15.0,9.0,11.0,6.0,13.0,8.0,18.0,6.0,19.0,9.0,12.0,14.0,10.0,11.0,24.0,10.0,6.0,2.0,28.0,2.0,2,9.0,17.0,7.0,4.0,10.0,2.0,3.0
54,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 3     ",   ,Over Votes                            ,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"CIRCUIT COURT JUDGE, 11TH JUDICIAL CIRCUIT, PLACE 3     ",   ,Under Votes                           ,208.0,581,260.0,262.0,563.0,190.0,364.0,323.0,233.0,310.0,174.0,399.0,231.0,584.0,147.0,826.0,463.0,287.0,261.0,372.0,508.0,281.0,293.0,536.0,353.0,67,580.0,421.0,299.0,172.0,444.0,90.0,222.0
56,"DISTRICT ATTORNEY, 11TH JUDICIAL CIRCUIT                ",REP,Chris Connolly                        ,360.0,1451,609.0,518.0,1802.0,306.0,1032.0,1036.0,658.0,1012.0,338.0,865.0,672.0,1503.0,273.0,2111.0,125.0,514.0,628.0,767.0,1768.0,1005.0,967.0,1914.0,700.0,178,1454.0,415.0,944.0,660.0,1143.0,222.0,730.0
57,"DISTRICT ATTORNEY, 11TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,15.0,12,5.0,23.0,20.0,15.0,9.0,14.0,4.0,17.0,8.0,21.0,6.0,23.0,8.0,25.0,14.0,10.0,17.0,24.0,15.0,10.0,8.0,30.0,4.0,2,10.0,17.0,8.0,6.0,10.0,2.0,6.0
58,"DISTRICT ATTORNEY, 11TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"DISTRICT ATTORNEY, 11TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,205.0,564,239.0,257.0,540.0,186.0,345.0,304.0,220.0,299.0,172.0,386.0,226.0,557.0,145.0,731.0,458.0,288.0,241.0,361.0,494.0,268.0,266.0,512.0,347.0,70,542.0,403.0,246.0,167.0,427.0,82.0,225.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,363.0,998,366.0,429.0,1203.0,272.0,681.0,653.0,517.0,636.0,310.0,736.0,491.0,1178.0,275.0,1332.0,356.0,441.0,533.0,664.0,1166.0,702.0,583.0,1370.0,518.0,143,923.0,517.0,603.0,421.0,761.0,113.0,449.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,91.0,297,196.0,136.0,467.0,108.0,258.0,245.0,136.0,270.0,95.0,178.0,135.0,341.0,63.0,613.0,48.0,128.0,143.0,183.0,506.0,253.0,274.0,436.0,177.0,31,381.0,124.0,222.0,151.0,310.0,75.0,223.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,125.0,732,291.0,234.0,691.0,127.0,447.0,456.0,228.0,422.0,113.0,357.0,277.0,564.0,88.0,919.0,193.0,242.0,210.0,305.0,605.0,328.0,384.0,648.0,356.0,78,702.0,194.0,372.0,261.0,509.0,118.0,289.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,422.0,1221,665.0,514.0,1792.0,326.0,940.0,944.0,646.0,1088.0,390.0,872.0,651.0,1501.0,333.0,2036.0,354.0,539.0,639.0,814.0,1741.0,965.0,967.0,1779.0,694.0,174,1633.0,568.0,846.0,540.0,1071.0,175.0,706.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,67.0,297,81.0,102.0,279.0,83.0,223.0,178.0,96.0,98.0,70.0,185.0,95.0,272.0,42.0,366.0,65.0,112.0,121.0,151.0,267.0,156.0,116.0,296.0,126.0,24,173.0,119.0,150.0,133.0,234.0,55.0,116.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0.0,3,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,91.0,506,107.0,183.0,289.0,98.0,222.0,232.0,139.0,142.0,58.0,215.0,156.0,310.0,51.0,458.0,178.0,161.0,126.0,187.0,268.0,162.0,157.0,376.0,229.0,54,200.0,148.0,201.0,159.0,275.0,76.0,138.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,320.0,786,309.0,363.0,1051.0,225.0,546.0,552.0,457.0,569.0,302.0,631.0,441.0,1050.0,242.0,1189.0,198.0,364.0,443.0,603.0,1099.0,618.0,506.0,1266.0,412.0,122,761.0,384.0,499.0,345.0,669.0,103.0,411.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,123.0,405,207.0,197.0,532.0,154.0,329.0,325.0,175.0,300.0,106.0,262.0,177.0,422.0,78.0,689.0,198.0,200.0,211.0,240.0,509.0,277.0,303.0,497.0,247.0,47,462.0,239.0,268.0,203.0,358.0,68.0,258.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,137.0,836,337.0,238.0,778.0,128.0,511.0,477.0,249.0,459.0,110.0,379.0,286.0,610.0,106.0,988.0,200.0,247.0,232.0,308.0,668.0,387.0,430.0,693.0,389.0,83,781.0,212.0,430.0,285.0,553.0,135.0,291.0
