,Contest Title,Party,Candidate,ABSENTEE,CHARITY CHAPEL FIRE HOUSE,CHATOM COURTHOUSE,COPELAND ASSEMBLY OF GOD,DEER PARK,FAIRFORD FIRE HOUSE,FRANKVILLE FIRE HOUSE,FRUITDALE FIRE HOUSE,HOBSON FIRE HOUSE,LATON HILL FIRE HOUSE,LEROY FIRE HOUSE,MALCOM CENTER,McINTOSH COMMUNITY,MILLRY FIRE HOUSE,MOWA CHOCTAW COMM_ CTR_,PROVISIONAL,RED CREEK FIRE HOUSE,ST_ STEPHENS FIRE HOUSE,TIBBIE FIRE HOUSE,WAGARVILLE FIRE HOUSE,YARBO FIRE HOUSE
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,4,0.0,3.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,1.0,3.0,4.0,10.0,10.0,0.0,0.0,4.0,1.0,2.0,4.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,94,49.0,255.0,78.0,219.0,147.0,156.0,122.0,44.0,64.0,212.0,159.0,404.0,327.0,263.0,0.0,138.0,134.0,109.0,207.0,129.0
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,235,180.0,507.0,220.0,360.0,232.0,200.0,294.0,176.0,214.0,400.0,92.0,101.0,395.0,324.0,0.0,200.0,234.0,286.0,312.0,217.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,4,2.0,2.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,9.0,11.0,0.0,0.0,5.0,1.0,5.0,5.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,102,52.0,266.0,84.0,229.0,146.0,149.0,123.0,42.0,72.0,205.0,159.0,400.0,329.0,270.0,0.0,142.0,139.0,115.0,200.0,131.0
38,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,DEM,Ella B. Bell                          ,173,93.0,442.0,125.0,341.0,226.0,210.0,210.0,99.0,135.0,347.0,184.0,465.0,427.0,416.0,0.0,93.0,211.0,178.0,291.0,190.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,NON,Write-In                              ,7,1.0,7.0,4.0,5.0,4.0,2.0,5.0,4.0,6.0,3.0,1.0,0.0,7.0,5.0,0.0,1.0,10.0,10.0,14.0,0.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Under Votes                           ,161,140.0,326.0,175.0,245.0,150.0,141.0,204.0,116.0,145.0,255.0,69.0,40.0,299.0,184.0,0.0,248.0,157.0,214.0,212.0,163.0
42,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 1      ",DEM,Gaines McCorquodale                   ,207,99.0,509.0,141.0,354.0,239.0,222.0,229.0,123.0,150.0,393.0,184.0,473.0,457.0,421.0,0.0,107.0,235.0,213.0,349.0,214.0
43,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 1      ",NON,Write-In                              ,2,1.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,2.0,0.0,4.0,6.0,0.0,0.0,10.0,6.0,7.0,0.0
44,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 1      ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 1      ",   ,Under Votes                           ,132,134.0,262.0,159.0,233.0,137.0,128.0,186.0,94.0,131.0,208.0,68.0,32.0,271.0,178.0,0.0,235.0,133.0,183.0,161.0,139.0
46,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 2      ",DEM,C. Robert Montgomery                  ,207,98.0,541.0,147.0,363.0,234.0,229.0,237.0,127.0,152.0,374.0,190.0,466.0,468.0,427.0,0.0,111.0,231.0,213.0,328.0,221.0
47,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 2      ",NON,Write-In                              ,6,2.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,5.0,4.0,0.0,1.0,6.0,4.0,0.0,0.0,7.0,10.0,5.0,0.0
48,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 2      ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 2      ",   ,Under Votes                           ,126,134.0,230.0,153.0,225.0,142.0,123.0,178.0,90.0,129.0,227.0,64.0,38.0,259.0,174.0,0.0,231.0,140.0,179.0,184.0,132.0
50,"DISTRICT ATTORNEY, 1ST JUDICIAL CIRCUIT                 ",DEM,Spencer B. Walker                     ,202,96.0,498.0,139.0,357.0,232.0,226.0,227.0,119.0,157.0,396.0,187.0,466.0,457.0,425.0,0.0,116.0,236.0,212.0,335.0,218.0
51,"DISTRICT ATTORNEY, 1ST JUDICIAL CIRCUIT                 ",NON,Write-In                              ,6,0.0,6.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,5.0,2.0,0.0,6.0,6.0,0.0,1.0,7.0,8.0,7.0,1.0
52,"DISTRICT ATTORNEY, 1ST JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"DISTRICT ATTORNEY, 1ST JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,131,138.0,271.0,161.0,232.0,144.0,125.0,187.0,98.0,126.0,204.0,65.0,39.0,270.0,174.0,0.0,225.0,135.0,182.0,175.0,134.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,162,118.0,454.0,116.0,311.0,194.0,192.0,225.0,98.0,135.0,308.0,179.0,395.0,356.0,332.0,0.0,97.0,202.0,168.0,272.0,152.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,55,30.0,149.0,63.0,127.0,61.0,64.0,84.0,36.0,55.0,121.0,26.0,27.0,156.0,96.0,0.0,78.0,97.0,133.0,103.0,92.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,124,86.0,172.0,125.0,153.0,125.0,97.0,110.0,85.0,95.0,175.0,49.0,83.0,221.0,177.0,0.0,167.0,79.0,101.0,141.0,109.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,152,165.0,554.0,178.0,368.0,206.0,239.0,248.0,145.0,181.0,392.0,196.0,397.0,458.0,335.0,0.0,151.0,256.0,252.0,344.0,228.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,80,33.0,103.0,33.0,99.0,60.0,43.0,81.0,25.0,50.0,92.0,21.0,24.0,114.0,94.0,0.0,61.0,61.0,86.0,85.0,65.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,107,36.0,118.0,93.0,124.0,114.0,70.0,89.0,49.0,55.0,121.0,37.0,84.0,160.0,176.0,0.0,130.0,61.0,64.0,88.0,60.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,114,113.0,332.0,88.0,201.0,147.0,112.0,164.0,80.0,109.0,226.0,122.0,350.0,263.0,252.0,0.0,72.0,136.0,154.0,209.0,98.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,92,53.0,228.0,84.0,211.0,101.0,137.0,133.0,47.0,78.0,191.0,74.0,43.0,226.0,146.0,0.0,85.0,142.0,131.0,172.0,125.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,134,68.0,215.0,132.0,179.0,132.0,101.0,122.0,92.0,99.0,187.0,58.0,112.0,243.0,207.0,0.0,185.0,100.0,117.0,136.0,130.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,143,130.0,411.0,106.0,292.0,196.0,185.0,212.0,92.0,113.0,296.0,181.0,366.0,316.0,305.0,0.0,97.0,187.0,187.0,283.0,142.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,75,42.0,176.0,71.0,137.0,61.0,76.0,96.0,51.0,89.0,127.0,22.0,27.0,187.0,98.0,0.0,82.0,105.0,113.0,107.0,95.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,123,62.0,188.0,127.0,162.0,123.0,91.0,111.0,76.0,84.0,182.0,51.0,111.0,229.0,201.0,0.0,163.0,86.0,101.0,127.0,116.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,104,112.0,282.0,74.0,186.0,136.0,102.0,146.0,79.0,92.0,244.0,121.0,361.0,240.0,238.0,0.0,80.0,137.0,128.0,194.0,98.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,95,49.0,261.0,86.0,238.0,101.0,144.0,148.0,53.0,86.0,171.0,74.0,55.0,252.0,168.0,0.0,82.0,142.0,155.0,191.0,122.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,142,72.0,232.0,144.0,167.0,143.0,106.0,125.0,87.0,108.0,190.0,59.0,89.0,241.0,198.0,0.0,180.0,99.0,119.0,132.0,133.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,70,86.0,270.0,75.0,206.0,147.0,98.0,138.0,63.0,91.0,188.0,113.0,350.0,239.0,219.0,0.0,70.0,110.0,122.0,174.0,95.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,125,71.0,250.0,89.0,206.0,79.0,138.0,150.0,62.0,87.0,216.0,77.0,59.0,231.0,184.0,0.0,78.0,162.0,156.0,195.0,117.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,146,77.0,255.0,140.0,179.0,154.0,115.0,131.0,94.0,107.0,201.0,64.0,96.0,262.0,202.0,0.0,194.0,106.0,124.0,148.0,141.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,94,69.0,202.0,50.0,150.0,96.0,64.0,103.0,48.0,53.0,173.0,49.0,126.0,160.0,165.0,0.0,42.0,78.0,88.0,137.0,58.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,60,33.0,194.0,70.0,172.0,103.0,125.0,118.0,40.0,62.0,138.0,125.0,264.0,194.0,198.0,0.0,67.0,122.0,122.0,160.0,103.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,186,132.0,379.0,184.0,269.0,181.0,163.0,198.0,131.0,170.0,294.0,80.0,112.0,379.0,242.0,0.0,233.0,178.0,192.0,220.0,192.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,159,108.0,355.0,121.0,263.0,139.0,130.0,197.0,101.0,130.0,298.0,70.0,137.0,294.0,202.0,0.0,104.0,158.0,174.0,241.0,148.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,55,57.0,209.0,53.0,169.0,100.0,121.0,104.0,33.0,59.0,133.0,132.0,269.0,198.0,206.0,0.0,69.0,133.0,127.0,148.0,91.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,127,69.0,211.0,130.0,159.0,141.0,102.0,118.0,85.0,97.0,173.0,52.0,96.0,241.0,197.0,0.0,168.0,87.0,101.0,127.0,114.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,86,77.0,168.0,44.0,133.0,86.0,62.0,100.0,39.0,52.0,137.0,44.0,99.0,150.0,133.0,0.0,40.0,68.0,82.0,123.0,58.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,66,26.0,226.0,77.0,179.0,110.0,127.0,124.0,51.0,65.0,170.0,137.0,285.0,208.0,223.0,0.0,60.0,132.0,121.0,169.0,103.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,189,131.0,381.0,183.0,279.0,184.0,162.0,195.0,129.0,169.0,298.0,73.0,120.0,375.0,249.0,0.0,242.0,178.0,199.0,225.0,192.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,95,79.0,256.0,55.0,197.0,102.0,120.0,147.0,54.0,63.0,197.0,82.0,91.0,216.0,193.0,0.0,52.0,118.0,90.0,180.0,86.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,56,21.0,138.0,64.0,119.0,93.0,67.0,77.0,40.0,54.0,111.0,89.0,280.0,137.0,160.0,0.0,59.0,77.0,113.0,113.0,78.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,188,134.0,381.0,184.0,275.0,185.0,165.0,195.0,125.0,169.0,297.0,83.0,134.0,380.0,252.0,0.0,231.0,183.0,199.0,224.0,189.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,110,81.0,286.0,53.0,220.0,110.0,126.0,144.0,61.0,77.0,210.0,106.0,140.0,250.0,218.0,0.0,65.0,145.0,90.0,218.0,96.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,86,68.0,235.0,101.0,179.0,107.0,108.0,136.0,53.0,90.0,183.0,45.0,82.0,199.0,150.0,0.0,77.0,120.0,182.0,148.0,121.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,145,85.0,254.0,150.0,192.0,163.0,118.0,139.0,105.0,119.0,212.0,103.0,282.0,284.0,237.0,0.0,199.0,113.0,130.0,151.0,135.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,74,61.0,255.0,45.0,198.0,90.0,121.0,134.0,51.0,43.0,183.0,95.0,119.0,218.0,191.0,0.0,45.0,118.0,76.0,196.0,76.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,89,69.0,198.0,91.0,144.0,115.0,85.0,113.0,52.0,75.0,161.0,47.0,99.0,193.0,157.0,0.0,68.0,101.0,147.0,133.0,113.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
