,Contest Title,Party,Candidate,ABSENTEE,ALICEVILLE,BENEVOLA,BETHLEHEM,CARROLLTON/SPEEDS MILL,COCHRANE/DANCY,ETHELSVILLE,FAIRVIEW/ZION,FORREST,GORDO,KIRK,LIBERTY,MACEDONIA,MCSHAN,PALMETTO,PICKENSVILLE,PINE GROVE,PROVISIONAL,REFORM,SAPPS,SPRING HILL
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0.0,1,0,0
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,143,502,11,25,269,110,44,168,53,336,55,51,100,27,48,132,35,0.0,328,232,15
54,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,84,493,15,35,333,46,44,317,77,546,80,222,41,49,83,85,38,0.0,407,68,19
55,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,57,845,15,35,326,31,40,196,66,428,45,57,41,40,68,98,44,0.0,351,94,19
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,185,576,23,47,389,122,56,302,85,563,89,53,111,43,66,150,42,0.0,441,244,19
58,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,123,1077,19,47,503,52,53,366,107,745,96,243,50,52,90,128,47,0.0,559,126,25
59,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,35,263,13,31,200,24,36,176,49,303,32,40,28,47,62,55,40,0.0,224,41,16
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,168,573,21,39,345,123,51,273,72,490,86,49,115,33,65,150,37,0.0,416,239,16
62,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,79,503,17,37,343,48,40,285,89,506,60,136,29,49,80,92,45,0.0,376,70,20
63,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,63,817,11,38,332,29,45,216,57,468,51,115,48,37,70,90,37,0.0,367,87,18
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0.0,0,0,0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,185,594,25,42,371,122,55,314,82,562,102,81,116,46,67,151,42,0.0,456,249,19
66,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,63,388,19,32,311,48,38,252,66,463,73,121,28,33,63,81,34,0.0,297,67,20
67,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,72,901,13,36,338,24,43,226,72,492,47,123,48,42,72,96,45,0.0,418,94,18
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,192,626,21,49,398,127,59,337,90,582,94,88,117,57,82,156,45,0.0,484,245,19
70,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,66,392,10,17,279,46,39,183,79,369,44,128,25,32,66,69,26,0.0,288,62,20
71,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,48,777,8,29,277,18,25,153,45,350,33,86,46,25,41,80,33,0.0,315,81,13
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,212,746,35,71,492,135,76,478,104,819,137,118,122,75,110,184,65,0.0,596,262,24
74,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,118,529,20,53,446,59,77,393,130,674,91,171,44,67,107,95,57,0.0,453,80,27
75,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,38,808,11,22,264,24,13,163,35,357,32,90,35,24,49,86,30,0.0,315,80,14
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,3,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0.0,0,1,0
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,171,576,22,42,338,116,50,258,63,506,91,70,113,41,61,152,37,0.0,431,245,16
78,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,164,546,29,60,446,59,57,424,119,701,121,138,44,62,107,109,49,0.0,464,54,24
79,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,102,1144,17,34,406,86,51,228,51,526,41,138,84,44,66,126,53,0.0,534,308,31
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.0,4,0,0
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,61,223,7,23,196,54,32,162,58,310,51,56,65,26,44,97,22,0.0,197,44,2
82,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,80,937,10,25,380,41,35,213,85,452,42,138,40,39,63,104,31,0.0,404,105,25
83,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,33,238,6,21,175,20,32,147,35,262,25,76,26,24,43,41,28,0.0,191,36,7
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,214,738,37,71,493,138,73,455,108,824,147,118,127,69,111,188,65,0.0,603,265,25
86,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,90,1007,14,39,414,53,49,247,85,536,63,161,46,43,75,107,37,0.0,464,113,23
87,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,45,287,15,31,227,23,34,225,53,401,54,90,26,38,56,66,42,0.0,259,40,14
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,192,620,24,47,406,123,57,343,90,601,97,81,121,51,86,160,45,0.0,476,252,20
90,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,69,926,7,27,364,45,30,178,62,412,42,124,32,36,55,99,31,0.0,360,108,28
91,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,52,280,12,25,205,20,40,193,64,332,50,98,36,29,54,53,35,0.0,262,40,7
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,206,709,34,65,479,134,70,444,102,792,122,110,125,67,108,181,58,0.0,577,258,22
94,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,91,979,17,27,442,55,43,278,78,586,62,143,40,39,65,119,45,0.0,457,109,23
95,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,57,350,13,51,229,23,36,234,71,414,60,110,36,48,78,59,42,0.0,317,50,18
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,179,585,23,39,376,121,61,303,79,538,92,79,117,45,74,155,37,0.0,425,247,16
98,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,87,1094,25,42,482,70,50,332,95,738,108,243,45,50,87,137,56,0.0,586,126,28
99,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,49,232,8,28,198,14,34,186,49,289,28,47,28,31,59,55,32,0.0,192,38,8
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,191,586,20,47,368,115,56,297,84,511,78,42,120,51,71,141,36,0.0,421,242,21
102,"SUPERINTENDENT, PICKENS COUNTY BOARD OF EDUCATION       ",DEM,Travis Bailey                         ,123,1296,2,12,371,139,33,32,32,240,7,92,160,35,30,218,26,0.0,540,333,31
103,"SUPERINTENDENT, PICKENS COUNTY BOARD OF EDUCATION       ",NON,Write-In                              ,174,570,50,94,639,50,92,730,173,1242,197,218,19,81,167,83,90,0.0,600,59,25
104,"SUPERINTENDENT, PICKENS COUNTY BOARD OF EDUCATION       ",   ,Over Votes                            ,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0,0,0
105,"SUPERINTENDENT, PICKENS COUNTY BOARD OF EDUCATION       ",   ,Under Votes                           ,34,49,1,11,38,10,15,53,23,56,10,20,14,16,20,32,8,0.0,59,14,1
