,Contest Title,Party,Candidate,ABSENTEE,ALLSBORO CUMBERLAND PRES_,BARTON FIRST BAPTIST,CAVE SPRINGS MIS_ BAPTIST,CHEROKEE LIONS DEN,COARMM,COLBERT HEIGHTS BAPTIST,COUNTY HIGHWAY DEPT_,EAST COLBERT SEN_ CTR,FIRST SOUTHERN BAPTIST CH,GATMAN PARK & REC_ CTR_,GRACE LIFE CHURCH,HATTON BAPTIST CHURCH,HOPE HAVEN SCHOOL,LA GRANGE FIRE DEPT,LEIGHTON CITY HALL,LEIGHTON CIVIC CTR,LITTLEVILLE CITY HALL,MARGERUM COMMUNITY CH,MUSCLE SHOALS CITY HALL,MYNOT BAPTIST CHURCH,NEW BETHEL FIRE DEPT,PARKVIEW BAPTIST CHURCH,PLUMBER STEAMFITTER UNION,PRIDE MISSIONARY BAPTIST,PROVISIONAL,SHEFF BOARD OF ED BLDG_,SHEFFIELD FIRE STN 2ND ST,SHEFFIELD MICHAEL CENTER,SHEFFIELD RECREATION CTR,SPRING VALLEY CHURCH GOD,SRYGLEY CHURCH OF CHRIST,TREE HOUSE SCHOOL,TUSCUMBIA CALVARY BAPTIST,TUSCUMBIA MULTI-PURPOSE,WESTSIDE BAPTIST,WOODWARD AVE_ BAPTIST CH
10,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,581,66.0,273.0,28.0,525.0,112.0,803.0,665.0,894.0,718.0,751.0,945.0,387.0,684.0,326.0,83.0,351.0,584.0,217.0,910.0,62.0,445.0,430.0,365.0,421.0,29,274.0,296.0,74.0,569.0,316.0,106.0,534.0,288.0,588.0,381.0,785.0
11,UNITED STATES SENATOR                                   ,NON,Write-In                              ,2,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
12,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,37,6.0,15.0,4.0,42.0,10.0,27.0,23.0,41.0,21.0,34.0,45.0,26.0,36.0,14.0,5.0,14.0,27.0,5.0,32.0,8.0,16.0,28.0,20.0,21.0,2,10.0,15.0,8.0,17.0,13.0,10.0,12.0,12.0,24.0,14.0,29.0
14,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",REP,Robert Aderholt                       ,588,60.0,275.0,40.0,508.0,136.0,822.0,685.0,934.0,731.0,787.0,1017.0,419.0,692.0,322.0,99.0,376.0,608.0,204.0,969.0,59.0,467.0,491.0,397.0,441.0,31,294.0,353.0,98.0,594.0,336.0,109.0,565.0,321.0,632.0,402.0,814.0
15,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,12,0.0,4.0,5.0,7.0,6.0,6.0,6.0,13.0,5.0,11.0,22.0,14.0,6.0,5.0,2.0,6.0,14.0,9.0,17.0,0.0,6.0,20.0,6.0,7.0,2,10.0,13.0,10.0,18.0,0.0,1.0,15.0,6.0,17.0,2.0,16.0
16,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,345,34.0,200.0,127.0,345.0,90.0,236.0,173.0,343.0,161.0,310.0,484.0,372.0,249.0,114.0,192.0,239.0,144.0,67.0,355.0,18.0,125.0,526.0,226.0,149.0,18,128.0,310.0,473.0,237.0,94.0,35.0,211.0,131.0,338.0,131.0,346.0
18,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",572,56.0,268.0,36.0,483.0,133.0,785.0,666.0,905.0,709.0,761.0,991.0,398.0,663.0,306.0,92.0,366.0,583.0,197.0,935.0,55.0,461.0,467.0,385.0,421.0,29,280.0,342.0,93.0,569.0,328.0,107.0,555.0,316.0,609.0,393.0,800.0
19,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,10,0.0,4.0,5.0,10.0,6.0,7.0,3.0,11.0,4.0,8.0,16.0,12.0,5.0,1.0,3.0,8.0,14.0,7.0,15.0,0.0,4.0,17.0,7.0,4.0,2,7.0,12.0,9.0,17.0,3.0,1.0,9.0,5.0,17.0,2.0,11.0
20,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,363,38.0,208.0,131.0,367.0,92.0,272.0,195.0,374.0,184.0,339.0,517.0,395.0,279.0,134.0,198.0,247.0,169.0,76.0,391.0,22.0,133.0,553.0,237.0,172.0,20,145.0,322.0,479.0,263.0,99.0,37.0,226.0,137.0,361.0,140.0,364.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,570,53.0,268.0,36.0,475.0,132.0,776.0,657.0,899.0,705.0,752.0,989.0,395.0,660.0,302.0,91.0,362.0,580.0,197.0,933.0,54.0,462.0,464.0,386.0,422.0,29,275.0,342.0,93.0,572.0,328.0,107.0,555.0,310.0,596.0,390.0,794.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,11,0.0,3.0,5.0,8.0,7.0,7.0,4.0,12.0,4.0,9.0,10.0,11.0,4.0,3.0,3.0,6.0,11.0,6.0,14.0,0.0,4.0,16.0,6.0,3.0,2,7.0,13.0,7.0,15.0,0.0,1.0,9.0,5.0,17.0,2.0,13.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,364,41.0,209.0,131.0,376.0,93.0,280.0,203.0,379.0,188.0,347.0,524.0,399.0,283.0,136.0,199.0,253.0,175.0,77.0,395.0,23.0,132.0,557.0,237.0,172.0,20,150.0,321.0,481.0,262.0,102.0,37.0,227.0,143.0,373.0,143.0,369.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,568,56.0,267.0,36.0,479.0,134.0,780.0,665.0,903.0,707.0,757.0,995.0,394.0,664.0,306.0,91.0,365.0,582.0,196.0,934.0,55.0,464.0,472.0,387.0,422.0,29,277.0,344.0,97.0,566.0,327.0,105.0,554.0,316.0,604.0,392.0,798.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,12,0.0,4.0,5.0,8.0,6.0,9.0,3.0,11.0,4.0,9.0,12.0,12.0,5.0,1.0,2.0,6.0,12.0,6.0,14.0,0.0,4.0,16.0,6.0,4.0,2,7.0,11.0,7.0,16.0,0.0,3.0,10.0,5.0,20.0,2.0,12.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,365,38.0,209.0,131.0,373.0,92.0,275.0,196.0,376.0,186.0,342.0,516.0,399.0,278.0,134.0,200.0,250.0,172.0,78.0,394.0,22.0,130.0,549.0,236.0,171.0,20,148.0,321.0,477.0,267.0,103.0,37.0,227.0,137.0,363.0,141.0,366.0
30,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,558,56.0,264.0,36.0,472.0,132.0,766.0,658.0,891.0,690.0,739.0,980.0,387.0,655.0,307.0,88.0,352.0,568.0,192.0,911.0,53.0,447.0,467.0,382.0,414.0,27,274.0,342.0,95.0,558.0,324.0,107.0,542.0,312.0,601.0,388.0,779.0
31,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,11,0.0,3.0,5.0,8.0,7.0,9.0,5.0,14.0,5.0,10.0,11.0,11.0,3.0,2.0,2.0,4.0,15.0,6.0,15.0,0.0,5.0,19.0,8.0,6.0,2,10.0,15.0,6.0,12.0,2.0,1.0,8.0,4.0,17.0,2.0,18.0
32,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,376,38.0,213.0,131.0,379.0,93.0,289.0,201.0,385.0,202.0,359.0,532.0,407.0,289.0,132.0,203.0,265.0,183.0,82.0,416.0,24.0,146.0,551.0,239.0,176.0,22,147.0,319.0,480.0,279.0,104.0,37.0,241.0,142.0,369.0,145.0,379.0
34,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,REP,Jeff Newman                           ,564,55.0,260.0,35.0,470.0,132.0,767.0,658.0,876.0,691.0,743.0,977.0,387.0,643.0,301.0,87.0,347.0,567.0,188.0,915.0,53.0,451.0,468.0,379.0,410.0,26,275.0,337.0,92.0,556.0,320.0,106.0,533.0,310.0,596.0,386.0,778.0
35,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,NON,Write-In                              ,9,0.0,4.0,6.0,8.0,6.0,6.0,6.0,8.0,4.0,5.0,9.0,15.0,3.0,0.0,2.0,5.0,12.0,6.0,15.0,0.0,4.0,18.0,6.0,5.0,2,5.0,12.0,6.0,14.0,0.0,1.0,9.0,4.0,16.0,0.0,11.0
36,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,   ,Under Votes                           ,372,39.0,216.0,131.0,382.0,94.0,290.0,200.0,406.0,202.0,360.0,537.0,403.0,301.0,140.0,204.0,268.0,187.0,86.0,412.0,24.0,143.0,551.0,244.0,181.0,23,152.0,327.0,483.0,279.0,110.0,38.0,249.0,144.0,375.0,149.0,387.0
38,"DISTRICT ATTORNEY, 31ST JUDICIAL CIRCUIT                ",DEM,"Bryce U. Graham, Jr.                  ",525,57.0,322.0,157.0,510.0,161.0,586.0,425.0,715.0,422.0,632.0,872.0,561.0,570.0,201.0,230.0,395.0,353.0,145.0,717.0,33.0,318.0,766.0,365.0,345.0,35,254.0,479.0,532.0,497.0,221.0,77.0,481.0,301.0,655.0,316.0,645.0
39,"DISTRICT ATTORNEY, 31ST JUDICIAL CIRCUIT                ",NON,Write-In                              ,8,1.0,6.0,0.0,14.0,7.0,13.0,16.0,19.0,16.0,11.0,18.0,7.0,16.0,10.0,2.0,10.0,19.0,6.0,16.0,0.0,17.0,8.0,11.0,13.0,0,6.0,12.0,3.0,13.0,8.0,5.0,10.0,6.0,16.0,9.0,25.0
40,"DISTRICT ATTORNEY, 31ST JUDICIAL CIRCUIT                ",   ,Over Votes                            ,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"DISTRICT ATTORNEY, 31ST JUDICIAL CIRCUIT                ",   ,Under Votes                           ,411,36.0,152.0,14.0,336.0,64.0,465.0,423.0,556.0,459.0,465.0,633.0,237.0,361.0,230.0,61.0,216.0,394.0,129.0,609.0,44.0,263.0,263.0,252.0,239.0,16,170.0,185.0,46.0,339.0,201.0,63.0,300.0,151.0,316.0,210.0,506.0
42,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,434,48.0,269.0,131.0,436.0,132.0,526.0,433.0,694.0,480.0,610.0,825.0,446.0,473.0,197.0,188.0,323.0,336.0,135.0,687.0,47.0,311.0,655.0,342.0,294.0,28,247.0,419.0,401.0,448.0,209.0,80.0,444.0,269.0,585.0,286.0,615.0
43,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,134,14.0,89.0,14.0,153.0,34.0,168.0,168.0,263.0,182.0,172.0,252.0,144.0,160.0,82.0,34.0,131.0,169.0,58.0,269.0,7.0,112.0,123.0,102.0,131.0,7,67.0,88.0,34.0,147.0,80.0,31.0,142.0,70.0,141.0,91.0,234.0
44,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,377,32.0,122.0,27.0,271.0,66.0,370.0,263.0,332.0,234.0,326.0,446.0,214.0,314.0,162.0,71.0,167.0,261.0,87.0,385.0,23.0,174.0,259.0,185.0,171.0,16,117.0,169.0,146.0,254.0,141.0,34.0,205.0,119.0,261.0,157.0,327.0
46,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,548,60.0,338.0,133.0,569.0,152.0,693.0,585.0,933.0,626.0,740.0,1015.0,556.0,624.0,282.0,213.0,443.0,479.0,181.0,863.0,56.0,409.0,723.0,401.0,414.0,31,290.0,484.0,411.0,552.0,285.0,108.0,598.0,327.0,698.0,361.0,770.0
47,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,107,10.0,57.0,17.0,115.0,35.0,176.0,124.0,183.0,138.0,157.0,204.0,119.0,118.0,47.0,27.0,84.0,119.0,46.0,210.0,12.0,89.0,126.0,85.0,94.0,5,59.0,71.0,38.0,138.0,55.0,13.0,80.0,54.0,106.0,85.0,192.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,290,24.0,84.0,22.0,176.0,45.0,195.0,154.0,173.0,133.0,211.0,304.0,130.0,205.0,112.0,53.0,92.0,167.0,53.0,268.0,9.0,99.0,188.0,143.0,89.0,15,83.0,121.0,132.0,159.0,90.0,24.0,113.0,77.0,182.0,89.0,213.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,314,44.0,165.0,71.0,298.0,95.0,438.0,360.0,583.0,431.0,498.0,635.0,251.0,429.0,155.0,83.0,238.0,294.0,114.0,552.0,43.0,274.0,377.0,264.0,283.0,18,213.0,301.0,125.0,365.0,162.0,48.0,403.0,219.0,420.0,250.0,477.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,202,10.0,171.0,69.0,267.0,67.0,243.0,194.0,316.0,185.0,241.0,383.0,318.0,156.0,100.0,127.0,203.0,183.0,73.0,345.0,13.0,134.0,362.0,169.0,138.0,12,81.0,190.0,307.0,191.0,107.0,47.0,135.0,117.0,240.0,125.0,303.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,429,40.0,142.0,32.0,295.0,70.0,382.0,310.0,391.0,281.0,369.0,505.0,235.0,362.0,186.0,83.0,178.0,289.0,93.0,445.0,21.0,190.0,296.0,196.0,176.0,21,138.0,185.0,149.0,293.0,160.0,50.0,253.0,122.0,327.0,160.0,396.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,420,45.0,260.0,90.0,415.0,119.0,554.0,439.0,691.0,487.0,597.0,792.0,386.0,487.0,199.0,154.0,329.0,359.0,140.0,678.0,46.0,330.0,610.0,324.0,312.0,24,252.0,397.0,343.0,445.0,219.0,70.0,464.0,274.0,553.0,318.0,609.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,140,8.0,91.0,50.0,162.0,50.0,165.0,161.0,254.0,156.0,174.0,270.0,215.0,123.0,75.0,59.0,143.0,144.0,54.0,252.0,12.0,101.0,165.0,118.0,121.0,8,58.0,107.0,86.0,147.0,72.0,37.0,100.0,74.0,160.0,77.0,223.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,385,41.0,129.0,32.0,282.0,63.0,345.0,264.0,345.0,254.0,337.0,461.0,204.0,337.0,167.0,80.0,148.0,263.0,86.0,411.0,19.0,167.0,261.0,187.0,164.0,19,122.0,172.0,152.0,257.0,139.0,38.0,226.0,110.0,274.0,140.0,344.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,295,41.0,170.0,55.0,305.0,90.0,419.0,352.0,566.0,403.0,471.0,612.0,261.0,412.0,158.0,73.0,236.0,266.0,105.0,519.0,43.0,247.0,359.0,260.0,248.0,17,228.0,291.0,129.0,337.0,145.0,59.0,385.0,199.0,429.0,232.0,472.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,230,11.0,174.0,81.0,257.0,76.0,268.0,227.0,334.0,203.0,269.0,397.0,305.0,188.0,108.0,138.0,204.0,220.0,85.0,379.0,11.0,160.0,374.0,174.0,154.0,13,84.0,206.0,299.0,220.0,130.0,37.0,159.0,133.0,265.0,140.0,315.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,420,42.0,134.0,36.0,297.0,66.0,377.0,284.0,390.0,290.0,368.0,514.0,237.0,347.0,175.0,82.0,181.0,279.0,90.0,442.0,23.0,191.0,304.0,195.0,195.0,21,120.0,179.0,153.0,292.0,155.0,49.0,247.0,125.0,292.0,163.0,388.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,233,36.0,147.0,54.0,264.0,85.0,376.0,316.0,477.0,317.0,400.0,533.0,212.0,364.0,132.0,68.0,210.0,256.0,86.0,473.0,38.0,234.0,324.0,220.0,215.0,16,182.0,246.0,119.0,303.0,149.0,53.0,329.0,177.0,366.0,192.0,410.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,238,18.0,193.0,80.0,274.0,71.0,277.0,227.0,382.0,261.0,309.0,430.0,338.0,187.0,115.0,144.0,207.0,203.0,88.0,377.0,15.0,147.0,385.0,178.0,167.0,14,100.0,228.0,297.0,232.0,109.0,41.0,186.0,149.0,292.0,158.0,340.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
