,Contest Title,Party,Candidate,2ND MOUNT ZION CHURCH,ABSENTEE,ANNEX VOTING HOUSE,ANTIOCH VOTING HSE/FIRE DEPT,BELLEVILLE FIRE DEPT,BERMUDA COMMUNTIY CTR,BROOKLYN MASONIC LODGE,BROWNVILLE FIRE DEPT,CARVER RECREATION,CASTLEBERRY FIRE DEPT,DAVID BURT BUILDING,FLAT ROCK FIRE DEPT,HEALTH DEPARTMENT,HERBERT FIRE,JOHNSVILLE FIRE DEPT,LENOX COMMUNITY HSE,LITTLE ZION CHURCH,LYEFFION FIRE DEPT,NAZARENE BAPTIST CHURCH,OLD CASTLEBERRY NUTRITION,OLD FIELD CHURCH,PAUL FIRE DEPT,PROVISIONAL,RANGE FIRE DEPT,REPTON TOWN HALL,ROBINSONS MILL VOTING HSE,SANDCUTT FIRE DEPT,SKINNERTON FIRE DEPT,WOOTEN VOTING HSE
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,22.0,98,35.0,191.0,104.0,113.0,46.0,111.0,112.0,52.0,350.0,43.0,63.0,78.0,8.0,130.0,46.0,148.0,69.0,225.0,68.0,60.0,8,105.0,219.0,73.0,185.0,30.0,69.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,1.0,9,0.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,0,1.0,4.0,3.0,1.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,70.0,217,84.0,56.0,347.0,80.0,26.0,104.0,551.0,144.0,321.0,48.0,223.0,41.0,108.0,56.0,86.0,111.0,157.0,120.0,169.0,57.0,3,31.0,165.0,104.0,61.0,30.0,163.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,22.0,99,38.0,197.0,107.0,116.0,47.0,114.0,121.0,52.0,346.0,46.0,65.0,79.0,10.0,127.0,48.0,150.0,74.0,218.0,67.0,58.0,7,100.0,212.0,72.0,189.0,28.0,68.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,1.0,8,0.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,5.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,3.0,4.0,0,1.0,6.0,5.0,2.0,2.0,1.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,1.0,0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,69.0,217,81.0,49.0,344.0,77.0,25.0,100.0,538.0,144.0,323.0,45.0,220.0,40.0,107.0,58.0,85.0,109.0,151.0,125.0,169.0,58.0,4,36.0,170.0,102.0,56.0,30.0,163.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,REP,Jackie Zeigler                        ,25.0,96,37.0,189.0,104.0,113.0,45.0,109.0,117.0,52.0,337.0,43.0,60.0,78.0,8.0,126.0,49.0,144.0,73.0,216.0,71.0,60.0,7,98.0,213.0,73.0,181.0,29.0,68.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,NON,Write-In                              ,1.0,8,0.0,0.0,3.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,0,1.0,5.0,3.0,2.0,1.0,1.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,   ,Under Votes                           ,67.0,220,82.0,59.0,347.0,80.0,27.0,105.0,544.0,144.0,334.0,48.0,227.0,41.0,109.0,60.0,84.0,115.0,152.0,129.0,167.0,58.0,4,38.0,170.0,104.0,64.0,30.0,163.0
43,"DISTRICT ATTORNEY, 35TH JUDICIAL CIRCUIT                ",DEM,Steve Wadlington                      ,64.0,233,85.0,104.0,350.0,90.0,29.0,123.0,554.0,147.0,334.0,23.0,222.0,54.0,108.0,64.0,89.0,110.0,151.0,114.0,176.0,63.0,7,48.0,229.0,121.0,80.0,27.0,142.0
44,"DISTRICT ATTORNEY, 35TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,2.0,3,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,8.0,0.0,2.0,5.0,1.0,3.0,3.0,0.0,4.0,11.0,2.0,0.0,0,3.0,7.0,2.0,13.0,0.0,0.0
45,"DISTRICT ATTORNEY, 35TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,"DISTRICT ATTORNEY, 35TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,27.0,88,33.0,141.0,102.0,103.0,41.0,92.0,107.0,47.0,332.0,68.0,65.0,60.0,8.0,119.0,42.0,149.0,73.0,222.0,61.0,57.0,4,86.0,152.0,57.0,154.0,33.0,90.0
47,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,41.0,206,85.0,123.0,221.0,87.0,30.0,104.0,353.0,135.0,334.0,39.0,136.0,58.0,55.0,90.0,80.0,116.0,86.0,130.0,115.0,52.0,6,58.0,205.0,98.0,129.0,33.0,149.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,10.0,30,16.0,43.0,39.0,46.0,19.0,34.0,48.0,16.0,74.0,10.0,18.0,23.0,2.0,36.0,16.0,39.0,19.0,56.0,26.0,17.0,2,30.0,64.0,27.0,38.0,12.0,20.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,40.0,88,18.0,82.0,194.0,62.0,23.0,79.0,261.0,43.0,266.0,42.0,134.0,38.0,60.0,60.0,38.0,104.0,123.0,161.0,98.0,50.0,3,49.0,119.0,54.0,79.0,15.0,63.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,42.0,201,88.0,147.0,216.0,123.0,29.0,102.0,357.0,137.0,384.0,43.0,135.0,65.0,49.0,113.0,83.0,145.0,97.0,168.0,127.0,65.0,8,67.0,214.0,115.0,177.0,39.0,150.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,13.0,36,12.0,46.0,41.0,25.0,21.0,31.0,51.0,20.0,70.0,13.0,25.0,24.0,7.0,28.0,15.0,29.0,18.0,53.0,23.0,15.0,0,31.0,73.0,19.0,26.0,9.0,23.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,37.0,86,18.0,55.0,196.0,47.0,22.0,84.0,255.0,39.0,220.0,35.0,129.0,30.0,61.0,45.0,36.0,85.0,113.0,126.0,89.0,40.0,3,39.0,101.0,44.0,44.0,12.0,59.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,24.0,79,28.0,83.0,121.0,58.0,21.0,56.0,125.0,66.0,233.0,26.0,72.0,37.0,15.0,66.0,43.0,55.0,43.0,92.0,50.0,23.0,6,49.0,134.0,50.0,80.0,18.0,68.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,23.0,136,61.0,71.0,123.0,68.0,24.0,64.0,250.0,70.0,142.0,20.0,72.0,41.0,39.0,54.0,37.0,78.0,58.0,76.0,84.0,44.0,2,31.0,114.0,73.0,77.0,26.0,88.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,45.0,109,30.0,94.0,210.0,69.0,27.0,97.0,286.0,60.0,299.0,45.0,144.0,41.0,63.0,66.0,51.0,126.0,127.0,179.0,104.0,52.0,3,57.0,140.0,56.0,90.0,16.0,76.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,40.0,187,78.0,112.0,192.0,88.0,26.0,83.0,309.0,109.0,292.0,31.0,121.0,54.0,49.0,77.0,76.0,83.0,65.0,106.0,110.0,37.0,8,56.0,185.0,100.0,113.0,24.0,130.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,8.0,33,11.0,55.0,61.0,40.0,17.0,42.0,66.0,28.0,100.0,21.0,22.0,28.0,5.0,48.0,16.0,55.0,36.0,67.0,26.0,36.0,0,29.0,72.0,26.0,54.0,21.0,33.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,45.0,104,30.0,81.0,201.0,67.0,29.0,92.0,287.0,59.0,282.0,39.0,146.0,37.0,63.0,61.0,42.0,121.0,127.0,174.0,103.0,46.0,3,52.0,131.0,53.0,80.0,15.0,69.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,24.0,83,43.0,86.0,107.0,73.0,14.0,63.0,123.0,71.0,239.0,27.0,64.0,36.0,11.0,70.0,40.0,76.0,51.0,87.0,49.0,28.0,6,43.0,147.0,41.0,89.0,28.0,76.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,22.0,134,54.0,62.0,124.0,50.0,30.0,65.0,256.0,65.0,133.0,19.0,75.0,42.0,41.0,49.0,46.0,57.0,50.0,82.0,86.0,34.0,2,43.0,100.0,76.0,69.0,17.0,82.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,46.0,107,22.0,100.0,223.0,72.0,28.0,88.0,283.0,61.0,302.0,45.0,149.0,41.0,65.0,67.0,47.0,126.0,127.0,178.0,104.0,57.0,3,51.0,141.0,63.0,89.0,15.0,74.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,23.0,60,33.0,75.0,79.0,48.0,16.0,59.0,112.0,67.0,194.0,18.0,52.0,33.0,8.0,51.0,36.0,44.0,47.0,71.0,40.0,26.0,6,56.0,115.0,39.0,76.0,15.0,51.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,21.0,143,61.0,64.0,156.0,63.0,30.0,63.0,263.0,69.0,177.0,25.0,87.0,46.0,43.0,67.0,49.0,85.0,51.0,84.0,95.0,42.0,1,29.0,124.0,80.0,79.0,28.0,105.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,48.0,121,25.0,109.0,219.0,84.0,26.0,95.0,288.0,61.0,303.0,48.0,150.0,40.0,66.0,68.0,49.0,130.0,130.0,191.0,104.0,51.0,4,52.0,149.0,61.0,91.0,17.0,76.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,13.0,64,21.0,62.0,89.0,45.0,6.0,52.0,101.0,67.0,179.0,20.0,60.0,34.0,9.0,52.0,30.0,44.0,51.0,59.0,50.0,13.0,5,37.0,106.0,37.0,50.0,13.0,53.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,25.0,125,60.0,53.0,121.0,44.0,28.0,50.0,247.0,63.0,136.0,11.0,68.0,25.0,40.0,34.0,39.0,46.0,37.0,69.0,76.0,30.0,2,24.0,91.0,70.0,56.0,13.0,78.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,55.0,135,38.0,133.0,243.0,106.0,38.0,115.0,314.0,67.0,359.0,60.0,161.0,60.0,68.0,100.0,65.0,169.0,140.0,219.0,113.0,76.0,4,76.0,191.0,73.0,141.0,34.0,101.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,30.0,103,35.0,107.0,129.0,92.0,23.0,72.0,150.0,91.0,260.0,38.0,79.0,51.0,11.0,97.0,44.0,97.0,68.0,132.0,61.0,34.0,7,61.0,180.0,55.0,126.0,35.0,77.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,17.0,121,59.0,42.0,113.0,37.0,23.0,54.0,242.0,55.0,119.0,14.0,66.0,26.0,40.0,29.0,43.0,38.0,35.0,48.0,75.0,30.0,1,21.0,71.0,64.0,35.0,8.0,81.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0,0.0,2.0,0.0,0.0,0.0,0.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,46.0,100,25.0,99.0,211.0,66.0,26.0,91.0,271.0,51.0,295.0,39.0,144.0,42.0,66.0,60.0,47.0,124.0,125.0,166.0,103.0,54.0,3,55.0,135.0,61.0,86.0,17.0,74.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,21.0,55,24.0,58.0,83.0,44.0,10.0,46.0,90.0,65.0,171.0,18.0,55.0,26.0,13.0,51.0,34.0,41.0,37.0,59.0,39.0,12.0,6,34.0,108.0,40.0,64.0,9.0,52.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,15.0,132,51.0,56.0,124.0,41.0,24.0,53.0,260.0,61.0,127.0,13.0,71.0,35.0,37.0,33.0,34.0,48.0,47.0,65.0,83.0,33.0,1,25.0,85.0,66.0,39.0,14.0,77.0
