,Contest Title,Party,Candidate,ABSENTEE,AUSTIN SUMBRY PARK,CENTRAL ACTIVITIES BLDG,CLAUDE PARKMAN BLDG,COTTONTON FIRE STATION,CRAWFORD VFD,DIXIE VFD,FIRE DEPARTMENT HURTSBORO,FT_ MITCHELL COMM CENTER,HATCHECHUBBEE FIRE,LADONIA VFD,NATIONAL GUARD ARMORY,OLD SEALE COURTHOUSE,PITTSVIEW FIRE,PROVISIONAL,ROY MARTIN CENTER,RUSSELL COUNTY COURTHOUSE,SPENCER REC CENTER,TROY UNIVERSITY
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,15,19.0,69.0,18.0,2.0,13.0,1.0,1.0,53.0,3.0,37.0,7.0,10.0,3.0,0.0,48.0,38.0,42.0,22.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,400,522.0,767.0,532.0,77.0,420.0,114.0,537.0,722.0,98.0,598.0,152.0,378.0,221.0,0.0,668.0,498.0,1387.0,562.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,508,350.0,1114.0,165.0,233.0,1126.0,214.0,177.0,899.0,94.0,1512.0,457.0,478.0,105.0,0.0,1904.0,289.0,233.0,383.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,16,18.0,69.0,20.0,2.0,13.0,1.0,1.0,54.0,3.0,41.0,8.0,11.0,4.0,0.0,52.0,34.0,42.0,25.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,398,523.0,785.0,533.0,80.0,427.0,116.0,538.0,725.0,98.0,612.0,149.0,374.0,221.0,0.0,670.0,503.0,1394.0,565.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,507,345.0,1117.0,158.0,227.0,1105.0,211.0,182.0,881.0,95.0,1489.0,446.0,469.0,106.0,0.0,1886.0,286.0,226.0,367.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,14,16.0,67.0,23.0,3.0,13.0,2.0,2.0,48.0,3.0,49.0,12.0,10.0,2.0,0.0,56.0,36.0,41.0,25.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,401,530.0,785.0,537.0,85.0,447.0,118.0,532.0,747.0,97.0,627.0,156.0,384.0,222.0,0.0,684.0,504.0,1402.0,581.0
39,"CIRCUIT COURT JUDGE, 26TH JUDICIAL CIRCUIT, PLACE 1     ",DEM,Michael J. Bellamy                    ,516,716.0,1336.0,660.0,168.0,766.0,172.0,570.0,1113.0,134.0,1207.0,330.0,521.0,242.0,0.0,1401.0,687.0,1559.0,769.0
40,"CIRCUIT COURT JUDGE, 26TH JUDICIAL CIRCUIT, PLACE 1     ",NON,Write-In                              ,11,11.0,53.0,5.0,6.0,33.0,2.0,4.0,57.0,4.0,66.0,10.0,15.0,2.0,0.0,48.0,10.0,11.0,15.0
41,"CIRCUIT COURT JUDGE, 26TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,"CIRCUIT COURT JUDGE, 26TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Under Votes                           ,395,164.0,580.0,53.0,141.0,767.0,157.0,141.0,506.0,57.0,892.0,274.0,327.0,86.0,0.0,1177.0,128.0,99.0,189.0
43,"DISTRICT ATTORNEY, 26TH JUDICIAL CIRCUIT                ",DEM,Kenneth (Kenny) Davis                 ,540,711.0,1385.0,646.0,170.0,825.0,190.0,584.0,1115.0,136.0,1237.0,347.0,526.0,248.0,0.0,1445.0,678.0,1551.0,776.0
44,"DISTRICT ATTORNEY, 26TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,15,14.0,58.0,8.0,8.0,36.0,1.0,4.0,60.0,7.0,78.0,13.0,23.0,2.0,0.0,67.0,12.0,17.0,15.0
45,"DISTRICT ATTORNEY, 26TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,"DISTRICT ATTORNEY, 26TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,367,165.0,523.0,63.0,137.0,705.0,140.0,128.0,499.0,52.0,848.0,254.0,314.0,80.0,0.0,1113.0,136.0,101.0,182.0
47,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,423,548.0,1074.0,348.0,173.0,816.0,189.0,295.0,996.0,111.0,1120.0,334.0,437.0,185.0,0.0,1491.0,445.0,1007.0,632.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,98,123.0,349.0,104.0,64.0,246.0,59.0,64.0,309.0,26.0,447.0,88.0,134.0,47.0,0.0,478.0,128.0,163.0,145.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,401,220.0,545.0,265.0,78.0,504.0,83.0,357.0,373.0,58.0,598.0,191.0,291.0,98.0,0.0,656.0,253.0,499.0,196.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,393,533.0,1074.0,338.0,214.0,912.0,194.0,286.0,1053.0,111.0,1169.0,375.0,460.0,202.0,0.0,1633.0,429.0,975.0,630.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,151,156.0,368.0,113.0,49.0,227.0,63.0,84.0,279.0,33.0,458.0,81.0,143.0,33.0,0.0,428.0,148.0,188.0,171.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,378,201.0,524.0,267.0,52.0,427.0,74.0,346.0,345.0,51.0,538.0,158.0,259.0,95.0,0.0,563.0,249.0,506.0,172.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,271,319.0,760.0,245.0,108.0,563.0,125.0,148.0,653.0,59.0,816.0,244.0,258.0,87.0,0.0,1124.0,330.0,431.0,355.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,190,315.0,552.0,181.0,110.0,403.0,92.0,185.0,582.0,66.0,639.0,137.0,264.0,148.0,0.0,694.0,189.0,690.0,391.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,460,257.0,656.0,292.0,97.0,599.0,114.0,383.0,442.0,70.0,709.0,232.0,341.0,95.0,0.0,808.0,306.0,546.0,225.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,337,518.0,934.0,310.0,140.0,695.0,160.0,246.0,928.0,93.0,1002.0,301.0,372.0,186.0,0.0,1349.0,394.0,911.0,557.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,158,149.0,430.0,126.0,91.0,328.0,64.0,103.0,340.0,37.0,500.0,112.0,189.0,38.0,0.0,538.0,148.0,214.0,199.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,427,224.0,604.0,282.0,84.0,541.0,107.0,366.0,410.0,65.0,662.0,201.0,302.0,106.0,0.0,737.0,282.0,543.0,216.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,294,327.0,808.0,239.0,136.0,600.0,131.0,146.0,655.0,66.0,833.0,257.0,282.0,107.0,0.0,1193.0,319.0,420.0,378.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,168,323.0,528.0,186.0,88.0,377.0,94.0,184.0,582.0,57.0,638.0,135.0,266.0,131.0,0.0,645.0,210.0,691.0,375.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,459,241.0,631.0,293.0,91.0,589.0,106.0,385.0,440.0,72.0,694.0,222.0,315.0,92.0,0.0,787.0,297.0,558.0,220.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,223,273.0,670.0,214.0,86.0,489.0,115.0,133.0,556.0,52.0,689.0,204.0,221.0,72.0,0.0,942.0,280.0,374.0,314.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,202,352.0,609.0,193.0,109.0,424.0,92.0,194.0,642.0,66.0,711.0,152.0,290.0,158.0,0.0,791.0,235.0,722.0,418.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,497,266.0,685.0,308.0,120.0,652.0,124.0,389.0,480.0,77.0,765.0,257.0,351.0,100.0,0.0,891.0,311.0,570.0,241.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,240,303.0,726.0,224.0,94.0,493.0,109.0,123.0,594.0,42.0,752.0,212.0,237.0,74.0,0.0,1007.0,306.0,382.0,347.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,143,294.0,445.0,162.0,66.0,294.0,64.0,157.0,525.0,61.0,509.0,107.0,213.0,140.0,0.0,557.0,181.0,687.0,354.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,539,294.0,795.0,332.0,155.0,779.0,158.0,436.0,559.0,92.0,904.0,294.0,411.0,116.0,0.0,1062.0,339.0,599.0,271.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,381,411.0,1028.0,278.0,170.0,782.0,172.0,201.0,878.0,74.0,1075.0,345.0,372.0,113.0,0.0,1427.0,414.0,476.0,473.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,115,245.0,341.0,142.0,65.0,249.0,65.0,142.0,399.0,51.0,425.0,81.0,190.0,123.0,0.0,462.0,127.0,644.0,290.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,426,234.0,597.0,295.0,80.0,535.0,94.0,373.0,399.0,70.0,665.0,187.0,300.0,94.0,0.0,736.0,285.0,548.0,207.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,224,282.0,694.0,205.0,83.0,454.0,103.0,116.0,547.0,44.0,686.0,184.0,216.0,72.0,0.0,932.0,278.0,364.0,332.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,150,316.0,484.0,183.0,76.0,340.0,70.0,167.0,579.0,58.0,566.0,147.0,234.0,144.0,0.0,607.0,212.0,710.0,372.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,548,293.0,789.0,330.0,156.0,772.0,158.0,433.0,552.0,93.0,912.0,282.0,412.0,114.0,0.0,1086.0,335.0,595.0,267.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,234,436.0,734.0,251.0,103.0,505.0,113.0,208.0,760.0,68.0,795.0,220.0,292.0,142.0,0.0,1069.0,310.0,833.0,512.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,145,159.0,432.0,137.0,61.0,295.0,60.0,73.0,359.0,31.0,471.0,104.0,154.0,53.0,0.0,478.0,172.0,228.0,189.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,542,296.0,802.0,330.0,151.0,766.0,158.0,435.0,558.0,96.0,899.0,289.0,417.0,135.0,0.0,1078.0,344.0,606.0,269.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,269,411.0,805.0,280.0,121.0,518.0,116.0,222.0,749.0,82.0,794.0,256.0,295.0,146.0,0.0,1068.0,317.0,837.0,521.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,187,220.0,500.0,132.0,85.0,404.0,95.0,104.0,460.0,39.0,621.0,123.0,212.0,69.0,0.0,695.0,196.0,278.0,224.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,466,260.0,663.0,306.0,109.0,643.0,120.0,390.0,467.0,73.0,750.0,235.0,355.0,115.0,0.0,862.0,313.0,552.0,225.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,183,365.0,545.0,222.0,62.0,308.0,78.0,188.0,546.0,62.0,543.0,156.0,235.0,131.0,0.0,726.0,239.0,724.0,415.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,202,230.0,657.0,169.0,101.0,499.0,99.0,106.0,582.0,44.0,739.0,178.0,223.0,65.0,0.0,888.0,246.0,366.0,302.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,537,296.0,766.0,326.0,152.0,759.0,154.0,422.0,550.0,89.0,883.0,280.0,405.0,134.0,0.0,1011.0,341.0,579.0,255.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,283,437.0,788.0,266.0,124.0,568.0,163.0,234.0,787.0,92.0,843.0,238.0,348.0,153.0,0.0,1143.0,318.0,875.0,513.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,200,208.0,546.0,151.0,92.0,401.0,65.0,103.0,446.0,33.0,615.0,157.0,176.0,60.0,0.0,683.0,197.0,247.0,234.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,439,246.0,634.0,301.0,98.0,595.0,103.0,378.0,444.0,70.0,707.0,219.0,338.0,117.0,0.0,800.0,310.0,546.0,226.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,261,452.0,802.0,277.0,115.0,607.0,145.0,245.0,775.0,90.0,850.0,242.0,346.0,166.0,0.0,1159.0,315.0,877.0,511.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,178,187.0,494.0,129.0,89.0,347.0,68.0,84.0,418.0,32.0,551.0,140.0,165.0,50.0,0.0,623.0,182.0,241.0,230.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,483,252.0,672.0,312.0,111.0,612.0,118.0,387.0,485.0,72.0,764.0,232.0,352.0,114.0,0.0,844.0,328.0,551.0,232.0
103,"DISTRICT COURT JUDGE, RUSSELL COUNTY, PLACE NO. 1       ",DEM,Zack Collins                          ,491,709.0,1288.0,643.0,160.0,695.0,158.0,567.0,1095.0,124.0,1141.0,313.0,501.0,239.0,0.0,1320.0,664.0,1555.0,753.0
104,"DISTRICT COURT JUDGE, RUSSELL COUNTY, PLACE NO. 1       ",NON,Write-In                              ,10,12.0,59.0,5.0,8.0,40.0,2.0,3.0,57.0,7.0,73.0,9.0,15.0,2.0,0.0,48.0,11.0,12.0,14.0
105,"DISTRICT COURT JUDGE, RUSSELL COUNTY, PLACE NO. 1       ",   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
106,"DISTRICT COURT JUDGE, RUSSELL COUNTY, PLACE NO. 1       ",   ,Under Votes                           ,421,169.0,622.0,70.0,147.0,831.0,171.0,145.0,524.0,64.0,950.0,292.0,347.0,89.0,0.0,1257.0,151.0,101.0,206.0
