,Contest Title,Party,Candidate,ABSENTEE,BOLIGEE FIRE DEPT,BROWN MORROW BRANCH HGTS,CLINTON COMMUNITY CTR,EUTAW ACTIVITY CTR,FORKLAND CITY HALL,GREENE COUNTY COURTHOUSE,JENA FIRE DEPT,KNOXVILLE FIRE DEPT,MANTUA FIRE DEPT,MT HEBRON PRE-SCHOOL,NATIONAL GUARD ARMORY,PROVISIONAL,SOUTH FORK RESTAURANT,TISHABEE COMMUNITY CTR,UNION FIRE DEPT
20,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,22,33.0,26.0,44.0,22.0,127.0,21.0,40.0,33.0,24.0,19.0,206.0,1,7.0,15.0,32.0
22,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,28,64.0,45.0,56.0,44.0,177.0,36.0,45.0,36.0,30.0,19.0,303.0,0,6.0,26.0,45.0
23,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,3,7.0,5.0,2.0,8.0,9.0,1.0,1.0,2.0,2.0,0.0,14.0,1,0.0,4.0,1.0
24,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
25,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,218,259.0,408.0,203.0,436.0,547.0,159.0,63.0,147.0,171.0,240.0,542.0,5,62.0,212.0,209.0
26,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,149,148.0,277.0,198.0,337.0,430.0,112.0,53.0,66.0,131.0,179.0,531.0,5,42.0,209.0,175.0
27,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,11,40.0,15.0,26.0,30.0,72.0,10.0,25.0,21.0,17.0,9.0,114.0,0,6.0,9.0,20.0
28,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
29,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,88,142.0,166.0,37.0,121.0,232.0,74.0,31.0,98.0,55.0,71.0,214.0,1,20.0,24.0,60.0
30,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,133,163.0,276.0,212.0,339.0,471.0,112.0,74.0,84.0,132.0,193.0,561.0,4,52.0,198.0,179.0
31,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,38,35.0,16.0,18.0,24.0,47.0,16.0,9.0,7.0,16.0,10.0,119.0,0,1.0,13.0,15.0
32,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
33,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,79,132.0,166.0,31.0,125.0,215.0,68.0,26.0,94.0,55.0,56.0,179.0,2,15.0,31.0,61.0
34,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,83,134.0,245.0,166.0,292.0,389.0,100.0,48.0,54.0,111.0,157.0,458.0,3,41.0,171.0,168.0
35,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,44,41.0,20.0,40.0,35.0,93.0,20.0,25.0,29.0,21.0,12.0,166.0,1,7.0,11.0,18.0
36,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
37,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,123,155.0,193.0,55.0,161.0,251.0,76.0,36.0,102.0,71.0,90.0,235.0,2,20.0,60.0,69.0
38,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,122,133.0,246.0,183.0,292.0,374.0,99.0,43.0,61.0,116.0,157.0,457.0,3,42.0,164.0,164.0
39,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,22,41.0,28.0,27.0,28.0,86.0,21.0,29.0,24.0,22.0,13.0,163.0,1,8.0,16.0,18.0
40,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
41,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,106,156.0,184.0,51.0,168.0,274.0,76.0,37.0,100.0,65.0,89.0,239.0,2,18.0,62.0,73.0
42,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,115,125.0,245.0,180.0,310.0,377.0,106.0,46.0,58.0,116.0,166.0,474.0,3,44.0,188.0,140.0
43,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,18,54.0,30.0,38.0,35.0,95.0,14.0,27.0,23.0,23.0,17.0,143.0,1,2.0,21.0,49.0
44,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
45,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,117,151.0,183.0,43.0,142.0,259.0,76.0,36.0,104.0,64.0,76.0,242.0,2,22.0,33.0,66.0
46,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,97,108.0,227.0,163.0,290.0,338.0,98.0,48.0,47.0,92.0,143.0,390.0,3,39.0,179.0,115.0
47,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,35,68.0,41.0,57.0,47.0,123.0,19.0,25.0,36.0,48.0,35.0,206.0,1,9.0,30.0,71.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,118,154.0,190.0,41.0,151.0,271.0,79.0,36.0,101.0,63.0,81.0,262.0,2,20.0,33.0,69.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,67,78.0,95.0,74.0,147.0,152.0,45.0,33.0,32.0,62.0,62.0,284.0,4,13.0,77.0,58.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,55,79.0,173.0,133.0,191.0,270.0,67.0,24.0,33.0,66.0,110.0,253.0,0,24.0,129.0,116.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,1,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0,0.0,0.0,0.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,127,173.0,190.0,54.0,148.0,311.0,84.0,52.0,119.0,75.0,84.0,322.0,2,31.0,36.0,81.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,71,114.0,100.0,72.0,137.0,184.0,54.0,29.0,36.0,59.0,55.0,288.0,1,23.0,75.0,50.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,71,68.0,177.0,150.0,213.0,294.0,67.0,44.0,51.0,84.0,128.0,340.0,3,26.0,134.0,137.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,108,148.0,181.0,39.0,136.0,255.0,75.0,36.0,97.0,60.0,75.0,231.0,2,19.0,33.0,68.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,45,77.0,73.0,59.0,94.0,105.0,39.0,29.0,26.0,46.0,41.0,229.0,0,9.0,59.0,56.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,81,82.0,189.0,147.0,236.0,297.0,65.0,28.0,48.0,86.0,133.0,313.0,4,29.0,136.0,112.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,124,171.0,196.0,55.0,157.0,332.0,92.0,52.0,111.0,71.0,84.0,317.0,2,30.0,47.0,87.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,38,65.0,66.0,50.0,84.0,118.0,41.0,32.0,25.0,41.0,40.0,242.0,1,5.0,42.0,48.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,75,84.0,192.0,144.0,216.0,280.0,63.0,25.0,40.0,76.0,123.0,278.0,3,27.0,147.0,101.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,136,181.0,200.0,67.0,187.0,335.0,92.0,52.0,120.0,86.0,96.0,339.0,2,36.0,53.0,106.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,67,84.0,91.0,66.0,129.0,178.0,48.0,38.0,41.0,63.0,82.0,282.0,1,15.0,61.0,74.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,28,55.0,56.0,64.0,78.0,134.0,25.0,25.0,20.0,39.0,28.0,187.0,0,17.0,50.0,35.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,153,191.0,310.0,131.0,281.0,422.0,123.0,46.0,124.0,101.0,149.0,389.0,5,36.0,131.0,146.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,34,66.0,103.0,75.0,140.0,156.0,58.0,30.0,31.0,62.0,91.0,269.0,0,13.0,77.0,79.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,47,60.0,41.0,47.0,70.0,119.0,16.0,26.0,26.0,37.0,26.0,166.0,1,14.0,43.0,21.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,169,204.0,314.0,139.0,278.0,459.0,121.0,53.0,127.0,104.0,142.0,424.0,5,41.0,122.0,155.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,116,124.0,250.0,164.0,293.0,364.0,99.0,43.0,44.0,103.0,143.0,425.0,4,42.0,186.0,136.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,26,59.0,34.0,53.0,54.0,111.0,16.0,24.0,42.0,35.0,35.0,185.0,0,6.0,22.0,44.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,108,147.0,174.0,43.0,141.0,259.0,80.0,42.0,99.0,65.0,81.0,249.0,2,20.0,34.0,75.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,114,150.0,314.0,189.0,326.0,442.0,113.0,48.0,81.0,117.0,168.0,522.0,4,46.0,192.0,172.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,20,38.0,24.0,32.0,29.0,76.0,9.0,28.0,20.0,25.0,13.0,110.0,0,7.0,18.0,17.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,116,141.0,120.0,40.0,133.0,216.0,74.0,33.0,84.0,61.0,77.0,227.0,2,15.0,32.0,66.0
82,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 1      ,REP,"Michael F. ""Mike"" Bolin               ",27,63.0,44.0,57.0,40.0,179.0,39.0,50.0,36.0,30.0,20.0,305.0,0,7.0,25.0,46.0
83,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 1      ,NON,Write-In                              ,3,10.0,4.0,2.0,11.0,9.0,2.0,1.0,3.0,2.0,1.0,12.0,0,0.0,3.0,1.0
84,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 1      ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
85,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 1      ,   ,Under Votes                           ,219,257.0,410.0,202.0,437.0,546.0,155.0,58.0,146.0,171.0,238.0,542.0,6,61.0,214.0,208.0
86,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 2      ,REP,Kelli Wise                            ,28,60.0,39.0,55.0,41.0,171.0,38.0,48.0,35.0,31.0,19.0,300.0,0,5.0,25.0,45.0
87,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 2      ,NON,Write-In                              ,2,9.0,6.0,2.0,10.0,8.0,1.0,0.0,3.0,1.0,1.0,12.0,0,0.0,3.0,1.0
88,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 2      ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
89,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 2      ,   ,Under Votes                           ,219,261.0,413.0,204.0,437.0,555.0,157.0,61.0,147.0,171.0,239.0,547.0,6,63.0,214.0,209.0
90,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 3      ,REP,Tom Parker                            ,28,59.0,40.0,58.0,43.0,176.0,35.0,49.0,36.0,31.0,20.0,303.0,0,5.0,24.0,47.0
91,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 3      ,NON,Write-In                              ,3,9.0,6.0,2.0,10.0,7.0,1.0,0.0,2.0,1.0,0.0,11.0,0,0.0,4.0,1.0
92,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 3      ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
93,ASSOCIATE JUSTICE OF THE SUPREME COURT PLACE NO. 3      ,   ,Under Votes                           ,218,262.0,412.0,201.0,435.0,551.0,160.0,60.0,147.0,171.0,239.0,545.0,6,63.0,214.0,207.0
94,DISTRICT ATTORNEY 17TH JUDICIAL CIRCUIT                 ,DEM,Gregory S. Griggers                   ,226,291.0,424.0,210.0,459.0,608.0,175.0,62.0,155.0,180.0,242.0,681.0,4,65.0,227.0,219.0
95,DISTRICT ATTORNEY 17TH JUDICIAL CIRCUIT                 ,NON,Write-In                              ,2,5.0,3.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0,0.0,1.0,4.0
96,DISTRICT ATTORNEY 17TH JUDICIAL CIRCUIT                 ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
97,DISTRICT ATTORNEY 17TH JUDICIAL CIRCUIT                 ,   ,Under Votes                           ,21,34.0,31.0,48.0,25.0,121.0,21.0,46.0,30.0,23.0,17.0,172.0,2,3.0,14.0,32.0
98,"MEMBER, GREENE COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",DEM,Carol Prejean Zippert                 ,38,,,,,,174.0,60.0,147.0,177.0,,,0,,,215.0
99,"MEMBER, GREENE COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",NON,Write-In                              ,1,,,,,,0.0,1.0,0.0,1.0,,,0,,,6.0
100,"MEMBER, GREENE COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",   ,Over Votes                            ,0,,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0
101,"MEMBER, GREENE COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",   ,Under Votes                           ,4,,,,,,22.0,48.0,38.0,25.0,,,0,,,34.0
102,"MEMBER, GREENE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2",DEM,Kashaya Cockrell                      ,49,,,,,,,,,,,554.0,0,58.0,,
103,"MEMBER, GREENE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2",NON,Write-In                              ,0,,,,,,,,,,,115.0,0,1.0,,
104,"MEMBER, GREENE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2",   ,Over Votes                            ,0,,,,,,,,,,,1.0,0,0.0,,
105,"MEMBER, GREENE COUNTY BOARD OF EDUCATION, DISTRICT NO. 2",   ,Under Votes                           ,7,,,,,,,,,,,189.0,0,9.0,,
