,Contest Title,Party,Candidate,ABSENTEE,ANDALUSIA KIWANIS FAIR BD,BABBIE  FIRE,BEULAH VOTING HOUSE,BLUE SPRINGS HORN HILL,BUCK CREEK FIRE,CAROLINA CITY HALL,FLORALA OLD NATL GUARD,GANTT CITY HALL,HARMONY,HEATH CITY HALL,HOPEWELL,LIBERTYVILLE CITY HALL,LOANGO FIRE DEPARTMENT,LOCKHART CITY HALL,MARVIN ODOMS PLACE,OPP SENIOR ACTIVITY CTR,PLEASANT HOME/CATOE'S,PROVSIONAL,RED LEVEL FIRE DEPARTMENT,RED OAK,RIVER FALLS CITY HALL,ROSE HILL COMMUNITY CTR,SANFORD CITY HALL,STRAUGHN (AG BUILDING),UNION GROVE FIRE,WING FIRE DEPARTMENT
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,6,22,2,1,1,0,0,0,3,1,3,3,0,1,5,0,9,0,1,1,1,1,3,1,1,0,1
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,2,16,1,1,1,0,0,8,0,2,1,0,0,1,2,0,13,0,0,1,0,3,1,3,1,0,0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,0,11,0,0,2,0,1,2,3,0,2,0,0,3,1,0,6,0,0,1,0,0,3,2,0,2,0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,97,1071,49,27,26,30,25,162,111,20,44,15,22,35,73,19,505,9,8,42,24,127,44,36,51,38,30
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,614,2725,406,244,313,311,435,641,472,300,369,211,207,206,308,105,2219,116,46,347,204,223,293,433,527,254,161
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,1,7,1,0,1,0,0,2,0,0,2,0,1,1,0,3,7,2,0,1,2,0,0,1,1,3,0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,20,104,13,12,12,22,16,29,16,20,15,10,21,17,7,5,121,5,0,15,15,10,8,17,14,9,4
18,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",DEM,Nathan Mathis                         ,132,1271,62,42,55,81,67,206,137,50,72,31,40,59,104,22,708,18,9,72,41,148,76,66,96,60,34
19,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",REP,Martha Roby                           ,539,2115,263,161,221,208,337,547,377,230,280,176,163,155,255,77,1461,92,41,270,159,176,217,319,380,169,152
20,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",NON,Write-In                              ,31,338,107,54,54,45,49,38,52,45,53,11,23,27,17,26,474,17,5,39,25,21,30,78,86,60,4
21,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,7,0,0,0,0,0,1,0,0,2,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0
22,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Under Votes                           ,31,179,37,26,22,29,23,42,33,15,24,18,25,17,12,7,205,5,0,25,20,16,22,24,31,15,5
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",595,2606,372,227,287,275,384,618,458,282,336,196,192,185,292,100,2028,98,45,319,182,217,265,404,476,234,161
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,2,48,1,0,2,1,5,6,2,0,1,0,0,4,2,2,20,2,0,2,0,3,8,1,4,0,3
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,133,1255,95,56,63,87,87,210,139,58,94,40,60,70,94,30,805,32,0,85,63,141,72,82,113,70,31
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,590,2597,371,231,283,276,391,613,453,284,332,195,195,183,287,100,2030,99,45,319,179,215,272,403,471,236,162
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,2,45,1,1,2,1,0,6,2,0,1,1,0,4,2,2,21,1,0,1,0,2,2,1,2,0,3
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,139,1266,96,51,67,86,85,215,144,56,98,40,57,72,99,30,804,32,0,86,66,144,71,83,120,68,30
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,587,2601,372,231,279,274,388,609,451,283,334,196,194,186,287,99,2009,103,44,315,178,216,269,406,470,237,162
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,1,44,1,1,2,1,0,7,2,1,1,0,1,4,2,2,20,0,0,1,0,2,2,2,1,0,3
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,143,1265,96,51,71,88,88,217,146,56,96,40,57,69,99,31,826,29,0,90,67,143,74,79,122,67,30
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,596,2639,378,236,280,289,399,609,457,290,330,195,198,191,288,103,2060,103,44,323,180,215,273,408,480,245,161
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,2,52,1,0,4,2,0,9,5,1,1,0,1,5,3,2,18,1,0,2,1,4,1,4,2,0,3
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,133,1217,90,47,68,72,76,215,137,49,100,41,53,63,97,27,776,28,0,81,64,141,71,75,111,59,31
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,REP,Jackie Zeigler                        ,586,2592,363,224,276,269,382,594,441,283,331,193,193,189,285,100,1985,98,43,318,174,211,263,401,465,231,161
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,NON,Write-In                              ,0,41,1,0,3,3,0,7,2,0,1,0,1,5,2,2,13,1,0,1,0,2,1,1,1,1,3
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,   ,Under Votes                           ,145,1277,105,59,73,91,94,233,156,57,99,43,58,65,101,30,856,33,0,87,71,148,81,85,127,72,31
43,"CIRCUIT COURT JUDGE, 22ND JUDICIAL CIRCUIT, PLACE 2     ",REP,Benjamin M. Bowden                    ,611,2733,376,236,295,286,403,612,468,293,345,198,204,200,288,103,2109,101,44,330,186,223,277,412,496,247,162
44,"CIRCUIT COURT JUDGE, 22ND JUDICIAL CIRCUIT, PLACE 2     ",NON,Write-In                              ,1,55,1,0,3,1,0,8,3,2,1,1,2,4,6,2,16,2,0,0,0,2,2,2,4,1,3
45,"CIRCUIT COURT JUDGE, 22ND JUDICIAL CIRCUIT, PLACE 2     ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,"CIRCUIT COURT JUDGE, 22ND JUDICIAL CIRCUIT, PLACE 2     ",   ,Under Votes                           ,119,1122,92,47,54,76,73,214,128,45,85,36,45,55,94,27,730,29,0,76,59,135,66,73,93,56,30
47,"DISTRICT ATTORNEY, 22ND JUDICIAL CIRCUIT                ",REP,Walt Merrell                          ,609,2727,384,241,289,285,405,622,479,291,349,200,204,203,289,104,2130,105,45,334,183,233,285,418,502,252,162
48,"DISTRICT ATTORNEY, 22ND JUDICIAL CIRCUIT                ",NON,Write-In                              ,0,54,3,0,4,0,2,12,6,1,2,2,1,5,3,2,24,1,0,1,4,3,1,3,1,0,2
49,"DISTRICT ATTORNEY, 22ND JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,"DISTRICT ATTORNEY, 22ND JUDICIAL CIRCUIT                ",   ,Under Votes                           ,122,1129,82,42,59,78,69,200,114,48,80,34,47,50,95,26,701,26,0,71,58,125,59,66,90,52,31
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,351,2162,214,122,157,182,211,444,320,190,207,116,103,109,197,64,1404,60,30,193,110,189,188,238,304,186,102
52,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,119,622,97,32,70,61,67,115,113,50,60,40,43,47,84,20,378,24,3,85,35,52,61,83,96,50,29
53,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,262,1126,157,129,125,120,198,275,166,100,164,80,106,103,107,48,1071,48,0,128,100,120,96,166,192,68,64
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,424,2395,318,172,241,213,260,494,389,226,257,145,141,159,246,82,1972,65,32,230,150,210,244,301,374,230,115
56,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,112,669,65,36,43,62,76,111,113,59,58,40,41,40,63,27,279,33,7,95,38,58,44,79,93,45,30
57,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,196,843,85,75,68,88,139,229,97,54,116,51,70,60,78,23,600,34,0,81,57,93,56,107,126,29,49
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,264,1565,190,97,124,129,156,309,234,151,167,80,90,87,145,48,1068,33,21,153,83,115,145,195,237,119,59
60,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,166,1039,107,49,84,82,110,208,167,87,89,59,51,60,112,36,594,37,12,118,57,113,93,101,131,98,62
61,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,301,1304,172,137,144,152,210,317,198,101,175,97,111,112,130,48,1192,62,0,135,105,133,107,191,224,87,74
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,339,2009,219,113,142,148,180,394,299,180,197,99,89,122,179,61,1288,39,24,182,101,160,175,208,281,147,80
64,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,128,725,96,44,70,75,103,150,135,73,67,51,59,34,88,31,454,36,8,98,46,75,73,108,110,82,54
65,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,265,1174,153,126,140,140,193,290,165,87,166,86,104,103,121,40,1112,57,0,126,98,126,96,171,202,75,61
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,257,1584,197,103,118,129,175,322,244,157,178,100,83,91,124,42,1124,53,19,154,82,113,154,182,215,131,81
68,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,182,1010,109,45,97,86,87,199,159,89,76,41,52,61,129,38,539,24,12,116,55,110,85,112,149,86,42
69,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,293,1312,163,135,137,148,214,313,196,94,177,95,117,107,134,52,1191,55,0,136,108,138,106,193,228,87,72
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,191,1339,150,94,118,115,138,271,214,142,166,73,80,86,114,40,1003,41,15,142,69,93,129,176,184,105,59
72,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,225,1163,128,47,84,92,100,221,178,85,76,52,53,58,124,39,574,31,14,123,58,121,101,115,163,95,52
73,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,316,1408,191,142,150,156,238,342,207,112,189,111,119,115,150,53,1277,60,0,141,118,147,115,196,246,104,84
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,177,1008,107,58,67,78,113,278,149,94,97,43,52,71,107,27,733,31,17,92,36,85,81,119,121,82,51
76,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,104,829,67,37,59,64,55,159,129,61,47,23,37,46,82,27,369,17,9,94,40,88,50,74,82,64,35
77,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,450,2072,295,188,226,221,308,396,321,185,287,170,163,142,199,78,1752,84,0,220,169,188,214,294,390,158,108
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,399,1925,251,116,150,165,216,424,318,196,208,117,109,118,176,64,1383,59,26,199,119,150,202,242,296,176,101
80,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,87,780,74,37,69,64,58,126,106,56,52,24,34,41,87,29,392,22,9,75,30,85,50,74,83,59,33
81,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,1,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,5,0,0,0,1,1,1,0,0,0,0
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,245,1204,144,129,133,134,202,283,175,88,168,95,109,100,125,39,1075,51,0,132,95,125,92,171,214,69,61
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,169,945,95,61,67,76,96,252,148,78,91,48,42,59,95,22,652,25,18,86,39,80,76,109,102,70,52
84,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,115,892,86,32,66,62,76,174,132,75,58,24,47,58,88,28,428,20,8,99,38,93,56,80,100,71,32
85,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,448,2071,288,190,219,225,304,408,319,187,281,164,163,142,205,82,1773,87,0,221,168,188,213,297,391,163,111
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,191,1298,113,66,70,94,118,292,178,102,98,55,49,68,113,31,794,34,18,96,44,110,95,126,120,83,65
88,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,97,533,75,29,62,43,52,138,101,63,48,21,36,47,70,21,295,15,8,90,31,57,38,61,80,58,29
89,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,444,2079,281,188,220,226,306,404,320,175,285,160,167,144,205,80,1766,83,0,220,170,193,211,300,393,163,101
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,248,1601,165,71,90,104,131,324,225,134,146,67,78,71,136,45,1033,39,21,139,69,126,137,152,187,98,66
92,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,165,870,116,61,104,98,114,158,167,95,96,57,63,80,104,33,531,33,12,111,59,88,91,131,159,104,50
93,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,319,1437,188,150,158,161,230,352,207,111,189,112,111,108,148,54,1288,60,0,156,117,147,117,204,247,102,79
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,124,1080,86,47,56,62,80,208,152,82,94,46,32,55,80,20,604,26,10,69,42,99,58,106,107,68,53
96,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,181,849,105,45,78,86,94,217,151,87,82,34,65,62,105,38,565,21,18,134,41,87,76,103,126,83,42
97,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,427,1981,278,191,218,215,302,409,296,171,254,156,155,142,203,74,1685,85,0,203,162,175,211,278,360,152,100
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,232,1586,166,83,100,110,140,326,228,130,150,83,77,87,157,43,1009,41,17,128,68,145,153,159,195,119,86
100,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,206,996,129,52,110,102,116,181,182,110,95,47,60,61,103,39,624,34,14,133,66,77,84,133,175,96,39
101,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,2,2,0,0,0,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,292,1326,174,148,142,151,220,325,188,99,186,106,115,110,128,50,1221,57,0,145,111,139,108,195,223,89,70
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,246,1849,202,117,129,149,167,350,269,171,186,97,95,99,145,51,1285,54,21,172,95,150,179,207,263,143,100
104,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,163,722,96,40,81,68,85,155,137,79,65,43,48,55,101,32,413,20,12,92,46,77,59,90,101,73,29
105,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,323,1339,171,126,142,146,224,329,193,90,180,96,109,105,142,49,1156,58,0,141,104,134,107,190,229,88,66
107,"DISTRICT COURT JUDGE, COVINGTON COUNTY, PLACE NO. 1     ",REP,Julie S. Moody                        ,599,2654,382,231,285,274,385,604,452,287,335,195,197,187,282,99,2117,99,44,321,177,219,259,404,475,244,159
108,"DISTRICT COURT JUDGE, COVINGTON COUNTY, PLACE NO. 1     ",NON,Write-In                              ,1,40,2,0,2,0,1,7,2,1,2,0,1,6,2,1,16,0,0,2,0,3,5,2,1,1,3
109,"DISTRICT COURT JUDGE, COVINGTON COUNTY, PLACE NO. 1     ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"DISTRICT COURT JUDGE, COVINGTON COUNTY, PLACE NO. 1     ",   ,Under Votes                           ,131,1216,85,52,65,89,90,223,145,52,94,41,54,66,104,32,722,33,0,83,68,139,81,81,117,59,33
111,"CHAIRMAN, COVINGTON COUNTY  COMMISSION                  ",REP,Greg White                            ,600,2664,370,223,285,268,393,602,450,288,344,186,190,191,284,103,2072,96,45,318,175,223,278,406,480,244,154
112,"CHAIRMAN, COVINGTON COUNTY  COMMISSION                  ",NON,Write-In                              ,5,54,5,0,2,3,0,9,4,0,2,2,2,4,4,1,17,2,0,2,2,3,1,2,3,1,3
113,"CHAIRMAN, COVINGTON COUNTY  COMMISSION                  ",   ,Over Votes                            ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"CHAIRMAN, COVINGTON COUNTY  COMMISSION                  ",   ,Under Votes                           ,127,1190,94,60,65,92,83,223,145,52,85,48,60,64,100,28,766,34,0,86,68,135,66,79,110,59,38
115,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 1     ",REP,Kenneth Northey                       ,599,2562,375,231,293,267,378,596,444,283,330,190,195,184,282,97,2081,98,44,316,170,207,262,401,467,242,157
116,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 1     ",NON,Write-In                              ,0,46,5,0,3,1,0,8,2,0,1,0,1,4,3,1,18,0,0,1,0,4,2,1,1,1,3
117,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 1     ",   ,Over Votes                            ,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 1     ",   ,Under Votes                           ,133,1300,88,52,56,95,98,230,153,57,100,45,56,71,103,34,756,34,0,89,75,150,81,85,125,61,35
119,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 2     ",REP,Joe Barton                            ,595,2599,365,225,274,268,383,596,450,282,338,196,197,187,287,99,1998,98,43,320,169,214,270,397,487,239,159
120,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 2     ",NON,Write-In                              ,1,54,1,0,2,1,0,8,4,1,3,0,3,5,3,2,17,0,0,1,1,4,1,2,1,0,2
121,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 2     ",   ,Over Votes                            ,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 2     ",   ,Under Votes                           ,136,1254,103,58,76,94,93,230,145,57,90,40,52,67,98,31,840,34,0,85,75,143,74,88,105,65,34
123,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 3     ",REP,Tony Holmes                           ,592,2588,357,227,279,264,382,606,443,283,340,193,197,180,285,98,1980,101,45,318,179,219,264,396,471,235,158
124,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 3     ",NON,Write-In                              ,1,47,2,0,3,0,0,6,4,0,1,0,2,4,5,1,14,0,0,1,2,2,2,1,1,0,2
125,"MEMBER, COVINGTON COUNTY COMMISSION, DISTRICT NO. 3     ",   ,Over Votes                            ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
