,Contest Title,Party,Candidate,ABERFOIL,ABSENTEE,CORINTH,CORNERSTONE,FITZPATRICK,GUERRYTON/SEHOY PLANT RD,INDIAN CREEK,INVERNESS,MIDWAY,PEACHBURG,PEROTE,POST OAK,PROVISIONAL,SARDIS,THOMPSON,THREE NOTCH US HWY 82 E,UNION SPRINGS ARMORY
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,94,86,16,67,66,43,44,25,262,44,40,67,0.0,42,39,46,1100
100,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,20,16,10,49,86,8,21,25,45,16,30,60,0.0,13,21,16,217
101,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,2
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,93,221,26,156,73,25,48,46,176,43,55,145,0.0,70,47,70,710
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,89,90,25,89,90,48,54,38,272,51,53,99,0.0,40,45,58,1165
104,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,23,13,6,35,68,8,15,14,38,17,18,43,0.0,18,15,12,180
105,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0,0,0,2
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,95,220,21,148,67,20,44,44,173,35,54,129,0.0,67,47,62,682
107,"DISTRICT COURT JUDGE, BULLOCK COUNTY, PLACE NO. 1       ",DEM,Cooper Rutland                        ,156,283,32,226,149,71,87,68,446,85,80,148,0.0,109,94,116,1790
108,"DISTRICT COURT JUDGE, BULLOCK COUNTY, PLACE NO. 1       ",NON,Write-In                              ,0,2,1,1,4,0,1,1,1,0,0,10,0.0,0,0,0,11
109,"DISTRICT COURT JUDGE, BULLOCK COUNTY, PLACE NO. 1       ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,2
110,"DISTRICT COURT JUDGE, BULLOCK COUNTY, PLACE NO. 1       ",   ,Under Votes                           ,51,38,19,45,72,5,25,27,36,18,45,114,0.0,16,13,16,226
111,"MEMBER, BULLOCK COUNTY COMMISSION, DISTRICT NO. 1       ",DEM,Don C. Larkins                        ,162,281,23,212,119,73,87,60,443,85,72,125,0.0,107,91,117,1780
112,"MEMBER, BULLOCK COUNTY COMMISSION, DISTRICT NO. 1       ",NON,Write-In                              ,0,1,1,2,3,0,0,1,4,0,0,9,0.0,0,0,1,9
113,"MEMBER, BULLOCK COUNTY COMMISSION, DISTRICT NO. 1       ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0
114,"MEMBER, BULLOCK COUNTY COMMISSION, DISTRICT NO. 1       ",   ,Under Votes                           ,45,41,28,58,103,3,26,35,36,18,53,138,0.0,18,16,14,240
115,"MEMBER, BULLOCK COUNTY COMMISSION, DISTRICT NO. 3       ",DEM,John McGowan                          ,133,255,15,192,79,71,70,45,436,77,46,90,0.0,101,80,110,1659
116,"MEMBER, BULLOCK COUNTY COMMISSION, DISTRICT NO. 3       ",IND,Gordon (Frankie) High                 ,56,49,29,54,89,2,39,45,34,18,69,135,0.0,18,22,15,299
117,"MEMBER, BULLOCK COUNTY COMMISSION, DISTRICT NO. 3       ",NON,Write-In                              ,0,1,0,0,2,0,0,0,0,0,0,1,0.0,0,0,0,1
118,"MEMBER, BULLOCK COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Over Votes                            ,0,0,1,2,0,0,0,0,2,0,0,0,0.0,0,0,0,3
119,"MEMBER, BULLOCK COUNTY COMMISSION, DISTRICT NO. 3       ",   ,Under Votes                           ,18,18,7,24,55,3,4,6,12,8,10,46,0.0,6,5,7,67
120,"MEMBER, BULLOCK COUNTY BOARD OF EDUCATION, PLACE NO.4   ",DEM,Scherrie D. Banks                     ,160,275,21,200,108,72,81,56,450,81,69,121,0.0,103,83,111,1756
121,"MEMBER, BULLOCK COUNTY BOARD OF EDUCATION, PLACE NO.4   ",NON,Write-In                              ,0,1,2,2,1,0,0,1,1,0,0,4,0.0,0,0,0,6
122,"MEMBER, BULLOCK COUNTY BOARD OF EDUCATION, PLACE NO.4   ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1
123,"MEMBER, BULLOCK COUNTY BOARD OF EDUCATION, PLACE NO.4   ",   ,Under Votes                           ,47,47,29,70,116,4,32,39,33,22,56,147,0.0,22,24,21,266
124,"MEMBER, BULLOCK COUNTY BOARD OF EDUCATION, PLACE NO. 5  ",DEM,Gary Coleman                          ,156,274,25,204,112,72,80,64,444,79,68,124,0.0,103,85,108,1773
125,"MEMBER, BULLOCK COUNTY BOARD OF EDUCATION, PLACE NO. 5  ",NON,Write-In                              ,1,1,2,3,2,0,0,1,3,0,0,4,0.0,0,0,0,6
126,"MEMBER, BULLOCK COUNTY BOARD OF EDUCATION, PLACE NO. 5  ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
127,"MEMBER, BULLOCK COUNTY BOARD OF EDUCATION, PLACE NO. 5  ",   ,Under Votes                           ,50,48,25,65,111,4,33,31,37,24,57,144,0.0,22,22,24,250
