,Contest Title,Party,Candidate,ABSENTEE,ANTIOCH BAPTIST CHURCH,B_ N_ MABRA CENTER,BEMISTON RECREATION CTR,BERNEYS STATION VFD,BETHEL BAPTIST CHURCH,BON AIR CITY HALL,BRECON REC_ CENTER,COUNTY LINE VFD,EASTABOGA COMM_ CENTER,FAYETTEVILLE VFD,IRONATON VFD,J_ CRAIG SMITH COMM_ CTR,KINGSTON BAPTIST CHURCH,LAY LAKE VOL_ FIRE DEPT,LINCOLN OLD HIGH SCH GYM,MUNFORD OLD HIGH SCH GYM,OAK GROVE CITY HALL,PROVISIONAL,R_ S_ LIMBAUGH COMM_ CTR,RENFROE VFD,SPRING STREET COMM_ CTR,ST_ ANDREWS METHODIST CH,STEMLEY VFD,SYCAMORE NUTRITION CTR,TALLADEGA CO_ CENTRAL HS,WALDO CITY HALL,WINTERBORO VFD
47,"DISTRICT ATTORNEY, 29TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,506,1356.0,197.0,137.0,72.0,92.0,109.0,401.0,268.0,339.0,394.0,315.0,2094.0,63.0,370.0,1275.0,623.0,509.0,0,1009.0,472.0,905.0,360.0,596.0,184.0,67.0,249.0,457.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,496,1397.0,1778.0,169.0,221.0,292.0,239.0,795.0,196.0,374.0,381.0,374.0,3312.0,173.0,287.0,1380.0,762.0,714.0,18,1461.0,494.0,1154.0,391.0,718.0,242.0,222.0,174.0,726.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,206,582.0,157.0,75.0,57.0,74.0,97.0,248.0,101.0,123.0,177.0,169.0,1178.0,45.0,139.0,676.0,325.0,286.0,11,627.0,218.0,507.0,178.0,269.0,105.0,42.0,89.0,272.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,3.0,0.0,0.0,0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,327,591.0,315.0,100.0,59.0,255.0,97.0,327.0,127.0,194.0,173.0,145.0,1124.0,115.0,143.0,596.0,386.0,248.0,0,539.0,229.0,477.0,165.0,314.0,90.0,73.0,112.0,277.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,585,1783.0,1741.0,209.0,222.0,293.0,268.0,889.0,256.0,434.0,458.0,468.0,3623.0,189.0,381.0,1686.0,945.0,823.0,28,1648.0,591.0,1398.0,500.0,828.0,254.0,229.0,221.0,831.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,183,422.0,226.0,78.0,68.0,85.0,96.0,236.0,80.0,121.0,174.0,141.0,1186.0,45.0,102.0,534.0,278.0,251.0,5,573.0,200.0,437.0,125.0,244.0,119.0,41.0,79.0,237.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,261,365.0,282.0,56.0,48.0,244.0,70.0,244.0,88.0,136.0,99.0,80.0,808.0,99.0,87.0,431.0,250.0,174.0,0,406.0,150.0,301.0,109.0,230.0,64.0,67.0,74.0,207.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,377,1202.0,537.0,150.0,125.0,181.0,161.0,519.0,169.0,296.0,272.0,301.0,2462.0,113.0,233.0,1041.0,543.0,497.0,17,1106.0,432.0,978.0,285.0,522.0,176.0,99.0,136.0,489.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,287,679.0,1325.0,84.0,130.0,156.0,164.0,484.0,109.0,183.0,243.0,208.0,1747.0,96.0,154.0,896.0,499.0,450.0,12,860.0,241.0,604.0,245.0,422.0,153.0,150.0,115.0,461.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,2.0,12.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,365,688.0,379.0,110.0,82.0,285.0,106.0,363.0,146.0,212.0,216.0,180.0,1403.0,124.0,182.0,718.0,431.0,300.0,0,662.0,268.0,556.0,204.0,358.0,108.0,87.0,124.0,325.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,493,1454.0,1639.0,167.0,198.0,279.0,240.0,804.0,193.0,345.0,346.0,364.0,3181.0,176.0,290.0,1296.0,734.0,684.0,15,1399.0,504.0,1158.0,378.0,709.0,217.0,209.0,161.0,693.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,214,521.0,237.0,74.0,72.0,73.0,93.0,228.0,92.0,150.0,187.0,166.0,1167.0,36.0,116.0,706.0,353.0,294.0,15,634.0,198.0,457.0,182.0,273.0,119.0,43.0,91.0,275.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,1,1.0,11.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,321,595.0,366.0,103.0,67.0,270.0,100.0,336.0,139.0,196.0,198.0,159.0,1268.0,121.0,163.0,651.0,386.0,270.0,0,595.0,239.0,520.0,174.0,320.0,101.0,85.0,123.0,307.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,422,1188.0,484.0,137.0,140.0,162.0,129.0,488.0,153.0,284.0,275.0,277.0,2326.0,90.0,238.0,1040.0,575.0,484.0,12,1031.0,376.0,910.0,306.0,535.0,171.0,85.0,126.0,491.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,258,726.0,1405.0,99.0,134.0,178.0,193.0,515.0,123.0,197.0,237.0,234.0,1925.0,114.0,161.0,920.0,462.0,456.0,17,953.0,304.0,682.0,236.0,422.0,160.0,169.0,116.0,466.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,1,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,348,654.0,359.0,108.0,64.0,281.0,111.0,367.0,148.0,210.0,219.0,177.0,1365.0,129.0,171.0,693.0,436.0,307.0,0,642.0,260.0,545.0,192.0,344.0,106.0,83.0,133.0,317.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,341,1064.0,436.0,126.0,120.0,140.0,145.0,448.0,149.0,253.0,241.0,264.0,1982.0,74.0,225.0,971.0,524.0,418.0,12,927.0,345.0,822.0,265.0,499.0,168.0,87.0,136.0,405.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,288,769.0,1427.0,101.0,137.0,193.0,171.0,525.0,123.0,195.0,251.0,229.0,2116.0,127.0,158.0,915.0,474.0,494.0,14,1005.0,289.0,680.0,255.0,432.0,154.0,160.0,103.0,516.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,1,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,399,737.0,385.0,117.0,81.0,288.0,115.0,397.0,152.0,243.0,239.0,196.0,1521.0,132.0,187.0,769.0,475.0,335.0,0,697.0,307.0,637.0,214.0,371.0,115.0,90.0,136.0,354.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,333,1051.0,380.0,129.0,105.0,143.0,131.0,442.0,142.0,245.0,241.0,250.0,1989.0,83.0,182.0,910.0,474.0,420.0,15,932.0,328.0,775.0,254.0,442.0,126.0,78.0,112.0,383.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,179,537.0,1441.0,60.0,126.0,154.0,152.0,443.0,82.0,137.0,165.0,165.0,1437.0,102.0,102.0,729.0,359.0,344.0,13,715.0,194.0,508.0,174.0,328.0,132.0,153.0,90.0,393.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,1,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,516,983.0,429.0,155.0,107.0,324.0,148.0,483.0,200.0,309.0,325.0,274.0,2192.0,148.0,286.0,1014.0,640.0,484.0,0,981.0,419.0,854.0,306.0,532.0,179.0,106.0,173.0,499.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,521,1501.0,476.0,193.0,147.0,221.0,201.0,627.0,210.0,351.0,395.0,403.0,3006.0,125.0,329.0,1395.0,747.0,649.0,17,1339.0,510.0,1168.0,414.0,692.0,238.0,105.0,186.0,606.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,189,499.0,1412.0,55.0,125.0,135.0,128.0,412.0,76.0,145.0,163.0,143.0,1450.0,92.0,93.0,632.0,350.0,347.0,10,702.0,191.0,486.0,164.0,290.0,114.0,148.0,68.0,379.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,319,570.0,358.0,96.0,66.0,266.0,103.0,331.0,138.0,194.0,173.0,143.0,1161.0,116.0,148.0,626.0,376.0,252.0,0,585.0,240.0,481.0,156.0,320.0,85.0,84.0,121.0,290.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,274,860.0,378.0,102.0,88.0,134.0,108.0,393.0,109.0,206.0,171.0,184.0,1680.0,68.0,160.0,804.0,416.0,344.0,10,809.0,257.0,651.0,214.0,376.0,116.0,69.0,97.0,333.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,240,730.0,1442.0,83.0,143.0,167.0,178.0,494.0,112.0,174.0,241.0,222.0,1802.0,112.0,129.0,831.0,405.0,422.0,17,858.0,266.0,650.0,217.0,393.0,150.0,160.0,98.0,452.0
