,Contest Title,Party,Candidate,A/C HOUS AUTH Y&A SERVICE,ABSENTEE 1-40,ABSENTEE 41-56,ALEX CITY FIRE LAKE HILL,ALEX CITY NATIONAL GUARD,COOPER COMMUNITY CENTER,DADEVILLE REC_ CENTER,DAVISTON COMMUNITY CENTER,DUNCAN MEMORIAL COMM_CTR_,EAGLE CREEK VOTING HOUSE,FELLOWSHIP BAPTIST COMM_,HACKNEYVILLE COMMUNITY CT,HILLABEE BAPTIST CHURCH,JACKSONS GAP V_F_D_,MANOY VOTING HOUSE,MARY'S CROSS ROADS V HOUS,MONCRIEF,MT_ LOVELY BAPTIST CHURCH,NEW PACES PT_ V_F_D_,NEW SITE TOWN HALL,OURTOWN V_F_D_,PENTECOST UNITED METH_ CH,PROVISIONAL 1-40,PROVISIONAL 41-56,REELTOWN FIRE DEPT_,ROCKY CREEK BAPTIST CH,SARDIS COMMUNITY BUILDING,TALLASSEE CITY HALL,UNION COMMUNITY BUILDING,WALL STREET COMM_ CENTER
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,1.0,7.0,0.0,1.0,12.0,4.0,4.0,1.0,3.0,0.0,0.0,3.0,5.0,4.0,10.0,0.0,1.0,1.0,10.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,1.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0.0,2.0,0.0,1.0,14.0,5.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,0.0,5.0,0.0,7.0,6.0,7.0,6.0,0.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,5.0,5.0,7.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,422.0,179.0,40.0,157.0,401.0,1043.0,661.0,53.0,189.0,32.0,19.0,61.0,63.0,221.0,108.0,132.0,43.0,697.0,187.0,84.0,92.0,35.0,26.0,0.0,147.0,52.0,95.0,118.0,72.0,375.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,336.0,523.0,62.0,754.0,1325.0,459.0,775.0,195.0,462.0,215.0,107.0,618.0,553.0,927.0,714.0,104.0,192.0,85.0,887.0,527.0,624.0,92.0,47.0,0.0,893.0,351.0,181.0,545.0,570.0,278.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,9.0,26.0,4.0,17.0,41.0,27.0,32.0,5.0,11.0,12.0,5.0,21.0,15.0,18.0,13.0,2.0,7.0,13.0,19.0,15.0,14.0,3.0,0.0,0.0,14.0,10.0,8.0,7.0,8.0,7.0
18,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",DEM,Jesse Smith                           ,417.0,175.0,38.0,141.0,381.0,1036.0,649.0,48.0,182.0,30.0,18.0,44.0,60.0,196.0,89.0,127.0,30.0,699.0,174.0,88.0,92.0,33.0,25.0,0.0,152.0,50.0,95.0,106.0,67.0,371.0
19,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",REP,Mike Rogers                           ,340.0,528.0,64.0,770.0,1347.0,465.0,789.0,201.0,472.0,218.0,108.0,634.0,558.0,949.0,737.0,109.0,203.0,84.0,906.0,522.0,622.0,94.0,48.0,0.0,889.0,353.0,182.0,556.0,574.0,280.0
20,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",NON,Write-In                              ,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Under Votes                           ,9.0,26.0,4.0,17.0,40.0,29.0,31.0,5.0,9.0,10.0,5.0,22.0,14.0,20.0,9.0,2.0,8.0,11.0,14.0,16.0,17.0,3.0,0.0,0.0,16.0,9.0,7.0,7.0,10.0,9.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",353.0,515.0,59.0,722.0,1312.0,497.0,783.0,182.0,457.0,195.0,101.0,583.0,518.0,898.0,711.0,107.0,186.0,129.0,896.0,450.0,589.0,96.0,52.0,0.0,866.0,318.0,174.0,567.0,556.0,320.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,16.0,6.0,0.0,8.0,22.0,39.0,26.0,2.0,7.0,1.0,2.0,4.0,4.0,12.0,3.0,3.0,2.0,16.0,5.0,2.0,4.0,0.0,0.0,0.0,7.0,1.0,4.0,10.0,1.0,15.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,398.0,208.0,47.0,197.0,439.0,996.0,664.0,70.0,199.0,63.0,28.0,114.0,110.0,257.0,119.0,129.0,54.0,650.0,194.0,174.0,138.0,34.0,0.0,0.0,185.0,94.0,106.0,93.0,94.0,326.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,351.0,510.0,59.0,722.0,1314.0,491.0,769.0,179.0,452.0,194.0,99.0,581.0,517.0,894.0,710.0,109.0,184.0,123.0,897.0,444.0,586.0,96.0,51.0,0.0,864.0,315.0,174.0,565.0,555.0,318.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,16.0,5.0,0.0,7.0,18.0,34.0,22.0,2.0,7.0,1.0,2.0,4.0,2.0,12.0,3.0,3.0,2.0,14.0,4.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,9.0,1.0,14.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,400.0,214.0,47.0,199.0,441.0,1007.0,682.0,72.0,204.0,64.0,30.0,116.0,113.0,261.0,122.0,127.0,56.0,658.0,194.0,180.0,141.0,34.0,0.0,0.0,190.0,98.0,106.0,96.0,95.0,329.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,348.0,509.0,59.0,717.0,1312.0,486.0,773.0,180.0,452.0,194.0,100.0,575.0,516.0,889.0,708.0,107.0,185.0,124.0,894.0,453.0,584.0,96.0,52.0,0.0,859.0,317.0,170.0,563.0,548.0,318.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,16.0,7.0,0.0,8.0,18.0,33.0,24.0,2.0,6.0,1.0,2.0,4.0,4.0,14.0,3.0,2.0,2.0,14.0,4.0,2.0,6.0,0.0,0.0,0.0,6.0,0.0,4.0,8.0,2.0,15.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,403.0,213.0,47.0,203.0,442.0,1013.0,676.0,72.0,205.0,64.0,29.0,122.0,112.0,264.0,124.0,130.0,55.0,657.0,197.0,171.0,141.0,34.0,0.0,0.0,193.0,96.0,110.0,99.0,101.0,328.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,352.0,511.0,61.0,717.0,1318.0,479.0,775.0,175.0,451.0,198.0,99.0,580.0,525.0,906.0,706.0,111.0,189.0,132.0,895.0,455.0,577.0,100.0,53.0,0.0,856.0,319.0,170.0,562.0,550.0,313.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,14.0,10.0,2.0,9.0,26.0,37.0,30.0,2.0,7.0,1.0,1.0,5.0,3.0,16.0,4.0,4.0,1.0,14.0,9.0,6.0,10.0,0.0,0.0,0.0,11.0,3.0,7.0,7.0,7.0,19.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,401.0,208.0,43.0,202.0,429.0,1016.0,667.0,76.0,205.0,60.0,31.0,116.0,104.0,245.0,125.0,124.0,52.0,649.0,190.0,165.0,144.0,30.0,0.0,0.0,191.0,91.0,107.0,101.0,94.0,329.0
39,"CIRCUIT COURT JUDGE, 5TH JUDICIAL CIRCUIT, PLACE 1      ",DEM,Ray D. Martin                         ,552.0,331.0,64.0,480.0,998.0,1262.0,977.0,127.0,400.0,96.0,62.0,336.0,318.0,579.0,338.0,146.0,131.0,718.0,441.0,285.0,336.0,59.0,42.0,0.0,455.0,187.0,157.0,278.0,200.0,460.0
40,"CIRCUIT COURT JUDGE, 5TH JUDICIAL CIRCUIT, PLACE 1      ",NON,Write-In                              ,7.0,7.0,1.0,10.0,39.0,20.0,23.0,6.0,7.0,3.0,4.0,10.0,10.0,23.0,7.0,4.0,7.0,7.0,29.0,12.0,10.0,3.0,0.0,0.0,24.0,8.0,5.0,24.0,6.0,10.0
41,"CIRCUIT COURT JUDGE, 5TH JUDICIAL CIRCUIT, PLACE 1      ",   ,Over Votes                            ,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,"CIRCUIT COURT JUDGE, 5TH JUDICIAL CIRCUIT, PLACE 1      ",   ,Under Votes                           ,208.0,390.0,41.0,438.0,736.0,250.0,470.0,121.0,256.0,160.0,65.0,355.0,304.0,565.0,490.0,89.0,104.0,70.0,625.0,329.0,385.0,68.0,0.0,0.0,579.0,217.0,122.0,368.0,445.0,191.0
43,"DISTRICT ATTORNEY, 5TH JUDICIAL CIRCUIT                 ",DEM,Jeremy Duerr                          ,531.0,253.0,54.0,456.0,923.0,1221.0,845.0,102.0,389.0,81.0,48.0,272.0,322.0,486.0,248.0,133.0,114.0,698.0,308.0,272.0,305.0,39.0,39.0,0.0,236.0,184.0,121.0,137.0,110.0,379.0
44,"DISTRICT ATTORNEY, 5TH JUDICIAL CIRCUIT                 ",REP,"William G. ""Bill"" Harris              ",222.0,442.0,49.0,444.0,784.0,268.0,573.0,137.0,262.0,169.0,75.0,400.0,295.0,636.0,557.0,97.0,117.0,75.0,754.0,330.0,408.0,86.0,34.0,0.0,772.0,224.0,148.0,502.0,519.0,259.0
45,"DISTRICT ATTORNEY, 5TH JUDICIAL CIRCUIT                 ",NON,Write-In                              ,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,"DISTRICT ATTORNEY, 5TH JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0.0,1.0,0.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"DISTRICT ATTORNEY, 5TH JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,14.0,32.0,6.0,28.0,57.0,37.0,53.0,15.0,12.0,9.0,7.0,27.0,15.0,39.0,28.0,9.0,11.0,20.0,33.0,22.0,18.0,4.0,0.0,0.0,50.0,5.0,15.0,31.0,22.0,22.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,446.0,377.0,62.0,511.0,974.0,986.0,852.0,140.0,382.0,117.0,68.0,328.0,317.0,603.0,460.0,132.0,134.0,413.0,687.0,279.0,391.0,68.0,45.0,0.0,561.0,191.0,178.0,360.0,389.0,346.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,137.0,104.0,19.0,212.0,380.0,202.0,228.0,50.0,131.0,61.0,33.0,175.0,162.0,252.0,216.0,39.0,58.0,44.0,235.0,174.0,146.0,35.0,15.0,0.0,302.0,112.0,50.0,189.0,150.0,107.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,184.0,248.0,25.0,205.0,419.0,341.0,391.0,64.0,150.0,80.0,30.0,198.0,153.0,311.0,159.0,68.0,50.0,338.0,173.0,173.0,193.0,27.0,0.0,0.0,195.0,110.0,56.0,121.0,112.0,207.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,550.0,446.0,75.0,719.0,1326.0,1099.0,961.0,173.0,516.0,186.0,85.0,482.0,484.0,864.0,633.0,144.0,178.0,441.0,823.0,462.0,583.0,87.0,59.0,0.0,703.0,296.0,214.0,411.0,468.0,382.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,97.0,87.0,11.0,126.0,241.0,153.0,198.0,34.0,66.0,31.0,30.0,131.0,92.0,141.0,113.0,33.0,35.0,46.0,157.0,97.0,79.0,26.0,7.0,0.0,235.0,57.0,34.0,182.0,109.0,103.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,120.0,195.0,20.0,83.0,205.0,280.0,311.0,46.0,81.0,42.0,16.0,88.0,56.0,162.0,88.0,62.0,29.0,308.0,114.0,67.0,69.0,16.0,0.0,0.0,120.0,60.0,36.0,76.0,74.0,176.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,307.0,289.0,53.0,422.0,821.0,552.0,605.0,92.0,291.0,97.0,48.0,289.0,266.0,451.0,390.0,99.0,106.0,326.0,553.0,233.0,335.0,45.0,37.0,0.0,397.0,166.0,133.0,250.0,274.0,195.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,254.0,138.0,21.0,245.0,464.0,584.0,411.0,64.0,174.0,76.0,51.0,204.0,184.0,347.0,241.0,56.0,74.0,103.0,295.0,200.0,171.0,56.0,19.0,0.0,394.0,115.0,77.0,263.0,202.0,227.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,206.0,302.0,32.0,261.0,487.0,394.0,453.0,98.0,198.0,84.0,31.0,208.0,182.0,368.0,204.0,84.0,62.0,366.0,247.0,193.0,225.0,29.0,0.0,0.0,267.0,132.0,74.0,157.0,175.0,239.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,449.0,345.0,62.0,506.0,1016.0,989.0,752.0,119.0,361.0,124.0,60.0,310.0,332.0,556.0,448.0,105.0,122.0,377.0,634.0,279.0,401.0,60.0,48.0,0.0,483.0,202.0,164.0,308.0,348.0,312.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,128.0,108.0,18.0,198.0,333.0,185.0,302.0,60.0,133.0,59.0,41.0,199.0,144.0,275.0,204.0,56.0,63.0,63.0,249.0,178.0,142.0,41.0,12.0,0.0,335.0,91.0,55.0,233.0,168.0,125.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,190.0,276.0,26.0,224.0,424.0,355.0,417.0,75.0,169.0,76.0,30.0,192.0,155.0,336.0,183.0,78.0,57.0,355.0,212.0,169.0,188.0,29.0,0.0,0.0,240.0,119.0,65.0,128.0,135.0,224.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,293.0,275.0,54.0,404.0,800.0,513.0,585.0,99.0,281.0,93.0,45.0,289.0,269.0,470.0,408.0,107.0,99.0,366.0,563.0,220.0,334.0,52.0,37.0,0.0,416.0,156.0,146.0,242.0,299.0,188.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,267.0,159.0,19.0,242.0,455.0,629.0,417.0,59.0,188.0,76.0,57.0,206.0,170.0,328.0,218.0,51.0,76.0,93.0,297.0,198.0,175.0,45.0,20.0,0.0,368.0,131.0,64.0,267.0,180.0,238.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,207.0,295.0,31.0,282.0,517.0,389.0,470.0,96.0,193.0,90.0,29.0,206.0,193.0,368.0,209.0,81.0,66.0,336.0,235.0,208.0,222.0,33.0,0.0,0.0,274.0,126.0,74.0,161.0,172.0,235.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,268.0,224.0,47.0,370.0,690.0,480.0,563.0,90.0,273.0,89.0,53.0,251.0,234.0,415.0,346.0,89.0,113.0,344.0,479.0,215.0,308.0,46.0,30.0,0.0,384.0,144.0,131.0,231.0,247.0,194.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,287.0,165.0,23.0,260.0,514.0,632.0,416.0,66.0,178.0,73.0,36.0,226.0,194.0,348.0,257.0,61.0,63.0,108.0,324.0,185.0,190.0,48.0,25.0,0.0,386.0,135.0,58.0,273.0,209.0,224.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,212.0,340.0,35.0,298.0,567.0,417.0,492.0,98.0,212.0,97.0,42.0,224.0,204.0,404.0,232.0,89.0,66.0,343.0,292.0,226.0,232.0,36.0,0.0,0.0,287.0,134.0,95.0,166.0,195.0,243.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,229.0,213.0,22.0,275.0,606.0,383.0,454.0,67.0,196.0,72.0,38.0,191.0,197.0,326.0,259.0,64.0,80.0,190.0,391.0,155.0,232.0,35.0,35.0,0.0,326.0,124.0,77.0,218.0,200.0,170.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,245.0,105.0,36.0,195.0,356.0,610.0,405.0,48.0,153.0,63.0,40.0,169.0,129.0,255.0,191.0,59.0,55.0,233.0,186.0,139.0,123.0,48.0,15.0,0.0,294.0,87.0,78.0,196.0,123.0,202.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,293.0,411.0,48.0,458.0,810.0,537.0,614.0,139.0,314.0,122.0,53.0,340.0,306.0,586.0,385.0,116.0,107.0,372.0,518.0,332.0,376.0,47.0,0.0,0.0,438.0,202.0,129.0,256.0,328.0,289.0
