,Contest Title,Party,Candidate,ABSENTEE,ARARAT,BARRYTOWN,BLADON SPRINGS,BOGUELOOSA,BRANCH,BUTLER,CHAPPELL HILL,CROMWELL,CROSSROADS,CULLOMBURG,GILBERTOWN,HALSELL,HURRICANE,INTERSECTION,ISNEY,LAVACA,LISMAN,LUSK,MELVIN,MT_ STERLING,PELHAM,PENNINGTON,PLEASANT VALLEY,PROVISIONAL,PUSHMATAHA,RIDERWOOD,ROCK SPRINGS,SILAS,SOUWILPA,TOOMEY,TOXEY,WOMACK HILL,YANTLEY
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,0,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,2,0.0,0.0,0.0,1.0,6.0,5,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,0,0.0,0.0,0.0,1.0,1.0,2,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,139,34.0,2.0,60.0,14.0,241.0,380,12.0,103.0,69.0,107.0,62.0,54.0,6.0,69.0,9.0,115.0,263.0,9.0,74.0,93.0,73.0,235.0,9.0,0,103.0,105.0,2.0,102.0,8.0,67.0,132.0,21.0,220.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,221,118.0,189.0,14.0,261.0,60.0,906,230.0,37.0,37.0,82.0,282.0,17.0,39.0,4.0,34.0,88.0,32.0,182.0,56.0,64.0,22.0,119.0,159.0,6,18.0,20.0,88.0,233.0,60.0,83.0,188.0,67.0,19.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,18,6.0,17.0,1.0,12.0,19.0,36,10.0,3.0,6.0,10.0,11.0,3.0,4.0,2.0,3.0,2.0,14.0,7.0,3.0,11.0,4.0,10.0,20.0,0,1.0,3.0,4.0,17.0,13.0,10.0,10.0,6.0,5.0
18,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",DEM,Terri A. Sewell                       ,211,66.0,43.0,64.0,106.0,269.0,715,63.0,121.0,81.0,125.0,147.0,62.0,16.0,73.0,28.0,148.0,287.0,64.0,91.0,109.0,81.0,282.0,66.0,3,106.0,113.0,31.0,171.0,27.0,87.0,198.0,44.0,234.0
19,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,1,4.0,3.0,0.0,5.0,1.0,22,9.0,0.0,3.0,0.0,9.0,2.0,1.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,1.0,1.0,5.0,0,1.0,1.0,0.0,5.0,4.0,0.0,5.0,0.0,0.0
20,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,166,88.0,162.0,11.0,177.0,50.0,588,180.0,22.0,29.0,74.0,201.0,10.0,32.0,2.0,18.0,54.0,21.0,128.0,42.0,59.0,17.0,81.0,117.0,0,16.0,15.0,64.0,176.0,50.0,73.0,128.0,50.0,10.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",192,101.0,147.0,18.0,215.0,67.0,805,168.0,46.0,41.0,63.0,236.0,12.0,36.0,5.0,34.0,80.0,41.0,147.0,51.0,50.0,20.0,116.0,142.0,6,25.0,23.0,74.0,203.0,45.0,72.0,180.0,56.0,24.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,1,3.0,0.0,1.0,0.0,2.0,20,1.0,8.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,6.0,3.0,0,2.0,2.0,0.0,1.0,4.0,1.0,7.0,0.0,3.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,185,54.0,61.0,56.0,73.0,251.0,500,83.0,89.0,70.0,135.0,118.0,61.0,13.0,68.0,12.0,124.0,263.0,50.0,81.0,118.0,79.0,242.0,43.0,0,96.0,104.0,21.0,148.0,32.0,87.0,144.0,38.0,217.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,192,105.0,145.0,15.0,213.0,70.0,800,166.0,49.0,41.0,65.0,226.0,13.0,38.0,5.0,34.0,77.0,42.0,144.0,49.0,51.0,20.0,115.0,139.0,6,23.0,22.0,71.0,204.0,50.0,73.0,177.0,55.0,26.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,1,1.0,0.0,1.0,0.0,2.0,22,2.0,8.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0,6.0,3.0,0,2.0,2.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,185,52.0,63.0,59.0,75.0,248.0,503,84.0,86.0,71.0,133.0,128.0,61.0,11.0,68.0,12.0,124.0,262.0,53.0,83.0,117.0,79.0,243.0,46.0,0,98.0,105.0,23.0,147.0,31.0,87.0,146.0,39.0,217.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,193,101.0,144.0,14.0,213.0,66.0,808,163.0,45.0,42.0,63.0,232.0,14.0,36.0,4.0,32.0,76.0,43.0,144.0,49.0,51.0,20.0,114.0,144.0,6,21.0,24.0,72.0,202.0,50.0,75.0,175.0,56.0,24.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,1,1.0,0.0,1.0,0.0,2.0,16,1.0,7.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,6.0,1.0,1.0,0.0,0.0,6.0,1.0,0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,184,56.0,64.0,60.0,75.0,252.0,501,88.0,91.0,70.0,136.0,122.0,60.0,13.0,69.0,14.0,126.0,261.0,53.0,83.0,117.0,79.0,244.0,43.0,0,101.0,104.0,23.0,149.0,31.0,85.0,149.0,38.0,218.0
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,186,95.0,137.0,17.0,204.0,68.0,793,167.0,47.0,42.0,59.0,218.0,14.0,36.0,4.0,33.0,74.0,45.0,140.0,49.0,51.0,22.0,112.0,139.0,5,23.0,25.0,72.0,197.0,44.0,72.0,169.0,53.0,23.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,1,3.0,1.0,1.0,1.0,4.0,16,0.0,7.0,1.0,1.0,6.0,0.0,0.0,2.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,6.0,1.0,0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,4.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,191,60.0,70.0,57.0,83.0,248.0,516,85.0,89.0,70.0,139.0,133.0,60.0,13.0,69.0,13.0,126.0,261.0,57.0,83.0,117.0,77.0,246.0,48.0,0,99.0,104.0,23.0,153.0,37.0,87.0,158.0,41.0,217.0
38,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,DEM,Ella B. Bell                          ,200,58.0,37.0,63.0,90.0,263.0,678,51.0,118.0,81.0,124.0,141.0,61.0,15.0,69.0,25.0,146.0,277.0,61.0,93.0,108.0,78.0,273.0,44.0,2,104.0,113.0,26.0,163.0,21.0,79.0,194.0,33.0,230.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,NON,Write-In                              ,2,5.0,2.0,0.0,8.0,4.0,22,13.0,0.0,1.0,2.0,17.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,2,0.0,0.0,2.0,10.0,4.0,4.0,7.0,1.0,0.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Under Votes                           ,176,95.0,169.0,12.0,190.0,53.0,624,188.0,25.0,31.0,73.0,199.0,12.0,33.0,6.0,21.0,57.0,32.0,135.0,38.0,60.0,21.0,89.0,138.0,0,19.0,16.0,67.0,179.0,56.0,77.0,130.0,60.0,14.0
42,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 1      ",DEM,Gaines McCorquodale                   ,220,70.0,48.0,65.0,122.0,264.0,801,91.0,119.0,83.0,131.0,173.0,60.0,18.0,68.0,29.0,150.0,277.0,73.0,94.0,112.0,81.0,275.0,61.0,2,107.0,113.0,33.0,178.0,29.0,83.0,209.0,44.0,230.0
43,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 1      ",NON,Write-In                              ,0,3.0,2.0,0.0,8.0,1.0,16,0.0,0.0,1.0,1.0,7.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0
44,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 1      ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 1      ",   ,Under Votes                           ,158,85.0,158.0,10.0,158.0,55.0,508,161.0,24.0,29.0,67.0,176.0,12.0,30.0,6.0,17.0,53.0,31.0,122.0,39.0,56.0,18.0,89.0,124.0,0,16.0,16.0,61.0,172.0,49.0,77.0,121.0,50.0,14.0
46,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 2      ",DEM,C. Robert Montgomery                  ,205,66.0,44.0,64.0,110.0,263.0,740,76.0,119.0,79.0,128.0,159.0,60.0,17.0,68.0,24.0,145.0,275.0,65.0,92.0,106.0,78.0,272.0,51.0,1,107.0,113.0,31.0,166.0,25.0,83.0,192.0,38.0,227.0
47,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 2      ",NON,Write-In                              ,0,2.0,1.0,0.0,5.0,2.0,14,1.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
48,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 2      ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"CIRCUIT COURT JUDGE, 1ST JUDICIAL CIRCUIT, PLACE 2      ",   ,Under Votes                           ,173,90.0,163.0,11.0,173.0,55.0,571,175.0,24.0,34.0,71.0,192.0,12.0,31.0,6.0,22.0,57.0,32.0,132.0,41.0,62.0,21.0,91.0,134.0,0,16.0,16.0,63.0,184.0,54.0,76.0,138.0,56.0,17.0
50,"DISTRICT ATTORNEY, 1ST JUDICIAL CIRCUIT                 ",DEM,Spencer B. Walker                     ,224,69.0,56.0,64.0,130.0,263.0,816,99.0,120.0,81.0,136.0,197.0,60.0,18.0,69.0,28.0,154.0,281.0,90.0,99.0,107.0,80.0,279.0,69.0,2,110.0,113.0,36.0,186.0,33.0,90.0,211.0,46.0,230.0
51,"DISTRICT ATTORNEY, 1ST JUDICIAL CIRCUIT                 ",NON,Write-In                              ,0,3.0,1.0,1.0,4.0,0.0,16,2.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
52,"DISTRICT ATTORNEY, 1ST JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"DISTRICT ATTORNEY, 1ST JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,154,86.0,151.0,10.0,154.0,57.0,493,151.0,23.0,31.0,63.0,154.0,12.0,30.0,6.0,18.0,49.0,27.0,107.0,33.0,61.0,19.0,83.0,116.0,0,13.0,16.0,58.0,163.0,45.0,69.0,119.0,48.0,14.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,129,72.0,54.0,34.0,102.0,99.0,652,91.0,73.0,50.0,58.0,139.0,29.0,16.0,22.0,25.0,105.0,111.0,71.0,48.0,57.0,38.0,130.0,56.0,4,71.0,27.0,39.0,146.0,36.0,55.0,160.0,34.0,118.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,46,23.0,22.0,7.0,64.0,34.0,253,35.0,19.0,11.0,25.0,75.0,9.0,14.0,3.0,8.0,38.0,43.0,56.0,15.0,19.0,7.0,79.0,48.0,1,13.0,15.0,20.0,59.0,12.0,27.0,71.0,20.0,19.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,203,63.0,132.0,34.0,122.0,187.0,420,126.0,51.0,52.0,116.0,143.0,36.0,19.0,50.0,13.0,62.0,156.0,71.0,70.0,92.0,54.0,155.0,84.0,0,39.0,87.0,36.0,147.0,33.0,78.0,100.0,40.0,107.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,146,83.0,87.0,36.0,147.0,113.0,758,139.0,64.0,53.0,66.0,168.0,27.0,29.0,16.0,29.0,101.0,106.0,137.0,56.0,57.0,40.0,151.0,76.0,4,72.0,28.0,38.0,187.0,54.0,74.0,198.0,47.0,109.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,54,22.0,18.0,11.0,54.0,26.0,230,30.0,25.0,7.0,20.0,85.0,13.0,6.0,10.0,6.0,44.0,53.0,40.0,14.0,25.0,6.0,73.0,53.0,2,11.0,12.0,24.0,44.0,11.0,22.0,58.0,13.0,30.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,1,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,177,53.0,103.0,28.0,86.0,181.0,337,83.0,54.0,53.0,113.0,104.0,34.0,14.0,49.0,11.0,60.0,151.0,21.0,63.0,86.0,53.0,140.0,59.0,0,40.0,89.0,33.0,121.0,16.0,64.0,75.0,34.0,105.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,80,46.0,42.0,24.0,77.0,66.0,489,61.0,55.0,38.0,35.0,74.0,22.0,26.0,17.0,16.0,60.0,79.0,58.0,24.0,43.0,30.0,109.0,41.0,1,46.0,19.0,22.0,116.0,13.0,64.0,88.0,24.0,105.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,56,37.0,25.0,14.0,79.0,56.0,367,76.0,32.0,22.0,39.0,134.0,15.0,8.0,6.0,16.0,75.0,74.0,72.0,34.0,28.0,10.0,93.0,60.0,4,19.0,20.0,39.0,84.0,29.0,35.0,131.0,25.0,24.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,37,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,205,75.0,141.0,37.0,132.0,198.0,469,115.0,56.0,53.0,125.0,148.0,37.0,15.0,52.0,14.0,70.0,157.0,68.0,75.0,97.0,59.0,162.0,87.0,0,58.0,90.0,34.0,152.0,39.0,61.0,112.0,45.0,115.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,100,51.0,53.0,29.0,99.0,81.0,542,74.0,59.0,33.0,38.0,132.0,25.0,22.0,19.0,16.0,86.0,102.0,59.0,46.0,40.0,29.0,120.0,49.0,2,56.0,21.0,24.0,153.0,25.0,40.0,130.0,25.0,103.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,51,37.0,28.0,10.0,73.0,39.0,348,63.0,29.0,27.0,40.0,87.0,16.0,12.0,6.0,17.0,50.0,51.0,77.0,18.0,36.0,12.0,87.0,52.0,4,17.0,20.0,34.0,60.0,20.0,36.0,97.0,25.0,26.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,37,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,190,70.0,127.0,36.0,116.0,200.0,435,115.0,55.0,53.0,121.0,138.0,33.0,15.0,50.0,13.0,69.0,157.0,62.0,69.0,92.0,58.0,157.0,87.0,0,50.0,88.0,37.0,139.0,36.0,84.0,104.0,44.0,115.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,71,35.0,39.0,24.0,82.0,53.0,485,77.0,59.0,42.0,41.0,90.0,19.0,19.0,14.0,20.0,56.0,75.0,65.0,20.0,40.0,30.0,122.0,46.0,0,61.0,23.0,25.0,99.0,14.0,44.0,103.0,27.0,99.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,70,47.0,22.0,14.0,77.0,65.0,369,60.0,28.0,13.0,32.0,117.0,19.0,14.0,8.0,13.0,83.0,71.0,64.0,38.0,39.0,10.0,81.0,56.0,5,17.0,18.0,26.0,94.0,26.0,35.0,109.0,18.0,28.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,237,76.0,147.0,37.0,129.0,202.0,470,115.0,56.0,58.0,126.0,150.0,36.0,16.0,53.0,13.0,66.0,164.0,69.0,75.0,89.0,59.0,161.0,86.0,0,45.0,88.0,44.0,159.0,41.0,81.0,119.0,49.0,117.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,62,35.0,36.0,21.0,49.0,49.0,365,49.0,53.0,31.0,34.0,79.0,20.0,20.0,15.0,18.0,51.0,69.0,55.0,20.0,34.0,25.0,104.0,34.0,1,58.0,22.0,16.0,90.0,13.0,38.0,75.0,15.0,93.0
