,Contest Title,Party,Candidate,ABSENTEE,ARMORY,COMMUNITY LIFE BLDG,EAST PERRY,HAMBURG VFD,HEIBERGER,HINTON HALL,NORTH PERRY,OFS FIRE STATION,PROVISIONAL,RADFORDVILLE,SEVERE,UNIONTOWN CITY HALL,WEST PERRY
46,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",DEM,Marvin Wayne Wiggins                  ,247,1408,917.0,51.0,161.0,104.0,115.0,62.0,128.0,2,74.0,28.0,483.0,320.0
47,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",NON,Write-In                              ,1,17,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0,0.0,0.0,6.0,3.0
48,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",   ,Over Votes                            ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
49,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",   ,Under Votes                           ,51,401,59.0,63.0,58.0,148.0,1.0,112.0,75.0,0,39.0,50.0,51.0,54.0
50,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",DEM,Michael Jackson                       ,262,1478,923.0,53.0,170.0,120.0,115.0,66.0,154.0,2,79.0,40.0,494.0,331.0
51,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",NON,Write-In                              ,1,9,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,1.0,3.0
52,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
53,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,36,339,52.0,61.0,53.0,132.0,1.0,109.0,49.0,0,34.0,38.0,45.0,43.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,139,930,627.0,46.0,164.0,113.0,54.0,57.0,119.0,13,62.0,29.0,306.0,237.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,25,165,50.0,25.0,36.0,46.0,4.0,35.0,14.0,2,16.0,15.0,52.0,32.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,135,731,303.0,43.0,23.0,93.0,58.0,86.0,70.0,0,35.0,34.0,182.0,107.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,144,1012,609.0,83.0,180.0,167.0,51.0,79.0,140.0,15,66.0,42.0,314.0,252.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,29,139,63.0,13.0,21.0,29.0,5.0,34.0,14.0,3,12.0,14.0,55.0,23.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,126,674,307.0,18.0,21.0,56.0,60.0,65.0,49.0,0,35.0,22.0,171.0,102.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,94,752,216.0,33.0,71.0,64.0,11.0,27.0,80.0,9,30.0,15.0,133.0,190.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,66,246,434.0,37.0,115.0,99.0,42.0,60.0,47.0,7,36.0,29.0,216.0,50.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,1.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,139,827,329.0,44.0,37.0,89.0,63.0,91.0,76.0,5,47.0,34.0,191.0,136.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,137,750,581.0,40.0,125.0,68.0,49.0,32.0,89.0,0,39.0,19.0,280.0,184.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,37,258,59.0,32.0,58.0,103.0,7.0,55.0,45.0,0,29.0,26.0,77.0,51.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,2,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,125,816,334.0,42.0,39.0,81.0,60.0,91.0,69.0,0,45.0,33.0,183.0,142.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,107,805,210.0,40.0,95.0,109.0,11.0,40.0,72.0,8,37.0,24.0,128.0,211.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,53,237,435.0,29.0,99.0,56.0,42.0,49.0,55.0,6,27.0,17.0,217.0,41.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,139,784,333.0,45.0,29.0,87.0,63.0,89.0,76.0,0,48.0,37.0,195.0,124.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,88,745,205.0,34.0,127.0,64.0,5.0,21.0,73.0,6,32.0,20.0,129.0,181.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,69,253,437.0,28.0,48.0,71.0,44.0,59.0,45.0,7,29.0,17.0,211.0,59.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,142,828,337.0,52.0,48.0,117.0,67.0,98.0,85.0,0,52.0,41.0,200.0,137.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,94,417,180.0,26.0,51.0,51.0,7.0,26.0,47.0,6,33.0,15.0,120.0,114.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,50,487,452.0,25.0,122.0,51.0,45.0,40.0,39.0,6,14.0,14.0,203.0,120.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,155,922,348.0,63.0,50.0,150.0,64.0,112.0,117.0,0,66.0,49.0,217.0,143.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,130,605,219.0,66.0,134.0,126.0,10.0,65.0,94.0,9,46.0,30.0,161.0,139.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,38,472,433.0,10.0,59.0,37.0,44.0,33.0,36.0,8,25.0,11.0,186.0,113.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,131,749,328.0,38.0,30.0,89.0,62.0,80.0,73.0,0,42.0,37.0,193.0,123.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,105,342,165.0,25.0,104.0,41.0,5.0,26.0,53.0,6,22.0,13.0,115.0,103.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,39,540,463.0,24.0,64.0,66.0,46.0,38.0,40.0,6,24.0,15.0,212.0,128.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,154,944,351.0,65.0,55.0,144.0,65.0,114.0,110.0,0,67.0,50.0,213.0,146.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,119,345,539.0,38.0,122.0,85.0,47.0,46.0,64.0,9,34.0,22.0,263.0,91.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,23,499,78.0,13.0,49.0,42.0,6.0,31.0,27.0,3,18.0,10.0,60.0,125.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,157,982,361.0,63.0,52.0,125.0,63.0,101.0,111.0,0,61.0,46.0,217.0,161.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,122,420,587.0,35.0,114.0,54.0,17.0,28.0,70.0,10,28.0,18.0,274.0,115.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,37,334,77.0,30.0,41.0,73.0,35.0,56.0,49.0,2,27.0,18.0,71.0,52.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,140,1072,316.0,49.0,67.0,125.0,64.0,94.0,84.0,0,58.0,42.0,195.0,210.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,108,401,561.0,39.0,110.0,48.0,11.0,25.0,49.0,10,34.0,20.0,257.0,115.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,38,278,84.0,18.0,44.0,49.0,43.0,46.0,39.0,3,21.0,13.0,78.0,48.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,1.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,153,1147,334.0,57.0,69.0,155.0,62.0,107.0,115.0,2,58.0,45.0,205.0,213.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,111,751,578.0,31.0,142.0,57.0,20.0,37.0,68.0,0,36.0,20.0,282.0,199.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,46,263,83.0,35.0,39.0,80.0,34.0,47.0,50.0,0,25.0,18.0,66.0,42.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,142,810,318.0,48.0,41.0,115.0,62.0,94.0,85.0,0,52.0,40.0,191.0,136.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,131,804,603.0,58.0,159.0,136.0,55.0,60.0,97.0,14,49.0,33.0,294.0,211.0
107,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,30,212,63.0,20.0,27.0,35.0,5.0,31.0,38.0,2,20.0,12.0,66.0,37.0
108,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
109,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,138,810,313.0,36.0,37.0,81.0,56.0,87.0,68.0,0,44.0,33.0,180.0,128.0
110,"MEMBER, PERRY COUNTY BOARD OF EDUCATION, DISTRICT NO. 3 ",DEM,Donald A. Nichols                     ,48,71,,56.0,,145.0,,85.0,155.0,0,86.0,42.0,,
111,"MEMBER, PERRY COUNTY BOARD OF EDUCATION, DISTRICT NO. 3 ",NON,Write-In                              ,1,2,,0.0,,0.0,,4.0,0.0,0,0.0,1.0,,
112,"MEMBER, PERRY COUNTY BOARD OF EDUCATION, DISTRICT NO. 3 ",   ,Over Votes                            ,0,0,,0.0,,0.0,,0.0,0.0,0,0.0,0.0,,
113,"MEMBER, PERRY COUNTY BOARD OF EDUCATION, DISTRICT NO. 3 ",   ,Under Votes                           ,14,39,,58.0,,107.0,,89.0,48.0,0,27.0,35.0,,
114,"MEMBER, PERRY COUNTY BOARD OF EDUCATION, DISTRICT NO. 4 ",DEM,Fransia Renee Foster                  ,42,144,,,162.0,,115.0,,,0,,,486.0,
115,"MEMBER, PERRY COUNTY BOARD OF EDUCATION, DISTRICT NO. 4 ",NON,Write-In                              ,0,1,,,2.0,,0.0,,,0,,,2.0,
116,"MEMBER, PERRY COUNTY BOARD OF EDUCATION, DISTRICT NO. 4 ",   ,Over Votes                            ,0,0,,,0.0,,0.0,,,0,,,0.0,
117,"MEMBER, PERRY COUNTY BOARD OF EDUCATION, DISTRICT NO. 4 ",   ,Under Votes                           ,5,31,,,59.0,,1.0,,,0,,,52.0,
