,Contest Title,Party,Candidate,ABSENTEE,BEAVERTON CITY HALL NORTH,BEAVERTON CITY HALL SOUTH,BEDFORD MILITARY,BLOOMING GROVE,CREWS METHODIST CHURCH,CROSSVILLE LAWR_,DETROIT CITY HALL,FAIRVIEW SIZEMORE,FERNBANK COMMUNITY CENTER,GUIN MT OLIVE,HENSON SPRINGS FIRE STAT,HIGHTOGY RIDGE,KENNEDY COMMUNITY CENTER,MILLPORT LIBRARY,MOLLOY BETTS,MT_ PLEASANT CURRY,PINE SPRINGS,PROVISIONAL,STAR_ COMMUNITY CENTER,STRICKLAND KINGVILLE,SULLIGENT CITY HALL NORTH,SULLIGENT CITY HALL SOUTH,TRULL,VAILS,VERNON ARMORY EAST,VERNON ARMORY WEST
19,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,2,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0,5.0,1.0,2.0,5.0,17.0
20,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,89,10.0,23.0,30.0,3.0,38.0,32.0,55.0,18.0,18.0,7.0,16.0,15.0,80.0,182.0,29.0,11.0,37.0,0.0,9.0,14.0,216.0,68.0,6.0,21.0,65.0,184.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",235,38.0,127.0,102.0,41.0,186.0,182.0,214.0,34.0,191.0,99.0,55.0,161.0,486.0,324.0,192.0,79.0,105.0,0.0,78.0,99.0,621.0,249.0,120.0,178.0,504.0,732.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,2,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,1.0,2.0,4.0,15.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,105,19.0,30.0,33.0,8.0,42.0,34.0,66.0,22.0,20.0,9.0,18.0,17.0,91.0,203.0,29.0,15.0,49.0,0.0,10.0,18.0,255.0,90.0,7.0,33.0,83.0,221.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,233,36.0,124.0,100.0,41.0,176.0,180.0,216.0,34.0,190.0,99.0,55.0,161.0,478.0,322.0,191.0,78.0,106.0,0.0,78.0,99.0,614.0,247.0,117.0,177.0,497.0,721.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,1.0,2.0,5.0,14.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,108,21.0,33.0,35.0,8.0,51.0,36.0,65.0,22.0,21.0,9.0,18.0,17.0,98.0,203.0,30.0,16.0,48.0,0.0,10.0,18.0,263.0,93.0,10.0,34.0,89.0,233.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,234,37.0,124.0,100.0,41.0,175.0,177.0,214.0,35.0,191.0,100.0,54.0,159.0,483.0,325.0,190.0,79.0,103.0,0.0,76.0,98.0,608.0,246.0,117.0,177.0,497.0,720.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,1.0,2.0,5.0,14.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,105,21.0,33.0,35.0,8.0,52.0,39.0,68.0,21.0,20.0,8.0,19.0,18.0,93.0,200.0,31.0,15.0,52.0,0.0,12.0,18.0,267.0,92.0,10.0,34.0,89.0,234.0
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,233,36.0,126.0,101.0,40.0,170.0,176.0,209.0,37.0,188.0,94.0,51.0,157.0,477.0,327.0,187.0,78.0,106.0,0.0,75.0,98.0,612.0,245.0,113.0,171.0,494.0,722.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,2.0,7.0,15.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,108,22.0,31.0,35.0,9.0,58.0,40.0,72.0,20.0,23.0,14.0,22.0,21.0,100.0,200.0,34.0,16.0,49.0,0.0,13.0,19.0,264.0,95.0,14.0,40.0,90.0,231.0
38,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,REP,Jeff Newman                           ,243,35.0,132.0,109.0,45.0,186.0,186.0,221.0,37.0,203.0,101.0,57.0,165.0,499.0,343.0,194.0,85.0,113.0,0.0,77.0,104.0,634.0,256.0,114.0,195.0,516.0,753.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,NON,Write-In                              ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,6.0,1.0,1.0,4.0,13.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,   ,Under Votes                           ,99,22.0,25.0,27.0,4.0,42.0,30.0,61.0,20.0,8.0,7.0,16.0,13.0,72.0,180.0,26.0,9.0,42.0,0.0,10.0,13.0,242.0,81.0,13.0,17.0,71.0,202.0
42,"CIRCUIT COURT JUDGE, 24TH JUDICIAL CIRCUIT, PLACE 1     ",REP,Sam Junkin                            ,242,34.0,129.0,106.0,42.0,176.0,184.0,216.0,35.0,192.0,97.0,54.0,160.0,482.0,326.0,188.0,80.0,106.0,0.0,76.0,99.0,629.0,250.0,112.0,178.0,513.0,734.0
43,"CIRCUIT COURT JUDGE, 24TH JUDICIAL CIRCUIT, PLACE 1     ",NON,Write-In                              ,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,9.0,8.0,2.0,1.0,4.0,15.0
44,"CIRCUIT COURT JUDGE, 24TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"CIRCUIT COURT JUDGE, 24TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Under Votes                           ,100,23.0,28.0,30.0,7.0,51.0,32.0,65.0,22.0,19.0,11.0,19.0,17.0,94.0,202.0,33.0,14.0,46.0,0.0,12.0,17.0,247.0,85.0,14.0,34.0,74.0,219.0
46,"DISTRICT ATTORNEY, 24TH JUDICIAL CIRCUIT                ",REP,Chris McCool                          ,244,35.0,129.0,104.0,42.0,178.0,179.0,218.0,37.0,194.0,99.0,52.0,162.0,491.0,333.0,188.0,82.0,108.0,0.0,75.0,103.0,619.0,246.0,116.0,181.0,501.0,740.0
47,"DISTRICT ATTORNEY, 24TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,9.0,4.0,0.0,1.0,6.0,14.0
48,"DISTRICT ATTORNEY, 24TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"DISTRICT ATTORNEY, 24TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,98,22.0,28.0,32.0,7.0,50.0,37.0,63.0,20.0,17.0,9.0,19.0,16.0,84.0,194.0,33.0,12.0,45.0,0.0,13.0,14.0,257.0,93.0,12.0,31.0,84.0,214.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,146,22.0,72.0,68.0,16.0,96.0,103.0,105.0,21.0,100.0,54.0,31.0,78.0,270.0,255.0,98.0,44.0,74.0,0.0,27.0,56.0,422.0,132.0,60.0,92.0,277.0,464.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,38,7.0,35.0,23.0,15.0,43.0,43.0,35.0,14.0,39.0,14.0,3.0,40.0,92.0,102.0,49.0,8.0,28.0,0.0,30.0,15.0,145.0,80.0,29.0,34.0,124.0,196.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,159,29.0,50.0,45.0,18.0,89.0,70.0,142.0,22.0,72.0,40.0,39.0,61.0,215.0,171.0,76.0,42.0,53.0,0.0,31.0,46.0,318.0,131.0,39.0,87.0,190.0,308.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,143,16.0,70.0,77.0,28.0,112.0,119.0,121.0,19.0,133.0,68.0,24.0,99.0,305.0,304.0,116.0,34.0,66.0,0.0,46.0,62.0,419.0,154.0,85.0,112.0,346.0,534.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,59,11.0,44.0,22.0,9.0,54.0,42.0,39.0,14.0,28.0,16.0,14.0,37.0,122.0,94.0,50.0,23.0,44.0,0.0,19.0,27.0,193.0,81.0,18.0,46.0,111.0,197.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,141,31.0,43.0,37.0,12.0,62.0,55.0,121.0,24.0,50.0,24.0,35.0,43.0,150.0,130.0,57.0,37.0,45.0,0.0,23.0,28.0,273.0,108.0,25.0,55.0,134.0,237.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,128,13.0,39.0,49.0,15.0,70.0,86.0,82.0,16.0,76.0,44.0,15.0,56.0,239.0,207.0,89.0,30.0,50.0,0.0,24.0,55.0,285.0,106.0,43.0,45.0,256.0,379.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,71,12.0,67.0,35.0,16.0,64.0,56.0,50.0,14.0,55.0,22.0,16.0,55.0,123.0,165.0,57.0,17.0,53.0,0.0,34.0,13.0,260.0,106.0,42.0,70.0,144.0,274.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,144,33.0,51.0,52.0,18.0,94.0,74.0,150.0,27.0,80.0,42.0,42.0,68.0,214.0,156.0,77.0,47.0,52.0,0.0,30.0,49.0,340.0,131.0,43.0,98.0,191.0,315.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,145,19.0,67.0,62.0,22.0,95.0,100.0,100.0,21.0,101.0,57.0,20.0,77.0,276.0,263.0,108.0,35.0,67.0,0.0,27.0,59.0,407.0,147.0,46.0,67.0,293.0,470.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,67,8.0,41.0,32.0,10.0,49.0,50.0,39.0,10.0,39.0,14.0,11.0,39.0,97.0,102.0,45.0,17.0,38.0,0.0,33.0,18.0,163.0,68.0,43.0,57.0,117.0,209.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,130,31.0,49.0,42.0,17.0,84.0,66.0,143.0,26.0,71.0,37.0,41.0,63.0,204.0,163.0,70.0,42.0,50.0,0.0,28.0,40.0,315.0,128.0,39.0,89.0,181.0,289.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,105,15.0,43.0,48.0,14.0,65.0,78.0,73.0,19.0,81.0,31.0,16.0,62.0,206.0,191.0,69.0,30.0,38.0,0.0,20.0,41.0,292.0,104.0,48.0,90.0,221.0,321.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,79,15.0,65.0,31.0,16.0,69.0,60.0,57.0,14.0,47.0,24.0,17.0,47.0,149.0,164.0,71.0,21.0,59.0,0.0,33.0,25.0,247.0,108.0,34.0,38.0,161.0,312.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,159,28.0,49.0,57.0,19.0,94.0,78.0,152.0,24.0,83.0,53.0,40.0,70.0,222.0,173.0,83.0,43.0,58.0,0.0,35.0,51.0,346.0,131.0,46.0,85.0,209.0,335.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,75,19.0,59.0,36.0,13.0,69.0,75.0,77.0,14.0,59.0,28.0,19.0,47.0,178.0,165.0,70.0,30.0,53.0,0.0,21.0,35.0,306.0,102.0,41.0,53.0,179.0,287.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,89,7.0,45.0,38.0,16.0,49.0,56.0,66.0,17.0,62.0,25.0,10.0,54.0,160.0,169.0,66.0,22.0,36.0,0.0,29.0,22.0,203.0,98.0,25.0,45.0,178.0,304.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,178,32.0,53.0,62.0,20.0,110.0,85.0,139.0,26.0,90.0,55.0,44.0,78.0,238.0,194.0,87.0,42.0,66.0,0.0,38.0,60.0,375.0,143.0,62.0,115.0,234.0,377.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,80,14.0,38.0,26.0,11.0,50.0,61.0,58.0,9.0,60.0,24.0,12.0,50.0,159.0,160.0,73.0,20.0,27.0,0.0,24.0,23.0,234.0,85.0,34.0,46.0,168.0,274.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,48,6.0,40.0,26.0,12.0,38.0,48.0,44.0,12.0,38.0,13.0,7.0,34.0,105.0,128.0,33.0,11.0,26.0,0.0,20.0,14.0,150.0,69.0,19.0,26.0,97.0,170.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,214,38.0,79.0,84.0,26.0,140.0,107.0,180.0,36.0,113.0,71.0,54.0,95.0,313.0,240.0,117.0,63.0,102.0,0.0,44.0,80.0,501.0,189.0,75.0,141.0,326.0,524.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,126,24.0,75.0,54.0,24.0,99.0,85.0,105.0,19.0,100.0,51.0,16.0,77.0,262.0,256.0,109.0,44.0,60.0,0.0,26.0,55.0,357.0,149.0,49.0,111.0,263.0,448.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,55,7.0,34.0,28.0,9.0,45.0,51.0,41.0,15.0,36.0,8.0,17.0,36.0,104.0,109.0,39.0,10.0,38.0,0.0,25.0,9.0,185.0,61.0,34.0,21.0,126.0,199.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,162,27.0,48.0,54.0,16.0,84.0,80.0,136.0,23.0,75.0,49.0,40.0,66.0,211.0,163.0,75.0,40.0,57.0,0.0,37.0,53.0,343.0,132.0,45.0,81.0,202.0,321.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,80,13.0,39.0,26.0,12.0,51.0,51.0,58.0,11.0,50.0,23.0,9.0,46.0,174.0,172.0,66.0,22.0,26.0,0.0,20.0,29.0,211.0,76.0,30.0,43.0,136.0,261.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,60,10.0,48.0,26.0,11.0,36.0,53.0,46.0,11.0,51.0,15.0,12.0,36.0,118.0,132.0,42.0,14.0,31.0,0.0,26.0,14.0,190.0,86.0,25.0,28.0,127.0,199.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
