,Contest Title,Party,Candidate,ABSENTEE,ARGUTA COMMUNITY CTR_,ARITON CITY HALL,BERTHA VOTING HALL,CLAYHATCHEE COMM_ HOUSE,CLOPTON COMMUNITY HOUSE,DALEVILLE CULTURAL & CONV,ECHO FIRE/RESCUE COMM_,EWELL FIRE STATION,GRIMES COMMUNITY CTR_,LEVEL PLAINS COMM_ CENTER,MARLEY MILL FORESTRY,MIDLAND CITY VOTING HALL,NEWTON TOWN HALL,OZARK CIVIC CENTER,PINCKARD TOWN HALL,PROVISIONAL,ROCKY HD COMMUNITY HOUSE,ROCKY HEAD FT RUCKER ELEM,SKIPPERVILLE VOTING HALL,SYLVAN GROVE VOTING HALL
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,10,0.0,1.0,2.0,4.0,1.0,16.0,1.0,7.0,2.0,9.0,5.0,2.0,4.0,31.0,4.0,0,6.0,7.0,3.0,1.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,1,0.0,9.0,0.0,1.0,0.0,8.0,4.0,5.0,0.0,8.0,3.0,0.0,2.0,15.0,1.0,0,1.0,0.0,1.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,1,0.0,2.0,0.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,3.0,4.0,0.0,14.0,1.0,0,3.0,0.0,2.0,0.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,188,21.0,85.0,26.0,67.0,16.0,596.0,55.0,217.0,199.0,435.0,190.0,286.0,154.0,1707.0,147.0,1,47.0,79.0,85.0,24.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,610,163.0,468.0,212.0,367.0,121.0,1151.0,777.0,808.0,513.0,1038.0,741.0,551.0,748.0,3104.0,920.0,7,549.0,168.0,478.0,158.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,4,0.0,0.0,0.0,3.0,0.0,11.0,7.0,6.0,1.0,2.0,2.0,2.0,6.0,12.0,1.0,0,1.0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,2.0,0,0.0,0.0,1.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,25,10.0,27.0,17.0,9.0,10.0,38.0,22.0,32.0,17.0,30.0,22.0,28.0,23.0,100.0,40.0,0,13.0,11.0,21.0,2.0
18,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",DEM,Nathan Mathis                         ,241,44.0,143.0,61.0,123.0,30.0,681.0,158.0,310.0,272.0,490.0,260.0,355.0,271.0,1983.0,282.0,2,109.0,74.0,134.0,48.0
19,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",REP,Martha Roby                           ,488,88.0,258.0,115.0,232.0,80.0,871.0,408.0,487.0,329.0,788.0,471.0,344.0,402.0,2162.0,581.0,4,337.0,162.0,296.0,85.0
20,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",NON,Write-In                              ,54,46.0,135.0,61.0,75.0,30.0,202.0,255.0,221.0,97.0,182.0,167.0,127.0,205.0,596.0,189.0,2,132.0,10.0,112.0,42.0
21,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Over Votes                            ,2,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,10.0,0.0,0,0.0,0.0,1.0,0.0
22,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Under Votes                           ,42,16.0,45.0,18.0,15.0,7.0,39.0,41.0,45.0,29.0,43.0,57.0,41.0,54.0,178.0,58.0,0,32.0,12.0,42.0,9.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",626,153.0,434.0,186.0,364.0,116.0,1260.0,716.0,793.0,522.0,1116.0,716.0,578.0,735.0,3418.0,899.0,5,506.0,206.0,451.0,153.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,7,1.0,4.0,0.0,5.0,0.0,46.0,3.0,11.0,21.0,35.0,9.0,10.0,7.0,122.0,11.0,0,4.0,6.0,5.0,1.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,192,40.0,143.0,69.0,77.0,31.0,490.0,142.0,259.0,186.0,356.0,231.0,279.0,190.0,1389.0,200.0,0,100.0,46.0,129.0,30.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,619,154.0,430.0,192.0,367.0,118.0,1260.0,720.0,795.0,527.0,1121.0,715.0,570.0,732.0,3416.0,896.0,5,507.0,209.0,445.0,151.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,6,1.0,4.0,0.0,3.0,0.0,41.0,3.0,9.0,17.0,30.0,9.0,10.0,6.0,122.0,7.0,0,4.0,5.0,3.0,1.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,200,39.0,147.0,63.0,76.0,29.0,496.0,138.0,259.0,186.0,356.0,232.0,287.0,194.0,1390.0,207.0,0,99.0,44.0,137.0,32.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,617,150.0,431.0,192.0,367.0,117.0,1256.0,722.0,797.0,529.0,1116.0,717.0,576.0,731.0,3408.0,893.0,5,513.0,208.0,449.0,149.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,5,2.0,3.0,0.0,3.0,0.0,40.0,2.0,10.0,18.0,30.0,9.0,10.0,7.0,126.0,9.0,0,2.0,5.0,4.0,2.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,203,42.0,146.0,63.0,76.0,30.0,501.0,138.0,256.0,183.0,361.0,230.0,281.0,194.0,1395.0,208.0,0,95.0,45.0,132.0,33.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,618,150.0,433.0,199.0,373.0,120.0,1260.0,724.0,814.0,536.0,1125.0,712.0,584.0,742.0,3444.0,900.0,5,516.0,206.0,460.0,160.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,7,2.0,6.0,1.0,4.0,1.0,42.0,3.0,8.0,17.0,31.0,10.0,11.0,6.0,137.0,10.0,0,4.0,5.0,5.0,2.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,200,42.0,142.0,55.0,69.0,26.0,494.0,135.0,241.0,177.0,351.0,234.0,272.0,184.0,1348.0,200.0,0,90.0,47.0,120.0,22.0
39,"CIRCUIT COURT JUDGE, 33RD JUDICIAL CIRCUIT, PLACE 2     ",REP,Kimberly A. Clark                     ,623,146.0,429.0,191.0,366.0,119.0,1259.0,733.0,817.0,537.0,1116.0,710.0,576.0,732.0,3454.0,885.0,4,506.0,205.0,462.0,152.0
40,"CIRCUIT COURT JUDGE, 33RD JUDICIAL CIRCUIT, PLACE 2     ",NON,Write-In                              ,3,2.0,3.0,0.0,3.0,0.0,40.0,2.0,11.0,17.0,27.0,10.0,12.0,6.0,120.0,9.0,0,3.0,5.0,5.0,1.0
41,"CIRCUIT COURT JUDGE, 33RD JUDICIAL CIRCUIT, PLACE 2     ",   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
42,"CIRCUIT COURT JUDGE, 33RD JUDICIAL CIRCUIT, PLACE 2     ",   ,Under Votes                           ,198,46.0,149.0,64.0,77.0,28.0,498.0,126.0,235.0,176.0,364.0,236.0,279.0,194.0,1355.0,216.0,0,101.0,48.0,118.0,31.0
43,"DISTRICT ATTORNEY, 33RD JUDICIAL CIRCUIT                ",REP,Kirke Adams                           ,647,160.0,445.0,204.0,365.0,129.0,1257.0,732.0,844.0,540.0,1114.0,757.0,582.0,738.0,3563.0,904.0,7,522.0,204.0,468.0,159.0
44,"DISTRICT ATTORNEY, 33RD JUDICIAL CIRCUIT                ",NON,Write-In                              ,5,1.0,3.0,0.0,3.0,0.0,41.0,16.0,12.0,19.0,27.0,8.0,11.0,10.0,125.0,8.0,0,2.0,6.0,5.0,2.0
45,"DISTRICT ATTORNEY, 33RD JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
46,"DISTRICT ATTORNEY, 33RD JUDICIAL CIRCUIT                ",   ,Under Votes                           ,174,32.0,133.0,51.0,78.0,18.0,499.0,113.0,207.0,171.0,366.0,191.0,274.0,183.0,1241.0,198.0,0,86.0,48.0,112.0,23.0
47,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,476,99.0,290.0,122.0,224.0,82.0,1044.0,437.0,552.0,416.0,832.0,517.0,460.0,529.0,2839.0,610.0,2,322.0,132.0,306.0,97.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,129,32.0,91.0,52.0,84.0,34.0,350.0,175.0,219.0,115.0,319.0,164.0,121.0,200.0,1006.0,203.0,2,125.0,55.0,109.0,34.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0,0.0,0.0,1.0,0.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,252,63.0,200.0,81.0,138.0,31.0,403.0,249.0,290.0,199.0,355.0,274.0,286.0,203.0,1080.0,297.0,0,163.0,71.0,169.0,53.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,512,124.0,350.0,149.0,249.0,102.0,1127.0,514.0,633.0,444.0,912.0,604.0,454.0,584.0,3138.0,678.0,1,399.0,154.0,356.0,106.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,147,25.0,94.0,41.0,86.0,22.0,352.0,176.0,219.0,125.0,319.0,152.0,161.0,200.0,929.0,201.0,3,105.0,39.0,110.0,44.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,195,45.0,136.0,65.0,111.0,23.0,317.0,172.0,211.0,161.0,275.0,200.0,252.0,148.0,860.0,231.0,0,106.0,65.0,119.0,34.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,352,65.0,232.0,81.0,198.0,53.0,797.0,349.0,423.0,316.0,648.0,403.0,327.0,417.0,2275.0,480.0,1,261.0,117.0,240.0,71.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,195,51.0,133.0,77.0,90.0,50.0,546.0,228.0,316.0,182.0,460.0,246.0,214.0,294.0,1423.0,267.0,3,169.0,59.0,146.0,58.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0,0,0.0,0.0,1.0,0.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,305,78.0,216.0,97.0,158.0,44.0,454.0,285.0,324.0,231.0,399.0,305.0,326.0,220.0,1227.0,363.0,0,180.0,82.0,198.0,55.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,444,81.0,253.0,97.0,215.0,78.0,952.0,396.0,509.0,381.0,803.0,442.0,388.0,470.0,2708.0,538.0,2,301.0,140.0,272.0,92.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,137,39.0,121.0,71.0,89.0,39.0,424.0,215.0,256.0,135.0,339.0,221.0,174.0,252.0,1106.0,245.0,2,144.0,43.0,136.0,38.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,276,74.0,207.0,86.0,142.0,30.0,420.0,251.0,298.0,214.0,365.0,293.0,305.0,210.0,1114.0,327.0,0,165.0,75.0,177.0,54.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,387,72.0,219.0,93.0,208.0,65.0,871.0,374.0,421.0,323.0,669.0,418.0,308.0,429.0,2289.0,489.0,2,245.0,124.0,243.0,85.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,193,44.0,129.0,61.0,88.0,44.0,480.0,205.0,310.0,169.0,456.0,234.0,234.0,282.0,1429.0,281.0,1,184.0,58.0,144.0,38.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0,1.0,0.0,0.0,0.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,275,78.0,232.0,100.0,150.0,37.0,445.0,283.0,332.0,238.0,382.0,303.0,325.0,221.0,1209.0,339.0,0,180.0,76.0,198.0,61.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,316,58.0,191.0,73.0,161.0,48.0,664.0,296.0,365.0,269.0,579.0,340.0,262.0,384.0,1873.0,391.0,1,222.0,92.0,215.0,75.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,216,42.0,131.0,67.0,114.0,46.0,599.0,222.0,339.0,205.0,499.0,254.0,257.0,296.0,1615.0,327.0,3,174.0,76.0,140.0,41.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,0,0.0,0.0,0.0,0.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,321,94.0,259.0,115.0,171.0,53.0,533.0,344.0,359.0,256.0,429.0,361.0,347.0,251.0,1434.0,391.0,0,214.0,90.0,230.0,68.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,291,40.0,151.0,59.0,131.0,42.0,684.0,224.0,315.0,276.0,538.0,288.0,271.0,345.0,1863.0,355.0,1,162.0,114.0,172.0,62.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,128,29.0,86.0,56.0,67.0,21.0,442.0,139.0,240.0,137.0,366.0,176.0,165.0,219.0,1189.0,212.0,2,129.0,43.0,102.0,25.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,431,124.0,344.0,140.0,248.0,84.0,670.0,499.0,508.0,316.0,602.0,492.0,431.0,368.0,1875.0,543.0,0,319.0,101.0,311.0,97.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,491,84.0,286.0,117.0,219.0,83.0,1050.0,432.0,542.0,412.0,833.0,507.0,411.0,534.0,2777.0,599.0,3,327.0,156.0,305.0,100.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,123,37.0,83.0,47.0,80.0,30.0,364.0,171.0,212.0,128.0,337.0,176.0,151.0,208.0,1053.0,184.0,1,123.0,32.0,98.0,29.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0.0,0.0,1.0,0.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,243,72.0,212.0,91.0,147.0,33.0,383.0,258.0,308.0,190.0,337.0,273.0,305.0,188.0,1098.0,327.0,0,160.0,70.0,181.0,55.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,255,31.0,138.0,63.0,110.0,38.0,635.0,196.0,279.0,266.0,490.0,259.0,228.0,310.0,1638.0,312.0,1,154.0,118.0,162.0,53.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,169,42.0,100.0,54.0,90.0,28.0,507.0,160.0,269.0,154.0,401.0,201.0,215.0,249.0,1405.0,246.0,2,143.0,41.0,108.0,36.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,430,121.0,343.0,138.0,246.0,81.0,655.0,504.0,515.0,310.0,616.0,493.0,424.0,373.0,1885.0,550.0,0,313.0,99.0,315.0,95.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,274,47.0,163.0,66.0,135.0,47.0,756.0,248.0,361.0,307.0,572.0,314.0,313.0,358.0,1985.0,359.0,1,190.0,99.0,186.0,60.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,135,32.0,75.0,51.0,64.0,26.0,382.0,138.0,197.0,111.0,303.0,149.0,130.0,192.0,1067.0,188.0,1,114.0,58.0,84.0,31.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,443,115.0,343.0,138.0,247.0,74.0,659.0,476.0,505.0,312.0,632.0,492.0,424.0,382.0,1875.0,562.0,0,306.0,101.0,315.0,93.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,347,49.0,180.0,70.0,154.0,46.0,807.0,240.0,378.0,282.0,612.0,339.0,280.0,352.0,2125.0,411.0,1,212.0,112.0,203.0,66.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,178,55.0,144.0,82.0,130.0,47.0,485.0,276.0,329.0,192.0,476.0,275.0,228.0,328.0,1447.0,321.0,3,198.0,61.0,154.0,51.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,326,90.0,257.0,103.0,162.0,54.0,504.0,345.0,354.0,256.0,419.0,341.0,358.0,252.0,1356.0,378.0,0,200.0,85.0,228.0,67.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,203,34.0,115.0,50.0,109.0,30.0,532.0,151.0,263.0,218.0,399.0,216.0,219.0,256.0,1495.0,260.0,2,115.0,73.0,141.0,51.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,221,46.0,134.0,67.0,106.0,38.0,625.0,210.0,312.0,208.0,528.0,260.0,229.0,311.0,1633.0,310.0,1,190.0,84.0,129.0,44.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,427,114.0,332.0,138.0,231.0,79.0,640.0,501.0,488.0,303.0,579.0,480.0,418.0,365.0,1800.0,540.0,0,305.0,100.0,315.0,89.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,316,64.0,186.0,76.0,174.0,55.0,840.0,307.0,445.0,332.0,637.0,345.0,329.0,403.0,2148.0,425.0,2,248.0,112.0,220.0,67.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,247,52.0,156.0,80.0,113.0,44.0,518.0,244.0,295.0,175.0,489.0,292.0,199.0,299.0,1560.0,335.0,3,178.0,72.0,159.0,56.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0,0.0,0.0,0.0,0.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,290,78.0,239.0,99.0,159.0,48.0,438.0,311.0,323.0,223.0,381.0,318.0,339.0,229.0,1214.0,350.0,0,184.0,74.0,206.0,61.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,329,88.0,245.0,111.0,201.0,67.0,919.0,393.0,494.0,352.0,686.0,420.0,346.0,465.0,2406.0,526.0,3,283.0,131.0,267.0,105.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,177,27.0,113.0,54.0,88.0,35.0,383.0,179.0,245.0,140.0,389.0,202.0,177.0,226.0,1209.0,216.0,2,152.0,39.0,106.0,27.0
