,Contest Title,Party,Candidate,ABSENTEE,BELOIT COMMUNITY CTR,BROAD STREET FIRE STATION,CAHABA ROAD FIRE STATION,CARLOWVILLE MINTER VFD,CHRISTIAN OUTREACH ALLNCE,DALLAS COUNTY COURTHOUSE,EASTEND FIRE STATION,GOOD HOPE CHURCH,GWC HOMES CTR,MARION JCT BLACKBELT EXP,MEMORIAL STADIUM,MT ZION CHURCH,NEW ST JOHNS MINISTRIES,OLD NATIONAL GUARD ARMORY,ORRVILLE COMMUNITY CTR,PLANTERSVILLE VFD,PROVISIONAL,QUEEN OF PEACE SCHOOL,RANGEDALE CTR,SAFFORD COMMUNITY CTR,SELMA MALL,SELMONT WATER WORKS,SHILOH SCHOOL BLDG,SUMMERFIELD VFD,TIPTON SCHOOL,TYLER COMMUNITY CTR,UNION NEW NATL GRD ARMORY,UNION OLD NATL GRD ARMORY,VALLEY GRANDE COMM CTR,WOODROW AVE FIRE STATION
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,286,9.0,73.0,345.0,64.0,155.0,111.0,43.0,50.0,61.0,108.0,361.0,446.0,55.0,415.0,208.0,183.0,0.0,52.0,55.0,57.0,87.0,75.0,151.0,351.0,139.0,163.0,492.0,528.0,892.0,132.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,11,1.0,15.0,38.0,3.0,24.0,7.0,14.0,0.0,30.0,8.0,11.0,32.0,10.0,14.0,16.0,8.0,0.0,7.0,7.0,0.0,19.0,8.0,15.0,3.0,12.0,5.0,11.0,24.0,23.0,20.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,560,110.0,488.0,666.0,162.0,446.0,161.0,542.0,26.0,287.0,252.0,271.0,498.0,568.0,416.0,752.0,131.0,0.0,347.0,534.0,75.0,417.0,339.0,336.0,177.0,1521.0,96.0,286.0,510.0,623.0,763.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,286,8.0,69.0,341.0,64.0,149.0,104.0,42.0,49.0,58.0,107.0,358.0,446.0,54.0,414.0,207.0,184.0,0.0,50.0,52.0,58.0,83.0,76.0,151.0,347.0,141.0,163.0,493.0,527.0,886.0,128.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,12,1.0,17.0,39.0,3.0,25.0,7.0,14.0,0.0,25.0,7.0,14.0,29.0,10.0,16.0,16.0,9.0,0.0,7.0,7.0,0.0,18.0,8.0,15.0,4.0,13.0,5.0,11.0,25.0,26.0,18.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,561,111.0,490.0,669.0,162.0,451.0,168.0,543.0,27.0,295.0,254.0,271.0,501.0,569.0,415.0,753.0,129.0,0.0,349.0,537.0,74.0,422.0,338.0,336.0,180.0,1518.0,96.0,285.0,510.0,625.0,769.0
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,285,9.0,72.0,346.0,67.0,161.0,109.0,47.0,50.0,56.0,116.0,383.0,450.0,59.0,426.0,215.0,183.0,0.0,55.0,51.0,56.0,90.0,81.0,149.0,352.0,143.0,173.0,507.0,536.0,913.0,130.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,11,1.0,15.0,41.0,3.0,27.0,7.0,16.0,0.0,28.0,6.0,9.0,27.0,12.0,17.0,16.0,10.0,0.0,8.0,11.0,0.0,17.0,6.0,14.0,3.0,15.0,4.0,11.0,27.0,28.0,14.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,563,110.0,489.0,662.0,159.0,437.0,164.0,536.0,26.0,294.0,246.0,251.0,499.0,561.0,402.0,744.0,129.0,0.0,343.0,535.0,76.0,416.0,335.0,339.0,176.0,1514.0,87.0,271.0,499.0,597.0,771.0
38,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,DEM,Ella B. Bell                          ,635,110.0,549.0,815.0,179.0,539.0,197.0,569.0,33.0,351.0,285.0,367.0,675.0,602.0,486.0,842.0,189.0,0.0,366.0,580.0,88.0,476.0,355.0,392.0,241.0,1573.0,122.0,398.0,648.0,836.0,837.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,NON,Write-In                              ,2,0.0,0.0,7.0,0.0,5.0,4.0,0.0,0.0,2.0,1.0,7.0,7.0,1.0,11.0,6.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,6.0,2.0,2.0,18.0,17.0,27.0,5.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Under Votes                           ,224,10.0,27.0,226.0,50.0,81.0,79.0,30.0,43.0,25.0,82.0,269.0,294.0,30.0,348.0,127.0,128.0,0.0,40.0,16.0,43.0,47.0,65.0,105.0,284.0,97.0,140.0,372.0,397.0,675.0,73.0
42,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",DEM,Don McMillan                          ,642,110.0,541.0,828.0,188.0,547.0,208.0,562.0,39.0,350.0,306.0,398.0,680.0,596.0,511.0,853.0,202.0,0.0,373.0,573.0,92.0,475.0,356.0,398.0,270.0,1572.0,140.0,426.0,712.0,887.0,828.0
43,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",NON,Write-In                              ,3,0.0,0.0,6.0,0.0,4.0,3.0,2.0,0.0,2.0,1.0,4.0,8.0,1.0,8.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,8.0,2.0,1.0,12.0,12.0,23.0,2.0
44,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",   ,Under Votes                           ,216,10.0,35.0,215.0,41.0,74.0,69.0,35.0,37.0,25.0,61.0,241.0,288.0,36.0,326.0,117.0,116.0,0.0,33.0,24.0,39.0,48.0,66.0,99.0,253.0,98.0,123.0,351.0,338.0,628.0,85.0
46,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",DEM,Marvin Wayne Wiggins                  ,610,111.0,549.0,798.0,175.0,530.0,188.0,568.0,34.0,354.0,284.0,330.0,667.0,599.0,466.0,823.0,184.0,0.0,369.0,579.0,91.0,472.0,357.0,389.0,243.0,1566.0,116.0,388.0,650.0,799.0,836.0
47,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",NON,Write-In                              ,7,0.0,1.0,10.0,1.0,8.0,5.0,2.0,0.0,0.0,2.0,17.0,11.0,1.0,15.0,9.0,6.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0,11.0,3.0,2.0,23.0,21.0,38.0,1.0
48,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",   ,Under Votes                           ,244,9.0,26.0,241.0,53.0,87.0,87.0,29.0,42.0,23.0,82.0,296.0,298.0,33.0,364.0,143.0,132.0,0.0,38.0,16.0,40.0,49.0,64.0,108.0,277.0,103.0,146.0,378.0,391.0,701.0,78.0
50,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",DEM,Michael Jackson                       ,670,114.0,543.0,872.0,186.0,565.0,215.0,570.0,46.0,358.0,309.0,449.0,714.0,605.0,567.0,881.0,207.0,0.0,385.0,572.0,95.0,482.0,371.0,410.0,304.0,1591.0,153.0,486.0,752.0,984.0,845.0
51,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",NON,Write-In                              ,2,0.0,2.0,9.0,0.0,6.0,5.0,3.0,0.0,6.0,1.0,6.0,7.0,1.0,10.0,7.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,0.0,12.0,14.0,19.0,2.0
52,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,189,6.0,31.0,168.0,43.0,54.0,60.0,26.0,30.0,14.0,58.0,188.0,255.0,27.0,268.0,88.0,112.0,0.0,22.0,23.0,36.0,40.0,50.0,88.0,222.0,79.0,111.0,291.0,296.0,535.0,68.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,526,35.0,370.0,666.0,113.0,408.0,169.0,449.0,50.0,228.0,260.0,363.0,537.0,425.0,446.0,678.0,151.0,0.0,190.0,391.0,76.0,355.0,210.0,298.0,236.0,1017.0,131.0,444.0,554.0,864.0,609.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,78,9.0,38.0,129.0,12.0,56.0,39.0,22.0,11.0,28.0,49.0,114.0,141.0,33.0,116.0,96.0,54.0,0.0,32.0,32.0,25.0,31.0,38.0,65.0,105.0,78.0,49.0,112.0,187.0,251.0,84.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,258,76.0,166.0,254.0,104.0,160.0,72.0,127.0,15.0,121.0,59.0,166.0,298.0,175.0,283.0,198.0,116.0,0.0,184.0,174.0,31.0,137.0,173.0,138.0,190.0,577.0,84.0,233.0,318.0,423.0,220.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,522,46.0,345.0,701.0,129.0,410.0,167.0,459.0,55.0,191.0,270.0,437.0,623.0,419.0,542.0,712.0,215.0,0.0,206.0,377.0,83.0,343.0,214.0,319.0,353.0,1011.0,179.0,535.0,703.0,1112.0,591.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,114,5.0,68.0,146.0,13.0,67.0,59.0,31.0,8.0,62.0,41.0,101.0,119.0,40.0,105.0,98.0,36.0,0.0,39.0,55.0,23.0,52.0,48.0,68.0,79.0,95.0,33.0,120.0,139.0,211.0,100.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,225,69.0,162.0,201.0,87.0,148.0,54.0,109.0,13.0,124.0,57.0,104.0,234.0,174.0,196.0,165.0,71.0,0.0,162.0,165.0,26.0,128.0,160.0,114.0,99.0,566.0,52.0,134.0,219.0,215.0,224.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,424,29.0,266.0,527.0,59.0,292.0,143.0,320.0,33.0,176.0,201.0,272.0,401.0,287.0,327.0,542.0,108.0,0.0,107.0,184.0,57.0,202.0,180.0,241.0,169.0,679.0,100.0,303.0,441.0,640.0,378.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,126,12.0,117.0,217.0,57.0,158.0,61.0,154.0,19.0,65.0,81.0,167.0,231.0,138.0,187.0,186.0,87.0,0.0,100.0,233.0,34.0,171.0,57.0,110.0,131.0,354.0,74.0,214.0,266.0,397.0,266.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,312,79.0,192.0,305.0,113.0,175.0,76.0,125.0,24.0,136.0,85.0,204.0,344.0,208.0,329.0,247.0,127.0,0.0,199.0,178.0,41.0,147.0,185.0,150.0,231.0,639.0,90.0,271.0,355.0,501.0,270.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,473,38.0,355.0,635.0,92.0,411.0,173.0,432.0,39.0,213.0,218.0,361.0,471.0,401.0,427.0,609.0,140.0,0.0,183.0,383.0,68.0,329.0,210.0,274.0,208.0,953.0,113.0,387.0,539.0,809.0,567.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,98,7.0,38.0,140.0,28.0,48.0,40.0,29.0,17.0,35.0,75.0,114.0,180.0,30.0,120.0,137.0,61.0,0.0,32.0,38.0,29.0,44.0,28.0,78.0,121.0,100.0,67.0,160.0,199.0,277.0,82.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,290,75.0,182.0,274.0,109.0,166.0,67.0,138.0,20.0,130.0,75.0,168.0,325.0,201.0,298.0,230.0,121.0,0.0,192.0,176.0,35.0,148.0,184.0,148.0,202.0,618.0,84.0,239.0,323.0,452.0,266.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,442,30.0,276.0,535.0,70.0,302.0,147.0,306.0,40.0,174.0,236.0,327.0,431.0,302.0,352.0,530.0,118.0,0.0,99.0,169.0,58.0,201.0,191.0,264.0,179.0,680.0,99.0,342.0,473.0,663.0,413.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,123,10.0,123.0,211.0,46.0,147.0,59.0,155.0,12.0,70.0,60.0,120.0,206.0,140.0,163.0,201.0,74.0,0.0,110.0,246.0,37.0,173.0,47.0,80.0,122.0,376.0,75.0,181.0,235.0,362.0,257.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,295,80.0,176.0,302.0,113.0,176.0,74.0,138.0,24.0,132.0,72.0,195.0,339.0,191.0,330.0,245.0,130.0,0.0,198.0,181.0,37.0,147.0,184.0,157.0,229.0,616.0,90.0,266.0,354.0,512.0,244.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,368,25.0,256.0,487.0,65.0,259.0,120.0,288.0,36.0,160.0,187.0,254.0,373.0,292.0,301.0,510.0,97.0,0.0,90.0,153.0,49.0,197.0,172.0,227.0,177.0,633.0,86.0,307.0,430.0,604.0,399.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,160,12.0,133.0,251.0,47.0,182.0,72.0,165.0,14.0,82.0,67.0,161.0,245.0,152.0,186.0,215.0,83.0,0.0,110.0,261.0,44.0,174.0,59.0,115.0,119.0,411.0,82.0,189.0,251.0,387.0,266.0
