,Contest Title,Party,Candidate,ABSENTEE,ASPEL JACKSON WATERWORKS,BISHOP HALL'S STORE,BRIDGEPORT COMMUNITY CTR,BRYANT COMMUNITY BLDG_,CHRISTIAN HOME,CROW FIRE HALL,DEAN'S CHAPEL COMMUNITY,DUTTON CITY HALL,ESTILL FORK PRINCES STORE,FACKLER FIRE HALL,FLAT ROCK RURITAN BLDG_,GARTH BAPTIST CHURCH,HAMBRICK COMMUNITY,HIGDON NORTH SAND MT_ SCH,HOLLY SPRINGS BAPTIST CH,HOLLYTREE GROCERY,HOLLYWOOD CITY HALL,HYTOP TOWN HALL,LANGSTON CITY HALL,LARKINSVILLE STOCK BARN,LETCHER CHURCH OF GOD,LIMROCK FIRE HALL,LONG ISLAND COMMUNITY CTR,MACEDONIA SCHOOL,MINKCREEK NEWHOPE METHODI,PAINT ROCK SR CITIZEN CTR,PISGAH CITY HALL,PLEASANT GROVES COMM_ CTR,PRINCETON FIRE HALL,PROVISIONAL,ROSALIE COMMUNITY CTR_,SCOTTSBORO REC_COM_ BLDG_,SECTION NEW CITY HALL,SKYLINE CITY HALL,STEVENSON CITY PARK,TRENTON FIRE HALL,TUPELO/PIKEVILLE STORE,WOODVILLE BOB JONES COMM_
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,9,2.0,0.0,8.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,7.0,3.0,1.0,2.0,0.0,3.0,0.0,2,3,3.0,0.0,0.0,2.0,0.0,4.0,60.0,6.0,4.0,11.0,2.0,1.0,3.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,5,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,1.0,2.0,0.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,6,1.0,2.0,5.0,8.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,7,2,4.0,0.0,12.0,2.0,0.0,10.0,22.0,8.0,11.0,9.0,0.0,1.0,4.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,186,27.0,15.0,341.0,102.0,39.0,31.0,73.0,229.0,7.0,85.0,69.0,19.0,1.0,108.0,10.0,25.0,215.0,24.0,30.0,58.0,23.0,37.0,10.0,117,44,40.0,222.0,14.0,19.0,0.0,174.0,1324.0,174.0,97.0,394.0,10.0,23.0,108.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,568,151.0,39.0,944.0,692.0,203.0,117.0,238.0,747.0,63.0,281.0,336.0,91.0,16.0,561.0,77.0,73.0,487.0,131.0,103.0,304.0,149.0,107.0,54.0,514,170,162.0,677.0,98.0,40.0,0.0,442.0,4125.0,579.0,596.0,1036.0,56.0,222.0,467.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,27,12.0,7.0,50.0,56.0,11.0,8.0,8.0,32.0,13.0,18.0,25.0,10.0,1.0,36.0,2.0,6.0,35.0,16.0,3.0,18.0,16.0,14.0,4.0,27,2,10.0,0.0,13.0,9.0,0.0,26.0,122.0,42.0,45.0,85.0,4.0,7.0,20.0
18,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",REP,Robert Aderholt                       ,2,,,,,,,,,,,,,,,,,,,,,,,,67,4,,,,,0.0,,,,,,,,
19,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,0.0,,,,,,,,
20,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0.0,,,,,,,,
21,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,0,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,0.0,,,,,,,,
22,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",DEM,"Will Boyd, Jr.                        ",189,26.0,16.0,375.0,104.0,39.0,27.0,74.0,238.0,6.0,85.0,71.0,21.0,1.0,134.0,10.0,27.0,223.0,22.0,32.0,53.0,23.0,31.0,11.0,103,45,40.0,230.0,13.0,19.0,0.0,173.0,1224.0,174.0,103.0,415.0,10.0,30.0,98.0
23,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",REP,Mo Brooks                             ,560,151.0,38.0,903.0,679.0,200.0,117.0,231.0,731.0,69.0,278.0,326.0,88.0,16.0,524.0,76.0,69.0,484.0,129.0,99.0,305.0,149.0,109.0,52.0,442,163,161.0,652.0,99.0,39.0,0.0,431.0,4166.0,574.0,580.0,992.0,54.0,214.0,472.0
24,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,2.0,0.0,0.0,1.0
25,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
26,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,28,13.0,7.0,56.0,68.0,15.0,11.0,12.0,38.0,9.0,21.0,32.0,11.0,1.0,47.0,3.0,9.0,31.0,21.0,5.0,23.0,16.0,18.0,5.0,36,3,11.0,0.0,13.0,10.0,0.0,39.0,183.0,49.0,53.0,106.0,6.0,8.0,24.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",550,136.0,34.0,936.0,661.0,188.0,112.0,237.0,711.0,61.0,265.0,335.0,80.0,17.0,529.0,70.0,66.0,464.0,118.0,91.0,295.0,118.0,94.0,52.0,462,163,152.0,642.0,77.0,33.0,0.0,426.0,4068.0,539.0,536.0,974.0,51.0,209.0,448.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,6,0.0,0.0,12.0,7.0,3.0,2.0,2.0,8.0,0.0,3.0,5.0,2.0,0.0,4.0,1.0,0.0,8.0,0.0,1.0,2.0,0.0,1.0,0.0,2,0,0.0,0.0,0.0,2.0,0.0,2.0,54.0,5.0,6.0,16.0,0.0,0.0,5.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,222,55.0,27.0,388.0,183.0,63.0,42.0,80.0,289.0,24.0,116.0,90.0,38.0,1.0,172.0,18.0,39.0,266.0,54.0,44.0,84.0,70.0,63.0,16.0,196,54,60.0,0.0,48.0,33.0,0.0,215.0,1459.0,254.0,196.0,526.0,19.0,43.0,142.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,549,131.0,34.0,924.0,658.0,186.0,108.0,238.0,704.0,59.0,264.0,331.0,81.0,16.0,523.0,69.0,65.0,461.0,115.0,91.0,289.0,119.0,90.0,52.0,455,162,153.0,637.0,75.0,33.0,0.0,421.0,4046.0,539.0,533.0,960.0,51.0,206.0,445.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,4,0.0,0.0,12.0,3.0,4.0,3.0,2.0,6.0,0.0,3.0,3.0,2.0,0.0,3.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,2.0,0.0,2.0,45.0,5.0,6.0,15.0,0.0,0.0,3.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,225,60.0,27.0,400.0,190.0,64.0,45.0,79.0,298.0,26.0,117.0,96.0,37.0,2.0,178.0,19.0,40.0,269.0,57.0,44.0,91.0,69.0,67.0,16.0,204,55,59.0,0.0,50.0,33.0,0.0,220.0,1490.0,254.0,199.0,540.0,19.0,46.0,147.0
35,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,549,131.0,33.0,932.0,654.0,187.0,112.0,239.0,708.0,60.0,264.0,334.0,82.0,16.0,518.0,71.0,65.0,462.0,114.0,91.0,291.0,120.0,90.0,53.0,455,164,153.0,637.0,78.0,32.0,0.0,422.0,4055.0,534.0,535.0,968.0,52.0,204.0,447.0
36,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,4,0.0,0.0,14.0,4.0,2.0,3.0,2.0,7.0,0.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,2,0,0.0,0.0,0.0,2.0,0.0,2.0,40.0,4.0,4.0,12.0,0.0,0.0,4.0
37,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,225,60.0,28.0,391.0,193.0,65.0,41.0,78.0,293.0,25.0,117.0,93.0,37.0,2.0,183.0,18.0,40.0,270.0,58.0,44.0,88.0,68.0,67.0,15.0,202,53,59.0,0.0,47.0,34.0,0.0,219.0,1485.0,260.0,199.0,536.0,18.0,48.0,144.0
39,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,551,133.0,32.0,907.0,640.0,185.0,106.0,241.0,703.0,57.0,263.0,326.0,85.0,16.0,517.0,70.0,64.0,461.0,111.0,97.0,291.0,124.0,86.0,55.0,452,162,153.0,638.0,78.0,35.0,0.0,427.0,4008.0,539.0,518.0,958.0,50.0,204.0,451.0
40,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,6,1.0,0.0,15.0,4.0,3.0,2.0,1.0,8.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,2,0,2.0,0.0,0.0,2.0,0.0,1.0,51.0,5.0,7.0,16.0,0.0,0.0,4.0
41,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
42,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,221,57.0,29.0,414.0,207.0,66.0,48.0,77.0,297.0,28.0,117.0,99.0,35.0,2.0,187.0,18.0,41.0,271.0,61.0,39.0,89.0,64.0,71.0,13.0,206,54,57.0,0.0,47.0,31.0,0.0,215.0,1521.0,254.0,212.0,542.0,20.0,48.0,140.0
43,"DISTRICT ATTORNEY, 38TH JUDICIAL CIRCUIT                ",REP,Jason R. Pierce                       ,569,135.0,32.0,912.0,640.0,191.0,108.0,238.0,698.0,58.0,261.0,325.0,86.0,16.0,517.0,67.0,60.0,472.0,114.0,95.0,302.0,119.0,93.0,52.0,456,167,149.0,639.0,74.0,30.0,0.0,424.0,4201.0,543.0,543.0,964.0,50.0,209.0,449.0
44,"DISTRICT ATTORNEY, 38TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,5,0.0,0.0,14.0,3.0,2.0,2.0,1.0,5.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,2.0,0.0,3.0,39.0,3.0,5.0,13.0,0.0,1.0,3.0
45,"DISTRICT ATTORNEY, 38TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"DISTRICT ATTORNEY, 38TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,205,56.0,29.0,411.0,208.0,61.0,46.0,80.0,305.0,27.0,119.0,102.0,34.0,2.0,186.0,21.0,45.0,260.0,58.0,40.0,79.0,69.0,65.0,16.0,203,50,62.0,0.0,51.0,36.0,0.0,216.0,1341.0,252.0,190.0,539.0,20.0,42.0,143.0
47,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,382,69.0,13.0,563.0,345.0,118.0,59.0,174.0,484.0,29.0,173.0,189.0,47.0,10.0,307.0,35.0,39.0,350.0,66.0,68.0,181.0,74.0,59.0,23.0,277,107,108.0,478.0,47.0,27.0,0.0,299.0,2938.0,384.0,312.0,751.0,28.0,114.0,283.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,130,45.0,10.0,219.0,125.0,52.0,29.0,62.0,227.0,14.0,68.0,80.0,20.0,4.0,108.0,30.0,20.0,134.0,30.0,36.0,78.0,33.0,24.0,24.0,139,41,34.0,185.0,22.0,14.0,0.0,131.0,1097.0,159.0,170.0,238.0,11.0,56.0,136.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,268,77.0,38.0,555.0,379.0,84.0,68.0,83.0,297.0,42.0,143.0,161.0,53.0,4.0,290.0,24.0,46.0,254.0,76.0,32.0,122.0,81.0,75.0,21.0,243,69,70.0,0.0,56.0,27.0,0.0,213.0,1544.0,255.0,256.0,527.0,31.0,82.0,176.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,460,120.0,28.0,728.0,445.0,178.0,89.0,232.0,724.0,44.0,246.0,285.0,87.0,17.0,377.0,56.0,70.0,466.0,91.0,103.0,255.0,119.0,68.0,35.0,461,161,152.0,645.0,92.0,42.0,0.0,461.0,4004.0,579.0,467.0,910.0,49.0,163.0,400.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,120,27.0,4.0,183.0,100.0,36.0,27.0,46.0,127.0,12.0,57.0,51.0,10.0,1.0,96.0,21.0,21.0,104.0,26.0,17.0,49.0,25.0,29.0,14.0,88,20,24.0,131.0,17.0,16.0,0.0,85.0,738.0,95.0,121.0,203.0,7.0,41.0,95.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,200,44.0,29.0,426.0,306.0,40.0,40.0,41.0,157.0,29.0,81.0,94.0,23.0,0.0,232.0,12.0,14.0,168.0,55.0,16.0,77.0,44.0,61.0,18.0,111,36,36.0,0.0,16.0,10.0,0.0,96.0,834.0,124.0,150.0,401.0,14.0,48.0,100.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,298,65.0,10.0,432.0,256.0,84.0,55.0,159.0,386.0,20.0,133.0,144.0,37.0,9.0,251.0,33.0,33.0,276.0,43.0,49.0,154.0,60.0,50.0,23.0,256,98,84.0,393.0,46.0,25.0,0.0,247.0,2550.0,344.0,252.0,534.0,21.0,82.0,225.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,188,49.0,15.0,316.0,185.0,84.0,38.0,78.0,292.0,18.0,105.0,121.0,34.0,5.0,142.0,35.0,27.0,187.0,45.0,48.0,88.0,44.0,31.0,21.0,163,39,53.0,251.0,35.0,14.0,0.0,164.0,1365.0,173.0,207.0,365.0,22.0,80.0,174.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,293,77.0,36.0,589.0,410.0,86.0,63.0,81.0,330.0,47.0,146.0,165.0,49.0,4.0,312.0,21.0,44.0,275.0,84.0,39.0,139.0,84.0,77.0,24.0,241,80,75.0,0.0,44.0,29.0,0.0,232.0,1662.0,281.0,278.0,615.0,27.0,90.0,196.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,332,73.0,11.0,524.0,309.0,111.0,60.0,165.0,456.0,24.0,167.0,175.0,58.0,11.0,295.0,31.0,48.0,328.0,57.0,58.0,182.0,82.0,56.0,18.0,311,117,111.0,467.0,54.0,29.0,0.0,293.0,2957.0,379.0,322.0,690.0,27.0,103.0,272.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,171,44.0,20.0,254.0,159.0,67.0,42.0,68.0,247.0,16.0,83.0,102.0,28.0,2.0,114.0,38.0,19.0,149.0,37.0,42.0,82.0,39.0,27.0,28.0,131,31,42.0,205.0,31.0,8.0,0.0,138.0,1117.0,174.0,166.0,273.0,18.0,70.0,151.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,277,74.0,30.0,559.0,383.0,76.0,54.0,86.0,305.0,45.0,133.0,153.0,34.0,5.0,296.0,20.0,37.0,261.0,78.0,36.0,117.0,67.0,75.0,22.0,218,69,59.0,0.0,40.0,31.0,0.0,212.0,1502.0,245.0,250.0,552.0,25.0,79.0,172.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,331,68.0,12.0,406.0,277.0,91.0,40.0,156.0,389.0,23.0,119.0,154.0,29.0,9.0,229.0,26.0,32.0,243.0,43.0,58.0,145.0,60.0,46.0,16.0,219,90,79.0,388.0,40.0,21.0,0.0,201.0,2378.0,318.0,224.0,543.0,23.0,101.0,233.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,162,46.0,9.0,328.0,169.0,79.0,48.0,75.0,283.0,17.0,120.0,118.0,32.0,3.0,145.0,37.0,26.0,196.0,41.0,38.0,104.0,39.0,34.0,27.0,178,43,57.0,244.0,38.0,15.0,0.0,203.0,1472.0,206.0,231.0,363.0,21.0,58.0,176.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
