,Contest Title,Party,Candidate,1ST BAPTIST PELHAM ANNEX,1ST CHRISTIAN CHURCH,1ST PRESBYTERIAN CHURCH,ABSENTEE,ALABASTER LIBERTY BAPTIST,ASBURY UNITED METHODIST,BAY SPRINGS BAPTIST,CAMP BRANCH CIVIC CENTER,CHELSEA CHURCH OF GOD,CHELSEA COMMUNITY CTR_,CHRIST UNITED METHODIST,COLUMBIANA REC_ BUILDING,CONCORD BAPTIST CHURCH,DUNNAVANT COMM_ CTR_,EVANGEL PRESBY_ CHURCH,FAITH PRESBYTERIAN CHURCH,FOURMILE VOL_ FIRE/RESCUE,GREYSTONE FARMS CLUBHOUSE,HARPERSVILLE CITY HALL,HELENA COMMUNITY CENTER,HOOVER FIRE STATION #8,MAYLENE PENTECOSTAL LIGHT,MEADOWBROOK BAPTIST,MONTEVALLO PARKS & REC_,NEW HOPE CUMBERLAND PRSBY,NEW LIFE ASSEMBLY OF GOD,NORTH SHELBY BAPTIST,PEA RIDGE COMMUNITY CTR_,PELHAM CIVIC COMPLEX,PROVISIONAL,RIVERCHASE BAPTIST,RIVERCHASE CHURCH CHRIST,ROY DOWNS MEMORIAL LIBRARY,SHELBY IRON WORKS PARK,SHOAL CREEK TOWN HALL,SILURIA BAPTIST CHURCH,SOUTHCREST BAPTIST CHURCH,SOUTHSIDE BAPTIST CHURCH,SPORTS BLASTSHELBY CO_,THE CHURCH AT BROOKHILLS,TURNER HOLLIS LEGION #195,UN METHODIST ALABASTER,UNDERWOOD BAPTIST CHURCH,UNIVERSITY BAPTIST CHURCH,VALLEYDALE BAPTIST,VANDIVER-STERETT SR_ CTR_,VINCENT REVIVAL CTR_,WILSONVILLE UN_ METHODIST,WILTON BAPTIST
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,58.0,62.0,48.0,84,6.0,88.0,2.0,4.0,33.0,20.0,53.0,26.0,49.0,4.0,59.0,87.0,5.0,25.0,5.0,128.0,27.0,4.0,73.0,32.0,50.0,43.0,14.0,6.0,90.0,0,40.0,63.0,30.0,11.0,16.0,47.0,56.0,32.0,72.0,69.0,4.0,46.0,6.0,19.0,95.0,4.0,8.0,4.0,3.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,3.0,3.0,1.0,3,1.0,1.0,0.0,2.0,2.0,2.0,1.0,12.0,4.0,3.0,5.0,1.0,2.0,0.0,2.0,6.0,1.0,1.0,1.0,9.0,2.0,12.0,1.0,0.0,3.0,0,1.0,1.0,11.0,3.0,0.0,6.0,0.0,2.0,4.0,0.0,5.0,0.0,1.0,3.0,5.0,0.0,5.0,2.0,2.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,7.0,24.0,9.0,28,2.0,14.0,1.0,2.0,8.0,7.0,11.0,9.0,3.0,1.0,13.0,14.0,1.0,8.0,0.0,18.0,10.0,1.0,12.0,5.0,18.0,9.0,4.0,4.0,25.0,0,10.0,15.0,6.0,1.0,9.0,6.0,4.0,2.0,14.0,15.0,0.0,13.0,0.0,6.0,16.0,0.0,2.0,2.0,1.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,1096.0,709.0,629.0,896,448.0,514.0,93.0,152.0,406.0,193.0,470.0,481.0,1222.0,34.0,951.0,341.0,57.0,217.0,262.0,1812.0,358.0,195.0,830.0,916.0,406.0,382.0,147.0,50.0,1473.0,0,878.0,520.0,1112.0,144.0,169.0,651.0,418.0,643.0,960.0,801.0,67.0,688.0,28.0,322.0,574.0,45.0,349.0,210.0,110.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,2079.0,2092.0,1963.0,2830,216.0,2200.0,610.0,860.0,2191.0,1235.0,1624.0,1754.0,2326.0,391.0,2690.0,1827.0,575.0,1001.0,609.0,5405.0,1422.0,563.0,2131.0,737.0,1815.0,1981.0,550.0,305.0,4445.0,0,1554.0,1794.0,2173.0,721.0,791.0,1920.0,1741.0,1826.0,3520.0,2635.0,242.0,1829.0,248.0,578.0,2355.0,529.0,753.0,1342.0,185.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,7.0,3.0,3.0,8,2.0,9.0,1.0,2.0,4.0,0.0,9.0,7.0,7.0,0.0,5.0,7.0,0.0,0.0,0.0,17.0,3.0,0.0,8.0,3.0,3.0,8.0,3.0,1.0,12.0,0,6.0,7.0,7.0,2.0,1.0,7.0,8.0,3.0,8.0,7.0,0.0,6.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,2.0,0.0,1.0,0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,68.0,56.0,46.0,92,13.0,42.0,10.0,17.0,34.0,24.0,37.0,53.0,49.0,8.0,68.0,48.0,15.0,19.0,11.0,132.0,33.0,10.0,50.0,45.0,35.0,44.0,5.0,10.0,91.0,0,40.0,39.0,40.0,14.0,11.0,29.0,38.0,29.0,68.0,62.0,5.0,36.0,3.0,13.0,46.0,8.0,14.0,22.0,7.0
18,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",DEM,David J. Putman                       ,999.0,666.0,557.0,845,437.0,477.0,86.0,125.0,349.0,172.0,413.0,426.0,1133.0,26.0,870.0,303.0,43.0,200.0,246.0,1674.0,336.0,186.0,770.0,891.0,357.0,341.0,134.0,44.0,1313.0,0,819.0,463.0,1045.0,117.0,153.0,576.0,375.0,584.0,898.0,747.0,68.0,607.0,22.0,291.0,516.0,41.0,319.0,178.0,110.0
19,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",REP,Gary Palmer                           ,2170.0,2131.0,2017.0,2880,225.0,2244.0,618.0,890.0,2244.0,1256.0,1688.0,1806.0,2408.0,398.0,2764.0,1870.0,586.0,1019.0,617.0,5519.0,1448.0,568.0,2179.0,760.0,1861.0,2022.0,560.0,313.0,4592.0,0,1603.0,1853.0,2226.0,745.0,809.0,1979.0,1790.0,1878.0,3577.0,2679.0,236.0,1897.0,246.0,601.0,2405.0,533.0,768.0,1361.0,183.0
20,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,2.0,2.0,3.0,3,0.0,5.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,4.0,0,4.0,3.0,1.0,2.0,0.0,3.0,3.0,1.0,3.0,4.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,4.0,1.0,3.0,1,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,0,2.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,77.0,60.0,62.0,96,17.0,38.0,10.0,18.0,40.0,24.0,37.0,64.0,60.0,9.0,75.0,48.0,19.0,18.0,19.0,165.0,32.0,14.0,69.0,48.0,39.0,51.0,10.0,9.0,110.0,0,50.0,41.0,59.0,16.0,11.0,49.0,37.0,40.0,79.0,75.0,10.0,49.0,11.0,22.0,59.0,8.0,30.0,37.0,9.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",2359.0,2254.0,2052.0,2973,286.0,2284.0,631.0,872.0,2255.0,1249.0,1727.0,1824.0,2626.0,394.0,2899.0,1872.0,580.0,1048.0,635.0,5769.0,1469.0,609.0,2341.0,946.0,1856.0,2052.0,573.0,313.0,4788.0,0,1780.0,1875.0,2410.0,742.0,821.0,2071.0,1843.0,1936.0,3657.0,2784.0,244.0,1988.0,242.0,644.0,2446.0,534.0,792.0,1328.0,192.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,75.0,40.0,44.0,43,19.0,28.0,0.0,9.0,21.0,14.0,16.0,13.0,71.0,6.0,53.0,16.0,2.0,16.0,7.0,107.0,17.0,10.0,54.0,53.0,18.0,25.0,3.0,1.0,76.0,0,50.0,29.0,56.0,9.0,9.0,43.0,25.0,47.0,68.0,44.0,0.0,46.0,0.0,23.0,27.0,3.0,12.0,7.0,5.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,817.0,565.0,545.0,786,376.0,452.0,83.0,152.0,360.0,190.0,397.0,462.0,903.0,33.0,763.0,335.0,66.0,173.0,241.0,1495.0,331.0,150.0,626.0,705.0,385.0,339.0,129.0,52.0,1158.0,0,648.0,458.0,870.0,130.0,143.0,495.0,336.0,519.0,833.0,677.0,70.0,526.0,37.0,248.0,509.0,45.0,311.0,241.0,105.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,2347.0,2262.0,2038.0,2990,281.0,2280.0,625.0,860.0,2256.0,1242.0,1719.0,1814.0,2612.0,392.0,2887.0,1866.0,576.0,1043.0,629.0,5734.0,1462.0,604.0,2335.0,939.0,1851.0,2047.0,572.0,310.0,4764.0,0,1757.0,1852.0,2379.0,740.0,815.0,2059.0,1827.0,1935.0,3652.0,2763.0,242.0,1983.0,239.0,645.0,2431.0,532.0,791.0,1317.0,192.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,75.0,32.0,40.0,39,15.0,26.0,1.0,11.0,16.0,9.0,17.0,12.0,72.0,4.0,44.0,12.0,2.0,13.0,7.0,100.0,16.0,10.0,49.0,46.0,20.0,21.0,2.0,1.0,71.0,0,52.0,30.0,53.0,8.0,8.0,38.0,24.0,40.0,59.0,41.0,1.0,40.0,0.0,19.0,23.0,2.0,10.0,4.0,5.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,830.0,566.0,563.0,795,384.0,459.0,88.0,162.0,364.0,202.0,405.0,473.0,921.0,37.0,782.0,343.0,70.0,181.0,247.0,1537.0,340.0,155.0,636.0,719.0,390.0,348.0,131.0,55.0,1187.0,0,669.0,477.0,904.0,133.0,150.0,512.0,354.0,528.0,848.0,701.0,71.0,539.0,40.0,251.0,527.0,48.0,315.0,255.0,105.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,2337.0,2234.0,2033.0,2967,282.0,2270.0,624.0,860.0,2250.0,1246.0,1704.0,1804.0,2590.0,396.0,2877.0,1865.0,569.0,1038.0,631.0,5715.0,1451.0,602.0,2316.0,932.0,1838.0,2038.0,568.0,313.0,4716.0,0,1754.0,1838.0,2379.0,735.0,809.0,2054.0,1821.0,1929.0,3637.0,2749.0,242.0,1975.0,241.0,644.0,2405.0,532.0,790.0,1316.0,193.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,75.0,41.0,37.0,44,17.0,26.0,1.0,9.0,16.0,5.0,19.0,9.0,73.0,2.0,44.0,9.0,4.0,13.0,8.0,96.0,20.0,10.0,51.0,45.0,19.0,23.0,4.0,1.0,76.0,0,45.0,30.0,54.0,9.0,8.0,33.0,21.0,40.0,64.0,38.0,1.0,45.0,1.0,16.0,26.0,3.0,10.0,3.0,5.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,840.0,584.0,572.0,813,382.0,469.0,89.0,164.0,370.0,202.0,418.0,485.0,941.0,35.0,794.0,349.0,75.0,186.0,244.0,1560.0,347.0,157.0,653.0,727.0,404.0,355.0,133.0,52.0,1230.0,0,679.0,494.0,904.0,137.0,156.0,522.0,363.0,534.0,858.0,718.0,71.0,541.0,37.0,255.0,551.0,47.0,317.0,257.0,104.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,2329.0,2209.0,2041.0,2951,279.0,2245.0,626.0,859.0,2230.0,1233.0,1678.0,1807.0,2577.0,397.0,2857.0,1824.0,563.0,1023.0,624.0,5681.0,1455.0,611.0,2316.0,943.0,1800.0,2037.0,565.0,308.0,4680.0,0,1733.0,1824.0,2371.0,734.0,815.0,2052.0,1812.0,1899.0,3601.0,2724.0,241.0,1972.0,240.0,641.0,2379.0,530.0,792.0,1327.0,189.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,87.0,54.0,41.0,54,20.0,41.0,4.0,13.0,25.0,17.0,37.0,15.0,95.0,4.0,57.0,27.0,7.0,16.0,11.0,116.0,21.0,10.0,58.0,52.0,43.0,32.0,8.0,2.0,106.0,0,57.0,44.0,73.0,10.0,14.0,35.0,31.0,49.0,73.0,57.0,2.0,55.0,2.0,28.0,45.0,3.0,17.0,6.0,5.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,835.0,597.0,560.0,819,382.0,479.0,84.0,161.0,380.0,203.0,426.0,477.0,932.0,32.0,800.0,372.0,78.0,198.0,248.0,1574.0,342.0,148.0,646.0,709.0,417.0,347.0,132.0,56.0,1236.0,0,688.0,494.0,893.0,137.0,144.0,522.0,362.0,554.0,885.0,724.0,71.0,535.0,37.0,246.0,558.0,49.0,308.0,243.0,108.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 3              ,DEM,Jarralynne Agee                       ,965.0,632.0,559.0,786,432.0,475.0,72.0,135.0,326.0,160.0,368.0,452.0,1136.0,30.0,841.0,297.0,43.0,188.0,246.0,1583.0,302.0,178.0,742.0,883.0,349.0,324.0,126.0,48.0,1264.0,0,778.0,439.0,1036.0,117.0,146.0,559.0,366.0,577.0,893.0,729.0,61.0,608.0,24.0,289.0,498.0,37.0,310.0,178.0,111.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 3              ,REP,Stephanie Bell                        ,2133.0,2100.0,1967.0,2829,221.0,2185.0,614.0,851.0,2214.0,1246.0,1666.0,1721.0,2360.0,392.0,2734.0,1815.0,573.0,1006.0,606.0,5460.0,1437.0,564.0,2136.0,744.0,1799.0,1984.0,547.0,298.0,4487.0,0,1572.0,1795.0,2185.0,729.0,797.0,1943.0,1744.0,1837.0,3494.0,2618.0,241.0,1861.0,236.0,573.0,2348.0,530.0,763.0,1328.0,184.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 3              ,NON,Write-In                              ,3.0,2.0,4.0,3,2.0,5.0,1.0,2.0,4.0,0.0,3.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,4.0,1.0,5.0,0.0,0.0,10.0,0,7.0,4.0,1.0,1.0,0.0,6.0,5.0,3.0,2.0,7.0,1.0,4.0,0.0,6.0,3.0,1.0,0.0,1.0,1.0
42,STATE BOARD OF EDUCATION MEMBER DISTRICT 3              ,   ,Over Votes                            ,1.0,5.0,3.0,1,4.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,2.0,2.0,0.0,5.0,0.0,1.0,6.0,0,1.0,6.0,8.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
43,STATE BOARD OF EDUCATION MEMBER DISTRICT 3              ,   ,Under Votes                           ,150.0,121.0,109.0,202,22.0,99.0,27.0,45.0,90.0,45.0,103.0,124.0,99.0,11.0,132.0,110.0,31.0,43.0,30.0,308.0,77.0,26.0,141.0,71.0,112.0,99.0,32.0,19.0,255.0,0,120.0,118.0,107.0,32.0,29.0,100.0,85.0,84.0,168.0,149.0,11.0,87.0,19.0,46.0,133.0,14.0,42.0,69.0,6.0
44,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 1     ",REP,Corey B. Moore                        ,2334.0,2222.0,2032.0,2957,279.0,2241.0,621.0,849.0,2232.0,1247.0,1701.0,1792.0,2585.0,392.0,2843.0,1821.0,568.0,1031.0,634.0,5662.0,1456.0,601.0,2314.0,939.0,1830.0,2030.0,568.0,301.0,4679.0,0,1718.0,1820.0,2356.0,741.0,803.0,2033.0,1819.0,1905.0,3621.0,2732.0,247.0,1961.0,238.0,630.0,2378.0,533.0,794.0,1316.0,187.0
45,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 1     ",NON,Write-In                              ,64.0,29.0,32.0,44,20.0,22.0,2.0,6.0,15.0,6.0,12.0,10.0,74.0,3.0,47.0,6.0,2.0,11.0,10.0,94.0,14.0,9.0,40.0,48.0,17.0,22.0,1.0,1.0,68.0,0,44.0,29.0,56.0,7.0,8.0,30.0,21.0,43.0,52.0,39.0,1.0,41.0,1.0,19.0,20.0,3.0,15.0,3.0,3.0
46,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Over Votes                            ,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Under Votes                           ,854.0,609.0,577.0,831,382.0,502.0,91.0,178.0,389.0,200.0,428.0,497.0,946.0,38.0,825.0,395.0,78.0,195.0,239.0,1615.0,348.0,159.0,667.0,717.0,414.0,364.0,136.0,64.0,1275.0,0,716.0,513.0,925.0,133.0,162.0,545.0,365.0,555.0,886.0,734.0,66.0,560.0,40.0,266.0,584.0,46.0,308.0,257.0,112.0
48,"CIRCUIT COURT JUDGE, 18TH JUDICIAL CIRCUIT, PLACE 3     ",REP,Bill Bostick                          ,2330.0,2220.0,2030.0,2972,279.0,2245.0,614.0,852.0,2227.0,1240.0,1707.0,1787.0,2584.0,391.0,2850.0,1829.0,569.0,1027.0,621.0,5641.0,1456.0,595.0,2315.0,943.0,1835.0,2026.0,573.0,304.0,4682.0,0,1720.0,1816.0,2362.0,738.0,805.0,2024.0,1816.0,1904.0,3612.0,2735.0,242.0,1957.0,240.0,632.0,2391.0,528.0,783.0,1313.0,183.0
