,Contest Title,Party,Candidate,ABERNANT BAPT CH,ABSENTEE,ALBERTA BAPTIST CH,BELK ACTIVITY CENTER,BIG SANDY BAPTIST,BOBBY MILLER ACTIVITY,BUHL VFD STATION,CARROLLS CREEK BAPT,CHAPEL HILL BAPT,CHURCH OF THE HIGHLANDS,COALING TOWN HALL,COKER FIRE DEPT_,COMM CH COTTONDALE,CORNERSTONE BAPT CH,COTTONDALE METH CH,COUNTY ROAD CAMP #3,DUNCANVILLE MIDDLE SCHOOL,ECHOLA VFD,ELROD VFD STATION,FLATWOODS BAPT,FOREST LAKE METH,FOSTERS FIRE DEPT_,G G HARDIN COMM CENTER,HAGLER COMMUNITY CENTER,HOLT ELEMENTARY,KELLERMAN ANTIOCH BAPT,LAKEVIEW BAPT CH,MARY PHELPS CENTER,MAYFIELD FIRE,MCABEE CENTER,MCDONALD HUGHES CC,MONTGOMERY FIRE DEPT_,MOUNT OLIVE BAPTIST CH,MOUNT PILGRIM BAPTIST CH,NEW ZION MISSIONARY CH,NORTHPORT CITY HALL,NORTHPORT COM CENTER,NORTHSIDE LIONS CLUB,OLD REX APPLIANCE BLDG_,PETERSON COMMUNITY CH,PROVISIONAL,RALPH FIRE DEPT_,ROMULUS FIRE DEPT_,SHERIFF'S FIRING RANGE,STATION 2 CARROLLS CREEK,STILLMAN COLL HAYS CTR,TANNEHILL VLY BAPT,TUSCAL CRTHOUSE ANNEX,U OF A STUDENT REC/CTR_,UNITY BAPT,UNIVERSITY MALL,VANCE TOWN HALL,VESTAVIA HILLS ELEM,WHITSON CHURCH OF CHRIST,WINDHAM SPRINGS BAPT,YELLOW CREEK BAPTIST CH
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,7.0,47,27.0,37.0,18.0,42.0,2.0,31.0,28.0,82.0,9.0,3.0,23.0,5.0,9.0,2.0,16.0,1.0,1.0,17.0,16.0,9.0,13.0,2.0,13.0,3.0,20.0,82.0,1.0,31.0,5.0,2.0,12.0,28.0,8.0,38.0,22.0,8.0,18.0,1.0,0,4.0,1.0,2.0,6.0,9.0,9.0,26.0,52.0,3.0,37.0,10.0,49.0,0.0,1.0,4.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0.0,13,10.0,12.0,7.0,6.0,2.0,5.0,2.0,2.0,7.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,8.0,0.0,0.0,2.0,0,1.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,1.0,9,8.0,9.0,5.0,7.0,1.0,8.0,9.0,28.0,4.0,2.0,5.0,0.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,5.0,2.0,0.0,0.0,1.0,3.0,30.0,1.0,5.0,3.0,1.0,3.0,5.0,3.0,14.0,6.0,2.0,5.0,2.0,0,0.0,0.0,0.0,5.0,11.0,5.0,7.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,1.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,95.0,1065,1727.0,2555.0,1055.0,2131.0,38.0,362.0,355.0,928.0,248.0,72.0,441.0,871.0,261.0,104.0,439.0,29.0,28.0,620.0,259.0,420.0,148.0,19.0,1013.0,14.0,288.0,738.0,18.0,1002.0,1882.0,74.0,155.0,1620.0,600.0,938.0,869.0,82.0,1606.0,114.0,11,184.0,53.0,10.0,144.0,2371.0,257.0,432.0,815.0,288.0,832.0,207.0,634.0,2.0,21.0,58.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,708.0,1724,965.0,1750.0,1572.0,3169.0,344.0,2528.0,1620.0,2806.0,1261.0,626.0,973.0,172.0,744.0,407.0,1356.0,231.0,223.0,1355.0,385.0,590.0,1101.0,214.0,452.0,149.0,2005.0,2611.0,80.0,905.0,77.0,724.0,945.0,666.0,232.0,2291.0,879.0,650.0,405.0,533.0,23,392.0,254.0,224.0,825.0,184.0,1407.0,626.0,1299.0,101.0,927.0,959.0,1556.0,37.0,164.0,517.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,2.0,4,4.0,9.0,6.0,9.0,0.0,3.0,5.0,5.0,5.0,0.0,5.0,3.0,1.0,2.0,6.0,0.0,0.0,5.0,2.0,3.0,2.0,0.0,1.0,0.0,7.0,5.0,0.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0,0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0.0,1,4.0,5.0,4.0,8.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,15.0,59,47.0,65.0,40.0,96.0,4.0,43.0,43.0,70.0,23.0,14.0,22.0,22.0,12.0,11.0,28.0,6.0,3.0,26.0,13.0,16.0,4.0,4.0,24.0,2.0,26.0,50.0,1.0,36.0,28.0,9.0,16.0,42.0,16.0,45.0,30.0,16.0,34.0,12.0,0,12.0,2.0,3.0,12.0,56.0,15.0,24.0,52.0,3.0,39.0,18.0,49.0,0.0,2.0,12.0
18,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",REP,Robert Aderholt                       ,,816,,,,,337.0,2563.0,1658.0,2824.0,,626.0,,,,409.0,,241.0,221.0,35.0,,,1122.0,,,147.0,,2635.0,86.0,,,718.0,981.0,,18.0,2376.0,,653.0,,,9,,244.0,215.0,824.0,,,,,,,,1640.0,36.0,169.0,522.0
19,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,,17,,,,,2.0,25.0,20.0,58.0,,2.0,,,,7.0,,0.0,4.0,0.0,,,17.0,,,0.0,,49.0,0.0,,,2.0,6.0,,10.0,76.0,,2.0,,,1,,5.0,1.0,6.0,,,,,,,,50.0,0.0,1.0,2.0
20,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,,0,,,,,0.0,1.0,1.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,0,,0.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,,286,,,,,47.0,348.0,346.0,929.0,,84.0,,,,108.0,,25.0,29.0,15.0,,,116.0,,,18.0,,724.0,13.0,,,88.0,132.0,,116.0,828.0,,93.0,,,1,,60.0,21.0,153.0,,,,,,,,556.0,3.0,18.0,63.0
22,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",DEM,Terri A. Sewell                       ,244.0,971,2053.0,3090.0,1524.0,3035.0,,,,,540.0,,679.0,965.0,440.0,,812.0,,,919.0,400.0,563.0,,57.0,1201.0,,674.0,,,1241.0,1932.0,,,1869.0,548.0,,1134.0,,1768.0,237.0,12,275.0,,,,2503.0,530.0,688.0,1436.0,325.0,1115.0,464.0,,,,
23,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,46.0,42,59.0,79.0,98.0,145.0,,,,,60.0,,42.0,13.0,41.0,,83.0,,,62.0,30.0,35.0,,8.0,17.0,,122.0,,,41.0,5.0,,,34.0,10.0,,31.0,,13.0,28.0,1,15.0,,,,5.0,71.0,55.0,72.0,2.0,37.0,43.0,,,,
24,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0.0,2,2.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,,0.0,2.0,,0.0,,,0.0,0.0,,,1.0,0.0,,0.0,,0.0,0.0,0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,
25,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,530.0,700,633.0,1214.0,1054.0,2233.0,,,,,937.0,,720.0,90.0,537.0,,934.0,,,979.0,229.0,431.0,,172.0,270.0,,1530.0,,,664.0,51.0,,,428.0,147.0,,615.0,,267.0,398.0,9,298.0,,,,109.0,1080.0,339.0,661.0,66.0,651.0,679.0,,,,
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",718.0,1771,1212.0,2093.0,1651.0,3373.0,331.0,2525.0,1631.0,2773.0,1234.0,615.0,1029.0,276.0,773.0,406.0,1415.0,234.0,221.0,1372.0,450.0,603.0,1115.0,208.0,615.0,145.0,2045.0,2605.0,84.0,1014.0,153.0,706.0,967.0,878.0,282.0,2336.0,963.0,644.0,575.0,533.0,22,377.0,238.0,211.0,815.0,341.0,1428.0,701.0,1623.0,111.0,1079.0,974.0,1615.0,36.0,165.0,519.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,5.0,49,118.0,169.0,71.0,147.0,2.0,21.0,17.0,52.0,10.0,2.0,37.0,54.0,19.0,5.0,29.0,0.0,2.0,31.0,17.0,25.0,16.0,0.0,71.0,0.0,12.0,40.0,0.0,53.0,62.0,1.0,8.0,117.0,30.0,66.0,56.0,2.0,79.0,2.0,1,3.0,3.0,1.0,6.0,103.0,20.0,30.0,62.0,7.0,64.0,7.0,41.0,1.0,1.0,1.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,97.0,1003,1417.0,2122.0,955.0,1893.0,53.0,391.0,377.0,986.0,293.0,95.0,375.0,738.0,226.0,113.0,385.0,32.0,31.0,606.0,192.0,401.0,124.0,29.0,803.0,20.0,269.0,763.0,15.0,878.0,1773.0,101.0,144.0,1337.0,537.0,878.0,761.0,102.0,1394.0,128.0,10,208.0,68.0,25.0,162.0,2173.0,233.0,352.0,483.0,275.0,660.0,205.0,591.0,2.0,22.0,67.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,712.0,1764,1215.0,2087.0,1654.0,3353.0,330.0,2530.0,1629.0,2782.0,1239.0,615.0,1018.0,284.0,773.0,405.0,1408.0,233.0,216.0,1376.0,451.0,603.0,1111.0,207.0,610.0,146.0,2040.0,2607.0,80.0,1021.0,148.0,705.0,966.0,870.0,282.0,2328.0,967.0,641.0,580.0,534.0,22,376.0,236.0,214.0,817.0,324.0,1420.0,707.0,1633.0,114.0,1075.0,971.0,1617.0,36.0,166.0,521.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,6.0,44,111.0,159.0,62.0,135.0,2.0,16.0,15.0,42.0,8.0,1.0,38.0,46.0,17.0,3.0,28.0,0.0,4.0,27.0,17.0,25.0,13.0,1.0,66.0,0.0,11.0,35.0,0.0,51.0,56.0,1.0,8.0,110.0,27.0,64.0,48.0,3.0,70.0,2.0,1,5.0,3.0,1.0,5.0,99.0,16.0,30.0,56.0,7.0,63.0,9.0,37.0,1.0,1.0,1.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,102.0,1014,1421.0,2136.0,961.0,1924.0,54.0,391.0,380.0,986.0,290.0,96.0,385.0,738.0,228.0,116.0,393.0,33.0,34.0,607.0,191.0,401.0,131.0,29.0,813.0,19.0,275.0,766.0,19.0,874.0,1784.0,102.0,145.0,1352.0,540.0,887.0,765.0,104.0,1398.0,127.0,10,207.0,70.0,22.0,161.0,2194.0,245.0,346.0,479.0,272.0,666.0,206.0,593.0,2.0,21.0,65.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,716.0,1767,1204.0,2077.0,1655.0,3334.0,332.0,2527.0,1629.0,2743.0,1237.0,623.0,1022.0,281.0,775.0,403.0,1406.0,234.0,221.0,1388.0,449.0,607.0,1115.0,211.0,613.0,145.0,2035.0,2595.0,82.0,1011.0,145.0,704.0,965.0,860.0,281.0,2334.0,961.0,643.0,577.0,533.0,21,375.0,238.0,214.0,819.0,313.0,1421.0,687.0,1618.0,112.0,1067.0,977.0,1615.0,35.0,166.0,521.0
35,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,4.0,45,115.0,159.0,58.0,137.0,2.0,20.0,16.0,47.0,10.0,2.0,37.0,46.0,18.0,4.0,32.0,0.0,3.0,27.0,18.0,24.0,12.0,0.0,71.0,0.0,9.0,40.0,0.0,48.0,62.0,1.0,9.0,109.0,27.0,63.0,50.0,2.0,73.0,3.0,1,6.0,2.0,1.0,4.0,100.0,14.0,33.0,58.0,7.0,70.0,8.0,43.0,1.0,1.0,1.0
36,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,100.0,1009,1428.0,2148.0,964.0,1941.0,52.0,390.0,380.0,1021.0,290.0,87.0,382.0,741.0,225.0,117.0,391.0,32.0,30.0,594.0,192.0,398.0,128.0,26.0,806.0,20.0,281.0,773.0,17.0,887.0,1781.0,103.0,145.0,1363.0,541.0,883.0,769.0,103.0,1398.0,127.0,11,207.0,69.0,22.0,160.0,2204.0,246.0,363.0,493.0,274.0,667.0,201.0,589.0,3.0,21.0,65.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,716.0,1767,1207.0,2060.0,1659.0,3353.0,328.0,2520.0,1615.0,2729.0,1240.0,618.0,1019.0,291.0,770.0,403.0,1420.0,235.0,222.0,1381.0,449.0,603.0,1112.0,206.0,619.0,150.0,2043.0,2588.0,82.0,1022.0,149.0,704.0,968.0,883.0,287.0,2340.0,971.0,642.0,585.0,529.0,22,375.0,239.0,211.0,813.0,332.0,1429.0,682.0,1613.0,113.0,1070.0,976.0,1620.0,35.0,166.0,518.0
39,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,6.0,43,114.0,180.0,64.0,151.0,2.0,24.0,27.0,56.0,10.0,1.0,40.0,50.0,19.0,7.0,31.0,3.0,1.0,32.0,16.0,26.0,15.0,0.0,71.0,1.0,19.0,55.0,0.0,56.0,68.0,3.0,8.0,112.0,28.0,74.0,57.0,3.0,68.0,3.0,1,5.0,3.0,1.0,6.0,108.0,20.0,38.0,63.0,8.0,73.0,12.0,41.0,0.0,1.0,1.0
40,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
41,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,98.0,1010,1425.0,2143.0,954.0,1909.0,56.0,393.0,382.0,1026.0,287.0,93.0,382.0,727.0,229.0,114.0,377.0,28.0,31.0,597.0,194.0,401.0,128.0,31.0,799.0,14.0,264.0,764.0,17.0,868.0,1771.0,101.0,142.0,1337.0,534.0,866.0,752.0,103.0,1395.0,131.0,10,208.0,67.0,25.0,164.0,2176.0,232.0,362.0,492.0,272.0,657.0,198.0,585.0,4.0,21.0,68.0
42,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,REP,Jeff Newman                           ,,235,,,,,,2495.0,1547.0,,,,,,,403.0,,233.0,220.0,182.0,,,,,,,,,84.0,,,705.0,960.0,,,,,639.0,,,3,,,210.0,811.0,,,,,,,,,35.0,164.0,417.0
43,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,NON,Write-In                              ,,2,,,,,,17.0,8.0,,,,,,,3.0,,0.0,1.0,0.0,,,,,,,,,0.0,,,0.0,8.0,,,,,2.0,,,0,,,2.0,4.0,,,,,,,,,0.0,0.0,1.0
44,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,   ,Over Votes                            ,,0,,,,,,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,,0.0,1.0,,,,,0.0,,,0,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0
45,STATE BOARD OF EDUCATION MEMBER DISTRICT 7              ,   ,Under Votes                           ,,74,,,,,,416.0,350.0,,,,,,,118.0,,33.0,33.0,66.0,,,,,,,,,15.0,,,103.0,150.0,,,,,107.0,,,1,,,25.0,168.0,,,,,,,,,4.0,24.0,55.0
46,"CIRCUIT COURT JUDGE, 6TH JUDICIAL CIRCUIT, PLACE 1      ",REP,Michael Bradley Almond                ,709.0,1775,1223.0,2063.0,1641.0,3338.0,326.0,2517.0,1617.0,2831.0,1237.0,611.0,1022.0,290.0,767.0,406.0,1405.0,232.0,216.0,1364.0,442.0,595.0,1112.0,206.0,623.0,145.0,2028.0,2636.0,80.0,1016.0,160.0,698.0,956.0,875.0,285.0,2328.0,968.0,635.0,576.0,525.0,23,372.0,230.0,207.0,811.0,338.0,1410.0,714.0,1617.0,115.0,1072.0,959.0,1615.0,34.0,165.0,517.0
47,"CIRCUIT COURT JUDGE, 6TH JUDICIAL CIRCUIT, PLACE 1      ",NON,Write-In                              ,4.0,38,100.0,155.0,51.0,125.0,2.0,13.0,17.0,35.0,9.0,2.0,34.0,44.0,17.0,2.0,31.0,0.0,3.0,27.0,13.0,25.0,9.0,0.0,59.0,1.0,10.0,33.0,0.0,51.0,64.0,1.0,9.0,99.0,27.0,54.0,47.0,1.0,65.0,1.0,1,4.0,4.0,2.0,4.0,103.0,13.0,26.0,52.0,8.0,59.0,10.0,33.0,0.0,0.0,1.0
