,Contest Title,Party,Candidate,ABSENTEE,BACON LEVEL,BETHEL,CAVERS GROVE,CORINTH,GRAHAM,LEVEL ROAD,MIDWAY,MOORES STORE,MORRISON XR FD,NATIONAL GUARD ARMORY #1,NATIONAL GUARD ARMORY #2,NATIONAL GUARD ARMORY #3,NEW HOPE,OMAHA,OPHELIA,PINE HILL,PROVISIONAL,ROCK MILLS,SWAGG,TIN SHOP FD,WADLEY,WEDOWEE CITY HALL #1,WEDOWEE CITY HALL #2,WEHADKEE,WESLEY CHAPEL,WILSON STORE,WOODLAND FIRE DEPT_ 1
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,12,9.0,9.0,9.0,14.0,7.0,11.0,23.0,16.0,12.0,15.0,24.0,34.0,8.0,15.0,11.0,16.0,0.0,5.0,12.0,22.0,8.0,37.0,7.0,2.0,3.0,5.0,35.0
18,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",DEM,Jesse Smith                           ,100,52.0,12.0,32.0,25.0,31.0,67.0,127.0,27.0,91.0,229.0,357.0,527.0,27.0,15.0,23.0,32.0,0.0,27.0,45.0,32.0,84.0,196.0,93.0,14.0,21.0,36.0,65.0
19,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",REP,Mike Rogers                           ,417,249.0,168.0,236.0,231.0,187.0,267.0,233.0,242.0,206.0,465.0,501.0,636.0,119.0,187.0,159.0,256.0,0.0,210.0,253.0,406.0,258.0,597.0,255.0,50.0,144.0,122.0,451.0
20,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",NON,Write-In                              ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Under Votes                           ,12,6.0,3.0,9.0,12.0,10.0,13.0,21.0,19.0,12.0,14.0,23.0,33.0,8.0,15.0,8.0,9.0,0.0,3.0,7.0,25.0,7.0,38.0,5.0,2.0,6.0,2.0,36.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",384,208.0,150.0,211.0,211.0,179.0,264.0,212.0,186.0,186.0,434.0,498.0,605.0,99.0,162.0,150.0,239.0,0.0,192.0,238.0,346.0,231.0,566.0,244.0,40.0,135.0,107.0,404.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,4,4.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,8.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,3.0,1.0,2.0,1.0,1.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,104,95.0,31.0,64.0,56.0,46.0,82.0,165.0,98.0,118.0,272.0,375.0,575.0,55.0,54.0,40.0,58.0,0.0,48.0,67.0,117.0,118.0,260.0,107.0,25.0,35.0,52.0,147.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,382,209.0,150.0,206.0,202.0,176.0,263.0,215.0,183.0,185.0,430.0,493.0,603.0,100.0,158.0,152.0,237.0,0.0,190.0,233.0,343.0,226.0,568.0,240.0,40.0,133.0,107.0,396.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,4,3.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,105,95.0,32.0,70.0,64.0,49.0,82.0,162.0,103.0,120.0,276.0,379.0,576.0,54.0,59.0,38.0,60.0,0.0,50.0,71.0,120.0,124.0,260.0,109.0,25.0,36.0,52.0,155.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,376,208.0,151.0,203.0,203.0,179.0,263.0,213.0,183.0,185.0,431.0,484.0,599.0,100.0,158.0,152.0,236.0,0.0,191.0,235.0,340.0,223.0,558.0,240.0,40.0,132.0,108.0,394.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,4,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,3.0,1.0,4.0,0.0,1.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,110,96.0,31.0,73.0,64.0,47.0,84.0,165.0,103.0,120.0,277.0,388.0,580.0,54.0,59.0,38.0,61.0,0.0,49.0,69.0,123.0,127.0,269.0,111.0,25.0,35.0,52.0,157.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,373,206.0,145.0,211.0,208.0,176.0,258.0,214.0,182.0,177.0,422.0,483.0,588.0,101.0,156.0,151.0,229.0,0.0,185.0,232.0,331.0,220.0,560.0,241.0,34.0,137.0,107.0,393.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,5,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,6.0,3.0,7.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,5.0,2.0,2.0,5.0,2.0,1.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,111,98.0,36.0,64.0,59.0,50.0,90.0,164.0,105.0,126.0,283.0,391.0,590.0,52.0,59.0,39.0,68.0,0.0,55.0,70.0,131.0,128.0,267.0,111.0,30.0,30.0,51.0,158.0
39,"CIRCUIT COURT JUDGE, 5TH JUDICIAL CIRCUIT, PLACE 1      ",DEM,Ray D. Martin                         ,179,114.0,46.0,78.0,89.0,76.0,137.0,193.0,63.0,153.0,366.0,513.0,705.0,39.0,69.0,49.0,92.0,0.0,80.0,112.0,143.0,164.0,323.0,151.0,28.0,46.0,67.0,173.0
40,"CIRCUIT COURT JUDGE, 5TH JUDICIAL CIRCUIT, PLACE 1      ",NON,Write-In                              ,7,2.0,1.0,10.0,7.0,5.0,6.0,6.0,8.0,5.0,16.0,10.0,21.0,1.0,5.0,3.0,8.0,0.0,4.0,11.0,8.0,9.0,18.0,8.0,3.0,10.0,3.0,12.0
41,"CIRCUIT COURT JUDGE, 5TH JUDICIAL CIRCUIT, PLACE 1      ",   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"CIRCUIT COURT JUDGE, 5TH JUDICIAL CIRCUIT, PLACE 1      ",   ,Under Votes                           ,290,191.0,136.0,189.0,171.0,147.0,206.0,182.0,217.0,150.0,327.0,358.0,471.0,114.0,143.0,138.0,197.0,0.0,156.0,182.0,313.0,180.0,491.0,195.0,35.0,116.0,90.0,367.0
43,"DISTRICT ATTORNEY, 5TH JUDICIAL CIRCUIT                 ",DEM,Jeremy Duerr                          ,138,79.0,25.0,43.0,54.0,42.0,97.0,180.0,70.0,119.0,299.0,421.0,615.0,33.0,37.0,27.0,50.0,0.0,56.0,64.0,95.0,161.0,266.0,122.0,24.0,37.0,44.0,128.0
44,"DISTRICT ATTORNEY, 5TH JUDICIAL CIRCUIT                 ",REP,"William G. ""Bill"" Harris              ",347,198.0,141.0,199.0,186.0,174.0,237.0,176.0,180.0,154.0,365.0,411.0,507.0,95.0,150.0,144.0,222.0,0.0,171.0,211.0,321.0,169.0,503.0,213.0,35.0,121.0,103.0,361.0
45,"DISTRICT ATTORNEY, 5TH JUDICIAL CIRCUIT                 ",NON,Write-In                              ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
46,"DISTRICT ATTORNEY, 5TH JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
47,"DISTRICT ATTORNEY, 5TH JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,34,30.0,17.0,35.0,28.0,12.0,14.0,25.0,37.0,33.0,45.0,49.0,72.0,25.0,30.0,19.0,25.0,0.0,13.0,29.0,47.0,21.0,63.0,18.0,7.0,12.0,13.0,61.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,258,136.0,88.0,118.0,107.0,95.0,149.0,185.0,98.0,132.0,360.0,430.0,617.0,62.0,94.0,58.0,138.0,0.0,103.0,123.0,174.0,143.0,370.0,166.0,33.0,69.0,76.0,224.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,97,63.0,50.0,80.0,73.0,68.0,117.0,88.0,82.0,66.0,156.0,190.0,206.0,42.0,51.0,61.0,76.0,0.0,57.0,85.0,156.0,113.0,220.0,83.0,14.0,47.0,28.0,164.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,130,108.0,45.0,79.0,88.0,65.0,83.0,108.0,108.0,111.0,193.0,261.0,374.0,50.0,72.0,71.0,83.0,0.0,80.0,97.0,133.0,97.0,242.0,105.0,19.0,56.0,56.0,164.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,302,168.0,107.0,156.0,167.0,131.0,200.0,214.0,128.0,172.0,420.0,517.0,705.0,96.0,121.0,119.0,181.0,0.0,140.0,176.0,257.0,212.0,513.0,211.0,29.0,98.0,85.0,329.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,89,53.0,39.0,63.0,46.0,45.0,86.0,76.0,72.0,54.0,117.0,125.0,153.0,23.0,31.0,41.0,55.0,0.0,34.0,48.0,115.0,66.0,134.0,66.0,18.0,36.0,33.0,101.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,95,86.0,37.0,58.0,55.0,52.0,62.0,91.0,88.0,82.0,172.0,239.0,339.0,35.0,65.0,30.0,61.0,0.0,66.0,81.0,92.0,75.0,185.0,77.0,19.0,38.0,42.0,122.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,187,109.0,79.0,103.0,95.0,84.0,116.0,128.0,71.0,106.0,228.0,266.0,384.0,60.0,76.0,63.0,93.0,0.0,78.0,115.0,138.0,127.0,351.0,136.0,24.0,68.0,51.0,195.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,132,73.0,51.0,81.0,75.0,70.0,140.0,118.0,85.0,79.0,251.0,303.0,383.0,35.0,47.0,59.0,88.0,0.0,64.0,84.0,164.0,106.0,196.0,91.0,20.0,50.0,51.0,164.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,162,125.0,53.0,93.0,98.0,74.0,93.0,135.0,132.0,124.0,230.0,310.0,430.0,59.0,94.0,68.0,116.0,0.0,98.0,106.0,162.0,120.0,285.0,127.0,22.0,54.0,58.0,193.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,246,150.0,85.0,130.0,120.0,106.0,167.0,176.0,95.0,141.0,360.0,443.0,610.0,69.0,92.0,71.0,121.0,0.0,106.0,124.0,180.0,164.0,421.0,175.0,31.0,70.0,68.0,247.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,88,46.0,50.0,72.0,66.0,54.0,104.0,84.0,80.0,57.0,149.0,161.0,187.0,32.0,45.0,56.0,78.0,0.0,48.0,81.0,144.0,81.0,163.0,68.0,13.0,50.0,37.0,126.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,149,111.0,48.0,75.0,82.0,68.0,78.0,121.0,113.0,111.0,199.0,276.0,400.0,53.0,80.0,63.0,98.0,0.0,86.0,100.0,140.0,108.0,248.0,111.0,22.0,52.0,55.0,179.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,194,86.0,59.0,97.0,93.0,71.0,97.0,101.0,60.0,101.0,208.0,257.0,366.0,52.0,57.0,56.0,104.0,0.0,73.0,120.0,116.0,103.0,302.0,127.0,19.0,58.0,42.0,171.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,128,105.0,64.0,81.0,76.0,82.0,159.0,144.0,101.0,82.0,288.0,335.0,423.0,42.0,60.0,69.0,74.0,0.0,65.0,91.0,181.0,124.0,255.0,107.0,22.0,56.0,56.0,172.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,163,116.0,60.0,99.0,99.0,74.0,92.0,136.0,127.0,126.0,212.0,289.0,406.0,60.0,100.0,65.0,119.0,0.0,102.0,94.0,166.0,126.0,274.0,120.0,25.0,58.0,62.0,209.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,162,100.0,50.0,88.0,91.0,65.0,88.0,119.0,75.0,83.0,200.0,241.0,357.0,34.0,50.0,52.0,79.0,0.0,58.0,106.0,113.0,111.0,299.0,131.0,19.0,55.0,37.0,166.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,136,82.0,65.0,75.0,69.0,85.0,159.0,118.0,79.0,89.0,271.0,327.0,410.0,51.0,59.0,68.0,87.0,0.0,67.0,101.0,169.0,110.0,231.0,90.0,21.0,55.0,52.0,162.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,179,125.0,68.0,114.0,108.0,78.0,102.0,144.0,134.0,137.0,238.0,313.0,428.0,69.0,107.0,70.0,131.0,0.0,115.0,98.0,182.0,132.0,302.0,133.0,26.0,62.0,71.0,224.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,141,85.0,44.0,76.0,66.0,62.0,79.0,93.0,60.0,86.0,194.0,232.0,282.0,29.0,53.0,41.0,70.0,0.0,69.0,95.0,103.0,95.0,249.0,116.0,20.0,48.0,35.0,130.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,83,59.0,36.0,64.0,57.0,70.0,115.0,98.0,55.0,60.0,215.0,276.0,374.0,30.0,32.0,47.0,60.0,0.0,35.0,83.0,130.0,73.0,171.0,73.0,16.0,43.0,42.0,111.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,240,163.0,103.0,137.0,145.0,96.0,154.0,190.0,173.0,163.0,300.0,373.0,541.0,95.0,132.0,102.0,167.0,0.0,136.0,127.0,231.0,185.0,412.0,165.0,30.0,81.0,83.0,311.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,247,132.0,101.0,122.0,114.0,92.0,141.0,156.0,100.0,117.0,278.0,330.0,426.0,51.0,83.0,66.0,136.0,0.0,95.0,132.0,191.0,140.0,376.0,170.0,24.0,67.0,61.0,236.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,91,62.0,29.0,59.0,53.0,69.0,113.0,91.0,60.0,67.0,218.0,261.0,369.0,38.0,31.0,59.0,49.0,0.0,43.0,81.0,116.0,88.0,201.0,76.0,19.0,42.0,34.0,124.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,142,113.0,53.0,96.0,101.0,67.0,95.0,134.0,128.0,125.0,212.0,290.0,402.0,65.0,103.0,65.0,112.0,0.0,102.0,92.0,157.0,125.0,254.0,108.0,23.0,63.0,65.0,192.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,136,72.0,36.0,72.0,48.0,64.0,74.0,84.0,49.0,69.0,156.0,198.0,260.0,27.0,51.0,29.0,63.0,0.0,59.0,79.0,100.0,73.0,210.0,86.0,13.0,42.0,28.0,115.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,91,70.0,43.0,58.0,70.0,62.0,120.0,100.0,61.0,63.0,242.0,283.0,389.0,28.0,33.0,51.0,72.0,0.0,46.0,93.0,131.0,89.0,195.0,96.0,15.0,44.0,43.0,145.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,236,165.0,104.0,147.0,150.0,102.0,155.0,197.0,178.0,177.0,311.0,400.0,547.0,99.0,133.0,110.0,162.0,0.0,135.0,133.0,233.0,191.0,427.0,172.0,38.0,86.0,89.0,292.0
