,Contest Title,Party,Candidate,ABSENTEE,ALABAMA NATIONAL GUARD,ARGO TOWN HALL,ASHVILLE CITY HALL,BRANCHVILLE CUMBERLAND,CEDAR GROVE BAPTIST,CELEBRATIONS,CHANDLER MT COMM CTR,COOK SPRINGS VFD,FAIRVIEW CHURCH,FRIENDSHIP VFD,GALLANT VFD,GUM SPRINGS CHURCH,MOODY CITY HALL,NEW HOPE BAPTIST,NEW LONDON VFD,NORTH VALLEY CHURCH,ODENVILLE CIVIC CENTER,PELL CITY CIVIC CENTER,PELL CITY COMMUNITY CTR,PINEDALE VFD,POPLAR SPRINGS CHURCH,PRESCOTT COMMUNITY CTR,PROVISIONAL,RAGLAND TOWN HALL,RIVERSIDE TOWN HALL,SHOAL CREEK COMM CTR,SLATE UNION CHURCH,STEELE COMMUNITY CTR,WATTSVILLE VFD,WHITES CHAPEL TOWN HALL,WOLF CREEK VFD
22,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Under Votes                           ,35,72,42,37,31,20,27,7,29,5,19,3,7,90,10,19,25,33,55,44,12,7,24,0.0,33,15,17,19,25,18,16,9
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",1093,3533,2289,680,1444,933,1301,142,854,137,979,115,379,4031,716,709,1575,1512,2217,1763,509,333,679,0.0,743,925,342,415,472,823,639,313
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,2,23,26,14,11,13,11,0,6,1,9,1,0,56,4,9,24,6,20,54,8,4,7,0.0,9,7,1,4,1,5,15,2
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0.0,0,0,0,0,0,0,0,0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,242,423,316,354,152,140,165,28,88,19,126,25,50,667,89,138,390,144,457,565,41,69,70,0.0,202,160,59,47,105,81,125,32
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,1067,3492,2272,669,1428,920,1282,135,847,131,968,110,378,3977,703,694,1561,1492,2182,1740,500,333,666,0.0,716,905,336,407,463,819,635,310
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,2,19,24,12,10,13,12,1,5,1,8,0,0,54,4,10,23,6,18,41,7,1,10,0.0,10,5,0,2,2,2,15,1
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0.0,0,0,0,0,0,0,0,0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,268,469,335,367,169,153,183,34,96,25,138,31,51,723,102,152,404,164,491,602,51,72,80,0.0,228,182,66,57,113,88,129,36
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,1072,3494,2272,672,1426,917,1279,136,842,132,974,110,377,3959,698,695,1560,1490,2176,1743,495,335,668,0.0,716,905,342,407,459,815,636,310
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,3,17,21,9,10,14,11,0,5,0,4,0,0,61,4,9,20,6,16,46,8,1,7,0.0,9,3,0,2,3,2,17,1
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0,0,0,0,0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,262,469,338,367,171,155,187,34,100,25,136,31,52,732,107,152,410,166,501,594,55,70,81,0.0,229,184,60,57,116,92,126,36
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,1061,3480,2277,659,1417,911,1254,137,847,132,968,111,377,3920,693,688,1546,1493,2179,1742,499,338,670,0.0,722,906,338,404,467,819,627,308
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,8,38,28,17,16,18,22,0,6,0,6,1,0,80,5,8,31,11,25,49,6,2,9,0.0,12,7,0,1,3,5,18,2
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,1,0.0,0,0,0,0,0,0,0,0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,267,462,326,372,174,157,201,33,95,25,140,29,52,753,111,160,412,156,490,593,53,66,76,0.0,220,179,64,61,108,85,134,37
39,"CIRCUIT COURT JUDGE, 30TH JUDICIAL CIRCUIT, PLACE 1     ",REP,"Bill Weathington, Jr.                 ",1057,3478,2262,664,1426,919,1267,136,841,130,976,109,371,3979,691,690,1543,1493,2181,1735,490,334,665,0.0,710,913,335,403,455,813,628,304
40,"CIRCUIT COURT JUDGE, 30TH JUDICIAL CIRCUIT, PLACE 1     ",NON,Write-In                              ,3,21,20,12,9,12,12,0,5,1,3,0,2,55,5,9,27,9,14,39,8,4,7,0.0,13,3,0,1,2,4,16,3
41,"CIRCUIT COURT JUDGE, 30TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Over Votes                            ,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0.0,0,0,1,0,0,0,1,0
42,"CIRCUIT COURT JUDGE, 30TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Under Votes                           ,277,480,349,371,172,155,198,34,102,26,135,32,56,718,113,157,419,160,499,611,60,68,84,0.0,231,176,66,62,121,92,134,40
43,"DISTRICT ATTORNEY, 30TH JUDICIAL CIRCUIT                ",REP,Richard Minor                         ,1060,3474,2256,668,1415,912,1283,135,848,131,972,107,371,3939,706,693,1540,1479,2236,1772,496,339,668,0.0,716,916,335,401,457,822,628,306
44,"DISTRICT ATTORNEY, 30TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,5,24,26,13,14,13,15,0,7,2,7,1,2,57,8,17,26,16,22,48,7,2,7,0.0,15,7,1,1,3,7,16,5
45,"DISTRICT ATTORNEY, 30TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,1,0,0
46,"DISTRICT ATTORNEY, 30TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,272,481,348,366,178,161,179,35,93,24,135,33,56,758,95,146,424,167,436,564,55,65,81,0.0,223,169,66,64,118,79,135,36
47,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,615,2229,1502,544,934,622,841,64,451,81,580,61,208,2799,430,480,1106,858,1424,1367,290,205,386,0.0,485,567,204,218,303,465,439,202
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,229,974,649,206,346,244,324,23,253,37,310,34,124,1091,184,199,476,470,660,549,132,118,163,0.0,209,257,123,107,123,215,173,61
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,3,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,2,1,1,0,0,0,0.0,1,0,0,0,0,1,0,0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,493,774,480,297,327,219,311,83,244,39,222,46,97,863,195,177,408,332,610,468,136,83,207,0.0,259,268,75,141,152,228,167,84
51,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,719,2816,1840,654,1161,720,1007,79,631,111,773,83,285,3459,540,579,1348,1161,1811,1613,344,278,496,0.0,610,731,280,304,372,598,551,236
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,208,727,478,194,266,224,305,26,182,24,230,23,88,821,149,164,378,333,516,464,111,79,115,0.0,190,180,80,78,125,168,118,52
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,4,7,4,1,1,1,2,0,0,0,1,0,0,5,1,1,1,3,4,1,0,0,0,0.0,0,0,0,0,1,0,1,0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,406,430,309,199,179,141,163,65,135,22,110,35,56,469,119,112,263,165,364,307,103,49,145,0.0,154,181,42,84,80,143,109,59
55,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,452,1889,1299,390,795,522,720,37,408,61,501,40,178,2418,336,384,924,741,1199,1073,240,174,342,0.0,364,519,179,201,219,390,360,154
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,332,1124,727,340,446,283,381,43,285,54,361,48,146,1308,237,261,581,560,769,736,147,148,183,0.0,321,292,135,129,185,270,234,103
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,2,2,0,0,0,1,0,0,0,2,0,0,4,0,0,0,1,2,0,1,0,0,0.0,0,1,1,0,1,1,0,0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,553,965,603,318,366,281,375,90,255,42,250,53,105,1024,236,211,485,360,725,576,170,84,231,0.0,269,280,87,136,173,248,185,90
59,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,580,2188,1490,538,916,621,825,46,447,75,566,73,207,2812,421,463,1077,922,1413,1362,296,203,388,0.0,480,598,205,242,249,457,428,202
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,262,947,605,220,375,235,350,39,265,48,323,28,127,1050,197,207,475,429,623,539,126,124,158,0.0,226,237,119,88,176,232,182,67
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,3,2,2,0,0,0,0,1,0,3,0,0,4,0,0,0,1,3,1,0,1,0,0.0,1,1,0,0,0,0,0,0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,495,842,534,288,316,230,302,85,235,34,222,40,95,888,191,186,438,310,656,483,136,78,210,0.0,247,256,78,136,153,220,169,78
63,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,497,1811,1304,364,762,501,703,41,388,64,518,53,170,2326,330,362,903,749,1122,954,198,172,305,0.0,378,501,174,170,217,367,345,170
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,313,1243,759,383,503,312,427,42,314,50,345,37,151,1440,258,295,612,575,857,866,213,152,218,0.0,305,320,139,150,191,298,243,84
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,1,3,3,2,1,0,0,0,0,0,0,0,0,4,1,0,0,1,1,2,0,0,0,0.0,2,1,0,0,1,0,1,0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,526,923,565,299,341,273,347,87,246,43,251,51,108,984,220,199,475,337,715,563,147,82,233,0.0,269,270,89,146,169,244,190,93
67,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,349,1530,1148,290,725,435,610,39,361,55,464,44,161,2064,292,314,773,666,1045,891,178,135,259,0.0,323,448,157,145,192,329,294,182
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,386,1350,820,392,465,348,457,40,313,63,360,40,144,1562,262,302,686,610,839,861,200,164,248,0.0,331,340,152,159,206,305,267,68
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0,1,0,2,1,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0.0,1,0,1,0,0,0,1,0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,602,1100,662,366,415,302,408,91,274,39,290,57,124,1125,255,240,531,386,811,632,180,107,248,0.0,299,304,92,162,180,275,217,97
71,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,428,1492,1037,346,659,416,545,43,336,61,417,50,181,1935,295,310,778,683,894,919,222,162,261,0.0,351,410,156,154,223,310,282,127
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,217,750,550,254,309,192,276,28,206,29,231,20,113,914,160,182,437,370,562,565,101,92,129,0.0,207,226,105,90,133,177,192,57
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0.0,0,1,0,0,0,0,1,0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,692,1737,1044,448,639,478,655,99,406,67,466,71,135,1901,354,364,775,609,1239,898,235,152,366,0.0,396,455,141,222,222,422,304,163
75,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,652,2461,1652,502,1022,687,889,66,545,95,690,60,240,2988,467,506,1199,1035,1497,1382,328,229,431,0.0,463,618,230,231,285,516,466,217
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,215,766,482,286,285,190,306,27,188,31,224,38,98,969,153,175,403,359,582,571,96,97,121,0.0,249,222,110,106,137,196,160,54
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,1,1,1,1,4,0,1,0,0,0,0,0,0,5,0,1,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,469,752,496,259,296,209,281,77,215,31,200,43,91,792,189,174,385,268,616,432,133,80,204,0.0,242,252,62,129,156,197,153,76
79,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,352,1184,805,257,531,315,413,32,280,49,302,33,116,1551,251,253,607,520,727,772,161,123,215,0.0,263,342,106,115,141,248,239,104
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,274,1033,772,304,421,289,406,35,259,35,344,28,133,1281,212,233,602,529,752,690,149,111,164,0.0,258,280,151,126,175,243,233,83
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,2,0,2,0,2,0,1,0,0,0,1,0,0,3,0,1,1,0,1,0,0,1,1,0.0,0,0,0,0,2,1,0,0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,709,1763,1052,487,653,482,657,103,409,73,467,80,180,1919,346,369,780,613,1215,923,248,171,376,0.0,433,470,145,225,260,417,307,160
83,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,402,1405,967,384,674,381,552,48,336,51,420,41,150,1753,302,310,770,624,966,981,214,140,253,0.0,341,440,146,136,185,293,301,134
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,232,807,580,186,288,211,284,20,198,34,232,27,101,1028,175,188,431,410,516,482,94,94,129,0.0,201,206,113,98,146,205,161,53
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,1,3,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0.0,2,0,1,0,1,0,0,0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,702,1765,1084,476,644,494,640,102,414,72,462,73,178,1972,332,358,788,628,1211,921,250,172,374,0.0,410,446,142,232,246,411,317,160
87,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,438,1525,1108,414,692,436,593,33,355,49,425,34,144,2079,307,363,832,664,1066,1008,201,145,255,0.0,318,425,148,145,162,312,314,123
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,319,1369,866,298,518,351,483,44,331,61,399,50,159,1605,256,276,640,615,844,777,197,154,257,0.0,343,364,156,158,223,321,257,127
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,1,3,1,1,2,1,1,0,0,0,0,0,0,1,1,0,0,1,1,2,0,1,1,0.0,0,0,1,0,0,1,1,0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,579,1083,656,335,395,298,400,93,262,47,290,57,126,1069,245,217,518,382,784,598,160,106,243,0.0,293,303,97,163,193,275,207,97
91,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,270,1104,775,292,431,279,394,27,234,44,283,26,95,1391,199,233,538,428,716,700,130,95,190,0.0,257,320,109,94,107,193,235,95
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,385,1269,892,292,577,353,444,37,334,42,389,40,163,1598,280,301,717,662,838,837,200,156,231,0.0,303,354,154,157,217,323,251,99
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0.0,0,0,0,0,1,3,1,0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,682,1607,963,463,599,454,639,106,380,71,441,75,171,1764,330,322,734,572,1139,848,228,155,335,0.0,394,418,139,215,253,390,292,153
95,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,448,1547,1094,417,657,425,580,34,356,68,415,43,156,1978,279,349,799,666,1018,1017,202,156,284,0.0,380,432,147,146,188,313,319,149
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,355,1471,996,331,587,399,566,48,339,43,452,54,170,1839,318,318,727,662,978,834,203,163,243,0.0,294,391,167,172,222,354,267,101
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,2,1,2,1,1,1,0,1,1,0,1,0,0,6,0,0,1,2,0,2,0,0,0,0.0,0,1,1,0,0,0,0,0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,532,961,539,299,362,261,331,87,252,46,246,44,103,931,212,189,463,332,699,532,153,87,229,0.0,280,268,87,148,168,242,193,97
99,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,417,2234,1476,514,869,601,767,57,473,89,581,61,213,2724,386,432,1067,862,1381,1171,241,213,379,0.0,509,543,188,193,265,408,414,175
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,326,911,638,213,411,264,378,31,241,32,295,33,112,1174,206,226,492,469,639,681,153,103,153,0.0,218,286,137,134,156,248,183,76
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,1,2,1,0,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,2,0,1
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,593,833,516,321,326,220,332,82,233,36,238,47,104,853,217,198,431,331,675,532,164,90,224,0.0,227,263,77,139,157,251,182,95
103,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 2     ",REP,Ken Crowe                             ,1045,3471,2255,668,1426,913,1261,137,846,130,969,109,376,3940,686,682,1541,1489,2156,1717,490,337,664,0.0,716,902,332,399,451,808,641,301
104,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 2     ",NON,Write-In                              ,5,19,23,12,8,11,11,0,5,0,4,0,1,63,8,10,28,7,26,40,7,1,8,0.0,9,8,0,1,2,7,12,3
105,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 2     ",   ,Over Votes                            ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
106,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 2     ",   ,Under Votes                           ,286,490,353,368,173,162,205,33,97,27,141,32,52,751,114,164,421,166,512,628,61,68,84,0.0,229,182,70,66,125,94,126,43
107,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 3     ",REP,Tommy Bowers                          ,985,3243,2064,574,1343,838,1123,131,765,83,876,104,323,3535,573,612,1354,1384,2001,1407,429,291,621,0.0,498,808,282,367,387,658,574,270
108,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 3     ",IND,Cary H. Ward                          ,163,434,332,221,163,147,258,13,128,66,158,22,82,724,177,136,332,181,377,574,101,75,77,0.0,341,181,96,71,127,211,107,59
109,"MEMBER, ST. CLAIR COUNTY COMMISSION, DISTRICT NO. 3     ",NON,Write-In                              ,0,8,6,2,5,2,3,0,1,0,0,0,0,15,0,6,5,2,3,8,0,0,2,0.0,1,1,0,0,0,1,8,0
