,Contest Title,Party,Candidate,ABEL VOTING HOUSE,ABSENTEE,BORDEN SPRINGS VOL_ FIRE,CHULAFINNEE MASONIC,EDWARDSVILLE COMM_,FRUITHURST CITY HALL,GREENS CHAPEL UMC,HEFLIN RECREATIONAL CTR_,HOPEWELL SCHOOL,MICAVILLE VFD,MUSCADINE VFD,OAK LEVEL PINEYWDS,PLAINVIEW COMMUNITY CTR_,PROVISIONAL,RANBURNE VFD,TURKEY HEAVEN VFD
20,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",NON,Write-In                              ,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
22,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Under Votes                           ,4.0,8,1.0,16.0,13.0,14.0,8.0,48.0,10.0,15.0,11.0,18.0,5.0,1,37.0,14.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",143.0,214,108.0,603.0,266.0,248.0,147.0,1133.0,395.0,247.0,143.0,252.0,143.0,24,921.0,285.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,0.0,0,1.0,4.0,0.0,0.0,0.0,12.0,1.0,2.0,1.0,2.0,0.0,0,1.0,4.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,27.0,47,22.0,157.0,60.0,57.0,44.0,383.0,73.0,56.0,32.0,83.0,26.0,2,195.0,77.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,143.0,215,108.0,597.0,268.0,245.0,146.0,1123.0,390.0,244.0,143.0,246.0,144.0,24,905.0,284.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,0.0,0,1.0,2.0,0.0,1.0,0.0,16.0,1.0,4.0,1.0,0.0,0.0,0,3.0,1.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,27.0,47,22.0,165.0,58.0,59.0,45.0,389.0,78.0,57.0,33.0,91.0,25.0,2,209.0,81.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,144.0,215,106.0,597.0,267.0,250.0,144.0,1126.0,392.0,246.0,141.0,247.0,146.0,23,912.0,281.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,0.0,0,2.0,3.0,0.0,0.0,0.0,13.0,0.0,4.0,1.0,0.0,0.0,0,2.0,1.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,26.0,47,23.0,164.0,58.0,55.0,47.0,390.0,77.0,55.0,35.0,90.0,23.0,3,204.0,84.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,143.0,211,109.0,603.0,269.0,247.0,149.0,1146.0,390.0,250.0,144.0,248.0,143.0,24,898.0,280.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,0.0,0,1.0,9.0,0.0,2.0,0.0,15.0,0.0,2.0,1.0,2.0,1.0,0,3.0,2.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,27.0,51,21.0,152.0,57.0,56.0,42.0,368.0,79.0,53.0,32.0,87.0,25.0,2,217.0,84.0
39,"CIRCUIT COURT JUDGE, 7TH JUDICIAL CIRCUIT, PLACE 3      ",REP,Debra H. Jones                        ,141.0,214,109.0,611.0,265.0,244.0,150.0,1141.0,390.0,247.0,143.0,243.0,144.0,23,902.0,283.0
40,"CIRCUIT COURT JUDGE, 7TH JUDICIAL CIRCUIT, PLACE 3      ",NON,Write-In                              ,0.0,0,0.0,5.0,1.0,3.0,0.0,13.0,0.0,1.0,1.0,1.0,0.0,0,5.0,1.0
41,"CIRCUIT COURT JUDGE, 7TH JUDICIAL CIRCUIT, PLACE 3      ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
42,"CIRCUIT COURT JUDGE, 7TH JUDICIAL CIRCUIT, PLACE 3      ",   ,Under Votes                           ,29.0,48,22.0,148.0,60.0,58.0,41.0,375.0,79.0,57.0,33.0,93.0,25.0,3,211.0,82.0
43,"CIRCUIT COURT JUDGE, 7TH JUDICIAL CIRCUIT, PLACE 5      ",REP,Shannon Page                          ,141.0,213,105.0,592.0,261.0,241.0,141.0,1127.0,388.0,240.0,140.0,246.0,142.0,23,900.0,277.0
44,"CIRCUIT COURT JUDGE, 7TH JUDICIAL CIRCUIT, PLACE 5      ",NON,Write-In                              ,0.0,1,1.0,6.0,0.0,1.0,0.0,11.0,1.0,4.0,1.0,0.0,0.0,0,3.0,1.0
45,"CIRCUIT COURT JUDGE, 7TH JUDICIAL CIRCUIT, PLACE 5      ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
46,"CIRCUIT COURT JUDGE, 7TH JUDICIAL CIRCUIT, PLACE 5      ",   ,Under Votes                           ,29.0,48,25.0,166.0,65.0,63.0,50.0,391.0,80.0,61.0,36.0,91.0,27.0,3,215.0,88.0
47,"DISTRICT ATTORNEY, 7TH JUDICIAL CIRCUIT                 ",REP,Brian McVeigh                         ,142.0,212,109.0,596.0,264.0,245.0,144.0,1144.0,390.0,243.0,142.0,246.0,144.0,22,903.0,279.0
48,"DISTRICT ATTORNEY, 7TH JUDICIAL CIRCUIT                 ",NON,Write-In                              ,0.0,1,0.0,6.0,0.0,0.0,0.0,12.0,0.0,3.0,1.0,0.0,0.0,0,2.0,2.0
49,"DISTRICT ATTORNEY, 7TH JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
50,"DISTRICT ATTORNEY, 7TH JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,28.0,49,22.0,162.0,62.0,60.0,47.0,371.0,79.0,59.0,34.0,91.0,25.0,4,213.0,85.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,76.0,113,78.0,355.0,137.0,135.0,95.0,683.0,166.0,118.0,73.0,123.0,73.0,11,500.0,156.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,26.0,47,20.0,172.0,77.0,76.0,49.0,308.0,105.0,81.0,36.0,81.0,33.0,6,208.0,87.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,68.0,102,33.0,237.0,112.0,94.0,47.0,537.0,198.0,106.0,68.0,133.0,63.0,9,410.0,123.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,105.0,154,88.0,511.0,198.0,173.0,122.0,891.0,251.0,160.0,97.0,183.0,90.0,12,654.0,191.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,19.0,36,20.0,110.0,62.0,76.0,38.0,254.0,73.0,67.0,32.0,56.0,25.0,6,183.0,77.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,45.0,72,23.0,143.0,66.0,56.0,30.0,383.0,144.0,78.0,48.0,97.0,54.0,8,280.0,98.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,55.0,95,49.0,275.0,114.0,116.0,68.0,546.0,137.0,102.0,54.0,105.0,41.0,13,369.0,121.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,38.0,43,44.0,216.0,85.0,102.0,63.0,379.0,114.0,85.0,53.0,78.0,55.0,5,263.0,94.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,77.0,124,38.0,273.0,127.0,87.0,60.0,603.0,218.0,118.0,70.0,154.0,73.0,8,486.0,151.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,80.0,105,58.0,326.0,132.0,140.0,87.0,650.0,150.0,116.0,66.0,116.0,58.0,15,426.0,141.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,21.0,42,38.0,198.0,78.0,84.0,51.0,328.0,117.0,79.0,45.0,73.0,44.0,4,241.0,87.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,69.0,115,35.0,240.0,116.0,81.0,53.0,551.0,202.0,110.0,66.0,148.0,67.0,7,450.0,138.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,65.0,88,62.0,254.0,110.0,92.0,71.0,562.0,132.0,91.0,53.0,107.0,56.0,12,368.0,120.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,30.0,47,32.0,224.0,92.0,103.0,50.0,369.0,122.0,97.0,54.0,79.0,38.0,6,270.0,88.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0.0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,75.0,127,35.0,286.0,124.0,110.0,70.0,597.0,215.0,117.0,70.0,151.0,75.0,8,479.0,158.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,55.0,61,42.0,258.0,106.0,90.0,69.0,487.0,122.0,97.0,52.0,94.0,51.0,9,305.0,121.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,37.0,70,42.0,212.0,88.0,99.0,45.0,388.0,120.0,79.0,50.0,79.0,40.0,8,272.0,74.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,78.0,131,47.0,294.0,132.0,116.0,77.0,652.0,227.0,129.0,75.0,164.0,78.0,9,540.0,171.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,59.0,70,42.0,256.0,93.0,100.0,57.0,473.0,131.0,88.0,50.0,85.0,47.0,9,301.0,89.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,16.0,35,35.0,148.0,69.0,74.0,37.0,292.0,85.0,69.0,41.0,67.0,37.0,7,194.0,76.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,95.0,157,54.0,360.0,164.0,131.0,97.0,764.0,253.0,148.0,86.0,185.0,85.0,10,623.0,201.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,74.0,96,64.0,360.0,154.0,138.0,106.0,684.0,184.0,145.0,80.0,120.0,77.0,15,499.0,151.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,28.0,46,33.0,155.0,50.0,64.0,28.0,289.0,83.0,50.0,37.0,68.0,28.0,4,155.0,67.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,68.0,120,34.0,249.0,122.0,103.0,56.0,556.0,202.0,110.0,60.0,148.0,64.0,7,464.0,147.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,38.0,61,34.0,221.0,84.0,85.0,53.0,396.0,102.0,68.0,42.0,72.0,37.0,10,254.0,72.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,30.0,43,42.0,174.0,72.0,90.0,44.0,340.0,103.0,96.0,45.0,74.0,43.0,6,232.0,94.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,102.0,157,55.0,369.0,170.0,130.0,94.0,792.0,264.0,141.0,90.0,191.0,89.0,10,632.0,200.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,65.0,83,49.0,276.0,102.0,112.0,75.0,573.0,142.0,108.0,54.0,92.0,57.0,9,327.0,126.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,24.0,34,37.0,162.0,62.0,68.0,33.0,265.0,83.0,56.0,37.0,69.0,28.0,7,207.0,53.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,81.0,145,45.0,326.0,162.0,125.0,83.0,690.0,244.0,141.0,86.0,176.0,83.0,10,584.0,187.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,51.0,81,43.0,229.0,93.0,91.0,57.0,499.0,116.0,81.0,51.0,86.0,61.0,12,323.0,102.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,39.0,50,44.0,239.0,101.0,102.0,58.0,379.0,126.0,95.0,51.0,83.0,32.0,6,275.0,97.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,80.0,130,44.0,296.0,132.0,112.0,75.0,650.0,227.0,129.0,75.0,168.0,76.0,8,519.0,167.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,33.0,52,18.0,170.0,59.0,56.0,34.0,334.0,65.0,55.0,34.0,62.0,41.0,9,230.0,65.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,50.0,54,58.0,252.0,103.0,117.0,63.0,438.0,144.0,101.0,55.0,93.0,44.0,7,283.0,101.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,87.0,156,55.0,342.0,163.0,132.0,94.0,757.0,260.0,149.0,88.0,182.0,84.0,10,605.0,199.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,63.0,71,41.0,264.0,115.0,91.0,64.0,490.0,136.0,82.0,58.0,100.0,53.0,11,323.0,104.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,36.0,68,50.0,237.0,88.0,106.0,56.0,416.0,114.0,99.0,46.0,80.0,42.0,6,284.0,101.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,71.0,123,40.0,263.0,123.0,108.0,71.0,621.0,219.0,124.0,73.0,157.0,74.0,9,510.0,160.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,68.0,89,53.0,308.0,122.0,124.0,77.0,626.0,132.0,96.0,59.0,100.0,55.0,9,408.0,131.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,35.0,43,37.0,198.0,83.0,83.0,49.0,335.0,121.0,87.0,46.0,79.0,38.0,8,237.0,78.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,67.0,130,40.0,258.0,121.0,98.0,65.0,568.0,216.0,122.0,72.0,158.0,76.0,9,473.0,157.0
107,"MEMBER, CLEBURNE COUNTY COMMISSION, DISTRICT NO. 1      ",REP,Laura Morrow Cobb                     ,,54,108.0,,277.0,261.0,,,,,151.0,275.0,150.0,2,,
108,"MEMBER, CLEBURNE COUNTY COMMISSION, DISTRICT NO. 1      ",NON,Write-In                              ,,0,0.0,,6.0,2.0,,,,,1.0,4.0,2.0,0,,
109,"MEMBER, CLEBURNE COUNTY COMMISSION, DISTRICT NO. 1      ",   ,Over Votes                            ,,0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0,,
110,"MEMBER, CLEBURNE COUNTY COMMISSION, DISTRICT NO. 1      ",   ,Under Votes                           ,,8,23.0,,43.0,42.0,,,,,25.0,58.0,17.0,1,,
111,"MEMBER, CLEBURNE COUNTY COMMISSION, DISTRICT NO. 4      ",REP,Jake Durham                           ,139.0,34,,542.0,,,82.0,,,189.0,,,,8,,199.0
112,"MEMBER, CLEBURNE COUNTY COMMISSION, DISTRICT NO. 4      ",IND,Rex Nolen                             ,27.0,22,,182.0,,,105.0,,,107.0,,,,3,,151.0
113,"MEMBER, CLEBURNE COUNTY COMMISSION, DISTRICT NO. 4      ",NON,Write-In                              ,0.0,0,,0.0,,,0.0,,,0.0,,,,0,,1.0
114,"MEMBER, CLEBURNE COUNTY COMMISSION, DISTRICT NO. 4      ",   ,Over Votes                            ,0.0,0,,0.0,,,0.0,,,0.0,,,,0,,1.0
115,"MEMBER, CLEBURNE COUNTY COMMISSION, DISTRICT NO. 4      ",   ,Under Votes                           ,4.0,2,,40.0,,,4.0,,,9.0,,,,0,,14.0
116,"SUPERINTENDENT, CLEBURNE COUNTY BOARD OF EDUCATION      ",REP,Chad Young                            ,148.0,221,109.0,631.0,271.0,258.0,157.0,1188.0,401.0,267.0,150.0,266.0,149.0,24,984.0,303.0
117,"SUPERINTENDENT, CLEBURNE COUNTY BOARD OF EDUCATION      ",NON,Write-In                              ,0.0,1,0.0,10.0,2.0,2.0,1.0,14.0,7.0,2.0,1.0,2.0,1.0,0,5.0,2.0
118,"SUPERINTENDENT, CLEBURNE COUNTY BOARD OF EDUCATION      ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
119,"SUPERINTENDENT, CLEBURNE COUNTY BOARD OF EDUCATION      ",   ,Under Votes                           ,22.0,40,22.0,123.0,53.0,45.0,33.0,327.0,61.0,36.0,26.0,69.0,19.0,2,129.0,61.0
120,"MEMBER, CLEBURNE COUNTY BOARD OF EDUCATION,             ",REP,Owen Matthew McWhorter                ,,55,107.0,,276.0,262.0,,,,,152.0,278.0,148.0,3,,
121,"MEMBER, CLEBURNE COUNTY BOARD OF EDUCATION,             ",NON,Write-In                              ,,0,0.0,,0.0,1.0,,,,,1.0,0.0,1.0,0,,
122,"MEMBER, CLEBURNE COUNTY BOARD OF EDUCATION,             ",   ,Over Votes                            ,,0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0,,
123,"MEMBER, CLEBURNE COUNTY BOARD OF EDUCATION,             ",   ,Under Votes                           ,,7,24.0,,50.0,42.0,,,,,24.0,59.0,20.0,0,,
124,"MEMBER, CLEBURNE COUNTY BOARD OF EDUCATION,             ",REP,Tracy McMahan                         ,,67,,,,,,,401.0,,,,,1,956.0,
