,Contest Title,Party,Candidate,ABSENTEE,ANTIOCH CHURCH,BANKS VOTING CENTER #1,BANKS VOTING CTR #2,BRUNDIDGE-HAISTEN BLDG,CHINA GROVE COUNTY BLDG,DUNNS VOTING CENTER #1,DUNNS VOTING CTR #2,EBENEZER VOTING CENTER #1,EBENEZER VOTING CTR #2,ENON COUNTY BLDG,FIRST BAPTIST CHURCH,GALLOWAY RD COMM CTR,GOLDEN-SATELLITE BLDG,GOSHEN TOWN HALL,HAMILTON CROSS ROADS,HENDERSON VOTING CTR #1,HENDERSON VOTING CTR #2,JOSIE COUNTY BLDG,LITTLE OAK COUNTY BLDG,MEEKSVILLE VOL FIRE,OAK BOWERY CHURCH,PIKE COUNTY COURTHOUSE,PROVISIONAL,RURAL HOME COUNTY BLDG,SACO - VOL_ FIRE DEPT,SACO #2,SPRINGHILL HOUSING AUTH,SPRINGHILL VOL FIRE DEPT,SWEET PILGRIM CHURCH,TARENTUM COMM_ CLUBHOUSE,TENNILLE METHODIST,TROY ADAMS ARMORY,TROY PUBLIC LIBRARY,TROY REC CENTER
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,147,51.0,31.0,77.0,123.0,62.0,9.0,20.0,17.0,23.0,28.0,333.0,576.0,149.0,59.0,32.0,9.0,21.0,30.0,21.0,210.0,51.0,620.0,13,145.0,10.0,12.0,111.0,30.0,67.0,73.0,11.0,479.0,942.0,445.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,267,228.0,70.0,239.0,194.0,107.0,13.0,116.0,53.0,80.0,174.0,879.0,121.0,198.0,283.0,170.0,78.0,92.0,145.0,192.0,186.0,80.0,348.0,8,249.0,10.0,9.0,99.0,233.0,52.0,264.0,63.0,1090.0,255.0,1190.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,4.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,11,7.0,4.0,4.0,11.0,11.0,2.0,5.0,2.0,2.0,6.0,28.0,32.0,21.0,8.0,7.0,0.0,3.0,4.0,4.0,4.0,1.0,23.0,1,10.0,2.0,0.0,7.0,5.0,7.0,14.0,5.0,41.0,31.0,46.0
18,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",DEM,Nathan Mathis                         ,156,65.0,36.0,98.0,150.0,81.0,11.0,37.0,28.0,30.0,50.0,401.0,579.0,179.0,92.0,59.0,23.0,35.0,49.0,50.0,232.0,58.0,648.0,17,170.0,10.0,13.0,117.0,56.0,77.0,113.0,30.0,531.0,959.0,568.0
19,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",REP,Martha Roby                           ,224,198.0,54.0,176.0,152.0,79.0,9.0,83.0,40.0,59.0,122.0,679.0,107.0,156.0,202.0,97.0,56.0,65.0,107.0,134.0,151.0,64.0,286.0,5,196.0,7.0,8.0,74.0,171.0,36.0,183.0,29.0,916.0,217.0,905.0
20,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",NON,Write-In                              ,18,9.0,9.0,26.0,11.0,9.0,2.0,8.0,0.0,10.0,20.0,83.0,11.0,16.0,38.0,47.0,7.0,5.0,9.0,23.0,11.0,4.0,26.0,0,15.0,5.0,0.0,12.0,20.0,1.0,25.0,13.0,94.0,16.0,112.0
21,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0
22,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",   ,Under Votes                           ,30,14.0,6.0,20.0,15.0,11.0,2.0,13.0,4.0,6.0,16.0,79.0,33.0,17.0,19.0,9.0,1.0,11.0,14.0,10.0,6.0,6.0,34.0,0,22.0,0.0,0.0,14.0,22.0,12.0,31.0,6.0,72.0,36.0,102.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",271,226.0,68.0,223.0,188.0,114.0,12.0,100.0,52.0,70.0,149.0,883.0,171.0,180.0,244.0,163.0,72.0,88.0,130.0,171.0,203.0,79.0,432.0,9,246.0,8.0,6.0,97.0,203.0,50.0,228.0,55.0,1140.0,362.0,1132.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,1,4.0,2.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,24.0,21.0,7.0,5.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,27.0,0,5.0,0.0,0.0,7.0,5.0,1.0,2.0,4.0,38.0,39.0,22.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,156,56.0,35.0,93.0,135.0,63.0,11.0,40.0,20.0,35.0,58.0,336.0,538.0,181.0,102.0,49.0,15.0,26.0,49.0,45.0,189.0,52.0,535.0,13,153.0,14.0,15.0,113.0,61.0,75.0,122.0,20.0,441.0,830.0,533.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,271,229.0,67.0,227.0,183.0,109.0,11.0,101.0,52.0,71.0,149.0,886.0,170.0,181.0,246.0,160.0,71.0,87.0,131.0,175.0,200.0,81.0,437.0,9,246.0,9.0,6.0,103.0,202.0,50.0,230.0,55.0,1147.0,359.0,1135.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,1,4.0,2.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,24.0,20.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,24.0,0,2.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,31.0,40.0,16.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,156,53.0,36.0,90.0,142.0,67.0,12.0,39.0,20.0,34.0,58.0,333.0,540.0,181.0,100.0,52.0,16.0,27.0,48.0,42.0,190.0,51.0,534.0,13,156.0,13.0,15.0,113.0,62.0,75.0,121.0,20.0,441.0,832.0,536.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,266,231.0,68.0,228.0,183.0,106.0,11.0,101.0,52.0,70.0,150.0,875.0,166.0,180.0,245.0,160.0,71.0,84.0,129.0,175.0,197.0,81.0,430.0,9,246.0,9.0,6.0,103.0,208.0,50.0,226.0,57.0,1141.0,354.0,1127.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,1,3.0,2.0,3.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,24.0,19.0,5.0,4.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,24.0,0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,31.0,38.0,15.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,161,52.0,35.0,89.0,140.0,70.0,12.0,39.0,20.0,35.0,57.0,344.0,545.0,183.0,102.0,52.0,15.0,30.0,50.0,42.0,195.0,51.0,541.0,13,156.0,13.0,15.0,113.0,58.0,75.0,124.0,19.0,447.0,839.0,545.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,269,234.0,68.0,233.0,194.0,111.0,15.0,103.0,54.0,76.0,160.0,873.0,173.0,195.0,256.0,168.0,76.0,89.0,138.0,175.0,206.0,81.0,433.0,10,255.0,10.0,8.0,102.0,209.0,53.0,237.0,58.0,1166.0,373.0,1174.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,2,4.0,2.0,4.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,35.0,19.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,26.0,0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,36.0,41.0,20.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,156,48.0,35.0,83.0,130.0,65.0,7.0,38.0,17.0,29.0,47.0,335.0,538.0,167.0,88.0,42.0,11.0,27.0,41.0,42.0,185.0,51.0,536.0,12,146.0,12.0,13.0,114.0,57.0,71.0,112.0,18.0,416.0,817.0,493.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,DEM,Ella B. Bell                          ,217,122.0,57.0,140.0,190.0,94.0,11.0,49.0,39.0,48.0,68.0,546.0,616.0,190.0,140.0,85.0,34.0,42.0,58.0,76.0,267.0,71.0,744.0,15,201.0,15.0,17.0,148.0,94.0,85.0,148.0,27.0,779.0,1048.0,772.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,NON,Write-In                              ,6,3.0,3.0,14.0,9.0,4.0,0.0,3.0,3.0,0.0,5.0,32.0,9.0,6.0,8.0,12.0,2.0,0.0,5.0,5.0,4.0,2.0,10.0,0,5.0,0.0,0.0,2.0,4.0,0.0,7.0,4.0,32.0,10.0,35.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Over Votes                            ,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
42,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Under Votes                           ,205,160.0,45.0,165.0,129.0,82.0,13.0,89.0,29.0,57.0,134.0,664.0,105.0,172.0,203.0,115.0,51.0,74.0,116.0,136.0,129.0,59.0,240.0,7,198.0,7.0,4.0,67.0,171.0,41.0,197.0,48.0,806.0,173.0,878.0
43,"CIRCUIT COURT JUDGE, 12TH JUDICIAL CIRCUIT, PLACE 2     ",REP,Shannon R. Clark                      ,261,229.0,68.0,217.0,182.0,109.0,11.0,102.0,51.0,70.0,146.0,877.0,172.0,174.0,237.0,154.0,72.0,82.0,129.0,169.0,199.0,79.0,427.0,9,241.0,8.0,6.0,103.0,203.0,50.0,228.0,54.0,1142.0,359.0,1147.0
44,"CIRCUIT COURT JUDGE, 12TH JUDICIAL CIRCUIT, PLACE 2     ",NON,Write-In                              ,1,1.0,2.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,30.0,18.0,5.0,6.0,3.0,1.0,1.0,1.0,1.0,7.0,0.0,28.0,0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,30.0,39.0,16.0
45,"CIRCUIT COURT JUDGE, 12TH JUDICIAL CIRCUIT, PLACE 2     ",   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"CIRCUIT COURT JUDGE, 12TH JUDICIAL CIRCUIT, PLACE 2     ",   ,Under Votes                           ,166,56.0,35.0,99.0,142.0,69.0,11.0,38.0,21.0,35.0,61.0,336.0,539.0,189.0,108.0,55.0,14.0,33.0,49.0,47.0,194.0,53.0,540.0,13,161.0,14.0,15.0,113.0,63.0,75.0,123.0,23.0,447.0,833.0,524.0
47,"CIRCUIT COURT JUDGE, 12TH JUDICIAL CIRCUIT, PLACE 3     ",REP,Jeff W. Kelley                        ,259,227.0,66.0,221.0,185.0,104.0,12.0,101.0,52.0,73.0,148.0,886.0,169.0,174.0,240.0,158.0,71.0,84.0,128.0,168.0,203.0,81.0,436.0,9,239.0,8.0,6.0,104.0,205.0,50.0,225.0,56.0,1147.0,360.0,1158.0
48,"CIRCUIT COURT JUDGE, 12TH JUDICIAL CIRCUIT, PLACE 3     ",NON,Write-In                              ,3,2.0,2.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,26.0,19.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,26.0,0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,32.0,42.0,15.0
49,"CIRCUIT COURT JUDGE, 12TH JUDICIAL CIRCUIT, PLACE 3     ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"CIRCUIT COURT JUDGE, 12TH JUDICIAL CIRCUIT, PLACE 3     ",   ,Under Votes                           ,166,57.0,37.0,95.0,139.0,72.0,10.0,39.0,20.0,32.0,59.0,331.0,542.0,189.0,105.0,54.0,15.0,32.0,51.0,49.0,190.0,51.0,533.0,13,162.0,14.0,15.0,112.0,61.0,74.0,126.0,20.0,440.0,829.0,514.0
51,"DISTRICT ATTORNEY, 12TH JUDICIAL CIRCUIT                ",REP,Tom Anderson                          ,260,228.0,67.0,221.0,183.0,108.0,10.0,101.0,51.0,69.0,149.0,884.0,167.0,174.0,237.0,156.0,73.0,81.0,130.0,171.0,198.0,80.0,425.0,9,240.0,7.0,6.0,100.0,203.0,49.0,221.0,53.0,1146.0,361.0,1140.0
52,"DISTRICT ATTORNEY, 12TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,2,2.0,2.0,3.0,5.0,4.0,2.0,1.0,0.0,0.0,1.0,25.0,19.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,27.0,0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,34.0,41.0,18.0
53,"DISTRICT ATTORNEY, 12TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"DISTRICT ATTORNEY, 12TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,166,56.0,36.0,96.0,140.0,68.0,12.0,39.0,21.0,36.0,58.0,334.0,544.0,189.0,109.0,54.0,14.0,35.0,49.0,46.0,194.0,52.0,543.0,13,161.0,15.0,15.0,117.0,63.0,76.0,130.0,22.0,439.0,829.0,529.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,179,135.0,54.0,154.0,134.0,73.0,5.0,78.0,40.0,56.0,122.0,659.0,365.0,181.0,168.0,94.0,38.0,56.0,85.0,93.0,212.0,73.0,578.0,10,175.0,14.0,14.0,103.0,133.0,56.0,153.0,43.0,857.0,690.0,931.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,65,72.0,27.0,81.0,53.0,52.0,8.0,22.0,22.0,22.0,41.0,250.0,97.0,60.0,72.0,69.0,23.0,16.0,29.0,46.0,88.0,29.0,147.0,5,86.0,3.0,2.0,40.0,64.0,15.0,62.0,14.0,301.0,151.0,320.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,184,79.0,24.0,85.0,141.0,55.0,11.0,41.0,10.0,27.0,44.0,334.0,268.0,127.0,111.0,49.0,26.0,44.0,65.0,78.0,100.0,30.0,270.0,7,143.0,5.0,5.0,74.0,72.0,55.0,136.0,22.0,460.0,389.0,435.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,219,177.0,59.0,196.0,182.0,95.0,12.0,89.0,43.0,61.0,144.0,833.0,390.0,206.0,221.0,132.0,52.0,80.0,99.0,122.0,261.0,87.0,597.0,12,221.0,13.0,17.0,114.0,172.0,58.0,196.0,53.0,1047.0,699.0,1062.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,64,59.0,29.0,72.0,51.0,41.0,4.0,26.0,18.0,27.0,37.0,226.0,97.0,63.0,58.0,57.0,17.0,12.0,30.0,40.0,62.0,26.0,181.0,7,78.0,6.0,2.0,43.0,51.0,24.0,56.0,13.0,280.0,184.0,362.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,145,50.0,17.0,52.0,95.0,44.0,8.0,26.0,11.0,17.0,27.0,183.0,243.0,99.0,72.0,23.0,18.0,24.0,50.0,55.0,77.0,19.0,216.0,0,105.0,3.0,2.0,59.0,46.0,44.0,100.0,13.0,291.0,347.0,261.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,129,108.0,31.0,110.0,111.0,56.0,5.0,47.0,30.0,34.0,58.0,549.0,200.0,139.0,130.0,76.0,30.0,41.0,64.0,56.0,143.0,49.0,378.0,9,132.0,7.0,6.0,79.0,98.0,44.0,108.0,34.0,690.0,434.0,688.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,92,99.0,42.0,115.0,73.0,62.0,8.0,41.0,27.0,36.0,92.0,322.0,229.0,94.0,105.0,88.0,28.0,27.0,48.0,66.0,141.0,49.0,296.0,4,115.0,9.0,10.0,63.0,84.0,22.0,88.0,19.0,405.0,370.0,495.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,207,79.0,32.0,95.0,144.0,62.0,11.0,53.0,14.0,35.0,58.0,372.0,299.0,135.0,116.0,48.0,29.0,48.0,67.0,95.0,116.0,34.0,321.0,7,156.0,6.0,5.0,75.0,86.0,60.0,156.0,26.0,524.0,425.0,504.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,180,129.0,54.0,152.0,152.0,57.0,5.0,65.0,37.0,48.0,75.0,671.0,355.0,169.0,155.0,89.0,42.0,49.0,73.0,90.0,193.0,53.0,543.0,12,172.0,15.0,14.0,101.0,132.0,57.0,147.0,33.0,860.0,651.0,881.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,70,88.0,31.0,85.0,49.0,63.0,8.0,35.0,22.0,22.0,86.0,258.0,109.0,67.0,91.0,80.0,21.0,24.0,41.0,48.0,99.0,45.0,185.0,2,94.0,3.0,2.0,46.0,63.0,16.0,59.0,22.0,301.0,174.0,377.0
