,Contest Title,Party,Candidate,1ST UNITED METH-ATTALLA,ABSENTEE,ALTOONA FIRE DEPTARTMENT,ATTALLA RECREATION CENTER,CARVER COMMUNITY CENTER,CAVE SPRINGS,EAST GADSDEN REC_ CTR,EGYPT COMMUNITY CENTER,ELLIOTT COMMUNITY CENTER,FORD'S VALLEY WATER,GADSDEN CONVENTION HALL,GALLANT COMMUNITY CENTER,GEORGE WALLACE SENIOR CTR,HOKES BLUFF COMMUNITY CTR,IVALEE VOL_ FIRE DEPT,LOOKOUT MTN_ COMM CTR,MEADOW BROOK BAPTIST CH,MOUNTAINBORO VFD,NEW UNION COMMUNITY CTR,NOCCALULA KIWANIS PAVIL_,NORTH GADSDEN REC_ CTR,NORTHEAST ETOWAH COMM CTR,OLD GADSDEN HIGH LUNCHROO,PROVISIONAL,RAINBOW CITY COMM CTR,RAINBOW CITY FIRE DEPT #2,REECE CITY TOWN HALL,SARDIS COMMUNITY CENTER,SOUTHSIDE COMMUNITY CTR_,TABERNACLE ACTIVITY CTR,TILLISON BEND WATER AUTH_,WALLACE HALL,WALNUT GROVE V_F_D_,WALNUT PARK REC_ CTR,WHORTON BEND FIRE STATION
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,720.0,1084,438.0,1256.0,126.0,729.0,442.0,287.0,823.0,431.0,619.0,384.0,2070.0,2753.0,363.0,1153.0,1163.0,829.0,909.0,1377,544.0,1232.0,55.0,229,2820.0,579.0,413,1454.0,3697.0,256.0,435.0,571.0,770.0,456.0,843.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,41.0,14,4.0,11.0,34.0,7.0,54.0,2.0,25.0,1.0,54.0,4.0,22.0,17.0,0.0,9.0,19.0,6.0,9.0,25,34.0,18.0,10.0,3,45.0,4.0,4,7.0,41.0,8.0,4.0,78.0,7.0,20.0,11.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,421.0,438,85.0,264.0,775.0,169.0,884.0,78.0,298.0,94.0,679.0,90.0,469.0,598.0,80.0,220.0,319.0,164.0,160.0,450,397.0,370.0,150.0,52,692.0,140.0,67,280.0,778.0,81.0,135.0,1069.0,129.0,194.0,154.0
38,"DISTRICT ATTORNEY, 16TH JUDICIAL CIRCUIT                ",REP,Jody Willoughby                       ,715.0,1101,436.0,1247.0,122.0,720.0,449.0,281.0,826.0,431.0,636.0,381.0,2089.0,2749.0,356.0,1143.0,1222.0,825.0,909.0,1404,532.0,1241.0,56.0,230,2841.0,586.0,409,1437.0,3802.0,256.0,439.0,574.0,763.0,452.0,860.0
39,"DISTRICT ATTORNEY, 16TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,37.0,7,0.0,12.0,31.0,3.0,49.0,4.0,19.0,0.0,47.0,0.0,16.0,12.0,1.0,8.0,10.0,4.0,7.0,19,39.0,19.0,8.0,3,41.0,4.0,3,4.0,25.0,8.0,1.0,74.0,2.0,19.0,7.0
40,"DISTRICT ATTORNEY, 16TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"DISTRICT ATTORNEY, 16TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,429.0,428,91.0,272.0,783.0,182.0,882.0,82.0,301.0,95.0,669.0,97.0,456.0,607.0,86.0,231.0,270.0,170.0,162.0,428,404.0,360.0,151.0,51,675.0,132.0,72,300.0,693.0,81.0,134.0,1070.0,142.0,199.0,141.0
42,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,691.0,802,262.0,774.0,584.0,509.0,922.0,195.0,575.0,241.0,819.0,246.0,1369.0,1848.0,207.0,693.0,898.0,497.0,590.0,992,623.0,844.0,118.0,171,2054.0,373.0,252,884.0,2629.0,186.0,320.0,1276.0,501.0,356.0,576.0
43,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,195.0,236,115.0,371.0,94.0,199.0,184.0,81.0,241.0,116.0,220.0,102.0,578.0,718.0,99.0,322.0,267.0,240.0,199.0,353,157.0,357.0,31.0,55,706.0,177.0,117,387.0,918.0,74.0,93.0,205.0,212.0,145.0,192.0
44,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0.0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,3.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,297.0,503,150.0,386.0,257.0,196.0,274.0,91.0,330.0,169.0,312.0,130.0,614.0,802.0,136.0,367.0,336.0,261.0,289.0,507,195.0,419.0,66.0,97,794.0,173.0,115,470.0,972.0,85.0,161.0,237.0,194.0,169.0,240.0
46,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,738.0,831,357.0,1003.0,568.0,637.0,909.0,244.0,716.0,308.0,901.0,311.0,1726.0,2326.0,262.0,919.0,1013.0,688.0,790.0,1282,644.0,1091.0,111.0,185,2376.0,490.0,322,1254.0,3122.0,218.0,368.0,1300.0,632.0,421.0,693.0
47,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,202.0,279,75.0,284.0,112.0,175.0,233.0,79.0,205.0,109.0,225.0,80.0,500.0,619.0,96.0,258.0,291.0,187.0,152.0,290,200.0,288.0,46.0,61,686.0,127.0,97,254.0,821.0,65.0,108.0,240.0,169.0,119.0,188.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0,0.0,1.0,0.0,1,5.0,0.0,1,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,242.0,436,95.0,242.0,254.0,93.0,238.0,44.0,223.0,109.0,225.0,87.0,334.0,423.0,84.0,204.0,193.0,124.0,136.0,280,131.0,240.0,58.0,81,490.0,106.0,64,229.0,574.0,62.0,97.0,178.0,105.0,130.0,127.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,544.0,600,228.0,660.0,395.0,405.0,614.0,186.0,496.0,213.0,627.0,186.0,1219.0,1563.0,161.0,565.0,803.0,412.0,495.0,865,483.0,713.0,86.0,139,1779.0,335.0,198,765.0,2226.0,148.0,260.0,1017.0,414.0,290.0,522.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,316.0,322,126.0,434.0,263.0,284.0,444.0,93.0,292.0,128.0,349.0,131.0,637.0,889.0,130.0,419.0,304.0,291.0,274.0,421,260.0,457.0,51.0,80,866.0,170.0,142,425.0,1116.0,99.0,139.0,371.0,262.0,182.0,228.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0.0,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,323.0,620,173.0,436.0,276.0,216.0,322.0,88.0,358.0,185.0,373.0,161.0,705.0,916.0,152.0,398.0,395.0,296.0,309.0,566,232.0,448.0,78.0,107,910.0,218.0,144,551.0,1176.0,98.0,175.0,330.0,231.0,196.0,258.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,661.0,719,254.0,776.0,541.0,493.0,836.0,186.0,592.0,237.0,767.0,221.0,1382.0,1803.0,199.0,642.0,884.0,497.0,576.0,954,570.0,814.0,100.0,163,2026.0,403.0,245,905.0,2530.0,176.0,298.0,1176.0,480.0,341.0,589.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,220.0,280,112.0,374.0,121.0,221.0,236.0,100.0,235.0,120.0,256.0,108.0,562.0,770.0,103.0,389.0,271.0,250.0,227.0,388,199.0,418.0,42.0,58,719.0,147.0,128,365.0,950.0,83.0,113.0,242.0,225.0,151.0,194.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0,0.0,1.0,0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,301.0,544,161.0,380.0,274.0,191.0,308.0,81.0,319.0,169.0,328.0,149.0,617.0,792.0,141.0,351.0,347.0,251.0,275.0,510,205.0,388.0,73.0,104,812.0,172.0,111,470.0,1036.0,86.0,163.0,300.0,202.0,178.0,225.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,523.0,610,206.0,607.0,433.0,408.0,629.0,152.0,488.0,213.0,577.0,172.0,1158.0,1552.0,143.0,566.0,805.0,413.0,484.0,860,492.0,686.0,82.0,131,1756.0,324.0,185,710.0,2211.0,144.0,259.0,1022.0,366.0,292.0,533.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,328.0,358,146.0,504.0,227.0,304.0,444.0,118.0,327.0,147.0,408.0,135.0,743.0,955.0,142.0,439.0,320.0,319.0,293.0,445,259.0,496.0,61.0,85,924.0,200.0,160,464.0,1161.0,107.0,130.0,411.0,324.0,191.0,216.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1,1.0,3.0,0.0,1,2.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,331.0,576,174.0,420.0,276.0,193.0,307.0,96.0,331.0,166.0,366.0,171.0,660.0,860.0,158.0,377.0,376.0,267.0,300.0,546,223.0,435.0,72.0,109,875.0,199.0,139,567.0,1145.0,94.0,185.0,285.0,217.0,186.0,259.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,443.0,453,187.0,537.0,373.0,363.0,591.0,138.0,407.0,164.0,523.0,154.0,997.0,1323.0,139.0,475.0,644.0,362.0,437.0,727,432.0,582.0,69.0,128,1446.0,266.0,169,650.0,1858.0,125.0,221.0,947.0,342.0,243.0,447.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,385.0,423,156.0,521.0,268.0,296.0,448.0,125.0,359.0,168.0,423.0,138.0,813.0,1025.0,143.0,464.0,399.0,316.0,296.0,479,295.0,540.0,70.0,84,1120.0,224.0,161,470.0,1341.0,118.0,155.0,430.0,314.0,216.0,241.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,2,1.0,0.0,0.0,0,2.0,2.0,0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,355.0,664,184.0,473.0,295.0,245.0,341.0,104.0,380.0,194.0,406.0,186.0,750.0,1016.0,161.0,442.0,458.0,321.0,344.0,644,247.0,498.0,76.0,113,989.0,231.0,154,620.0,1318.0,102.0,198.0,341.0,251.0,211.0,320.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,597.0,795,290.0,847.0,331.0,502.0,608.0,203.0,587.0,266.0,653.0,228.0,1487.0,1927.0,221.0,722.0,933.0,522.0,619.0,1012,552.0,885.0,87.0,157,2128.0,400.0,279,956.0,2732.0,187.0,326.0,772.0,526.0,356.0,624.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,306.0,272,97.0,327.0,341.0,245.0,497.0,87.0,277.0,114.0,371.0,108.0,568.0,766.0,107.0,364.0,280.0,225.0,204.0,385,241.0,395.0,59.0,72,724.0,153.0,121,320.0,889.0,81.0,109.0,705.0,207.0,163.0,194.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,3.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,279.0,476,140.0,357.0,263.0,158.0,275.0,77.0,282.0,146.0,327.0,141.0,505.0,675.0,115.0,294.0,289.0,252.0,255.0,454,181.0,340.0,69.0,96,702.0,170.0,84,465.0,898.0,77.0,139.0,241.0,174.0,151.0,190.0
