,Contest Title,Party,Candidate,1ST BAPTIST CHURCH,A & M UNIVERSITY NEW GYM,ABSENTEE,ALDERSGATE UNITED METH_,ALL NATIONS CHURCH,BOB HARRISON SR_ CTR_,BOBO VOLUNTEER FIRE,BROWNSBORO BAPT_ CHURCH,CAVALRY FRIENDSHIP CTR_,CHARLES STONE AG_ CTR_,CO_ COMMISSION DIST_ 1,COMMUNITY FELLOWSHIP,COVE CHURCH AT CHASE,COVE UNITED METHODIST CH_,COVENANT PRESBYTERIAN CH_,DR_ RICHARD SHOWERS CTR_,FAITH LUTHERAN,FIRE & RESCUE TRAINING,FIRST BAPT_ MERIDANVILLE,FIRST CHURH OF GOD MADISO,FIRST MISSIONARY BAPTIST,GRACE UNITED METHODIST,GURLEY SENIOR CENTER,HAMPTON COVE CHURCH,HAROLD HARBIN GYM,HARVEST BAPTIST CHURCH,HILLWOOD BAPTIST CHURCH,INTERGRAPH CORP_,JACKSON WAY BAPTIST,LAKEWOOD COMMUNITY CTR_,LEWIS CHAPEL C_P_ CHURCH,LITTLE INDIAN CREEK CH_,LOCUST GROVE BAPTIST,MADISON BAPTIST CHURCH,MADISON CHURCH OF CHRIST,MADISON CITY HALL,MADISON CO_ NATURE TRAIL,MADISON MISSION 7 DAY ADV,MARY KELLY JOHNSTON GYM,MAYSVILLE CHURCH  CHRIST,MERIDANVILLE CH OF CHRIST,MONROVIA CH_ OF CHRIST,MONROVIA COMM_ CENTER,MONTE SANO FIRE STATION 2,MOUNTAINVIEW BAPTIST,MT_ ZION BAPTIST CHURCH,NEW HOPE CITY HALL,NEW MARKET FIRE STATION,NEW SHILOH CHURCH,NORTHEAST HUNTSVILLE,OAKWOOD UNIVERSITY CHURCH,OPTIMIST PARK,OWENS CROSS RDS CITY HALL,PINEVIEW BAPTIST CHURCH,PLAINVIEW CHURCH CHRIST,PLEASANT SPRINGS BAPTIST,PLEVNA NEW MARKET FIRE #2,PROVISIONAL,RESTORATION CHURCH,RIVERTREE CHURCH,SHERWOOD BAPTIST CH_,SOUTHWOOD PRESBYTERIAN,ST_ JOHN'S CATHOLIC CHURC,ST_ LUKE CHRISTIAN,THE DWELLING PLACE,TONEY UNITED METHODIST,TRIANA CITY HALL,TRINITY UNITED METHODIST,TRINTY PRESBYTERIAN,WEATHERLY HGTS BAPTIST,WEST HUNTSVILLE BAPTIST,WESTSIDE COMMUNITY CTR,WHITESBURG CENTER,WILLOWBROOK BAPTIST
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,54.0,11.0,163,83.0,24.0,8.0,19.0,30.0,17.0,7.0,11.0,82.0,62.0,94.0,36.0,7.0,80.0,8.0,26.0,35.0,7.0,65.0,11.0,44.0,21.0,34.0,65.0,86.0,28.0,9.0,0.0,60.0,36.0,107.0,46.0,99.0,6.0,60.0,18.0,34.0,41.0,88.0,77.0,8.0,28.0,112.0,15.0,12.0,11.0,17.0,32.0,43.0,31.0,32.0,24.0,1.0,6.0,11,70.0,114.0,73.0,40.0,101.0,20.0,70.0,29.0,30.0,66.0,15.0,65.0,26.0,4.0,72.0,95.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,1.0,9.0,7,2.0,11.0,3.0,0.0,1.0,10.0,2.0,0.0,2.0,9.0,1.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,8.0,4.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,3.0,6.0,4.0,7.0,1.0,0.0,6.0,7.0,0.0,7.0,1.0,11.0,1.0,5.0,1.0,0.0,2.0,0.0,0,2.0,3.0,3.0,2.0,4.0,1.0,4.0,1.0,7.0,8.0,2.0,3.0,10.0,0.0,1.0,1.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,29.0,1.0,48,22.0,4.0,5.0,5.0,6.0,1.0,2.0,13.0,13.0,35.0,23.0,23.0,4.0,15.0,5.0,10.0,7.0,4.0,16.0,6.0,10.0,10.0,3.0,10.0,11.0,9.0,3.0,2.0,22.0,10.0,18.0,10.0,16.0,3.0,10.0,4.0,20.0,12.0,18.0,9.0,5.0,19.0,22.0,9.0,14.0,3.0,4.0,6.0,7.0,7.0,7.0,10.0,2.0,11.0,0,15.0,20.0,7.0,19.0,17.0,6.0,18.0,3.0,3.0,10.0,1.0,15.0,4.0,0.0,21.0,35.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,854.0,1210.0,3633,866.0,1205.0,1615.0,508.0,430.0,968.0,397.0,462.0,748.0,1574.0,691.0,509.0,1187.0,1464.0,816.0,774.0,499.0,1604.0,1523.0,201.0,339.0,271.0,990.0,893.0,1611.0,621.0,888.0,289.0,984.0,630.0,1028.0,602.0,896.0,108.0,1016.0,331.0,626.0,694.0,1550.0,1451.0,335.0,482.0,1523.0,314.0,224.0,1050.0,383.0,2616.0,631.0,323.0,735.0,283.0,289.0,81.0,392,947.0,711.0,1349.0,375.0,860.0,1698.0,901.0,780.0,901.0,1255.0,429.0,783.0,762.0,193.0,722.0,987.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,1906.0,55.0,5535,2341.0,1053.0,246.0,1625.0,1291.0,168.0,170.0,1364.0,1764.0,2651.0,2710.0,1430.0,107.0,2141.0,280.0,963.0,1140.0,215.0,1398.0,834.0,1394.0,1377.0,1208.0,1919.0,1908.0,797.0,211.0,56.0,2107.0,1462.0,1927.0,1099.0,1681.0,351.0,1397.0,695.0,2244.0,1844.0,2421.0,2088.0,423.0,802.0,2722.0,1623.0,867.0,128.0,692.0,631.0,1338.0,1565.0,829.0,1351.0,59.0,429.0,344,1954.0,2638.0,1377.0,1376.0,2728.0,349.0,2308.0,1637.0,662.0,1702.0,437.0,2020.0,474.0,18.0,1888.0,2852.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,5.0,2.0,18,7.0,5.0,5.0,5.0,5.0,1.0,4.0,3.0,5.0,11.0,5.0,1.0,3.0,9.0,2.0,1.0,5.0,2.0,7.0,1.0,6.0,2.0,3.0,8.0,6.0,1.0,1.0,0.0,4.0,2.0,9.0,4.0,12.0,0.0,11.0,0.0,1.0,1.0,9.0,5.0,1.0,3.0,7.0,1.0,0.0,3.0,3.0,9.0,8.0,2.0,2.0,1.0,1.0,0.0,1,7.0,7.0,4.0,3.0,7.0,2.0,8.0,8.0,3.0,7.0,0.0,7.0,3.0,2.0,9.0,8.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,1.0,1.0,2,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,65.0,14.0,222,70.0,49.0,27.0,43.0,51.0,29.0,9.0,79.0,50.0,86.0,63.0,44.0,18.0,78.0,26.0,40.0,28.0,26.0,54.0,36.0,23.0,41.0,39.0,64.0,58.0,46.0,18.0,6.0,38.0,36.0,54.0,28.0,50.0,11.0,49.0,26.0,66.0,58.0,78.0,40.0,15.0,37.0,73.0,65.0,36.0,22.0,25.0,41.0,49.0,55.0,27.0,50.0,6.0,34.0,0,57.0,81.0,54.0,23.0,76.0,37.0,69.0,46.0,23.0,66.0,22.0,63.0,28.0,4.0,55.0,92.0
18,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",DEM,"Will Boyd, Jr.                        ",953.0,1222.0,3647,889.0,1196.0,1622.0,496.0,437.0,973.0,401.0,456.0,751.0,1549.0,746.0,580.0,1196.0,1475.0,823.0,774.0,501.0,1622.0,1505.0,203.0,356.0,280.0,1014.0,886.0,1603.0,616.0,873.0,291.0,987.0,628.0,1030.0,587.0,882.0,113.0,1025.0,327.0,631.0,686.0,1557.0,1464.0,354.0,519.0,1520.0,346.0,225.0,1058.0,383.0,2656.0,672.0,325.0,732.0,319.0,292.0,105.0,394,966.0,752.0,1339.0,409.0,910.0,1717.0,884.0,799.0,913.0,1275.0,422.0,799.0,771.0,197.0,742.0,1016.0
19,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",REP,Mo Brooks                             ,1797.0,40.0,5514,2321.0,1057.0,241.0,1635.0,1287.0,162.0,166.0,1367.0,1757.0,2666.0,2641.0,1342.0,98.0,2121.0,272.0,968.0,1138.0,199.0,1400.0,829.0,1371.0,1363.0,1176.0,1922.0,1892.0,798.0,224.0,54.0,2097.0,1451.0,1923.0,1109.0,1689.0,350.0,1384.0,691.0,2240.0,1847.0,2416.0,2071.0,404.0,763.0,2713.0,1587.0,864.0,117.0,698.0,594.0,1284.0,1566.0,820.0,1318.0,57.0,406.0,338,1936.0,2607.0,1375.0,1332.0,2664.0,334.0,2326.0,1612.0,647.0,1663.0,438.0,2006.0,470.0,15.0,1869.0,2830.0
20,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,6.0,2.0,14,5.0,4.0,3.0,3.0,4.0,1.0,3.0,5.0,4.0,8.0,6.0,8.0,3.0,7.0,3.0,1.0,3.0,1.0,6.0,1.0,3.0,2.0,6.0,13.0,5.0,1.0,2.0,0.0,3.0,2.0,8.0,4.0,9.0,0.0,8.0,0.0,1.0,0.0,6.0,4.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0,8.0,5.0,3.0,3.0,2.0,1.0,0.0,0,6.0,6.0,2.0,5.0,9.0,1.0,7.0,7.0,1.0,13.0,2.0,2.0,3.0,1.0,10.0,9.0
21,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0.0,5.0,5,2.0,2.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,6.0,0.0,0.0,5.0,3.0,0.0,2.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0
22,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,75.0,13.0,223,68.0,55.0,28.0,47.0,49.0,27.0,10.0,79.0,54.0,99.0,75.0,54.0,17.0,88.0,26.0,35.0,30.0,25.0,69.0,38.0,31.0,45.0,41.0,63.0,80.0,51.0,18.0,6.0,47.0,50.0,57.0,32.0,59.0,7.0,57.0,33.0,64.0,65.0,79.0,41.0,16.0,39.0,86.0,67.0,37.0,25.0,20.0,38.0,65.0,52.0,36.0,46.0,5.0,33.0,0,56.0,71.0,64.0,30.0,86.0,33.0,69.0,51.0,28.0,76.0,27.0,65.0,25.0,4.0,52.0,85.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",1907.0,570.0,5771,2395.0,1301.0,366.0,1634.0,1284.0,295.0,224.0,1314.0,1869.0,2743.0,2714.0,1395.0,228.0,2358.0,351.0,1035.0,1189.0,404.0,1684.0,804.0,1443.0,1305.0,1362.0,2032.0,2163.0,878.0,324.0,96.0,2154.0,1502.0,2104.0,1196.0,1801.0,345.0,1596.0,720.0,2209.0,1854.0,2683.0,2268.0,430.0,857.0,2900.0,1549.0,812.0,226.0,738.0,928.0,1292.0,1570.0,935.0,1297.0,113.0,376.0,403,2057.0,2662.0,1660.0,1346.0,2749.0,632.0,2444.0,1699.0,868.0,1938.0,543.0,2054.0,623.0,53.0,1959.0,2861.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,38.0,90.0,115,53.0,107.0,55.0,30.0,27.0,69.0,24.0,44.0,43.0,93.0,29.0,23.0,87.0,128.0,40.0,42.0,44.0,82.0,120.0,26.0,16.0,17.0,77.0,65.0,118.0,41.0,60.0,15.0,48.0,56.0,65.0,35.0,59.0,6.0,72.0,16.0,33.0,31.0,115.0,99.0,13.0,27.0,131.0,16.0,10.0,63.0,22.0,153.0,40.0,15.0,62.0,21.0,24.0,2.0,21,61.0,41.0,117.0,14.0,47.0,110.0,70.0,47.0,70.0,98.0,32.0,29.0,61.0,13.0,35.0,44.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,1.0,0.0,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,885.0,622.0,3363,836.0,905.0,1473.0,517.0,467.0,804.0,332.0,550.0,655.0,1487.0,726.0,567.0,1000.0,1208.0,734.0,702.0,439.0,1361.0,1178.0,242.0,303.0,369.0,801.0,787.0,1304.0,547.0,734.0,240.0,934.0,572.0,848.0,502.0,779.0,119.0,805.0,317.0,694.0,713.0,1260.0,1219.0,331.0,440.0,1297.0,437.0,305.0,914.0,343.0,2223.0,694.0,361.0,596.0,367.0,218.0,166.0,0,847.0,734.0,1008.0,415.0,874.0,1344.0,771.0,724.0,653.0,992.0,314.0,791.0,586.0,151.0,680.0,1036.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,1924.0,573.0,5763,2393.0,1285.0,358.0,1629.0,1270.0,294.0,224.0,1300.0,1856.0,2723.0,2718.0,1390.0,226.0,2357.0,344.0,1026.0,1183.0,393.0,1690.0,801.0,1434.0,1299.0,1356.0,2027.0,2155.0,871.0,314.0,95.0,2144.0,1500.0,2103.0,1188.0,1793.0,345.0,1600.0,715.0,2212.0,1837.0,2685.0,2257.0,432.0,850.0,2895.0,1542.0,809.0,221.0,744.0,926.0,1284.0,1573.0,930.0,1282.0,113.0,374.0,407,2055.0,2660.0,1647.0,1336.0,2737.0,617.0,2440.0,1701.0,865.0,1940.0,537.0,2051.0,617.0,50.0,1949.0,2849.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,35.0,85.0,104,46.0,106.0,51.0,26.0,25.0,68.0,22.0,43.0,37.0,86.0,24.0,20.0,83.0,118.0,38.0,40.0,42.0,79.0,105.0,25.0,17.0,16.0,75.0,60.0,112.0,37.0,61.0,15.0,45.0,48.0,59.0,33.0,56.0,5.0,67.0,16.0,21.0,32.0,109.0,104.0,10.0,27.0,114.0,13.0,11.0,62.0,19.0,139.0,37.0,13.0,57.0,21.0,24.0,2.0,21,56.0,37.0,111.0,11.0,43.0,102.0,69.0,43.0,68.0,93.0,32.0,27.0,63.0,13.0,34.0,45.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,872.0,624.0,3386,846.0,923.0,1485.0,526.0,483.0,806.0,334.0,565.0,672.0,1513.0,727.0,575.0,1006.0,1218.0,743.0,713.0,447.0,1375.0,1187.0,246.0,310.0,375.0,810.0,797.0,1318.0,558.0,743.0,241.0,947.0,583.0,857.0,512.0,790.0,120.0,808.0,322.0,704.0,730.0,1265.0,1225.0,332.0,447.0,1316.0,448.0,307.0,920.0,340.0,2239.0,705.0,360.0,606.0,382.0,218.0,168.0,0,855.0,740.0,1027.0,430.0,891.0,1366.0,777.0,727.0,657.0,997.0,320.0,796.0,590.0,154.0,691.0,1047.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,1895.0,556.0,5724,2389.0,1284.0,357.0,1643.0,1272.0,293.0,221.0,1311.0,1866.0,2734.0,2704.0,1383.0,222.0,2349.0,353.0,1026.0,1176.0,391.0,1676.0,807.0,1431.0,1304.0,1355.0,2025.0,2148.0,865.0,316.0,92.0,2126.0,1494.0,2093.0,1193.0,1797.0,343.0,1586.0,726.0,2211.0,1840.0,2677.0,2252.0,428.0,843.0,2901.0,1544.0,809.0,223.0,743.0,917.0,1284.0,1577.0,934.0,1292.0,108.0,379.0,401,2047.0,2650.0,1648.0,1331.0,2730.0,619.0,2438.0,1693.0,863.0,1920.0,540.0,2043.0,611.0,50.0,1937.0,2828.0
