,Contest Title,Party,Candidate,ABSENTEE,BARNWELL VFD,BAY MINETTE CIVIC CENTER,BELFOREST COMM CTR,BON SECOUR MORGAN CHAPEL,BROMLEY VFD SUBST,CLEAR SPG FELLOWSHIP,CROSSROADS DURANT,DAPHNE CIVIC CENTER,DAPHNE HIGH SCHOOL,"DOUGLASVILLE, BOYKIN CTR",ELBERTA CIVIC CENTER,ELLISVILLE COMM CENTER,ELSANOR COMMUNITY,FAIRHOPE - 3 CIRCLE CHURCH,FAIRHOPE CIVIC CENTER,FOLEY CIVIC CENTER,FT_ MORGAN VFD #1,GATESWOOD VFD,GULF SHORES CIVIC CENTER,JOSEPHINE VFD,LILLIAN COMMUNITY,LITTLE RIVER VFD,LOTTIE VFD,LOXLEY TOWN HALL,MAG SPGS WESLEYAN CH,MARLOW VFD,MIFLIN COMMUNITY CTR,NEW LIFE ASSEMBLY OF GOD,ORANGE BEACH COMM,PERDIDO BEACH VFD,PERDIDO VOL FIRE DEPT,PINEGROVE VFD #1,PROVISIONAL,PT CLEAR ST FRANCIS,RABUN VFD,ROBERTSDALE CITY HALL,ROSINTON METHODIST,SEMINOLE VFD,SILVERHILL COMMUNITY CENTER,SPANISH FORT CHURCH OF CHRIST,SPANISH FORT COMMUNITY CENTER,STAPLETON VFD,STOCKTON CIVIC BUILDING,SUMMERDALE COMM_,TENSAW VFD,VAUGHN COMM CENTER,WHITEHOUSE FORK VFD
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,46,14.0,18.0,19.0,16.0,12.0,0.0,4.0,153.0,38.0,1.0,12.0,2.0,4.0,71.0,102.0,46.0,3.0,1.0,49.0,7.0,23.0,0.0,4.0,10.0,18.0,20.0,22.0,40.0,39.0,2.0,0.0,4.0,0,20.0,0.0,17.0,10.0,5.0,12.0,17.0,47.0,9.0,1.0,9.0,2.0,1.0,4.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,4,2.0,12.0,6.0,5.0,6.0,0.0,4.0,11.0,3.0,8.0,6.0,2.0,2.0,11.0,7.0,22.0,1.0,0.0,9.0,0.0,5.0,0.0,2.0,6.0,14.0,2.0,4.0,11.0,4.0,0.0,0.0,2.0,0,5.0,4.0,5.0,0.0,0.0,5.0,4.0,4.0,2.0,4.0,1.0,3.0,0.0,1.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,11,7.0,17.0,2.0,3.0,6.0,0.0,1.0,32.0,9.0,0.0,4.0,1.0,4.0,25.0,42.0,15.0,4.0,1.0,19.0,0.0,2.0,2.0,2.0,0.0,7.0,5.0,8.0,5.0,13.0,2.0,4.0,2.0,0,6.0,0.0,11.0,2.0,0.0,4.0,8.0,16.0,1.0,0.0,7.0,0.0,0.0,3.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,927,250.0,749.0,221.0,198.0,203.0,9.0,135.0,2763.0,555.0,383.0,254.0,159.0,81.0,924.0,1960.0,1319.0,85.0,19.0,1058.0,64.0,572.0,36.0,12.0,155.0,665.0,322.0,372.0,777.0,576.0,84.0,90.0,188.0,47,320.0,45.0,436.0,133.0,64.0,333.0,253.0,559.0,85.0,35.0,256.0,96.0,188.0,130.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,3442,1512.0,2737.0,1354.0,992.0,626.0,133.0,411.0,6609.0,1739.0,35.0,1381.0,328.0,852.0,4612.0,5282.0,4044.0,306.0,220.0,4570.0,395.0,2443.0,112.0,157.0,882.0,2208.0,1411.0,1709.0,2770.0,3684.0,493.0,551.0,748.0,117,895.0,486.0,2211.0,1259.0,506.0,1853.0,1480.0,2670.0,915.0,394.0,1559.0,39.0,161.0,728.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,16,4.0,7.0,5.0,4.0,2.0,1.0,3.0,33.0,7.0,0.0,0.0,0.0,1.0,18.0,21.0,13.0,1.0,1.0,13.0,0.0,7.0,0.0,1.0,6.0,2.0,4.0,4.0,12.0,8.0,2.0,1.0,0.0,0,1.0,2.0,5.0,5.0,1.0,3.0,8.0,19.0,3.0,0.0,4.0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,4,0.0,7.0,4.0,0.0,1.0,0.0,1.0,11.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,16.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,4.0,3.0,1.0,6.0,6.0,0.0,0.0,0.0,0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,115,36.0,77.0,27.0,29.0,26.0,4.0,13.0,235.0,49.0,12.0,30.0,15.0,25.0,126.0,204.0,123.0,9.0,7.0,117.0,12.0,54.0,5.0,5.0,19.0,58.0,38.0,46.0,105.0,86.0,15.0,21.0,16.0,0,25.0,18.0,66.0,28.0,12.0,49.0,53.0,89.0,23.0,17.0,39.0,6.0,11.0,20.0
18,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",REP,Bradley Byrne                         ,3597,1534.0,2794.0,1401.0,1003.0,662.0,136.0,426.0,7025.0,1870.0,109.0,1401.0,343.0,872.0,4769.0,5717.0,4283.0,321.0,216.0,4779.0,412.0,2510.0,113.0,159.0,904.0,2308.0,1466.0,1786.0,2940.0,3748.0,486.0,549.0,762.0,129,946.0,474.0,2291.0,1253.0,516.0,1922.0,1503.0,2740.0,914.0,378.0,1582.0,45.0,177.0,724.0
19,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",NON,Write-In                              ,61,27.0,112.0,34.0,21.0,14.0,0.0,12.0,281.0,53.0,27.0,37.0,10.0,8.0,111.0,182.0,117.0,7.0,2.0,91.0,9.0,54.0,1.0,2.0,23.0,85.0,23.0,38.0,81.0,66.0,9.0,13.0,21.0,0,23.0,13.0,56.0,18.0,11.0,41.0,38.0,85.0,11.0,8.0,24.0,6.0,7.0,18.0
20,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",   ,Over Votes                            ,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",   ,Under Votes                           ,828,241.0,669.0,176.0,199.0,182.0,11.0,125.0,2345.0,428.0,294.0,226.0,150.0,79.0,800.0,1574.0,1114.0,73.0,29.0,891.0,50.0,513.0,39.0,14.0,138.0,543.0,289.0,308.0,650.0,546.0,99.0,101.0,169.0,0,274.0,65.0,371.0,154.0,56.0,275.0,255.0,514.0,101.0,60.0,251.0,90.0,176.0,137.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",3535,1515.0,2765.0,1391.0,989.0,644.0,134.0,427.0,6936.0,1859.0,106.0,1392.0,334.0,859.0,4671.0,5523.0,4240.0,321.0,218.0,4730.0,413.0,2475.0,103.0,153.0,904.0,2285.0,1432.0,1770.0,2874.0,3681.0,478.0,547.0,763.0,118,910.0,467.0,2255.0,1245.0,508.0,1879.0,1470.0,2704.0,915.0,381.0,1560.0,44.0,175.0,709.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,27,15.0,63.0,22.0,16.0,16.0,0.0,9.0,159.0,32.0,23.0,20.0,6.0,5.0,48.0,91.0,80.0,5.0,1.0,47.0,5.0,34.0,7.0,1.0,14.0,59.0,14.0,15.0,62.0,34.0,6.0,4.0,13.0,0,14.0,6.0,29.0,10.0,5.0,23.0,14.0,31.0,3.0,5.0,9.0,5.0,6.0,13.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,2,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,920,271.0,746.0,198.0,218.0,198.0,13.0,127.0,2554.0,460.0,301.0,253.0,163.0,94.0,963.0,1859.0,1194.0,76.0,28.0,985.0,53.0,568.0,43.0,20.0,147.0,593.0,332.0,347.0,733.0,644.0,110.0,112.0,175.0,0,318.0,79.0,433.0,170.0,69.0,336.0,312.0,605.0,109.0,60.0,289.0,92.0,179.0,156.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,3545,1517.0,2766.0,1391.0,984.0,645.0,133.0,424.0,6919.0,1864.0,109.0,1392.0,335.0,849.0,4693.0,5523.0,4231.0,317.0,218.0,4733.0,411.0,2464.0,106.0,152.0,900.0,2279.0,1434.0,1768.0,2877.0,3667.0,472.0,547.0,761.0,115,907.0,470.0,2259.0,1236.0,512.0,1875.0,1472.0,2696.0,912.0,382.0,1561.0,44.0,176.0,707.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,30,12.0,58.0,21.0,14.0,14.0,0.0,9.0,161.0,29.0,20.0,18.0,7.0,7.0,44.0,90.0,73.0,5.0,1.0,42.0,6.0,37.0,1.0,2.0,12.0,57.0,14.0,13.0,58.0,36.0,7.0,4.0,14.0,0,14.0,5.0,26.0,12.0,5.0,20.0,15.0,31.0,2.0,3.0,9.0,5.0,6.0,12.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,909,273.0,751.0,199.0,224.0,199.0,14.0,130.0,2568.0,458.0,301.0,255.0,161.0,102.0,943.0,1859.0,1208.0,80.0,28.0,985.0,54.0,577.0,46.0,21.0,153.0,597.0,330.0,350.0,734.0,657.0,115.0,112.0,177.0,0,321.0,77.0,432.0,176.0,66.0,342.0,309.0,612.0,113.0,61.0,288.0,92.0,178.0,160.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,3522,1509.0,2755.0,1390.0,980.0,641.0,133.0,421.0,6876.0,1850.0,110.0,1386.0,331.0,846.0,4671.0,5469.0,4221.0,316.0,217.0,4698.0,412.0,2455.0,106.0,153.0,898.0,2283.0,1422.0,1757.0,2867.0,3657.0,475.0,547.0,761.0,104,900.0,466.0,2253.0,1240.0,510.0,1869.0,1467.0,2687.0,909.0,379.0,1547.0,44.0,175.0,708.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,33,15.0,66.0,20.0,15.0,12.0,0.0,9.0,159.0,31.0,18.0,17.0,7.0,6.0,41.0,101.0,75.0,5.0,1.0,44.0,5.0,37.0,0.0,1.0,14.0,55.0,16.0,13.0,52.0,38.0,5.0,1.0,16.0,0,15.0,6.0,26.0,11.0,4.0,19.0,16.0,34.0,2.0,3.0,12.0,6.0,6.0,10.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,929,278.0,755.0,201.0,228.0,205.0,14.0,132.0,2615.0,470.0,302.0,261.0,165.0,106.0,970.0,1903.0,1219.0,81.0,29.0,1019.0,54.0,586.0,47.0,21.0,152.0,599.0,340.0,362.0,750.0,665.0,114.0,115.0,175.0,0,328.0,80.0,440.0,175.0,69.0,350.0,313.0,619.0,116.0,64.0,299.0,91.0,179.0,161.0
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,3490,1502.0,2751.0,1371.0,978.0,629.0,131.0,416.0,6788.0,1829.0,108.0,1371.0,330.0,841.0,4590.0,5395.0,4196.0,309.0,218.0,4661.0,411.0,2437.0,106.0,148.0,890.0,2254.0,1409.0,1737.0,2848.0,3605.0,468.0,525.0,741.0,111,902.0,462.0,2234.0,1230.0,504.0,1871.0,1451.0,2670.0,898.0,375.0,1545.0,48.0,175.0,698.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,39,15.0,64.0,25.0,16.0,12.0,1.0,10.0,184.0,36.0,19.0,22.0,8.0,5.0,62.0,121.0,81.0,6.0,1.0,56.0,5.0,40.0,0.0,2.0,14.0,60.0,18.0,16.0,61.0,34.0,5.0,2.0,14.0,0,19.0,6.0,31.0,11.0,4.0,23.0,15.0,40.0,5.0,5.0,10.0,5.0,7.0,12.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,1,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,953,284.0,761.0,214.0,227.0,217.0,15.0,137.0,2676.0,484.0,303.0,271.0,165.0,113.0,1024.0,1956.0,1234.0,87.0,28.0,1041.0,55.0,598.0,47.0,24.0,161.0,620.0,349.0,378.0,761.0,719.0,120.0,136.0,196.0,0,321.0,84.0,453.0,185.0,75.0,344.0,329.0,630.0,124.0,66.0,304.0,88.0,178.0,166.0
38,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,REP,Jackie Zeigler                        ,3504,1510.0,2729.0,1382.0,978.0,634.0,131.0,415.0,6788.0,1828.0,108.0,1370.0,332.0,842.0,4619.0,5392.0,4183.0,310.0,218.0,4677.0,408.0,2438.0,105.0,151.0,891.0,2267.0,1411.0,1751.0,2840.0,3617.0,466.0,526.0,744.0,112,896.0,464.0,2239.0,1231.0,505.0,1880.0,1443.0,2667.0,898.0,375.0,1544.0,49.0,176.0,701.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,NON,Write-In                              ,35,11.0,60.0,18.0,14.0,9.0,1.0,9.0,155.0,30.0,17.0,16.0,8.0,4.0,44.0,90.0,73.0,6.0,1.0,46.0,5.0,33.0,0.0,2.0,14.0,56.0,17.0,11.0,54.0,27.0,5.0,1.0,16.0,0,12.0,8.0,24.0,11.0,4.0,15.0,17.0,39.0,5.0,4.0,9.0,4.0,7.0,11.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,   ,Over Votes                            ,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,   ,Under Votes                           ,944,281.0,788.0,210.0,231.0,215.0,15.0,139.0,2705.0,493.0,305.0,279.0,163.0,112.0,1019.0,1990.0,1259.0,86.0,28.0,1037.0,58.0,606.0,48.0,22.0,160.0,614.0,350.0,369.0,775.0,714.0,123.0,136.0,192.0,0,334.0,80.0,455.0,184.0,74.0,343.0,336.0,633.0,124.0,67.0,306.0,88.0,177.0,167.0
42,"CIRCUIT COURT JUDGE, 28TH JUDICIAL CIRCUIT, PLACE 4     ",REP,Scott P. Taylor                       ,3491,1497.0,2748.0,1379.0,976.0,631.0,131.0,417.0,6804.0,1827.0,109.0,1373.0,328.0,838.0,4599.0,5411.0,4175.0,309.0,217.0,4688.0,407.0,2446.0,106.0,149.0,890.0,2274.0,1415.0,1751.0,2844.0,3620.0,468.0,528.0,748.0,113,902.0,460.0,2237.0,1242.0,505.0,1867.0,1446.0,2669.0,892.0,376.0,1551.0,48.0,173.0,705.0
43,"CIRCUIT COURT JUDGE, 28TH JUDICIAL CIRCUIT, PLACE 4     ",NON,Write-In                              ,29,15.0,55.0,22.0,13.0,11.0,1.0,9.0,145.0,26.0,18.0,14.0,7.0,4.0,42.0,79.0,71.0,4.0,1.0,34.0,4.0,32.0,0.0,3.0,13.0,52.0,15.0,12.0,41.0,27.0,5.0,1.0,14.0,0,12.0,8.0,22.0,10.0,4.0,17.0,11.0,26.0,2.0,3.0,8.0,4.0,8.0,10.0
44,"CIRCUIT COURT JUDGE, 28TH JUDICIAL CIRCUIT, PLACE 4     ",   ,Over Votes                            ,2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,"CIRCUIT COURT JUDGE, 28TH JUDICIAL CIRCUIT, PLACE 4     ",   ,Under Votes                           ,961,290.0,774.0,208.0,233.0,216.0,15.0,137.0,2701.0,497.0,303.0,277.0,168.0,116.0,1038.0,1981.0,1266.0,89.0,29.0,1040.0,60.0,600.0,47.0,23.0,162.0,611.0,347.0,369.0,785.0,711.0,121.0,134.0,190.0,0,329.0,84.0,460.0,174.0,74.0,353.0,339.0,645.0,133.0,67.0,299.0,89.0,179.0,164.0
46,"DISTRICT ATTORNEY, 28TH JUDICIAL CIRCUIT                ",REP,"Robert ""Bob"" Wilters                  ",3526,1504.0,2817.0,1385.0,980.0,637.0,131.0,426.0,6818.0,1821.0,115.0,1376.0,337.0,840.0,4612.0,5455.0,4197.0,310.0,216.0,4689.0,408.0,2451.0,107.0,152.0,897.0,2285.0,1418.0,1763.0,2837.0,3625.0,470.0,528.0,749.0,105,902.0,469.0,2261.0,1243.0,505.0,1878.0,1452.0,2679.0,904.0,379.0,1553.0,48.0,185.0,706.0
47,"DISTRICT ATTORNEY, 28TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,31,16.0,69.0,24.0,11.0,12.0,1.0,12.0,163.0,31.0,18.0,22.0,6.0,4.0,49.0,87.0,77.0,4.0,1.0,46.0,6.0,35.0,1.0,2.0,17.0,59.0,20.0,19.0,39.0,32.0,9.0,9.0,26.0,0,16.0,8.0,23.0,13.0,5.0,21.0,16.0,33.0,3.0,7.0,15.0,5.0,6.0,13.0
48,"DISTRICT ATTORNEY, 28TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,"DISTRICT ATTORNEY, 28TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,925,282.0,690.0,202.0,231.0,209.0,15.0,125.0,2669.0,498.0,297.0,265.0,160.0,114.0,1019.0,1932.0,1239.0,88.0,30.0,1026.0,57.0,589.0,45.0,20.0,150.0,591.0,340.0,350.0,794.0,700.0,115.0,126.0,176.0,0,325.0,75.0,435.0,170.0,73.0,338.0,328.0,628.0,119.0,60.0,291.0,88.0,169.0,160.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,2555,1080.0,1956.0,1002.0,651.0,493.0,79.0,292.0,5783.0,1491.0,208.0,962.0,281.0,498.0,3289.0,4409.0,3234.0,238.0,139.0,3581.0,278.0,1701.0,63.0,104.0,608.0,1645.0,1012.0,1299.0,2091.0,2666.0,328.0,328.0,523.0,344,737.0,257.0,1617.0,840.0,299.0,1320.0,1022.0,1919.0,539.0,217.0,1051.0,70.0,202.0,467.0
