,Contest Title,Party,Candidate,ABSENTEE,BAKERHILL TOWN HALL,BEVILL CENTER,BLUE SPRINGS CITY HALL,CLAYTON COURTHOUSE,CLIO CITY HALL,ELAMVILLE VOL_ FIRE,EUFAULA COMMUNITY CENTER,EUFAULA WATER BOARD,FELLOWSHIP BAPTIST,GREENS CROSSROADS,LOUISVILLE CITY HALL,MCCOO SCHOOL,MT_ ANDREW COMMUNITY CTR_,PROVISIONAL,SANFORD AVENUE GYM,SPRINGHILL VFD,TEXASVILLE COMMUNITY CTR_
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,239,155.0,297.0,99.0,274.0,209.0,75.0,276.0,235.0,324.0,42.0,183.0,312.0,44.0,14,237.0,131.0,116.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,342,108.0,390.0,84.0,282.0,121.0,112.0,498.0,268.0,454.0,47.0,151.0,380.0,35.0,17,416.0,104.0,78.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,101,118.0,293.0,64.0,274.0,140.0,58.0,355.0,257.0,285.0,37.0,199.0,389.0,69.0,12,263.0,99.0,58.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,240,169.0,331.0,102.0,306.0,225.0,88.0,303.0,262.0,360.0,47.0,205.0,318.0,53.0,17,261.0,154.0,139.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,287,83.0,316.0,60.0,227.0,132.0,88.0,399.0,225.0,360.0,43.0,130.0,317.0,33.0,14,336.0,94.0,71.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,121,121.0,312.0,72.0,305.0,128.0,62.0,390.0,294.0,331.0,39.0,197.0,413.0,71.0,11,307.0,89.0,55.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,275,191.0,387.0,117.0,330.0,226.0,107.0,368.0,268.0,408.0,49.0,228.0,359.0,53.0,21,297.0,174.0,149.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,198,91.0,308.0,50.0,216.0,84.0,63.0,358.0,203.0,346.0,32.0,89.0,284.0,27.0,15,295.0,73.0,41.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,86,76.0,202.0,51.0,252.0,123.0,53.0,286.0,239.0,220.0,29.0,190.0,370.0,67.0,10,221.0,81.0,42.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,399,228.0,505.0,149.0,394.0,280.0,142.0,512.0,345.0,533.0,70.0,276.0,435.0,63.0,21,423.0,203.0,192.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,241,146.0,552.0,106.0,328.0,178.0,123.0,624.0,315.0,614.0,51.0,172.0,403.0,40.0,21,472.0,135.0,120.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,213,90.0,178.0,45.0,242.0,95.0,45.0,276.0,248.0,185.0,37.0,193.0,380.0,64.0,7,236.0,78.0,32.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,3,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0,0,0.0,0.0,0.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,226,159.0,284.0,99.0,292.0,213.0,89.0,255.0,224.0,297.0,43.0,190.0,302.0,52.0,18,232.0,144.0,123.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,190,78.0,278.0,48.0,196.0,95.0,60.0,321.0,202.0,304.0,26.0,93.0,257.0,30.0,16,257.0,65.0,36.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,89,82.0,223.0,47.0,266.0,107.0,54.0,328.0,250.0,272.0,31.0,178.0,392.0,63.0,8,263.0,82.0,46.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,404,235.0,514.0,155.0,400.0,285.0,144.0,507.0,334.0,523.0,74.0,284.0,439.0,64.0,22,420.0,210.0,193.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,218,87.0,301.0,50.0,336.0,114.0,83.0,446.0,333.0,360.0,33.0,214.0,515.0,77.0,18,356.0,118.0,54.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,64,78.0,213.0,41.0,136.0,87.0,43.0,216.0,112.0,226.0,27.0,73.0,142.0,18.0,7,166.0,43.0,37.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,401,230.0,500.0,159.0,390.0,286.0,132.0,495.0,342.0,513.0,71.0,268.0,432.0,62.0,21,418.0,196.0,184.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,315,103.0,340.0,62.0,391.0,135.0,79.0,505.0,379.0,449.0,35.0,217.0,578.0,77.0,16,417.0,116.0,55.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,91,105.0,307.0,68.0,161.0,119.0,67.0,298.0,136.0,245.0,42.0,106.0,160.0,27.0,9,223.0,67.0,64.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,276,187.0,368.0,119.0,310.0,233.0,112.0,354.0,272.0,404.0,54.0,232.0,351.0,53.0,21,300.0,174.0,156.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,182,69.0,218.0,39.0,308.0,89.0,51.0,357.0,301.0,281.0,27.0,184.0,474.0,73.0,11,307.0,96.0,34.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,102,94.0,304.0,60.0,160.0,116.0,65.0,301.0,159.0,300.0,33.0,92.0,182.0,23.0,12,227.0,64.0,52.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,399,232.0,493.0,151.0,395.0,281.0,142.0,499.0,325.0,518.0,71.0,279.0,432.0,61.0,23,406.0,197.0,189.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,307,129.0,391.0,76.0,372.0,145.0,87.0,537.0,373.0,461.0,46.0,242.0,581.0,82.0,18,413.0,122.0,65.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,114,91.0,292.0,62.0,180.0,107.0,68.0,296.0,159.0,272.0,34.0,96.0,171.0,23.0,9,260.0,69.0,68.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,262,175.0,329.0,112.0,310.0,235.0,103.0,324.0,255.0,365.0,51.0,217.0,336.0,52.0,19,267.0,166.0,142.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,308,123.0,421.0,96.0,434.0,178.0,109.0,565.0,416.0,480.0,60.0,282.0,597.0,87.0,20,444.0,152.0,86.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,101,92.0,246.0,53.0,141.0,86.0,60.0,266.0,121.0,237.0,29.0,77.0,145.0,17.0,5,214.0,49.0,49.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,1.0,0.0,0.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,274,180.0,348.0,101.0,286.0,223.0,88.0,325.0,249.0,382.0,42.0,196.0,345.0,53.0,21,281.0,156.0,140.0
103,"DISTRICT COURT JUDGE, BARBOUR COUNTY                    ",DEM,Matt Horne                            ,479,263.0,601.0,137.0,700.0,343.0,130.0,807.0,619.0,738.0,107.0,467.0,899.0,141.0,31,722.0,289.0,156.0
104,"DISTRICT COURT JUDGE, BARBOUR COUNTY                    ",NON,Write-In                              ,3,3.0,15.0,1.0,13.0,2.0,1.0,12.0,6.0,11.0,1.0,4.0,10.0,0.0,1,10.0,2.0,9.0
105,"DISTRICT COURT JUDGE, BARBOUR COUNTY                    ",   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
106,"DISTRICT COURT JUDGE, BARBOUR COUNTY                    ",   ,Under Votes                           ,200,129.0,399.0,112.0,150.0,142.0,127.0,338.0,162.0,350.0,23.0,84.0,180.0,16.0,14,208.0,66.0,110.0
107,"MEMBER, BARBOUR COUNTY BOARD OF EDUCATION,              ",DEM,Shirley Franklin Johnson              ,41,174.0,31.0,,52.0,,,186.0,,,31.0,,,70.0,6,,262.0,
108,"MEMBER, BARBOUR COUNTY BOARD OF EDUCATION,              ",NON,Write-In                              ,1,1.0,1.0,,0.0,,,1.0,,,1.0,,,0.0,0,,2.0,
109,"MEMBER, BARBOUR COUNTY BOARD OF EDUCATION,              ",   ,Over Votes                            ,0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,0,,0.0,
110,"MEMBER, BARBOUR COUNTY BOARD OF EDUCATION,              ",   ,Under Votes                           ,35,132.0,31.0,,12.0,,,38.0,,,14.0,,,7.0,0,,93.0,
111,"CONSTABLE, BARBOUR COUNTY PRECINCT 1                    ",NON,Write-In                              ,2,25.0,,,,,,,,,,,,,0,,,
112,"CONSTABLE, BARBOUR COUNTY PRECINCT 1                    ",   ,Over Votes                            ,0,0.0,,,,,,,,,,,,,0,,,
113,"CONSTABLE, BARBOUR COUNTY PRECINCT 1                    ",   ,Under Votes                           ,26,370.0,,,,,,,,,,,,,1,,,
114,"CONSTABLE, BARBOUR COUNTY PRECINCT 2                    ",NON,Write-In                              ,1,,,,,,6.0,,,,,,,,0,,,
115,"CONSTABLE, BARBOUR COUNTY PRECINCT 2                    ",   ,Over Votes                            ,0,,,,,,0.0,,,,,,,,0,,,
116,"CONSTABLE, BARBOUR COUNTY PRECINCT 2                    ",   ,Under Votes                           ,2,,,,,,252.0,,,,,,,,0,,,
117,"CONSTABLE, BARBOUR COUNTY PRECINCT 3                    ",NON,Write-In                              ,3,,,,,16.0,,,,,,,,,0,,,
