,Contest Title,Party,Candidate,ABSENTEE,ARLINGTON COMMUNITY CENTER,CLIFTON VOC_ BUILDING DIST 4,CLIFTON VOC_ BUILDING DIST 5,COY PUBLIC SCHOOL HOUSE,FAITH FELLOWSHIP,FURMAN TATES CHAPEL DIST 1,FURMAN TATES CHAPEL DIST 2,G_W_ WATTS,GEE'S BEND FERRY TERMINAL,GROCERY STORE,HWY 10/28 DIST 1,HWY 10/28 DIST 2,LOWER PEACHTREE DIST 5,LOWER PEACHTREE DIST 6,MILLER FERRY RIVERVIEW CHURCH,NATIONAL GUARD BRIDGEPORT,NATL GUARD ARMORY CAMDEN,PINE APPLE/AWIN DIST 1,PINE APPLE/AWIN DIST 2,PINE HILL CITY HALL,PINE HILL MIDDLE SCHOOL,PORTABLE BUILDING,PRAIRIE BLUFF CATHERINE,PROVISIONAL,SE CAMDEN COURTHOUSE DIST 2,SE CAMDEN COURTHOUSE DIST 3,SEDAN PORT_ BLDG HWY 41,ST PAUL AME CHURCH DIST 1,ST PAUL AME CHURCH DIST 2,SUNNY SOUTH VOTING BOOTH,WHISKEY RUN DIST 3,WHISKEY RUN DIST 5,YE OLDE SHOPPE DIST 1,YE OLDE SHOPPE DIST 2,YELLOW BLUFF CITY HALL
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,2,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,190,105.0,117.0,76.0,174.0,306.0,50.0,22.0,62.0,179.0,133.0,49.0,196.0,105.0,107.0,24.0,48.0,127.0,27.0,36.0,202.0,123.0,146.0,187.0,0.0,200.0,21.0,26.0,45.0,38.0,121.0,444.0,5.0,16.0,60.0,79.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,85,78.0,5.0,3.0,52.0,10.0,20.0,3.0,11.0,21.0,51.0,51.0,31.0,5.0,4.0,124.0,103.0,391.0,22.0,62.0,304.0,16.0,8.0,51.0,0.0,94.0,24.0,43.0,6.0,1.0,69.0,31.0,12.0,7.0,10.0,7.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,203,6.0,5.0,24.0,11.0,23.0,1.0,5.0,7.0,11.0,15.0,5.0,10.0,10.0,4.0,5.0,4.0,13.0,2.0,1.0,43.0,20.0,4.0,2.0,0.0,4.0,1.0,5.0,0.0,0.0,8.0,12.0,2.0,0.0,1.0,17.0
18,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",DEM,Terri A. Sewell                       ,222,139.0,120.0,78.0,206.0,316.0,53.0,22.0,72.0,194.0,166.0,67.0,213.0,109.0,112.0,57.0,78.0,282.0,33.0,56.0,303.0,127.0,153.0,200.0,0.0,236.0,29.0,38.0,46.0,39.0,139.0,456.0,10.0,20.0,65.0,85.0
19,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,2,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,6.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
20,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,256,46.0,7.0,25.0,28.0,24.0,18.0,8.0,8.0,17.0,32.0,36.0,22.0,11.0,4.0,94.0,73.0,243.0,18.0,41.0,241.0,32.0,4.0,40.0,0.0,61.0,17.0,33.0,5.0,0.0,55.0,31.0,8.0,3.0,6.0,18.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",80,83.0,6.0,6.0,52.0,26.0,18.0,2.0,13.0,24.0,50.0,46.0,33.0,7.0,2.0,107.0,100.0,342.0,20.0,58.0,301.0,18.0,18.0,52.0,0.0,95.0,24.0,39.0,5.0,2.0,61.0,49.0,12.0,7.0,10.0,8.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,1,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,399,101.0,120.0,97.0,184.0,314.0,53.0,28.0,67.0,185.0,148.0,59.0,202.0,113.0,113.0,46.0,54.0,184.0,31.0,40.0,246.0,140.0,139.0,187.0,0.0,204.0,22.0,34.0,45.0,37.0,134.0,432.0,7.0,14.0,61.0,95.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,78,86.0,6.0,6.0,51.0,27.0,18.0,2.0,12.0,23.0,49.0,45.0,28.0,6.0,1.0,107.0,98.0,346.0,20.0,57.0,296.0,18.0,15.0,53.0,0.0,95.0,23.0,39.0,5.0,4.0,60.0,44.0,11.0,7.0,11.0,8.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,1,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,401,98.0,121.0,97.0,185.0,313.0,53.0,28.0,68.0,188.0,149.0,60.0,208.0,114.0,114.0,46.0,56.0,180.0,31.0,41.0,251.0,139.0,142.0,186.0,0.0,203.0,23.0,34.0,45.0,35.0,135.0,438.0,8.0,14.0,60.0,95.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,77,86.0,6.0,6.0,51.0,26.0,18.0,2.0,12.0,23.0,49.0,45.0,29.0,5.0,1.0,106.0,99.0,344.0,20.0,58.0,299.0,18.0,15.0,53.0,0.0,95.0,22.0,41.0,5.0,2.0,60.0,44.0,11.0,7.0,11.0,8.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,1,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,402,98.0,121.0,97.0,185.0,314.0,53.0,28.0,68.0,188.0,149.0,60.0,207.0,115.0,114.0,47.0,55.0,182.0,31.0,40.0,245.0,140.0,142.0,186.0,0.0,203.0,24.0,33.0,45.0,37.0,134.0,439.0,8.0,14.0,60.0,95.0
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,82,88.0,5.0,5.0,58.0,22.0,20.0,2.0,15.0,23.0,56.0,47.0,35.0,3.0,3.0,110.0,100.0,363.0,21.0,61.0,311.0,19.0,14.0,57.0,0.0,95.0,24.0,42.0,8.0,0.0,59.0,49.0,12.0,7.0,12.0,12.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,2,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,2.0,0.0,0.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,396,97.0,122.0,97.0,178.0,316.0,51.0,28.0,64.0,188.0,142.0,58.0,201.0,117.0,112.0,43.0,55.0,163.0,29.0,37.0,234.0,138.0,142.0,181.0,0.0,202.0,22.0,32.0,42.0,39.0,137.0,433.0,6.0,14.0,59.0,91.0
38,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,DEM,Ella B. Bell                          ,217,133.0,119.0,77.0,202.0,311.0,52.0,20.0,67.0,188.0,161.0,68.0,207.0,108.0,109.0,52.0,76.0,268.0,31.0,53.0,288.0,124.0,154.0,195.0,0.0,229.0,29.0,36.0,45.0,39.0,133.0,448.0,10.0,19.0,64.0,83.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,NON,Write-In                              ,1,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Under Votes                           ,262,53.0,8.0,25.0,33.0,27.0,19.0,10.0,13.0,21.0,36.0,36.0,30.0,12.0,6.0,101.0,78.0,260.0,20.0,43.0,252.0,35.0,4.0,44.0,0.0,70.0,17.0,36.0,6.0,0.0,62.0,36.0,8.0,4.0,7.0,20.0
42,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",DEM,Don McMillan                          ,236,140.0,121.0,76.0,209.0,314.0,53.0,19.0,67.0,186.0,173.0,78.0,215.0,108.0,110.0,68.0,112.0,380.0,34.0,57.0,309.0,125.0,154.0,199.0,0.0,255.0,35.0,48.0,48.0,39.0,138.0,461.0,13.0,20.0,65.0,81.0
43,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",NON,Write-In                              ,1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
44,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",   ,Under Votes                           ,243,47.0,6.0,26.0,28.0,25.0,18.0,11.0,13.0,23.0,26.0,26.0,22.0,12.0,5.0,83.0,43.0,148.0,17.0,40.0,233.0,34.0,4.0,39.0,0.0,45.0,11.0,24.0,3.0,0.0,59.0,27.0,5.0,3.0,5.0,22.0
46,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",DEM,Marvin Wayne Wiggins                  ,221,132.0,121.0,78.0,199.0,313.0,51.0,19.0,67.0,188.0,161.0,67.0,209.0,109.0,110.0,47.0,77.0,261.0,30.0,49.0,277.0,123.0,153.0,195.0,0.0,227.0,26.0,38.0,46.0,39.0,132.0,451.0,10.0,18.0,64.0,81.0
47,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",NON,Write-In                              ,1,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
48,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",   ,Under Votes                           ,258,55.0,6.0,25.0,35.0,26.0,20.0,11.0,13.0,21.0,33.0,36.0,28.0,11.0,5.0,104.0,78.0,264.0,21.0,47.0,263.0,36.0,5.0,44.0,0.0,73.0,20.0,34.0,5.0,0.0,65.0,37.0,7.0,5.0,6.0,22.0
50,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",DEM,Michael Jackson                       ,225,136.0,119.0,78.0,212.0,315.0,55.0,19.0,72.0,188.0,162.0,75.0,209.0,109.0,111.0,51.0,85.0,305.0,32.0,56.0,297.0,124.0,154.0,204.0,0.0,239.0,31.0,44.0,47.0,39.0,137.0,453.0,11.0,18.0,65.0,81.0
51,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",NON,Write-In                              ,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0
52,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,254,51.0,8.0,25.0,25.0,25.0,16.0,11.0,8.0,21.0,33.0,29.0,28.0,11.0,5.0,102.0,70.0,222.0,19.0,40.0,244.0,35.0,4.0,35.0,0.0,61.0,15.0,28.0,4.0,0.0,60.0,32.0,7.0,4.0,6.0,22.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,141,105.0,87.0,71.0,100.0,149.0,36.0,9.0,33.0,129.0,91.0,52.0,150.0,65.0,95.0,62.0,85.0,268.0,27.0,47.0,241.0,90.0,92.0,167.0,0.0,161.0,27.0,33.0,38.0,34.0,130.0,323.0,9.0,15.0,60.0,69.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,25,27.0,3.0,3.0,21.0,5.0,10.0,2.0,4.0,11.0,39.0,18.0,11.0,3.0,2.0,36.0,26.0,100.0,6.0,18.0,83.0,10.0,11.0,35.0,0.0,40.0,4.0,9.0,2.0,1.0,22.0,25.0,6.0,1.0,2.0,3.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,314,57.0,37.0,29.0,116.0,185.0,25.0,19.0,43.0,71.0,69.0,35.0,76.0,52.0,19.0,55.0,44.0,163.0,18.0,34.0,225.0,59.0,55.0,38.0,0.0,99.0,15.0,32.0,11.0,4.0,46.0,140.0,4.0,7.0,8.0,31.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,150,129.0,86.0,66.0,114.0,145.0,40.0,7.0,36.0,141.0,107.0,56.0,97.0,72.0,94.0,111.0,118.0,374.0,32.0,63.0,306.0,91.0,97.0,188.0,0.0,195.0,31.0,45.0,42.0,33.0,144.0,330.0,12.0,17.0,58.0,67.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,31,20.0,2.0,6.0,18.0,6.0,9.0,1.0,8.0,6.0,22.0,13.0,13.0,4.0,3.0,13.0,9.0,55.0,4.0,13.0,57.0,14.0,8.0,24.0,0.0,16.0,3.0,6.0,0.0,2.0,10.0,20.0,3.0,0.0,4.0,6.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,299,40.0,39.0,31.0,105.0,188.0,22.0,21.0,36.0,64.0,70.0,36.0,126.0,44.0,19.0,29.0,28.0,101.0,15.0,23.0,186.0,54.0,53.0,28.0,0.0,89.0,11.0,23.0,9.0,4.0,44.0,138.0,4.0,6.0,9.0,30.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,107,85.0,63.0,61.0,106.0,117.0,27.0,7.0,27.0,120.0,111.0,53.0,123.0,45.0,44.0,46.0,54.0,205.0,17.0,28.0,163.0,72.0,80.0,133.0,0.0,161.0,17.0,24.0,32.0,31.0,69.0,236.0,8.0,6.0,49.0,69.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,61,51.0,11.0,6.0,41.0,14.0,14.0,2.0,8.0,26.0,53.0,24.0,19.0,27.0,51.0,51.0,50.0,154.0,18.0,34.0,154.0,32.0,25.0,55.0,0.0,64.0,11.0,23.0,2.0,1.0,71.0,131.0,8.0,7.0,7.0,6.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,312,53.0,53.0,36.0,90.0,209.0,30.0,21.0,45.0,64.0,34.0,28.0,94.0,48.0,21.0,56.0,51.0,172.0,16.0,37.0,232.0,55.0,53.0,52.0,0.0,74.0,18.0,27.0,17.0,7.0,57.0,121.0,3.0,10.0,14.0,28.0
