,Contest Title,Party,Candidate,ABSENTEE,BELLAMY COMMUNITY CTR_,BOYD TRAILER,COATOPA BEL FIRE DEPT_,CUBA COMMUNITY CENTER,EMELLE SUMT_ TOWN HALL,EPES COMMUNITY CENTER,GAINESVILLE COMMUNITY CTR,GEIGER TOWN HALL,LIVINGSTON CIVIC CENTER,PANOLA TRAILER,PROVISIONAL,WARD COMMUNITY CENTER,WHITFIELD TRAILER,YORK SUMTER RESCUE
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,2,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0,0.0,0.0,2.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,1,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0,0.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0,1.0,0.0,0.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,314,251.0,116.0,135.0,431.0,178.0,250.0,310.0,150.0,1113.0,222.0,7,153.0,67.0,914.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,93,36.0,45.0,102.0,247.0,85.0,41.0,33.0,30.0,594.0,31.0,0,66.0,8.0,245.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,7,9.0,9.0,8.0,18.0,8.0,7.0,10.0,1.0,46.0,0.0,0,5.0,1.0,35.0
18,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",DEM,Terri A. Sewell                       ,358,276.0,136.0,186.0,509.0,213.0,273.0,334.0,162.0,1348.0,232.0,7,174.0,69.0,1026.0
19,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",NON,Write-In                              ,2,1.0,2.0,4.0,5.0,1.0,2.0,1.0,0.0,20.0,0.0,0,1.0,0.0,4.0
20,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",   ,Under Votes                           ,53,19.0,33.0,57.0,183.0,57.0,23.0,19.0,19.0,385.0,21.0,0,49.0,7.0,164.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",98,42.0,47.0,86.0,259.0,89.0,52.0,54.0,33.0,601.0,33.0,0,59.0,8.0,237.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,6,4.0,5.0,2.0,16.0,8.0,1.0,4.0,1.0,38.0,0.0,1,1.0,0.0,22.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,310,250.0,119.0,159.0,422.0,174.0,245.0,296.0,147.0,1113.0,220.0,6,164.0,68.0,935.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,106,43.0,49.0,85.0,252.0,85.0,52.0,48.0,33.0,613.0,32.0,0,59.0,7.0,233.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,2,2.0,4.0,2.0,18.0,8.0,1.0,4.0,1.0,33.0,0.0,0,1.0,0.0,21.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,306,251.0,118.0,160.0,426.0,178.0,245.0,302.0,147.0,1108.0,221.0,0,164.0,69.0,940.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,103,42.0,48.0,84.0,249.0,84.0,51.0,50.0,32.0,613.0,32.0,1,59.0,8.0,231.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,4,1.0,4.0,2.0,19.0,9.0,2.0,5.0,1.0,33.0,1.0,0,1.0,0.0,20.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,307,253.0,119.0,161.0,428.0,178.0,245.0,299.0,148.0,1108.0,220.0,6,164.0,68.0,943.0
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,95,40.0,48.0,84.0,247.0,79.0,47.0,51.0,29.0,592.0,33.0,1,57.0,7.0,215.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,6,3.0,3.0,1.0,15.0,8.0,4.0,5.0,1.0,32.0,1.0,0,1.0,0.0,20.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,313,253.0,120.0,162.0,435.0,184.0,247.0,298.0,151.0,1130.0,219.0,7,166.0,69.0,958.0
38,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,DEM,Ella B. Bell                          ,343,273.0,133.0,177.0,505.0,201.0,269.0,323.0,156.0,1297.0,227.0,6,169.0,66.0,996.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,NON,Write-In                              ,3,1.0,3.0,3.0,5.0,2.0,1.0,2.0,0.0,14.0,0.0,1,1.0,0.0,5.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 5              ,   ,Under Votes                           ,68,22.0,35.0,67.0,187.0,68.0,28.0,29.0,25.0,443.0,26.0,0,54.0,10.0,193.0
42,"DISTRICT ATTORNEY, 17TH JUDICIAL CIRCUIT                ",DEM,Gregory S. Griggers                   ,356,273.0,138.0,199.0,544.0,214.0,278.0,328.0,161.0,1414.0,234.0,6,191.0,68.0,1029.0
43,"DISTRICT ATTORNEY, 17TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,10,1.0,2.0,1.0,5.0,4.0,1.0,3.0,0.0,15.0,0.0,1,1.0,0.0,9.0
44,"DISTRICT ATTORNEY, 17TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
45,"DISTRICT ATTORNEY, 17TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,48,22.0,31.0,47.0,148.0,53.0,19.0,23.0,20.0,324.0,19.0,0,32.0,8.0,156.0
46,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,120,57.0,48.0,74.0,212.0,77.0,57.0,94.0,54.0,598.0,35.0,1,38.0,20.0,272.0
47,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,50,37.0,48.0,54.0,151.0,77.0,29.0,40.0,12.0,273.0,18.0,0,25.0,7.0,157.0
48,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
49,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,244,202.0,75.0,119.0,333.0,117.0,212.0,220.0,115.0,882.0,200.0,6,161.0,49.0,765.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,127,57.0,42.0,86.0,240.0,84.0,60.0,117.0,48.0,665.0,105.0,2,42.0,21.0,303.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,56,33.0,52.0,53.0,145.0,70.0,28.0,44.0,20.0,258.0,23.0,0,23.0,7.0,157.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,231,206.0,77.0,108.0,311.0,117.0,210.0,193.0,113.0,830.0,125.0,5,159.0,48.0,734.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,79,53.0,36.0,51.0,173.0,61.0,52.0,95.0,47.0,360.0,198.0,1,24.0,10.0,190.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,86,41.0,54.0,79.0,178.0,83.0,29.0,58.0,27.0,460.0,19.0,0,35.0,15.0,224.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,249,202.0,81.0,117.0,345.0,127.0,217.0,201.0,107.0,932.0,36.0,6,165.0,51.0,780.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,100,56.0,28.0,69.0,183.0,62.0,54.0,93.0,48.0,394.0,134.0,0,32.0,16.0,245.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,77,40.0,65.0,67.0,182.0,90.0,35.0,45.0,29.0,463.0,20.0,1,33.0,11.0,185.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,237,200.0,78.0,111.0,332.0,119.0,209.0,216.0,104.0,897.0,99.0,6,159.0,49.0,764.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,82,53.0,34.0,69.0,167.0,74.0,45.0,76.0,43.0,528.0,30.0,1,38.0,12.0,212.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,76,45.0,64.0,62.0,193.0,71.0,36.0,55.0,18.0,317.0,17.0,0,30.0,14.0,219.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,256,198.0,72.0,116.0,337.0,126.0,217.0,223.0,120.0,908.0,206.0,6,156.0,50.0,763.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,70,50.0,32.0,46.0,132.0,48.0,40.0,56.0,31.0,323.0,27.0,1,30.0,12.0,150.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,81,44.0,64.0,78.0,203.0,74.0,34.0,64.0,29.0,460.0,18.0,0,29.0,13.0,240.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,263,202.0,75.0,123.0,362.0,149.0,224.0,234.0,121.0,969.0,208.0,5,165.0,51.0,804.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,68,48.0,32.0,49.0,148.0,52.0,37.0,70.0,26.0,304.0,22.0,1,24.0,5.0,162.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,63,39.0,56.0,58.0,166.0,60.0,27.0,51.0,27.0,383.0,18.0,0,29.0,19.0,181.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,283,209.0,83.0,140.0,383.0,159.0,234.0,233.0,128.0,1067.0,213.0,6,171.0,52.0,851.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,115,55.0,45.0,73.0,190.0,81.0,57.0,109.0,38.0,550.0,30.0,1,43.0,16.0,239.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,60,41.0,56.0,57.0,162.0,59.0,25.0,49.0,26.0,297.0,19.0,1,21.0,11.0,181.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,238,200.0,70.0,117.0,345.0,131.0,216.0,196.0,117.0,907.0,204.0,5,160.0,49.0,774.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,73,45.0,29.0,42.0,142.0,48.0,39.0,60.0,23.0,292.0,26.0,1,29.0,6.0,155.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,63,42.0,58.0,65.0,172.0,65.0,26.0,54.0,27.0,398.0,22.0,0,25.0,18.0,201.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,277,209.0,84.0,140.0,383.0,158.0,233.0,240.0,130.0,1064.0,205.0,6,170.0,52.0,838.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,82,44.0,33.0,53.0,140.0,53.0,38.0,57.0,30.0,399.0,21.0,1,26.0,16.0,182.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,55,40.0,52.0,49.0,162.0,63.0,27.0,50.0,23.0,281.0,20.0,0,30.0,7.0,171.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,277,212.0,86.0,145.0,395.0,155.0,233.0,247.0,128.0,1074.0,212.0,6,168.0,53.0,841.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,73,48.0,32.0,59.0,160.0,51.0,42.0,57.0,25.0,365.0,21.0,1,34.0,15.0,190.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,75,47.0,62.0,61.0,188.0,74.0,29.0,64.0,28.0,434.0,22.0,0,26.0,12.0,203.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,266,201.0,77.0,127.0,348.0,146.0,227.0,233.0,128.0,954.0,210.0,6,164.0,49.0,801.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,69,43.0,32.0,47.0,124.0,46.0,33.0,49.0,24.0,278.0,18.0,1,27.0,15.0,157.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,68,46.0,55.0,58.0,192.0,64.0,32.0,59.0,26.0,413.0,20.0,0,31.0,10.0,192.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,277,207.0,84.0,142.0,381.0,161.0,233.0,246.0,131.0,1062.0,215.0,6,166.0,51.0,843.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,82,51.0,32.0,59.0,144.0,51.0,38.0,98.0,32.0,354.0,27.0,1,29.0,22.0,183.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,72,41.0,56.0,61.0,189.0,74.0,38.0,56.0,22.0,429.0,18.0,0,33.0,4.0,198.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,260,204.0,82.0,127.0,364.0,146.0,222.0,200.0,127.0,970.0,208.0,6,162.0,50.0,813.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,99,59.0,38.0,66.0,170.0,69.0,49.0,74.0,52.0,499.0,174.0,1,41.0,23.0,237.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,67,44.0,56.0,60.0,170.0,72.0,31.0,58.0,23.0,308.0,19.0,0,29.0,7.0,188.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,248,193.0,77.0,121.0,357.0,130.0,218.0,222.0,106.0,946.0,60.0,6,154.0,46.0,769.0
102,"MEMBER, SUMTER COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",DEM,Daisybelle Thomas-Quinney             ,34,,,,,130.0,102.0,329.0,155.0,,230.0,6,,,
103,"MEMBER, SUMTER COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",NON,Write-In                              ,0,,,,,2.0,0.0,1.0,0.0,,0.0,0,,,
104,"MEMBER, SUMTER COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",   ,Over Votes                            ,0,,,,,0.0,0.0,0.0,0.0,,0.0,0,,,
105,"MEMBER, SUMTER COUNTY BOARD OF EDUCATION, DISTRICT NO. 1",   ,Under Votes                           ,3,,,,,47.0,12.0,24.0,26.0,,23.0,1,,,
106,"MEMBER, SUMTER COUNTY BOARD OF EDUCATION, DISTRICT NO. 2",DEM,Tommie L. Campbell                    ,74,17.0,133.0,16.0,,70.0,169.0,,,568.0,,6,,,
107,"MEMBER, SUMTER COUNTY BOARD OF EDUCATION, DISTRICT NO. 2",NON,Write-In                              ,0,0.0,2.0,0.0,,2.0,0.0,,,10.0,,0,,,
108,"MEMBER, SUMTER COUNTY BOARD OF EDUCATION, DISTRICT NO. 2",   ,Over Votes                            ,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0,,,
109,"MEMBER, SUMTER COUNTY BOARD OF EDUCATION, DISTRICT NO. 2",   ,Under Votes                           ,10,2.0,32.0,5.0,,20.0,15.0,,,85.0,,1,,,
110,"CONSTABLE, SUMTER COUNTY BEAT NO. 1                     ",NON,Write-In                              ,0,,,,,,,,,,,0,,13.0,
111,"CONSTABLE, SUMTER COUNTY BEAT NO. 1                     ",   ,Over Votes                            ,0,,,,,,,,,,,0,,0.0,
112,"CONSTABLE, SUMTER COUNTY BEAT NO. 1                     ",   ,Under Votes                           ,13,,,,,,,,,,,0,,63.0,
113,"CONSTABLE, SUMTER COUNTY BEAT NO. 2                     ",NON,Write-In                              ,0,,,,,,,,,,,0,4.0,,
114,"CONSTABLE, SUMTER COUNTY BEAT NO. 2                     ",   ,Over Votes                            ,0,,,,,,,,,,,0,0.0,,
115,"CONSTABLE, SUMTER COUNTY BEAT NO. 2                     ",   ,Under Votes                           ,22,,,,,,,,,,,0,220.0,,
116,"CONSTABLE, SUMTER COUNTY BEAT NO. 3                     ",DEM,Ralph V. Randolph                     ,24,,,,516.0,,,,,,,0,,,
117,"CONSTABLE, SUMTER COUNTY BEAT NO. 3                     ",NON,Write-In                              ,0,,,,4.0,,,,,,,0,,,
118,"CONSTABLE, SUMTER COUNTY BEAT NO. 3                     ",   ,Over Votes                            ,0,,,,0.0,,,,,,,0,,,
119,"CONSTABLE, SUMTER COUNTY BEAT NO. 3                     ",   ,Under Votes                           ,4,,,,177.0,,,,,,,0,,,
120,"CONSTABLE, SUMTER COUNTY BEAT NO. 4                     ",DEM,Ray Evans                             ,97,,,,,,,,,,,0,,,987.0
121,"CONSTABLE, SUMTER COUNTY BEAT NO. 4                     ",NON,Write-In                              ,1,,,,,,,,,,,1,,,9.0
122,"CONSTABLE, SUMTER COUNTY BEAT NO. 4                     ",   ,Over Votes                            ,0,,,,,,,,,,,0,,,0.0
123,"CONSTABLE, SUMTER COUNTY BEAT NO. 4                     ",   ,Under Votes                           ,17,,,,,,,,,,,0,,,198.0
124,"CONSTABLE, SUMTER COUNTY BEAT NO. 5                     ",NON,Write-In                              ,0,14.0,,,,,,,,,,0,,,
125,"CONSTABLE, SUMTER COUNTY BEAT NO. 5                     ",   ,Over Votes                            ,0,0.0,,,,,,,,,,0,,,
126,"CONSTABLE, SUMTER COUNTY BEAT NO. 5                     ",   ,Under Votes                           ,28,282.0,,,,,,,,,,0,,,
127,"CONSTABLE, SUMTER COUNTY BEAT NO. 6                     ",NON,Write-In                              ,0,,,4.0,,,,,,,,0,,,
128,"CONSTABLE, SUMTER COUNTY BEAT NO. 6                     ",   ,Over Votes                            ,0,,,0.0,,,,,,,,0,,,
129,"CONSTABLE, SUMTER COUNTY BEAT NO. 6                     ",   ,Under Votes                           ,36,,,243.0,,,,,,,,0,,,
130,"CONSTABLE, SUMTER COUNTY BEAT NO. 7                     ",NON,Write-In                              ,2,,,,,,,,,48.0,,0,,,
131,"CONSTABLE, SUMTER COUNTY BEAT NO. 7                     ",   ,Over Votes                            ,0,,,,,,,,,0.0,,0,,,
132,"CONSTABLE, SUMTER COUNTY BEAT NO. 7                     ",   ,Under Votes                           ,115,,,,,,,,,1706.0,,0,,,
133,"CONSTABLE, SUMTER COUNTY BEAT NO. 8                     ",NON,Write-In                              ,0,,5.0,,,,,,,,,0,,,
134,"CONSTABLE, SUMTER COUNTY BEAT NO. 8                     ",   ,Over Votes                            ,0,,0.0,,,,,,,,,0,,,
135,"CONSTABLE, SUMTER COUNTY BEAT NO. 8                     ",   ,Under Votes                           ,6,,166.0,,,,,,,,,0,,,
136,"CONSTABLE, SUMTER COUNTY BEAT NO. 9                     ",NON,Write-In                              ,0,,,,,10.0,,,,,,0,,,
137,"CONSTABLE, SUMTER COUNTY BEAT NO. 9                     ",   ,Over Votes                            ,0,,,,,0.0,,,,,,0,,,
138,"CONSTABLE, SUMTER COUNTY BEAT NO. 9                     ",   ,Under Votes                           ,14,,,,,261.0,,,,,,0,,,
139,"CONSTABLE, SUMTER COUNTY BEAT NO. 10                    ",NON,Write-In                              ,1,,,,,,0.0,,,,,0,,,
140,"CONSTABLE, SUMTER COUNTY BEAT NO. 10                    ",   ,Over Votes                            ,0,,,,,,0.0,,,,,0,,,
