,Contest Title,Party,Candidate,1ST UNITED METHODIST,ABSENTEE,ALCO J_D_ JC MUSEUM,APPLETON VOL_ FIRE,ATMORE CITY HALL,ATMORE PUBLIC LIBRARY,BARNETTS CROSSROADS/ROBIN,BETHEL ROBERTS VOTING,BRADLEY VOL_ FIRE DEPT_,BREWTON CIVIC CENTER,CANOE CIVIC CLUB,COUNTY HWY_ DEPT_,DAMASCUS BOYKIN SCHOOL,DIXIE VOL_ FIRE DEPT_,EAST BREWTON SAIL SITE,FLOMATON COMMUNITY HOUSE,FLOMATON TOWN HALL,HUXFORD MASONIC LODGE,LITTLE ESCAMBIA VOTING,LITTLE ROCK STORE,McCALL SCHOOL,McCULLOUGH VOL_ FIRE DEPT,NEW ORDER MISSIONARY BAPT,NOKOMIS VOTING HOUSE,PINEVIEW VOTING HOUSE,POARCH SAIL CENTER,POLLARD TOWN HALL,PROVISIONAL,RIVERVIEW TOWN HALL,ROCK HILL RIDGE RD VFD,WALLACE METHODIST CHURCH
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,14.0,40,18.0,13.0,20.0,39.0,4.0,5.0,9.0,71.0,13.0,8.0,14.0,1.0,33.0,13.0,13.0,1.0,17.0,5.0,25.0,0.0,15.0,6.0,9.0,9.0,13.0,0.0,23.0,5.0,4.0
18,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",REP,Bradley Byrne                         ,489.0,744,272.0,463.0,36.0,830.0,124.0,73.0,50.0,1786.0,294.0,116.0,146.0,34.0,750.0,291.0,381.0,217.0,314.0,110.0,565.0,253.0,425.0,357.0,186.0,258.0,221.0,0.0,320.0,227.0,62.0
19,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",NON,Write-In                              ,8.0,18,14.0,6.0,4.0,18.0,1.0,0.0,0.0,44.0,2.0,4.0,3.0,1.0,16.0,4.0,5.0,0.0,2.0,3.0,1.0,0.0,27.0,6.0,1.0,6.0,6.0,0.0,1.0,2.0,0.0
20,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",   ,Over Votes                            ,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",   ,Under Votes                           ,130.0,268,161.0,59.0,813.0,349.0,9.0,18.0,20.0,950.0,47.0,125.0,144.0,8.0,332.0,111.0,67.0,15.0,50.0,12.0,84.0,66.0,575.0,69.0,25.0,101.0,64.0,0.0,48.0,68.0,9.0
22,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",463.0,716,251.0,435.0,31.0,786.0,115.0,66.0,44.0,1655.0,283.0,108.0,132.0,35.0,678.0,266.0,362.0,216.0,286.0,108.0,525.0,243.0,417.0,342.0,175.0,246.0,203.0,0.0,282.0,207.0,55.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,5.0,8,14.0,5.0,4.0,16.0,0.0,0.0,0.0,32.0,3.0,1.0,4.0,0.0,16.0,3.0,5.0,0.0,4.0,1.0,0.0,0.0,24.0,8.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,159.0,306,183.0,88.0,818.0,396.0,19.0,25.0,26.0,1093.0,57.0,136.0,157.0,8.0,404.0,138.0,86.0,16.0,76.0,16.0,125.0,76.0,586.0,82.0,35.0,116.0,85.0,0.0,86.0,89.0,16.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,465.0,709,255.0,431.0,31.0,778.0,116.0,66.0,46.0,1642.0,280.0,106.0,131.0,34.0,666.0,261.0,358.0,215.0,283.0,108.0,525.0,244.0,413.0,343.0,174.0,244.0,202.0,0.0,277.0,207.0,55.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,6.0,8,14.0,5.0,4.0,16.0,0.0,0.0,0.0,29.0,3.0,4.0,3.0,0.0,11.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,22.0,6.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,156.0,313,179.0,92.0,817.0,404.0,18.0,25.0,24.0,1110.0,60.0,135.0,159.0,9.0,420.0,142.0,89.0,16.0,83.0,16.0,125.0,75.0,592.0,83.0,37.0,118.0,86.0,0.0,91.0,89.0,16.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,465.0,707,250.0,432.0,31.0,774.0,115.0,66.0,45.0,1630.0,283.0,105.0,130.0,34.0,665.0,262.0,359.0,216.0,283.0,107.0,528.0,237.0,410.0,340.0,172.0,246.0,201.0,0.0,274.0,204.0,56.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,4.0,8,13.0,4.0,4.0,15.0,0.0,0.0,0.0,33.0,3.0,2.0,2.0,0.0,13.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,23.0,7.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,158.0,315,185.0,92.0,818.0,409.0,19.0,25.0,25.0,1118.0,57.0,138.0,161.0,9.0,420.0,141.0,90.0,16.0,82.0,17.0,122.0,80.0,594.0,85.0,38.0,116.0,87.0,0.0,94.0,92.0,15.0
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,460.0,705,250.0,438.0,31.0,775.0,114.0,65.0,45.0,1633.0,282.0,109.0,134.0,34.0,672.0,257.0,347.0,213.0,283.0,111.0,526.0,238.0,405.0,345.0,172.0,239.0,206.0,0.0,273.0,199.0,50.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,6.0,10,11.0,5.0,4.0,14.0,0.0,0.0,0.0,33.0,3.0,1.0,2.0,0.0,10.0,7.0,5.0,1.0,0.0,1.0,2.0,0.0,24.0,6.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,161.0,314,187.0,85.0,818.0,409.0,20.0,26.0,25.0,1114.0,58.0,135.0,157.0,9.0,416.0,143.0,101.0,18.0,83.0,13.0,122.0,80.0,598.0,81.0,38.0,123.0,82.0,0.0,95.0,96.0,21.0
38,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,REP,Jackie Zeigler                        ,458.0,698,253.0,435.0,31.0,765.0,114.0,64.0,46.0,1608.0,283.0,107.0,132.0,34.0,672.0,257.0,355.0,211.0,278.0,109.0,520.0,236.0,402.0,344.0,173.0,236.0,204.0,0.0,273.0,197.0,50.0
39,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,NON,Write-In                              ,6.0,9,10.0,6.0,4.0,13.0,0.0,0.0,0.0,32.0,3.0,1.0,2.0,0.0,10.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,21.0,5.0,2.0,4.0,3.0,0.0,1.0,1.0,0.0
40,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,STATE BOARD OF EDUCATION MEMBER DISTRICT 1              ,   ,Under Votes                           ,163.0,323,185.0,87.0,818.0,419.0,20.0,27.0,24.0,1141.0,57.0,137.0,159.0,9.0,416.0,146.0,95.0,21.0,88.0,15.0,130.0,83.0,604.0,83.0,37.0,125.0,84.0,0.0,95.0,99.0,21.0
42,"CIRCUIT COURT JUDGE, 21ST JUDICIAL CIRCUIT, PLACE 2     ",DEM,Jim Hart                              ,150.0,235,185.0,65.0,800.0,371.0,10.0,18.0,8.0,1031.0,51.0,129.0,134.0,9.0,370.0,121.0,87.0,19.0,43.0,12.0,68.0,69.0,622.0,67.0,19.0,121.0,73.0,0.0,46.0,76.0,10.0
43,"CIRCUIT COURT JUDGE, 21ST JUDICIAL CIRCUIT, PLACE 2     ",REP,Dave Jordan                           ,467.0,753,252.0,447.0,27.0,782.0,119.0,65.0,53.0,1685.0,279.0,102.0,144.0,33.0,695.0,268.0,353.0,206.0,314.0,107.0,559.0,236.0,377.0,347.0,187.0,231.0,205.0,0.0,306.0,212.0,60.0
44,"CIRCUIT COURT JUDGE, 21ST JUDICIAL CIRCUIT, PLACE 2     ",NON,Write-In                              ,0.0,3,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,"CIRCUIT COURT JUDGE, 21ST JUDICIAL CIRCUIT, PLACE 2     ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
46,"CIRCUIT COURT JUDGE, 21ST JUDICIAL CIRCUIT, PLACE 2     ",   ,Under Votes                           ,10.0,48,11.0,14.0,24.0,37.0,5.0,8.0,9.0,55.0,13.0,14.0,13.0,1.0,29.0,17.0,13.0,6.0,8.0,5.0,23.0,14.0,25.0,18.0,6.0,11.0,12.0,0.0,16.0,9.0,1.0
47,"DISTRICT ATTORNEY, 21ST JUDICIAL CIRCUIT                ",DEM,Steve Billy                           ,301.0,620,310.0,266.0,808.0,600.0,47.0,46.0,37.0,2105.0,127.0,150.0,215.0,19.0,764.0,222.0,228.0,76.0,145.0,39.0,328.0,137.0,734.0,178.0,100.0,191.0,148.0,0.0,205.0,199.0,33.0
48,"DISTRICT ATTORNEY, 21ST JUDICIAL CIRCUIT                ",NON,Write-In                              ,8.0,29,2.0,11.0,1.0,22.0,1.0,1.0,0.0,15.0,7.0,3.0,4.0,0.0,13.0,7.0,8.0,4.0,2.0,2.0,10.0,7.0,13.0,9.0,3.0,5.0,2.0,0.0,7.0,2.0,0.0
49,"DISTRICT ATTORNEY, 21ST JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"DISTRICT ATTORNEY, 21ST JUDICIAL CIRCUIT                ",   ,Under Votes                           ,318.0,385,136.0,251.0,44.0,574.0,86.0,44.0,33.0,661.0,209.0,92.0,74.0,24.0,321.0,178.0,217.0,152.0,219.0,84.0,312.0,175.0,280.0,245.0,109.0,169.0,141.0,0.0,157.0,96.0,38.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,337.0,441,244.0,274.0,157.0,630.0,67.0,40.0,25.0,1649.0,162.0,84.0,137.0,26.0,643.0,208.0,251.0,132.0,172.0,69.0,347.0,197.0,417.0,215.0,106.0,209.0,165.0,0.0,179.0,155.0,26.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,90.0,146,55.0,98.0,24.0,208.0,27.0,17.0,19.0,430.0,68.0,27.0,35.0,9.0,176.0,67.0,83.0,40.0,70.0,10.0,106.0,46.0,130.0,84.0,53.0,45.0,37.0,0.0,47.0,51.0,16.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0.0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,200.0,430,149.0,156.0,672.0,358.0,40.0,34.0,26.0,702.0,113.0,134.0,121.0,8.0,279.0,132.0,119.0,60.0,124.0,46.0,197.0,76.0,480.0,133.0,53.0,111.0,89.0,0.0,142.0,91.0,29.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,392.0,498,247.0,355.0,151.0,700.0,76.0,51.0,30.0,1806.0,212.0,81.0,162.0,27.0,693.0,226.0,256.0,163.0,196.0,71.0,390.0,212.0,462.0,244.0,120.0,231.0,160.0,0.0,185.0,177.0,41.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,101.0,173,71.0,69.0,26.0,209.0,27.0,12.0,16.0,423.0,52.0,36.0,31.0,7.0,210.0,80.0,103.0,32.0,74.0,16.0,127.0,44.0,113.0,72.0,46.0,40.0,74.0,0.0,69.0,51.0,6.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,133.0,352,130.0,104.0,676.0,288.0,31.0,28.0,24.0,549.0,79.0,128.0,100.0,9.0,194.0,99.0,94.0,37.0,96.0,38.0,133.0,63.0,450.0,116.0,46.0,94.0,56.0,0.0,115.0,69.0,24.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,267.0,342,160.0,253.0,57.0,509.0,58.0,34.0,22.0,1176.0,131.0,62.0,87.0,15.0,476.0,178.0,215.0,97.0,149.0,49.0,295.0,123.0,259.0,175.0,89.0,152.0,140.0,0.0,127.0,121.0,19.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,130.0,197,126.0,110.0,116.0,268.0,28.0,12.0,17.0,805.0,92.0,46.0,84.0,15.0,313.0,98.0,107.0,73.0,82.0,21.0,115.0,104.0,259.0,105.0,55.0,89.0,56.0,0.0,82.0,67.0,21.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,230.0,484,162.0,165.0,680.0,421.0,48.0,45.0,31.0,798.0,120.0,137.0,122.0,12.0,308.0,131.0,131.0,62.0,135.0,55.0,240.0,92.0,509.0,152.0,68.0,124.0,95.0,0.0,159.0,109.0,31.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,325.0,442,222.0,300.0,143.0,617.0,55.0,40.0,25.0,1553.0,161.0,82.0,129.0,19.0,636.0,215.0,245.0,118.0,164.0,69.0,319.0,171.0,392.0,208.0,98.0,205.0,150.0,0.0,156.0,152.0,27.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,115.0,195,72.0,83.0,30.0,192.0,33.0,13.0,17.0,474.0,75.0,30.0,38.0,14.0,182.0,69.0,83.0,55.0,73.0,18.0,112.0,69.0,161.0,83.0,45.0,55.0,50.0,0.0,63.0,43.0,16.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,187.0,386,154.0,145.0,680.0,388.0,46.0,38.0,28.0,754.0,107.0,133.0,126.0,10.0,280.0,123.0,125.0,59.0,129.0,37.0,219.0,79.0,474.0,141.0,69.0,105.0,91.0,0.0,150.0,102.0,28.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,262.0,349,171.0,225.0,59.0,491.0,54.0,31.0,19.0,1160.0,138.0,53.0,92.0,11.0,459.0,163.0,219.0,111.0,140.0,49.0,274.0,133.0,233.0,176.0,89.0,162.0,127.0,0.0,129.0,113.0,17.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,132.0,201,116.0,107.0,113.0,280.0,33.0,21.0,18.0,807.0,82.0,54.0,72.0,18.0,328.0,101.0,91.0,53.0,87.0,25.0,145.0,104.0,265.0,103.0,54.0,74.0,67.0,0.0,73.0,72.0,19.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,233.0,473,161.0,196.0,681.0,427.0,47.0,39.0,33.0,812.0,123.0,138.0,129.0,14.0,310.0,141.0,143.0,68.0,139.0,51.0,230.0,82.0,528.0,153.0,69.0,129.0,97.0,0.0,167.0,112.0,35.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,233.0,256,155.0,172.0,59.0,416.0,47.0,22.0,10.0,939.0,124.0,51.0,78.0,8.0,400.0,149.0,209.0,92.0,122.0,38.0,249.0,129.0,228.0,141.0,85.0,135.0,110.0,0.0,115.0,101.0,20.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,150.0,230,123.0,143.0,107.0,333.0,33.0,22.0,23.0,943.0,81.0,52.0,82.0,20.0,351.0,100.0,91.0,62.0,91.0,32.0,150.0,92.0,266.0,126.0,49.0,85.0,74.0,0.0,82.0,77.0,17.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,244.0,535,169.0,213.0,687.0,447.0,54.0,47.0,37.0,897.0,138.0,142.0,133.0,15.0,344.0,157.0,153.0,78.0,153.0,55.0,250.0,98.0,533.0,165.0,78.0,145.0,106.0,0.0,172.0,119.0,34.0
