,Contest Title,Party,Candidate,ABSENTEE,BEAUREGARD SCHOOL GYM,BEULAH FIRE DEPT #3,BEULAH HIGH SCHOOL,BOYKIN COMMUNITY CTR,CLARION INN S COLLEGE,COVINGTON PARK COMM CTR,CRAWFORD VFD,DEAN ROAD REC CTR,EAMC EDUCATION CTR,FARMVILLE VFD,FRANK BROWN REC CTR,GLENWOOD SCHOOL,LOACHAPOKA COMM CTR,NATIONAL GUARD AUBURN,OPELIKA LEARNING CTR,OPELIKA RECREATION CTR,OPELIKA SPORTSPLEX,PINE GROVE UNITED METH,PROVISIONAL,SMITH STATION AUDITORIUM,SR CTR SMITH STATION,UPTOWN MARVYN,UPTOWN WAVERLY,WACOOCHEE JR HIGH SCHOOL
10,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,NON,Write-In                              ,53,12.0,14.0,5.0,26.0,180.0,4.0,9.0,126.0,35.0,34.0,123.0,41.0,14.0,85.0,12.0,43.0,52.0,10.0,3,45.0,13.0,0.0,6.0,5.0
11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Over Votes                            ,4,5.0,0.0,3.0,9.0,7.0,4.0,1.0,6.0,4.0,0.0,13.0,7.0,9.0,2.0,13.0,8.0,26.0,3.0,0,8.0,15.0,1.0,0.0,0.0
12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES       ,   ,Under Votes                           ,23,5.0,2.0,0.0,4.0,24.0,3.0,2.0,15.0,8.0,11.0,18.0,4.0,4.0,12.0,4.0,9.0,18.0,4.0,3,7.0,4.0,0.0,3.0,3.0
13,UNITED STATES SENATOR                                   ,DEM,Ron Crumpton                          ,1063,666.0,171.0,87.0,1055.0,2484.0,1345.0,350.0,1499.0,1018.0,335.0,2060.0,720.0,865.0,1287.0,1675.0,617.0,1101.0,317.0,192,1500.0,589.0,141.0,132.0,206.0
14,UNITED STATES SENATOR                                   ,REP,Richard C. Shelby                     ,1942,1546.0,1212.0,972.0,350.0,4827.0,163.0,479.0,2329.0,1878.0,1051.0,2642.0,2554.0,548.0,2002.0,640.0,1167.0,3061.0,870.0,264,3516.0,1719.0,162.0,136.0,654.0
15,UNITED STATES SENATOR                                   ,NON,Write-In                              ,5,2.0,0.0,3.0,4.0,27.0,2.0,0.0,20.0,5.0,7.0,10.0,1.0,1.0,7.0,7.0,7.0,7.0,3.0,0,7.0,6.0,0.0,1.0,3.0
16,UNITED STATES SENATOR                                   ,   ,Over Votes                            ,2,2.0,1.0,0.0,7.0,4.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,8.0,0.0,0,7.0,1.0,1.0,0.0,0.0
17,UNITED STATES SENATOR                                   ,   ,Under Votes                           ,76,43.0,21.0,20.0,21.0,154.0,12.0,14.0,115.0,61.0,21.0,146.0,40.0,29.0,71.0,38.0,39.0,73.0,29.0,13,80.0,37.0,3.0,7.0,10.0
18,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",DEM,Jesse Smith                           ,1034,663.0,171.0,88.0,1055.0,2433.0,1347.0,348.0,1497.0,989.0,319.0,2003.0,706.0,863.0,1265.0,1667.0,605.0,1074.0,315.0,183,1469.0,580.0,142.0,135.0,197.0
19,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",REP,Mike Rogers                           ,1966,1554.0,1209.0,967.0,344.0,4866.0,161.0,480.0,2324.0,1898.0,1063.0,2675.0,2564.0,550.0,2012.0,651.0,1178.0,3078.0,866.0,270,3548.0,1728.0,163.0,133.0,661.0
20,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",NON,Write-In                              ,7,2.0,0.0,3.0,1.0,12.0,3.0,0.0,15.0,5.0,6.0,13.0,3.0,1.0,9.0,3.0,5.0,6.0,4.0,0,6.0,6.0,0.0,1.0,2.0
21,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Over Votes                            ,3,1.0,0.0,0.0,5.0,9.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,2.0,2.0,4.0,3.0,7.0,0.0,0,6.0,2.0,0.0,0.0,0.0
22,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",   ,Under Votes                           ,78,39.0,25.0,24.0,32.0,176.0,10.0,13.0,126.0,69.0,25.0,165.0,40.0,28.0,81.0,39.0,41.0,85.0,34.0,16,81.0,36.0,2.0,7.0,13.0
23,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",REP,"Michael F. ""Mike"" Bolin               ",2043,1623.0,1234.0,975.0,493.0,5403.0,211.0,517.0,2560.0,1980.0,1111.0,3120.0,2645.0,626.0,2244.0,769.0,1195.0,3215.0,904.0,288,3772.0,1834.0,167.0,131.0,675.0
24,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",NON,Write-In                              ,41,41.0,7.0,8.0,51.0,146.0,30.0,23.0,75.0,54.0,30.0,162.0,54.0,34.0,67.0,69.0,34.0,63.0,25.0,3,86.0,33.0,6.0,15.0,10.0
25,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Over Votes                            ,0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
26,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1         ",   ,Under Votes                           ,953,595.0,163.0,99.0,890.0,1944.0,1282.0,302.0,1331.0,929.0,274.0,1577.0,618.0,783.0,1057.0,1525.0,602.0,972.0,290.0,178,1252.0,485.0,134.0,130.0,188.0
27,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",REP,Kelli Wise                            ,2028,1625.0,1236.0,974.0,491.0,5412.0,206.0,518.0,2554.0,1989.0,1114.0,3125.0,2651.0,620.0,2250.0,767.0,1202.0,3217.0,908.0,292,3761.0,1821.0,162.0,134.0,673.0
28,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",NON,Write-In                              ,42,30.0,8.0,8.0,47.0,131.0,28.0,23.0,70.0,44.0,19.0,144.0,49.0,35.0,58.0,68.0,25.0,64.0,21.0,2,80.0,32.0,7.0,13.0,11.0
29,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Over Votes                            ,1,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0,1.0,0.0,0.0,0.0,0.0
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2         ",   ,Under Votes                           ,967,603.0,161.0,98.0,896.0,1953.0,1289.0,302.0,1342.0,932.0,282.0,1591.0,617.0,789.0,1060.0,1529.0,604.0,967.0,290.0,175,1268.0,499.0,138.0,129.0,189.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,2024,1625.0,1235.0,976.0,487.0,5366.0,204.0,516.0,2539.0,1979.0,1116.0,3107.0,2633.0,610.0,2224.0,764.0,1201.0,3213.0,902.0,294,3746.0,1818.0,163.0,140.0,671.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,43,28.0,9.0,7.0,53.0,141.0,28.0,19.0,69.0,46.0,23.0,142.0,59.0,34.0,61.0,70.0,24.0,63.0,22.0,2,82.0,29.0,6.0,8.0,10.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0
34,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,969,606.0,161.0,98.0,896.0,1989.0,1291.0,307.0,1358.0,939.0,276.0,1611.0,626.0,800.0,1083.0,1530.0,606.0,973.0,295.0,173,1281.0,505.0,138.0,128.0,192.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,2001,1624.0,1231.0,972.0,499.0,5367.0,206.0,515.0,2542.0,1995.0,1105.0,3113.0,2633.0,616.0,2222.0,765.0,1207.0,3212.0,892.0,297,3733.0,1818.0,165.0,142.0,669.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,48,38.0,11.0,9.0,58.0,158.0,30.0,19.0,105.0,56.0,27.0,159.0,58.0,39.0,73.0,80.0,26.0,82.0,31.0,1,86.0,30.0,7.0,6.0,11.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0
38,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,986,597.0,162.0,101.0,879.0,1970.0,1287.0,309.0,1318.0,914.0,281.0,1589.0,626.0,789.0,1074.0,1519.0,599.0,955.0,296.0,171,1291.0,503.0,135.0,128.0,193.0
39,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 1     ",REP,"Jacob ""Jake"" Walker                   ",2076,1655.0,1235.0,978.0,508.0,5453.0,216.0,535.0,2627.0,2061.0,1122.0,3154.0,2647.0,640.0,2296.0,811.0,1264.0,3299.0,912.0,293,3740.0,1828.0,169.0,147.0,675.0
40,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 1     ",NON,Write-In                              ,34,26.0,6.0,5.0,56.0,121.0,27.0,18.0,67.0,49.0,24.0,128.0,54.0,35.0,54.0,59.0,23.0,57.0,22.0,1,81.0,26.0,7.0,7.0,12.0
41,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Over Votes                            ,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0,2.0,0.0,0.0,0.0,0.0
42,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 1     ",   ,Under Votes                           ,926,578.0,163.0,98.0,873.0,1921.0,1280.0,290.0,1272.0,854.0,269.0,1579.0,616.0,768.0,1019.0,1494.0,544.0,892.0,285.0,175,1287.0,498.0,131.0,122.0,186.0
43,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 2     ",REP,Christopher J. Hughes                 ,2044,1620.0,1232.0,967.0,502.0,5421.0,210.0,520.0,2588.0,2010.0,1118.0,3117.0,2628.0,616.0,2269.0,774.0,1225.0,3232.0,904.0,291,3733.0,1818.0,163.0,137.0,668.0
44,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 2     ",NON,Write-In                              ,35,29.0,6.0,5.0,57.0,113.0,27.0,19.0,67.0,46.0,21.0,128.0,54.0,35.0,53.0,62.0,22.0,62.0,20.0,2,80.0,26.0,7.0,7.0,10.0
45,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 2     ",   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
46,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 2     ",   ,Under Votes                           ,958,610.0,167.0,110.0,877.0,1962.0,1286.0,304.0,1311.0,909.0,275.0,1616.0,636.0,792.0,1047.0,1527.0,583.0,956.0,295.0,176,1297.0,508.0,137.0,132.0,195.0
47,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 3     ",REP,Mike Fellows                          ,2026,1629.0,1227.0,972.0,506.0,5414.0,213.0,519.0,2588.0,2006.0,1124.0,3132.0,2620.0,628.0,2272.0,787.0,1217.0,3235.0,906.0,292,3740.0,1821.0,166.0,140.0,666.0
48,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 3     ",NON,Write-In                              ,38,34.0,6.0,8.0,53.0,117.0,27.0,19.0,72.0,54.0,23.0,127.0,57.0,33.0,63.0,58.0,20.0,66.0,22.0,1,81.0,24.0,7.0,6.0,7.0
49,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 3     ",   ,Over Votes                            ,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
50,"CIRCUIT COURT JUDGE, 37TH JUDICIAL CIRCUIT, PLACE 3     ",   ,Under Votes                           ,972,595.0,172.0,101.0,877.0,1964.0,1283.0,305.0,1306.0,905.0,268.0,1601.0,640.0,781.0,1034.0,1519.0,594.0,948.0,291.0,176,1289.0,507.0,134.0,130.0,200.0
51,"DISTRICT ATTORNEY, 37TH JUDICIAL CIRCUIT                ",REP,Brandon Hughes                        ,2017,1623.0,1225.0,971.0,501.0,5404.0,211.0,519.0,2549.0,2004.0,1114.0,3120.0,2626.0,615.0,2264.0,772.0,1212.0,3229.0,898.0,294,3729.0,1815.0,164.0,136.0,665.0
52,"DISTRICT ATTORNEY, 37TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,34,28.0,8.0,5.0,51.0,112.0,25.0,20.0,78.0,47.0,25.0,121.0,52.0,34.0,58.0,62.0,22.0,62.0,25.0,1,78.0,27.0,7.0,8.0,9.0
53,"DISTRICT ATTORNEY, 37TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,1,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0
54,"DISTRICT ATTORNEY, 37TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,983,608.0,172.0,106.0,884.0,1977.0,1287.0,304.0,1337.0,914.0,276.0,1619.0,639.0,795.0,1047.0,1530.0,596.0,957.0,296.0,174,1303.0,509.0,136.0,132.0,199.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,1885,1440.0,865.0,629.0,974.0,5255.0,1304.0,485.0,2768.0,1978.0,975.0,3400.0,2088.0,986.0,2416.0,1620.0,1173.0,2722.0,711.0,274,3014.0,1381.0,169.0,153.0,577.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,388,504.0,292.0,239.0,134.0,1266.0,84.0,183.0,727.0,503.0,291.0,806.0,592.0,217.0,553.0,286.0,333.0,835.0,251.0,70,1005.0,423.0,58.0,53.0,166.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0,0.0,2.0,0.0,0.0,1.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,791,315.0,248.0,214.0,328.0,970.0,134.0,175.0,468.0,484.0,149.0,653.0,637.0,241.0,399.0,457.0,324.0,692.0,257.0,125,1091.0,546.0,80.0,70.0,129.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,1854,1534.0,948.0,702.0,960.0,5590.0,1291.0,513.0,2963.0,2129.0,1080.0,3519.0,2253.0,1024.0,2543.0,1715.0,1303.0,3041.0,812.0,281,3237.0,1474.0,194.0,160.0,640.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,491,461.0,270.0,220.0,177.0,1027.0,101.0,171.0,614.0,439.0,219.0,756.0,518.0,195.0,504.0,281.0,280.0,669.0,204.0,75,956.0,381.0,47.0,43.0,141.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,2.0,2.0,1.0,2.0,6.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,4.0,0.0,0,6.0,2.0,0.0,0.0,2.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,719,262.0,185.0,159.0,298.0,873.0,131.0,159.0,385.0,395.0,116.0,584.0,547.0,223.0,318.0,368.0,246.0,536.0,203.0,113,911.0,495.0,66.0,73.0,90.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,1206,1017.0,626.0,488.0,553.0,3864.0,314.0,329.0,2164.0,1402.0,760.0,2532.0,1484.0,560.0,1846.0,757.0,756.0,1986.0,509.0,179,2102.0,951.0,102.0,132.0,343.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,699,733.0,448.0,315.0,458.0,1717.0,1013.0,276.0,836.0,793.0,366.0,1105.0,934.0,523.0,731.0,1018.0,564.0,1180.0,362.0,121,1636.0,709.0,97.0,52.0,316.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,1,1.0,0.0,0.0,2.0,4.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,0.0,0,2.0,2.0,1.0,0.0,1.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,1144,508.0,331.0,279.0,424.0,1911.0,193.0,238.0,964.0,770.0,289.0,1222.0,898.0,357.0,791.0,588.0,508.0,1080.0,348.0,169,1370.0,690.0,107.0,92.0,213.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,1567,1240.0,734.0,557.0,814.0,4419.0,1208.0,412.0,2385.0,1715.0,827.0,2913.0,1806.0,862.0,2077.0,1482.0,1005.0,2410.0,604.0,237,2632.0,1201.0,141.0,133.0,471.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,467,578.0,379.0,265.0,221.0,1392.0,140.0,216.0,716.0,573.0,333.0,883.0,690.0,254.0,598.0,329.0,367.0,894.0,291.0,79,1211.0,504.0,69.0,54.0,214.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,0.0,0,0.0,1.0,0.0,0.0,1.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,1015,441.0,292.0,260.0,400.0,1683.0,172.0,215.0,864.0,677.0,255.0,1063.0,820.0,326.0,691.0,552.0,457.0,943.0,324.0,153,1267.0,646.0,97.0,89.0,187.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,1414,993.0,665.0,477.0,573.0,4000.0,332.0,309.0,2225.0,1379.0,798.0,2644.0,1590.0,571.0,1866.0,741.0,796.0,2028.0,528.0,198,2244.0,979.0,103.0,117.0,329.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,580,781.0,425.0,328.0,456.0,1675.0,1021.0,302.0,810.0,825.0,355.0,1066.0,860.0,516.0,732.0,1039.0,532.0,1190.0,344.0,118,1541.0,711.0,100.0,67.0,336.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,4.0,2.0,0.0,0,14.0,0.0,0.0,0.0,0.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,1058,482.0,314.0,277.0,408.0,1817.0,169.0,232.0,926.0,761.0,262.0,1151.0,866.0,353.0,769.0,583.0,500.0,1030.0,347.0,153,1311.0,662.0,104.0,92.0,208.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,908,826.0,496.0,398.0,462.0,3061.0,288.0,262.0,1680.0,1094.0,628.0,2028.0,1312.0,478.0,1502.0,640.0,618.0,1607.0,423.0,165,1867.0,789.0,93.0,91.0,284.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,858,863.0,504.0,365.0,528.0,2246.0,1042.0,332.0,1142.0,987.0,453.0,1466.0,991.0,578.0,915.0,1173.0,660.0,1413.0,408.0,133,1743.0,814.0,100.0,82.0,352.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,9.0,0.0,0,7.0,2.0,0.0,0.0,1.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,1272,569.0,404.0,318.0,447.0,2183.0,193.0,249.0,1144.0,884.0,334.0,1364.0,1014.0,388.0,951.0,548.0,552.0,1221.0,388.0,171,1493.0,747.0,114.0,103.0,236.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,955,861.0,552.0,398.0,482.0,2776.0,277.0,277.0,1455.0,1066.0,561.0,1907.0,1327.0,449.0,1251.0,595.0,544.0,1517.0,439.0,156,1989.0,870.0,76.0,90.0,289.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,458,550.0,301.0,237.0,445.0,1370.0,1027.0,236.0,617.0,642.0,284.0,885.0,678.0,455.0,568.0,1017.0,462.0,886.0,278.0,101,1258.0,595.0,81.0,59.0,239.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,2,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0,12.0,1.0,0.0,0.0,0.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,1609,846.0,551.0,447.0,509.0,3348.0,218.0,330.0,1894.0,1256.0,570.0,2067.0,1312.0,540.0,1548.0,750.0,824.0,1845.0,502.0,212,1851.0,886.0,150.0,127.0,345.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,1635,1352.0,853.0,601.0,618.0,4502.0,353.0,407.0,2237.0,1647.0,894.0,2893.0,2010.0,703.0,2029.0,872.0,895.0,2447.0,689.0,245,2871.0,1242.0,144.0,126.0,481.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,497,486.0,264.0,216.0,427.0,1356.0,1008.0,219.0,922.0,655.0,284.0,960.0,531.0,422.0,696.0,951.0,481.0,893.0,222.0,79,1028.0,489.0,69.0,58.0,220.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,2,2.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,0,16.0,1.0,1.0,0.0,1.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,922,419.0,287.0,264.0,392.0,1634.0,161.0,217.0,806.0,662.0,235.0,1007.0,777.0,317.0,642.0,540.0,454.0,907.0,308.0,145,1195.0,620.0,93.0,92.0,171.0
