,Contest Title,Party,Candidate,ABSENTEE,AKRON CITY HALL,BUCKSNORT,GALLION VFD,GREENSBORO ARMORY,HAVANA,LOCK 5 VFD,MOUNDVILLE CITY HALL,MT HERMAN,MT HOREB BAPTIST CH,NEWBERN-OLD BANK BLDG,PHIPPS WORK CENTER,PROVISIONAL,SAWYERVILLE HEAD START SC,STEWART,VALLEY
30,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",REP,Tom Parker                            ,95,186.0,90.0,154.0,678,99.0,98.0,923.0,112.0,62.0,133.0,18.0,0.0,129.0,185.0,103.0
31,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",NON,Write-In                              ,1,3.0,2.0,3.0,11,6.0,3.0,20.0,0.0,4.0,5.0,0.0,0.0,6.0,1.0,2.0
32,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3         ",   ,Under Votes                           ,263,271.0,61.0,154.0,1977,112.0,171.0,620.0,112.0,199.0,222.0,8.0,0.0,628.0,89.0,48.0
34,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",REP,Twinkle Andress Cavanaugh             ,91,186.0,91.0,160.0,684,102.0,96.0,934.0,111.0,69.0,136.0,19.0,0.0,130.0,178.0,110.0
35,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",NON,Write-In                              ,1,3.0,1.0,3.0,20,5.0,4.0,17.0,0.0,2.0,3.0,0.0,0.0,6.0,1.0,2.0
36,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"PRESIDENT, PUBLIC SERVICE COMMISSION                    ",   ,Under Votes                           ,267,271.0,61.0,148.0,1962,110.0,172.0,613.0,113.0,194.0,221.0,7.0,0.0,627.0,96.0,41.0
38,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",DEM,Don McMillan                          ,275,335.0,69.0,207.0,2225,116.0,207.0,822.0,144.0,228.0,231.0,3.0,0.0,664.0,122.0,71.0
39,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",NON,Write-In                              ,1,6.0,0.0,2.0,13,3.0,2.0,27.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,1.0
40,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 2      ",   ,Under Votes                           ,83,119.0,84.0,102.0,428,98.0,63.0,715.0,79.0,36.0,127.0,23.0,0.0,95.0,151.0,81.0
42,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",DEM,Marvin Wayne Wiggins                  ,267,323.0,60.0,201.0,2078,114.0,183.0,792.0,123.0,220.0,230.0,3.0,0.0,668.0,117.0,60.0
43,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",NON,Write-In                              ,1,11.0,0.0,4.0,43,4.0,4.0,33.0,1.0,1.0,4.0,0.0,0.0,8.0,5.0,1.0
44,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"CIRCUIT COURT JUDGE, 4TH JUDICIAL CIRCUIT, PLACE 3      ",   ,Under Votes                           ,91,126.0,93.0,106.0,545,99.0,85.0,739.0,100.0,44.0,126.0,23.0,0.0,87.0,153.0,92.0
46,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",DEM,Michael Jackson                       ,272,324.0,61.0,202.0,2130,113.0,187.0,797.0,130.0,220.0,209.0,3.0,0.0,667.0,115.0,67.0
47,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",NON,Write-In                              ,0,10.0,0.0,3.0,23,3.0,3.0,28.0,2.0,2.0,4.0,0.0,0.0,6.0,1.0,0.0
48,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"DISTRICT ATTORNEY, 4TH JUDICIAL CIRCUIT                 ",   ,Under Votes                           ,87,126.0,92.0,106.0,513,101.0,82.0,738.0,92.0,43.0,147.0,23.0,0.0,90.0,159.0,86.0
50,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,112,240.0,78.0,167.0,1144,109.0,115.0,816.0,93.0,142.0,244.0,10.0,0.0,495.0,132.0,72.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,30,71.0,23.0,57.0,336,32.0,32.0,262.0,53.0,26.0,32.0,6.0,0.0,61.0,59.0,24.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,1.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,219,149.0,51.0,87.0,1186,76.0,125.0,484.0,78.0,97.0,84.0,10.0,0.0,207.0,84.0,57.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,97,270.0,91.0,199.0,1260,133.0,126.0,994.0,129.0,149.0,248.0,12.0,0.0,493.0,175.0,86.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,44,59.0,27.0,36.0,274,32.0,30.0,216.0,34.0,23.0,32.0,5.0,0.0,65.0,40.0,19.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,219,131.0,34.0,76.0,1131,52.0,116.0,354.0,61.0,93.0,79.0,9.0,0.0,205.0,60.0,48.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,81,147.0,49.0,87.0,1364,66.0,48.0,554.0,69.0,38.0,84.0,10.0,0.0,237.0,97.0,37.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,66,156.0,57.0,119.0,789,68.0,89.0,493.0,83.0,123.0,180.0,3.0,0.0,320.0,91.0,54.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,214,157.0,47.0,105.0,512,83.0,135.0,517.0,72.0,103.0,94.0,13.0,0.0,206.0,86.0,62.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,98,215.0,53.0,132.0,1758,92.0,75.0,782.0,94.0,113.0,172.0,12.0,0.0,480.0,108.0,41.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,51,93.0,54.0,78.0,408,48.0,63.0,302.0,62.0,51.0,91.0,3.0,0.0,77.0,84.0,53.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,1.0,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,212,152.0,46.0,100.0,499,77.0,134.0,477.0,68.0,101.0,97.0,11.0,0.0,206.0,83.0,59.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,56,155.0,45.0,102.0,570,75.0,67.0,552.0,82.0,46.0,136.0,9.0,0.0,218.0,112.0,56.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,72,145.0,62.0,102.0,795,61.0,61.0,479.0,64.0,109.0,113.0,7.0,0.0,323.0,72.0,30.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,233,160.0,46.0,107.0,1299,81.0,144.0,533.0,78.0,109.0,110.0,10.0,0.0,222.0,91.0,67.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,57,111.0,42.0,78.0,365,65.0,50.0,500.0,55.0,40.0,84.0,7.0,0.0,132.0,91.0,32.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,63,175.0,53.0,118.0,902,68.0,67.0,502.0,76.0,108.0,141.0,9.0,0.0,403.0,85.0,47.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,241,174.0,58.0,115.0,1399,84.0,155.0,560.0,93.0,117.0,134.0,10.0,0.0,228.0,99.0,74.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,44,114.0,45.0,66.0,338,52.0,38.0,404.0,59.0,31.0,65.0,4.0,0.0,150.0,78.0,32.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,59,134.0,37.0,102.0,801,55.0,60.0,406.0,55.0,104.0,134.0,6.0,0.0,343.0,61.0,37.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,258,212.0,71.0,143.0,1527,110.0,174.0,753.0,110.0,130.0,159.0,16.0,0.0,270.0,136.0,84.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,Yes-Statewide Amendment               ,83,145.0,63.0,122.0,627,87.0,73.0,645.0,97.0,61.0,124.0,10.0,0.0,201.0,134.0,64.0
79,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,NON,No-Statewide Amendment                ,49,161.0,42.0,89.0,765,53.0,59.0,437.0,56.0,105.0,127.0,3.0,0.0,355.0,63.0,28.0
80,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81,PROPOSED STATEWIDE AMENDMENT NUMBER EIGHT (8)           ,   ,Under Votes                           ,229,154.0,48.0,100.0,1274,77.0,140.0,479.0,71.0,99.0,108.0,13.0,0.0,207.0,78.0,61.0
82,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,Yes-Statewide Amendment               ,46,108.0,37.0,64.0,311,41.0,34.0,368.0,45.0,33.0,57.0,5.0,0.0,153.0,72.0,33.0
83,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,NON,No-Statewide Amendment                ,67,153.0,50.0,99.0,838,68.0,67.0,471.0,64.0,104.0,139.0,5.0,0.0,351.0,71.0,40.0
84,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Over Votes                            ,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,PROPOSED STATEWIDE AMENDMENT NUMBER NINE (9)            ,   ,Under Votes                           ,247,199.0,66.0,147.0,1517,108.0,171.0,725.0,115.0,128.0,164.0,16.0,0.0,259.0,132.0,80.0
86,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,Yes-Statewide Amendment               ,58,180.0,51.0,111.0,847,77.0,81.0,568.0,71.0,113.0,154.0,3.0,0.0,401.0,88.0,57.0
87,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,NON,No-Statewide Amendment                ,44,73.0,27.0,55.0,321,31.0,27.0,255.0,43.0,28.0,62.0,7.0,0.0,84.0,61.0,22.0
88,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,PROPOSED STATEWIDE AMENDMENT NUMBER TEN (10)            ,   ,Under Votes                           ,259,207.0,75.0,145.0,1497,109.0,164.0,741.0,110.0,124.0,144.0,16.0,0.0,278.0,126.0,74.0
90,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,Yes-Statewide Amendment               ,63,192.0,60.0,121.0,839,77.0,69.0,618.0,75.0,107.0,150.0,6.0,0.0,427.0,87.0,42.0
91,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,NON,No-Statewide Amendment                ,65,91.0,39.0,77.0,446,53.0,48.0,411.0,59.0,39.0,69.0,10.0,0.0,97.0,86.0,38.0
92,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
93,PROPOSED STATEWIDE AMENDMENT NUMBER ELEVEN (11)         ,   ,Under Votes                           ,233,177.0,54.0,113.0,1380,87.0,155.0,535.0,90.0,118.0,140.0,10.0,0.0,239.0,102.0,73.0
94,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,Yes-Statewide Amendment               ,41,163.0,51.0,106.0,703,73.0,63.0,513.0,59.0,98.0,127.0,8.0,0.0,401.0,69.0,38.0
95,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,NON,No-Statewide Amendment                ,68,94.0,32.0,64.0,458,42.0,39.0,339.0,49.0,40.0,67.0,4.0,0.0,95.0,80.0,34.0
96,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Over Votes                            ,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,PROPOSED STATEWIDE AMENDMENT NUMBER TWELVE (12)         ,   ,Under Votes                           ,252,203.0,70.0,141.0,1504,102.0,170.0,712.0,116.0,127.0,166.0,14.0,0.0,267.0,126.0,81.0
98,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,Yes-Statewide Amendment               ,57,175.0,56.0,129.0,796,77.0,69.0,676.0,72.0,110.0,146.0,10.0,0.0,392.0,86.0,46.0
99,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,NON,No-Statewide Amendment                ,65,117.0,49.0,71.0,519,61.0,56.0,381.0,65.0,35.0,74.0,5.0,0.0,146.0,89.0,40.0
100,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
101,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,239,168.0,48.0,111.0,1351,79.0,147.0,507.0,87.0,118.0,140.0,11.0,0.0,224.0,100.0,67.0
102,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,114,246.0,86.0,158.0,1988,113.0,154.0,805.0,121.0,130.0,223.0,10.0,0.0,502.0,115.0,68.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,52,72.0,25.0,52.0,242,39.0,40.0,279.0,43.0,31.0,35.0,4.0,0.0,68.0,69.0,25.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,195,142.0,42.0,101.0,436,65.0,78.0,479.0,60.0,104.0,102.0,12.0,0.0,193.0,91.0,60.0
106,"MEMBER, HALE COUNTY COMMISSION, DISTRICT NO. 2          ",DEM,Donald Ray Anderson Jr. (Dray)        ,59,271.0,,203.0,64,,181.0,,,219.0,26.0,,0.0,414.0,,
107,"MEMBER, HALE COUNTY COMMISSION, DISTRICT NO. 2          ",NON,Write-In                              ,0,5.0,,2.0,0,,3.0,,,2.0,0.0,,0.0,10.0,,
108,"MEMBER, HALE COUNTY COMMISSION, DISTRICT NO. 2          ",   ,Over Votes                            ,0,0.0,,0.0,0,,0.0,,,0.0,0.0,,0.0,0.0,,
109,"MEMBER, HALE COUNTY COMMISSION, DISTRICT NO. 2          ",   ,Under Votes                           ,24,58.0,,106.0,11,,77.0,,,44.0,36.0,,0.0,61.0,,
110,"MEMBER, HALE COUNTY COMMISSION, DISTRICT NO. 3          ",DEM,Joe Lee Hamilton Jr.                  ,77,,,,1242,,6.0,,44.0,,201.0,,0.0,,,40.0
111,"MEMBER, HALE COUNTY COMMISSION, DISTRICT NO. 3          ",NON,Write-In                              ,3,,,,20,,0.0,,3.0,,4.0,,0.0,,,3.0
112,"MEMBER, HALE COUNTY COMMISSION, DISTRICT NO. 3          ",   ,Over Votes                            ,0,,,,0,,0.0,,0.0,,0.0,,0.0,,,0.0
113,"MEMBER, HALE COUNTY COMMISSION, DISTRICT NO. 3          ",   ,Under Votes                           ,15,,,,253,,5.0,,43.0,,93.0,,0.0,,,46.0
114,"MEMBER, HALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3  ",DEM,Verlander L. Jones                    ,80,,,,896,,,,,,,,0.0,323.0,,
115,"MEMBER, HALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3  ",NON,Write-In                              ,0,,,,1,,,,,,,,0.0,6.0,,
116,"MEMBER, HALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3  ",   ,Over Votes                            ,0,,,,0,,,,,,,,0.0,0.0,,
117,"MEMBER, HALE COUNTY BOARD OF EDUCATION, DISTRICT NO. 3  ",   ,Under Votes                           ,6,,,,100,,,,,,,,0.0,57.0,,
