,Contest Title,Party,Candidate,ABSENTEE,ANDREW BELLE COMM_ CTR,ASHFORD DEPOT,BAY SPRINGS VFD,COTTONWOOD CITY HALL,COWARTS TOWN HALL,DOTHAN 1ST ASSEMBLY CLC,DOUG TEW COMMUNITY CTR_,ENTERPRISE CHURCH,FARM CENTER,GORDON CITY HALL,HODGESVILLE VFD,KINSEY VFD,LIBRARY,LOVETOWN FIRE STATION,MADRID SR_ CENTER,PANSEY VFD,PROVISIONAL,REHOBETH MUNICIPAL COMPLX,ROSSIE PURCELL PUB LIBRAR,ST_ JOHNS PARK,TAYLOR CITY HALL,VAUGHN BLUMBERG CENTER,WALTON PARK,WATER AND ELECTRIC COMPLX,WEBB CITY HALL,WESTGATE PARK,WICKSBURG VFD,WIREGRASS PARK
48,"DISTRICT ATTORNEY, 20TH JUDICIAL CIRCUIT                ",NON,Write-In                              ,20,24.0,15.0,2.0,8.0,11.0,22.0,67.0,3.0,56.0,5.0,4.0,25.0,43.0,1.0,8.0,3.0,12,5.0,5.0,5.0,17.0,55.0,60.0,47.0,13.0,37.0,11.0,110.0
49,"DISTRICT ATTORNEY, 20TH JUDICIAL CIRCUIT                ",   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
50,"DISTRICT ATTORNEY, 20TH JUDICIAL CIRCUIT                ",   ,Under Votes                           ,473,337.0,362.0,155.0,268.0,241.0,558.0,682.0,84.0,630.0,143.0,206.0,272.0,909.0,50.0,123.0,73.0,75,150.0,172.0,136.0,221.0,654.0,1245.0,713.0,157.0,558.0,189.0,1139.0
51,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,Yes-Statewide Amendment               ,1185,401.0,839.0,451.0,670.0,736.0,2016.0,1559.0,304.0,1644.0,81.0,714.0,443.0,1588.0,182.0,366.0,226.0,145,823.0,408.0,155.0,981.0,1354.0,792.0,2372.0,433.0,2042.0,715.0,1576.0
52,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,NON,No-Statewide Amendment                ,314,107.0,299.0,165.0,214.0,269.0,659.0,476.0,91.0,479.0,36.0,249.0,148.0,519.0,84.0,132.0,98.0,48,327.0,167.0,57.0,302.0,392.0,184.0,845.0,139.0,650.0,315.0,452.0
53,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Over Votes                            ,0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
54,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)             ,   ,Under Votes                           ,524,206.0,290.0,179.0,298.0,262.0,586.0,558.0,133.0,512.0,140.0,294.0,174.0,670.0,81.0,135.0,108.0,62,260.0,193.0,115.0,281.0,427.0,556.0,772.0,175.0,613.0,255.0,638.0
55,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,Yes-Statewide Amendment               ,1173,424.0,882.0,506.0,711.0,774.0,2243.0,1609.0,345.0,1792.0,99.0,776.0,461.0,1707.0,204.0,389.0,242.0,152,917.0,465.0,175.0,1029.0,1398.0,726.0,2554.0,465.0,2220.0,802.0,1581.0
56,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,NON,No-Statewide Amendment                ,390,117.0,322.0,137.0,240.0,282.0,571.0,536.0,96.0,490.0,34.0,269.0,160.0,503.0,88.0,145.0,113.0,43,305.0,158.0,56.0,322.0,419.0,251.0,873.0,152.0,653.0,321.0,532.0
57,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Over Votes                            ,3,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,2.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,6.0,0.0,2.0
58,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)             ,   ,Under Votes                           ,458,173.0,224.0,152.0,232.0,210.0,447.0,446.0,87.0,352.0,124.0,212.0,143.0,567.0,56.0,99.0,76.0,60,188.0,145.0,96.0,213.0,353.0,555.0,560.0,130.0,429.0,162.0,551.0
59,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,Yes-Statewide Amendment               ,922,319.0,666.0,394.0,500.0,583.0,1731.0,1288.0,223.0,1352.0,61.0,556.0,345.0,1254.0,163.0,290.0,168.0,110,703.0,308.0,106.0,828.0,1069.0,471.0,2035.0,334.0,1736.0,661.0,1222.0
60,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,NON,No-Statewide Amendment                ,463,172.0,437.0,173.0,316.0,355.0,778.0,629.0,151.0,694.0,53.0,345.0,221.0,726.0,100.0,180.0,137.0,69,406.0,236.0,96.0,404.0,553.0,434.0,1019.0,195.0,771.0,334.0,713.0
61,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0
62,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)           ,   ,Under Votes                           ,635,223.0,325.0,228.0,367.0,329.0,750.0,677.0,154.0,586.0,143.0,356.0,199.0,798.0,85.0,162.0,126.0,76,303.0,224.0,125.0,333.0,549.0,627.0,937.0,218.0,796.0,290.0,731.0
63,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,Yes-Statewide Amendment               ,1089,373.0,779.0,416.0,580.0,669.0,2002.0,1479.0,255.0,1569.0,71.0,644.0,417.0,1554.0,176.0,342.0,183.0,132,780.0,364.0,139.0,920.0,1285.0,697.0,2321.0,402.0,1963.0,712.0,1465.0
64,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,NON,No-Statewide Amendment                ,371,140.0,360.0,181.0,300.0,320.0,629.0,525.0,145.0,560.0,48.0,311.0,173.0,507.0,102.0,152.0,148.0,54,368.0,208.0,76.0,362.0,426.0,234.0,877.0,166.0,648.0,322.0,523.0
65,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Over Votes                            ,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,0.0,2.0
66,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)            ,   ,Under Votes                           ,561,201.0,289.0,198.0,303.0,278.0,628.0,591.0,128.0,505.0,138.0,302.0,174.0,715.0,70.0,139.0,100.0,69,263.0,196.0,112.0,283.0,462.0,600.0,791.0,178.0,691.0,251.0,676.0
67,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,Yes-Statewide Amendment               ,921,317.0,648.0,359.0,494.0,530.0,1752.0,1242.0,219.0,1244.0,75.0,546.0,333.0,1257.0,133.0,289.0,154.0,118,658.0,334.0,121.0,809.0,1061.0,479.0,2014.0,335.0,1705.0,599.0,1168.0
68,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,NON,No-Statewide Amendment                ,450,181.0,437.0,208.0,326.0,403.0,755.0,661.0,161.0,775.0,42.0,360.0,224.0,731.0,128.0,193.0,157.0,68,421.0,223.0,83.0,412.0,578.0,451.0,1016.0,199.0,812.0,371.0,772.0
69,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Over Votes                            ,0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0
70,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5)            ,   ,Under Votes                           ,647,216.0,340.0,225.0,362.0,334.0,753.0,690.0,148.0,615.0,140.0,351.0,208.0,787.0,87.0,151.0,122.0,69,332.0,211.0,123.0,343.0,534.0,598.0,958.0,213.0,790.0,315.0,724.0
71,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,Yes-Statewide Amendment               ,670,281.0,530.0,305.0,451.0,499.0,1375.0,976.0,190.0,1072.0,68.0,447.0,287.0,964.0,123.0,228.0,141.0,97,571.0,256.0,82.0,678.0,843.0,406.0,1629.0,276.0,1337.0,487.0,951.0
72,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,NON,No-Statewide Amendment                ,536,196.0,502.0,213.0,325.0,384.0,959.0,818.0,160.0,850.0,42.0,403.0,250.0,874.0,123.0,211.0,149.0,83,448.0,259.0,112.0,475.0,686.0,500.0,1212.0,217.0,963.0,427.0,912.0
73,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Over Votes                            ,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,5.0
74,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6)             ,   ,Under Votes                           ,807,237.0,395.0,277.0,406.0,383.0,928.0,800.0,177.0,712.0,147.0,406.0,228.0,937.0,102.0,194.0,143.0,74,393.0,253.0,133.0,411.0,643.0,626.0,1149.0,254.0,1006.0,371.0,798.0
75,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,Yes-Statewide Amendment               ,671,246.0,488.0,268.0,403.0,425.0,1205.0,955.0,186.0,1000.0,56.0,447.0,249.0,898.0,122.0,215.0,126.0,99,506.0,224.0,75.0,603.0,824.0,413.0,1421.0,262.0,1165.0,445.0,962.0
76,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,NON,No-Statewide Amendment                ,332,163.0,346.0,146.0,220.0,260.0,589.0,525.0,79.0,524.0,41.0,247.0,165.0,613.0,77.0,139.0,88.0,56,282.0,177.0,85.0,314.0,437.0,422.0,754.0,150.0,568.0,256.0,655.0
77,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Over Votes                            ,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
78,PROPOSED STATEWIDE AMENDMENT NUMBER SEVEN (7)           ,   ,Under Votes                           ,1011,305.0,594.0,381.0,560.0,582.0,1467.0,1114.0,263.0,1110.0,160.0,563.0,351.0,1265.0,149.0,279.0,219.0,99,624.0,367.0,167.0,648.0,911.0,697.0,1815.0,335.0,1573.0,584.0,1049.0
